precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PAULA-MARINELA PÎRVĂNESCU-voturi","VLAD-DAN GHEORGHE-voturi","NICOLAE-BOGDĂNEL ȘTEFĂNUȚĂ-voturi","DUMITRU-SILVESTRU ȘOȘOACĂ-voturi"
1,ALBA,"CĂMIN CULTURAL, SAT VÂLTORI",183,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:27",2185,2183,2,1288,1286,1,1,2612,1324,1200,88,26,7,33,10,86,33,54,598,7,3,8,50,21,249,10,5
1,ALBA,"CĂMIN CULTURAL ȘEUȘA",234,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:24",2735,2725,10,2410,2400,6,4,3174,764,2315,95,274,100,527,11,22,67,7,7,7,40,221,31,15,2,977,7
1,ALBA,"CĂMIN CULTURAL ȘIBOT",401,ŞIBOT,7810,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",1338,1331,7,999,993,6,0,1610,611,927,72,27,76,29,9,110,22,5,73,10,409,147,3,0,3,3,1
1,ALBA,"CĂMIN CULTURAL ȘILEA",252,FĂRĂU,4302,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",3638,3631,7,3059,3046,6,7,3945,886,2822,237,20,10,12,415,237,440,128,163,43,148,6,44,1085,7,48,16
1,ALBA,"CĂMIN CULTURAL SILIVAŞ",267,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",2012,2004,8,1850,1842,0,8,2075,225,1688,162,6,76,17,3,253,0,462,21,216,115,246,38,27,3,72,133
1,ALBA,"CĂMIN CULTURAL ŞPĂLNACA",268,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",3263,3260,3,2918,2914,3,1,3326,408,2723,195,31,27,183,49,0,2,6,1,657,28,1346,76,279,22,13,3
1,ALBA,"CĂMIN CULTURAL TĂUNI",430,"VALEA LUNGĂ",8354,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",2456,2451,5,2235,2227,3,5,2760,525,2182,53,2,48,77,61,299,8,1,19,341,17,77,235,229,18,563,187
1,ALBA,"CĂMIN CULTURAL TELEAC",235,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:24",1958,1954,4,1495,1493,2,0,2243,748,1291,204,198,18,47,73,12,3,158,38,379,18,145,84,40,8,19,51
1,ALBA,"CĂMIN CULTURAL TURDAŞ",269,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",3012,3005,7,2502,2494,1,7,3141,639,2291,211,565,27,25,31,288,93,104,76,6,12,11,735,12,1,220,85
1,ALBA,"CĂMIN CULTURAL VĂLIȘOARA",295,LIVEZILE,5167,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",3041,3039,2,2936,2934,1,1,3527,591,2919,17,3,18,0,173,1205,473,409,7,10,117,57,33,285,58,1,70
1,ALBA,"CĂMIN CULTURAL VAMA SEACĂ",270,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",1302,1296,6,1250,1245,0,5,1449,199,1096,154,79,1,179,5,52,6,2,7,65,4,2,445,33,9,191,16
1,ALBA,"CĂMINUL CULTURAL",224,CERU-BĂCĂINŢI,3841,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",2870,2870,0,2593,2593,0,0,3256,663,2229,364,16,132,226,18,52,298,3,19,0,375,10,13,197,720,17,133
1,ALBA,"CĂMINUL CULTURAL",345,POŞAGA,6468,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",1854,1848,6,1184,1178,4,2,2275,1091,1168,16,61,24,10,95,74,239,24,102,115,309,7,66,6,8,25,3
1,ALBA,"CĂMINUL CULTURAL ALBAC",184,ALBAC,2130,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:27",2925,2925,0,2844,2844,0,0,3220,376,2609,235,70,67,0,144,83,27,548,959,3,31,363,211,3,12,29,59
1,ALBA,"CĂMINUL CULTURAL ALECUŞ",406,ŞONA,7865,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",3191,3181,10,2960,2950,2,8,3351,391,2338,622,5,241,5,13,106,512,72,50,296,251,18,36,76,3,2,652
1,ALBA,"CĂMINUL CULTURAL ALMAȘU MARE - SUSENI",190,"ALMAŞU MARE",2309,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:27",808,799,9,784,773,9,2,1244,460,747,37,1,294,19,8,19,157,2,33,2,42,22,12,9,8,73,46
1,ALBA,"CĂMINUL CULTURAL AVRAM IANCU",198,"AVRAM IANCU",2577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:27",3901,3891,10,3138,3134,1,3,4220,1082,2927,211,21,5,4,85,687,73,23,101,154,51,9,838,9,367,484,16
1,ALBA,"CĂMINUL CULTURAL BALOMIR",402,ŞIBOT,7810,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",2360,2353,7,2264,2257,2,5,2715,451,1785,479,208,8,2,86,86,0,287,221,3,238,87,9,461,7,46,36
1,ALBA,"CĂMINUL CULTURAL BOZ",247,DOŞTAT,4268,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",1363,1362,1,1329,1328,1,0,1480,151,1077,252,3,73,226,38,67,32,2,40,1,10,14,380,28,4,58,101
1,ALBA,"CĂMINUL CULTURAL BUCERDEA GRÂNOASĂ",212,"BUCERDEA GRÂNOASĂ",9026,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",1422,1416,6,878,866,6,6,1476,598,772,106,236,86,134,42,2,6,25,18,22,70,48,4,2,42,13,22
1,ALBA,"CĂMINUL CULTURAL CĂPÎLNA DE JOS",289,JIDVEI,5103,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",3633,3633,0,3125,3125,0,0,3992,867,2651,474,217,66,245,0,131,449,854,32,60,184,44,56,10,17,257,29
1,ALBA,"CĂMINUL CULTURAL CIOARA DE SUS",121,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:27",2118,2116,2,2026,2025,0,1,2358,332,1365,661,23,37,46,87,42,10,208,153,0,473,14,119,65,6,66,16
1,ALBA,"CĂMINUL CULTURAL CIUGUDU DE JOS",420,UNIREA,8158,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",1730,1723,7,1319,1310,5,4,2153,834,1268,51,79,26,52,262,10,82,312,28,94,23,3,15,1,23,249,9
1,ALBA,"CĂMINUL CULTURAL ”EUGEN CURTA” GALTIU",386,SÂNTIMBRU,7384,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",1713,1712,1,1320,1319,0,1,1950,630,1047,273,2,92,1,439,11,7,33,7,160,4,3,34,217,29,6,2
1,ALBA,"CĂMINUL CULTURAL FEISA",290,JIDVEI,5103,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",1442,1439,3,986,983,0,3,1557,571,757,229,0,0,76,0,16,124,1,3,138,1,150,42,15,23,126,42
1,ALBA,"CĂMINUL CULTURAL GĂBUD",328,NOŞLAC,6048,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",2661,2656,5,2324,2314,5,5,2797,473,1905,419,71,190,18,117,68,82,4,52,41,21,770,302,133,9,2,25
1,ALBA,"CĂMINUL CULTURAL GALDA DE JOS",253,"GALDA DE JOS",4366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",1811,1809,2,1544,1542,2,0,2194,650,1120,424,15,0,3,87,66,22,361,0,13,3,0,333,27,6,11,173
1,ALBA,"CAMINUL CULTURAL GEOGEL",344,PONOR,6397,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",2520,2518,2,1837,1835,1,1,2590,753,1549,288,106,47,301,1,619,9,33,0,20,66,22,19,34,76,20,176
1,ALBA,"CĂMINUL CULTURAL GEOMAL",400,STREMŢ,7767,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",3361,3355,6,2709,2701,2,6,3624,915,2577,132,17,133,44,191,25,13,80,334,141,15,86,139,170,683,25,481
1,ALBA,"CĂMINUL CULTURAL INOC",423,UNIREA,8158,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",2594,2589,5,2186,2183,3,0,3037,851,1977,209,5,8,39,50,185,213,315,3,548,217,144,213,6,24,6,1
1,ALBA,"CĂMINUL CULTURAL INURI",437,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",3064,3056,8,3027,3023,1,3,3093,66,2370,657,6,3,26,130,39,504,3,163,33,116,16,12,147,5,35,1132
1,ALBA,"CĂMINUL CULTURAL JIDVEI",287,JIDVEI,5103,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",2226,2221,5,1809,1803,5,1,2315,506,1721,88,14,50,18,2,20,0,317,226,289,43,16,111,566,6,0,43
1,ALBA,"CĂMINUL CULTURAL LUNCA AMPOIȚEI",311,METEŞ,5577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",2392,2382,10,2343,2339,1,3,2830,487,2188,155,12,70,8,5,13,15,221,10,63,138,1,48,5,517,1044,18
1,ALBA,"CĂMINUL CULTURAL LUPȘA",305,LUPŞA,5336,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",2464,2460,4,2428,2424,3,1,2530,102,1727,701,87,123,12,457,464,50,108,29,54,19,49,28,112,14,18,103
1,ALBA,"CĂMINUL CULTURAL MĂHĂCENI",424,UNIREA,8158,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",2676,2667,9,2477,2466,5,6,2796,319,1985,492,131,24,13,17,2,58,318,470,54,28,11,118,109,221,385,26
1,ALBA,"CĂMINUL CULTURAL MERETEU",438,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",2577,2571,6,2238,2230,5,3,2963,725,1572,666,8,346,128,6,636,0,113,10,24,8,42,32,132,29,4,54
1,ALBA,"CĂMINUL CULTURAL MUNCELU",122,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:27",2739,2730,9,2724,2722,0,2,3076,352,2679,45,41,86,53,14,117,513,18,26,499,68,465,37,279,210,9,244
1,ALBA,"CĂMINUL CULTURAL NECRILEȘTI",286,ÎNTREGALDE,4981,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",1236,1228,8,1188,1184,0,4,1344,156,1129,59,125,5,42,564,105,6,10,4,2,20,1,8,24,81,0,132
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:24",3222,3222,0,2987,2987,0,0,3600,613,2634,353,42,14,444,1238,7,279,50,4,153,66,36,84,2,21,19,175
1,ALBA,"CĂMINUL CULTURAL OIEJDEA",258,"GALDA DE JOS",4366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",2828,2818,10,2672,2662,7,3,3223,551,1881,791,52,239,88,54,248,28,43,644,154,47,11,165,34,23,6,45
1,ALBA,"CĂMINUL CULTURAL PĂGIDA",70,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:25",1922,1915,7,1785,1781,1,3,2240,455,951,834,2,1,374,150,68,19,0,266,1,3,23,2,5,4,32,1
1,ALBA,"CĂMINUL CULTURAL POIANA AMPOIULUI",312,METEŞ,5577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",3146,3138,8,2763,2760,1,2,3235,472,2693,70,381,59,19,280,9,243,273,16,165,61,27,8,4,812,98,238
1,ALBA,"CĂMINUL CULTURAL PRESACA AMPOIULUI",313,METEŞ,5577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",2332,2324,8,1740,1731,5,4,2683,943,1503,237,2,557,145,26,26,28,399,1,11,0,86,1,58,3,70,90
1,ALBA,"CĂMINUL CULTURAL RĂZBOIENI-CETATE",165,"ORAŞ OCNA MUREŞ",1794,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:26",2399,2398,1,2319,2318,1,0,2437,118,1764,555,49,24,6,7,95,16,460,456,0,25,9,16,88,392,121,0
1,ALBA,"CĂMINUL CULTURAL SÂNCEL",379,SÂNCEL,7348,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",2035,2034,1,1196,1195,1,0,2339,1143,1085,111,38,8,238,0,50,72,10,338,21,2,31,2,250,8,15,2
1,ALBA,"CĂMINUL CULTURAL SÂNTIMBRU",383,SÂNTIMBRU,7384,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",2436,2427,9,2170,2161,9,0,2836,666,1460,710,30,77,2,61,7,292,4,11,14,656,14,165,47,7,28,45
1,ALBA,"CĂMINUL CULTURAL SARTĂŞ",123,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:27",3688,3686,2,2985,2982,2,1,4090,1105,2798,187,14,115,10,0,36,87,570,591,9,83,55,631,284,75,229,9
1,ALBA,"CĂMINUL CULTURAL SCĂRIȘOARA",388,SCĂRIŞOARA,7197,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",3371,3362,9,2944,2938,0,6,3786,842,2398,546,901,2,128,68,188,108,523,0,26,13,20,1,19,4,394,3
1,ALBA,"CĂMINUL CULTURAL SOHODOL",394,SOHODOL,7446,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",2582,2577,5,2562,2552,5,5,2833,271,2458,104,2,5,1,881,32,5,703,1,92,5,5,429,33,2,223,39
1,ALBA,"CĂMINUL CULTURAL STÂNA DE MUREȘ",329,NOŞLAC,6048,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",2722,2715,7,2517,2506,4,7,2853,336,1934,583,6,469,10,360,10,15,536,85,1,77,5,5,47,18,88,202
1,ALBA,"CĂMINUL CULTURAL VADU MOȚILOR",425,"VADU MOŢILOR",8229,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",3137,3132,5,2832,2825,2,5,3338,506,2251,581,998,25,449,60,171,21,20,170,33,61,33,127,22,11,36,14
1,ALBA,"CĂMINUL CULTURAL VESEUŞ",291,JIDVEI,5103,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",2649,2640,9,2100,2094,0,6,3138,1038,2014,86,27,2,13,0,2,1,12,627,563,7,161,1,44,129,335,90
1,ALBA,"CĂMINUL CULTURAL VINŢU DE JOS",434,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",2002,1994,8,1472,1466,5,1,2294,822,1415,57,85,33,306,116,29,322,1,5,1,1,275,7,2,11,83,138
1,ALBA,"CĂMINUL CULTURAL VURPĂR",440,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",2077,2076,1,1742,1741,1,0,2147,405,1410,332,153,3,57,486,8,16,2,20,184,320,27,34,5,52,38,5
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:24",3117,3110,7,2595,2593,2,0,3610,1015,2162,433,9,996,12,16,109,163,120,6,319,11,297,36,4,21,32,11
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:22",1299,1289,10,1283,1269,6,8,1776,493,1206,77,58,2,74,107,15,31,14,245,0,5,352,2,13,16,89,183
1,ALBA,"CASA DE CULTURĂ ”ION SÂNGEREANU”",157,"ORAŞ OCNA MUREŞ",1794,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:26",3383,3379,4,3259,3253,2,4,3475,216,2698,561,125,60,69,188,138,78,774,43,188,362,164,20,224,66,41,158
1,ALBA,"CASA DE CULTURĂ TEIUŞ",166,"ORAŞ TEIUŞ",8096,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",873,870,3,872,870,2,0,1056,184,848,24,3,2,191,58,254,12,33,46,14,2,1,80,2,66,14,70
1,ALBA,"CASĂ PARTICULARĂ",428,"VALEA LUNGĂ",8354,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:32",2166,2156,10,1732,1722,0,10,2632,900,1665,67,6,99,4,8,52,51,413,381,11,19,34,85,4,376,117,5
1,ALBA,"CENTRU DE ZI PERSOANE VĂRSTNICE",385,SÂNTIMBRU,7384,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",2572,2569,3,2453,2448,2,3,2578,125,2249,204,171,933,37,28,35,46,17,1,409,108,80,28,279,23,44,10
1,ALBA,"CENTRUL CULTURAL ”IACOB MUREŞIANU’’",81,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:25",2338,2330,8,2206,2200,6,0,2580,374,1386,820,3,130,2,571,210,126,7,85,40,79,7,0,17,17,79,13
1,ALBA,"CENTRUL CULTURAL ”VALENTIN URITESCU” AL ORAŞULUI CUGIR",145,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:26",1534,1529,5,1448,1444,4,0,1833,385,1231,217,20,154,43,1,6,8,239,35,10,0,119,452,11,3,19,111
1,ALBA,"CENTRUL DE INFORMARE TURISTICĂ",324,MOGOŞ,5826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",3298,3292,6,3243,3237,2,4,3761,518,2893,350,151,2,45,345,7,1,151,230,22,48,97,13,1,873,371,536
