precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VUŞCAN VOICU-PARTIDUL SOCIAL DEMOCRAT-voturi","MATIEŞ CĂLIN-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PLEŞA GABRIEL-CODRU-PARTIDUL NAȚIONAL LIBERAL-voturi","NANU DANA-ELISABETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LUDOŞAN DIANA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PĂDUREAN CĂLIN-LIVIU-PARTIDUL PHRALIPE AL ROMILOR-voturi"
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",10,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",3001,2978,8,10,5,2925,2909,4,10,2,2472,453,3345,420,382,1355,48,396,215,76
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",38,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",1686,1669,1,6,10,1460,1451,0,1,8,1097,363,2019,559,100,325,42,68,387,175
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",39,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",2441,2424,2,5,10,2326,2315,1,0,10,1444,882,2925,599,713,199,411,48,38,35
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",40,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",2454,2445,0,1,8,2193,2190,0,0,3,1586,607,2752,559,88,236,596,168,475,23
1,ALBA,"COLEGIUL TEHNIC „APULUM”",13,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",2199,2194,2,3,0,1565,1564,0,1,0,1384,181,2228,663,106,734,9,153,202,180
1,ALBA,"COLEGIUL TEHNIC „APULUM”",14,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",2281,2261,9,2,9,2161,2150,4,2,5,1370,791,2752,591,436,61,94,132,451,196
1,ALBA,"COLEGIUL TEHNIC „APULUM”",12,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",3912,3893,4,8,7,3403,3390,1,7,5,2988,415,4186,783,1234,166,663,120,113,692
1,ALBA,"COLEGIUL TEHNIC „DORIN PAVEL”",36,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",2321,2308,8,0,5,1871,1871,0,0,0,1338,533,2427,556,15,167,478,294,2,382
1,ALBA,"COLEGIUL TEHNIC „DORIN PAVEL” ȘCOALA GENERALĂ NR. 9",35,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",1914,1895,0,10,9,1205,1192,0,10,3,1081,124,2089,884,193,90,28,68,361,341
1,ALBA,"FLORIDA GOLD SRL",42,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",1984,1975,0,3,6,1635,1631,0,1,3,1047,588,2369,734,127,156,399,31,124,210
1,ALBA,"FLORIDA GOLD SRL",41,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",3357,3335,7,7,8,2917,2907,3,7,0,2600,317,3823,906,244,221,194,1141,288,512
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",46,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",1135,1128,0,6,1,1092,1087,0,5,0,967,125,1215,123,536,30,108,54,195,44
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",45,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",1983,1968,8,7,0,1868,1859,6,3,0,1813,55,2112,244,214,68,205,851,427,48
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10",34,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",2769,2761,5,2,1,2763,2757,5,1,0,2327,436,2858,95,240,204,596,99,579,609
1,ALBA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 10",33,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",1203,1180,6,10,7,1098,1090,1,0,7,669,429,1551,453,75,59,39,133,120,243
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5 PARTOŞ",43,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",2966,2960,4,0,2,2500,2496,3,0,1,2176,324,3061,561,495,151,431,556,511,32
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL OARDA DE SUS",50,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",3023,3012,2,1,8,2905,2895,2,0,8,2741,164,3100,195,270,420,233,673,998,147
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 11",19,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",1115,1101,5,4,5,1033,1029,3,0,1,949,84,1261,228,519,5,18,297,32,78
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",24,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",1822,1811,6,2,3,1782,1774,4,2,2,1763,19,2213,431,15,874,257,171,73,373
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",25,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",2830,2805,10,7,8,2693,2683,4,6,0,2496,197,3013,320,383,789,137,306,821,60
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 16",37,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",1338,1318,10,8,2,907,892,8,6,1,642,265,1413,506,14,55,133,23,284,133
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",15,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",3219,3203,1,7,8,3080,3077,0,1,2,2363,717,3546,466,269,571,1114,181,145,83
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",20,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",2499,2482,7,10,0,2202,2195,2,5,0,1751,451,2529,327,179,927,25,88,506,26
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",21,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",2901,2894,1,2,4,2895,2892,0,1,2,2788,107,3256,361,1730,268,340,2,306,142
1,ALBA,"LICEUL CU PROGRAM SPORTIV",28,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",1425,1409,10,1,5,1417,1409,3,0,5,1017,400,1551,134,23,0,660,126,91,117
1,ALBA,"LICEUL CU PROGRAM SPORTIV",26,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",2959,2942,0,8,9,2790,2775,0,7,8,2534,256,3357,567,47,701,1242,217,306,21
1,ALBA,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",3386,3375,3,5,3,3040,3033,0,5,2,2379,661,3517,477,426,1438,37,198,195,85
1,ALBA,"LICEUL CU PROGRAM SPORTIV",27,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",835,824,1,2,8,832,826,1,1,4,734,98,1283,451,175,56,58,174,250,21
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",5,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:09",3410,3403,5,2,0,3253,3250,1,2,0,2851,402,3894,641,1554,163,67,510,532,25
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",4,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:09",2487,2467,6,10,4,2251,2237,4,8,2,2115,136,2911,660,595,743,146,317,133,181
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",18,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",747,730,8,9,0,707,698,6,3,0,569,138,827,120,54,14,147,0,227,127
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",17,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",3380,3372,1,4,3,3179,3177,0,0,2,2807,372,3387,208,214,682,42,726,365,778
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI",48,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",2447,2439,3,5,0,2443,2440,2,1,0,2313,130,2544,101,399,75,171,451,207,1010
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI - SALA DE SPORT",47,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",2685,2676,4,0,5,2151,2144,3,0,4,1696,455,3139,988,146,41,354,1,445,709
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",22,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",1059,1048,9,2,0,937,928,8,1,0,536,401,1068,131,81,14,39,50,238,114
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",23,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:11",2075,2071,1,0,3,1995,1993,0,0,2,1816,179,2558,563,836,278,189,84,171,258
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",2,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:09",2784,2761,5,8,10,2672,2655,4,4,9,2191,481,3233,561,684,8,147,991,84,277
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",3,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:09",1215,1208,5,0,2,975,975,0,0,0,718,257,1549,574,35,10,29,160,65,419
1,ALBA,"ŞCOALA PRIMARĂ PÂCLIŞA",51,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",2574,2565,2,3,4,2433,2428,2,3,0,1941,492,3074,641,78,10,1043,547,220,43
1,ALBA,"SEMINARUL TEOLOGIC ORTODOX „SFÂNTUL SIMION ŞTEFAN”",16,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",3327,3304,5,10,8,3191,3175,1,9,6,2816,375,3457,266,1073,375,718,47,168,435
1,ALBA,"STADION MUNICIPAL „CETATE”",32,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",2031,2019,2,2,8,1632,1623,0,1,8,1515,117,2500,868,77,237,167,950,37,47
