precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ROMÂNIA MARE-voturi"
37,TIMIŞ,"CĂMIN CULTURAL RUDNA",439,GIULVĂZ,157317,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:50:56",584,584,0,264,248,0,16,600,336,239,25,3,53,1,4,2,1,107,2,53,0,1,4,0,8,0,0
37,TIMIŞ,"CAMIN CULTURAL UNIP",537,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:20:22",195,195,0,143,121,0,22,200,57,135,8,1,4,0,0,6,5,59,1,43,1,0,2,3,5,4,1
37,TIMIŞ,"CĂMINUL CULTURAL ALIOȘ",468,MAŞLOC,157683,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:56:25",681,681,0,516,476,0,40,700,184,477,39,7,27,0,1,2,14,259,1,131,1,2,4,2,19,4,3
37,TIMIŞ,"CĂMINUL CULTURAL BALINŢ",298,BALINŢ,155546,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:28",394,394,0,237,209,0,28,504,267,227,10,8,26,1,13,3,3,69,4,42,2,1,5,4,38,2,6
37,TIMIŞ,"CĂMINUL CULTURAL BALOȘEȘTI",581,TOMEŞTI,158895,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:01:25",112,112,0,91,87,0,4,200,109,87,4,3,3,0,0,0,0,49,0,29,0,0,1,0,1,1,0
37,TIMIŞ,"CĂMINUL CULTURAL BÂRNA",310,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:38:29",414,414,0,286,274,0,12,700,414,257,29,1,18,2,0,2,5,157,0,55,2,0,3,6,4,1,1
37,TIMIŞ,"CĂMINUL CULTURAL BAZOŞU NOU",345,BUCOVĂŢ,159516,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:25:54",515,515,0,384,354,0,30,800,416,383,1,12,19,2,6,11,4,187,1,63,0,2,7,5,48,12,4
37,TIMIŞ,"CĂMINUL CULTURAL BERECUŢA",332,BIRDA,159366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:53:46",163,163,0,93,89,0,4,300,207,92,1,2,6,0,2,0,2,61,0,16,0,0,2,0,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",548,SĂCĂLAZ,158564,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:21:01",1039,1039,0,669,611,0,58,1100,431,646,23,22,34,2,7,13,9,310,1,163,6,1,12,4,42,14,6
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",549,SĂCĂLAZ,158564,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:48:16",1062,1062,0,668,618,0,50,1100,432,640,28,8,33,2,10,16,5,287,3,202,1,3,9,3,39,15,4
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MIC",550,SĂCĂLAZ,158564,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:50:11",782,782,0,444,423,0,21,900,456,426,18,9,28,3,5,14,5,223,0,102,1,0,6,2,19,8,1
37,TIMIŞ,"CĂMINUL CULTURAL BICHIGI",261,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:10:27",511,511,0,316,308,0,8,600,284,294,22,3,14,1,5,5,4,146,0,91,0,2,3,4,8,5,3
37,TIMIŞ,"CAMINUL CULTURAL BILED",329,BILED,155911,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:24:43",1930,1930,0,1052,1022,0,30,2200,1148,978,74,29,55,2,10,25,3,447,2,155,10,6,11,103,94,20,6
37,TIMIŞ,"CĂMINUL CULTURAL BOTINEŞTI",311,BÂRNA,155957,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:05:40",145,145,0,120,108,0,12,200,80,95,25,0,4,1,1,1,2,65,0,13,1,0,0,3,3,1,0
37,TIMIŞ,"CĂMINUL CULTURAL BRĂNEŞTI",262,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:50:32",398,398,0,260,257,0,3,400,140,247,13,0,6,0,3,2,0,177,2,50,0,0,1,4,1,1,0
37,TIMIŞ,"CĂMINUL CULTURAL BREAZOVA",463,MARGINA,157585,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:44:07",207,207,0,142,133,0,9,304,162,137,5,2,11,1,0,3,4,54,0,40,2,0,0,6,9,5,0
37,TIMIŞ,"CĂMINUL CULTURAL BUCOVĂŢ",344,BUCOVĂŢ,159516,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:56:06",1785,1785,0,1246,1157,0,89,2000,754,1203,43,61,30,5,15,45,15,450,4,180,9,2,19,62,274,22,10
37,TIMIŞ,"CĂMINUL CULTURAL BULGĂRUŞ",452,LENAUHEIM,157451,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:10:07",1806,1806,0,765,752,0,13,1900,1135,700,65,11,67,5,7,14,18,239,1,180,0,0,4,9,122,21,2
37,TIMIŞ,"CĂMINUL CULTURAL CADAR",593,TORMAC,159035,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:50:18",223,223,0,132,116,0,16,300,168,121,9,3,8,0,9,0,3,66,0,21,0,0,0,2,7,1,1
37,TIMIŞ,"CĂMINUL CULTURAL CARANI",554,SÂNANDREI,158653,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:58:38",1712,1712,0,825,795,0,30,1800,975,792,33,30,42,4,7,29,12,256,1,234,4,5,26,50,62,26,4
37,TIMIŞ,"CĂMINUL CULTURAL CĂRPINIŞ",347,CĂRPINIŞ,156213,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:38:45",1757,1757,0,708,693,0,15,2000,1292,675,33,10,40,1,17,14,7,360,3,118,5,6,11,2,63,15,3
37,TIMIŞ,"CĂMINUL CULTURAL CHECEA",353,CHECEA,159375,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:15:01",1749,1749,0,863,845,0,18,2100,1237,809,54,2,41,4,15,5,5,492,0,172,0,3,11,4,24,30,1
37,TIMIŞ,"CĂMINUL CULTURAL CHEREŞTUR",316,"BEBA VECHE",155724,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:54:04",393,393,0,278,257,0,21,400,122,266,12,4,11,1,44,2,2,109,0,63,3,1,9,6,10,1,0
37,TIMIŞ,"CĂMINUL CULTURAL CIREŞU",368,CRICIOVA,156534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:59:09",278,278,0,218,197,0,21,400,182,213,5,4,20,1,6,2,2,121,0,49,2,0,2,0,3,1,0
37,TIMIŞ,"CĂMINUL CULTURAL CLICIOVA",325,BETHAUSEN,155840,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:10:36",343,343,0,227,214,0,13,418,191,210,17,0,22,0,2,4,6,75,0,65,2,0,2,7,21,4,0
37,TIMIŞ,"CĂMINUL CULTURAL COMLOŞU MARE",358,"COMLOŞU MARE",156437,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:04:10",1521,1521,0,714,702,0,12,1800,1086,650,64,11,49,1,8,9,8,427,1,99,3,2,5,5,10,8,4
37,TIMIŞ,"CĂMINUL CULTURAL COŞAVA",371,CURTEA,156589,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:21:28",468,468,0,392,351,0,41,600,208,372,20,12,26,2,2,5,0,250,0,56,2,0,8,3,5,0,1
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU",361,COŞTEIU,156473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:41:41",651,651,0,423,390,0,33,900,477,414,9,13,39,1,1,13,4,185,4,70,3,6,8,6,47,12,2
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU DE SUS",464,MARGINA,157585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:42:09",161,161,0,96,87,0,9,200,104,87,9,2,8,0,0,2,0,38,0,25,2,0,0,2,7,1,0
37,TIMIŞ,"CĂMINUL CULTURAL CRALOVĂŢ",588,"TOPOLOVĂŢU MARE",158966,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:52:03",88,88,0,57,38,0,19,102,45,56,1,1,4,3,1,3,0,14,1,18,1,0,1,0,7,2,0
37,TIMIŞ,"CĂMINUL CULTURAL CRICIOVA",367,CRICIOVA,156534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:06:21",610,610,0,506,470,0,36,900,394,480,26,4,12,2,5,10,2,274,3,139,1,0,4,2,12,8,2
37,TIMIŞ,"CĂMINUL CULTURAL CRIVOBARA",565,SECAŞ,158608,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:27:28",75,75,0,85,52,0,33,100,15,78,7,2,1,1,0,1,0,42,0,12,1,0,2,3,10,2,1
37,TIMIŞ,"CĂMINUL CULTURAL CURTEA",370,CURTEA,156589,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:40:27",549,549,0,431,418,0,13,700,269,402,29,4,24,3,7,1,1,176,0,93,1,0,6,8,73,3,2
37,TIMIŞ,"CĂMINUL CULTURAL DINIAȘ",508,"PECIU NOU",158065,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:12:47",961,961,0,541,530,0,11,1000,459,525,16,19,37,2,6,9,15,256,4,99,5,2,9,4,47,6,5
37,TIMIŞ,"CĂMINUL CULTURAL DRAGOMIREŞTI",573,ŞTIUCA,158804,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:04:39",329,329,0,173,167,0,6,400,227,170,3,5,14,1,2,2,0,65,0,74,0,0,2,0,1,4,0
37,TIMIŞ,"CĂMINUL CULTURAL DRĂGSINEŞTI",398,FÂRDEA,156927,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:05:39",385,385,0,332,312,0,20,500,168,318,14,0,15,0,3,4,6,207,1,66,1,0,2,2,5,6,0
37,TIMIŞ,"CĂMINUL CULTURAL DRINOVA",312,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:45:38",145,145,0,108,106,0,2,200,92,94,14,2,6,0,0,2,0,70,0,11,0,0,2,1,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL DUBEŞTI",494,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:17:02",190,190,0,151,147,0,4,200,49,136,15,2,8,1,5,2,3,38,1,33,2,0,0,5,31,4,1
37,TIMIŞ,"CĂMINUL CULTURAL FÂRDEA",397,FÂRDEA,156927,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:22",560,560,0,440,375,0,65,700,260,415,25,2,17,5,9,13,5,214,2,96,1,1,8,11,26,4,1
37,TIMIŞ,"CĂMINUL CULTURAL FIBIŞ",400,FIBIŞ,159393,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:47",1452,1452,0,1009,978,0,31,1508,499,956,53,13,73,12,21,40,25,454,3,169,5,2,25,6,87,17,4
37,TIMIŞ,"CĂMINUL CULTURAL GAD",408,GHILAD,159400,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:10:04",121,121,0,76,65,0,11,200,124,72,4,1,5,0,1,4,0,40,0,9,0,0,1,3,6,2,0
37,TIMIŞ,"CĂMINUL CULTURAL GĂVOJDIA",403,GAVOJDIA,157031,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:44:14",1104,1104,0,563,521,0,42,1300,737,526,37,4,40,2,3,13,7,323,1,75,0,1,14,5,30,6,2
37,TIMIŞ,"CĂMINUL CULTURAL GHERMAN",447,"JAMU MARE",157362,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:55:40",190,190,0,125,114,0,11,200,75,119,6,3,5,0,1,0,0,64,0,26,0,2,6,1,9,0,2
37,TIMIŞ,"CĂMINUL CULTURAL GHIRODA",411,GHIRODA,155289,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:13:42",1693,1693,0,960,930,0,30,1800,840,876,84,68,40,8,38,38,13,305,2,128,4,8,26,11,137,46,4
37,TIMIŞ,"CĂMINUL CULTURAL GIARMATA - VII",412,GHIRODA,155289,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:12:39",2001,2001,0,1124,1101,0,23,2100,976,1086,38,101,45,15,13,45,7,361,1,185,7,5,35,25,181,52,8
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",424,GIROC,155314,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:57:53",1692,1692,0,819,784,0,35,1800,981,793,26,66,27,6,13,34,5,278,3,134,7,3,20,5,141,42,9
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",423,GIROC,155314,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:21:24",1670,1670,0,919,846,0,73,1800,881,897,22,67,43,13,16,65,8,292,1,157,6,7,22,9,129,50,12
37,TIMIŞ,"CĂMINUL CULTURAL GLADNA ROMÂNĂ",399,FÂRDEA,156927,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:27:28",441,441,0,350,336,0,14,600,253,328,19,3,17,0,2,1,2,230,0,53,0,0,0,7,8,4,1
37,TIMIŞ,"CĂMINUL CULTURAL GRABAŢ",453,LENAUHEIM,157451,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:09:06",1715,1715,0,707,673,0,34,1800,1093,659,48,10,55,2,25,11,12,329,0,116,4,2,14,4,70,3,2
37,TIMIŞ,"CĂMINUL CULTURAL GROŞI",465,MARGINA,157585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:55:32",68,68,0,47,32,0,15,100,53,44,3,0,0,0,4,0,0,26,0,12,0,0,0,0,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL HERENDEŞTI",610,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:35:24",371,371,0,226,211,0,15,400,174,220,6,4,11,0,2,0,2,124,2,43,0,1,3,9,17,0,2
37,TIMIŞ,"CĂMINUL CULTURAL HONORICI",611,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:25",267,267,0,193,177,0,16,300,107,183,10,0,10,0,1,2,0,75,1,26,0,2,1,4,58,0,3
37,TIMIŞ,"CĂMINUL CULTURAL ICLODA",533,"SACOŞU TURCESC",158449,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:17:40",238,238,0,185,149,0,36,300,115,173,12,8,13,0,1,4,1,75,0,41,1,0,0,0,22,4,3
37,TIMIŞ,"CĂMINUL CULTURAL IECEA MICĂ",348,CĂRPINIŞ,156213,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:33:51",1006,1006,0,360,349,0,11,1100,740,345,15,1,20,1,5,7,4,214,2,57,0,1,8,4,20,0,1
37,TIMIŞ,"CĂMINUL CULTURAL IERŞNIC",495,"OHABA LUNGĂ",157969,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:08:09",114,114,0,121,90,0,31,200,79,112,9,1,4,1,0,2,1,74,0,19,0,0,2,2,6,0,0
37,TIMIŞ,"CĂMINUL CULTURAL JDIOARA",369,CRICIOVA,156534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:52:38",434,434,0,365,328,0,37,600,235,350,15,2,13,0,5,7,4,187,0,118,0,0,2,1,8,2,1
37,TIMIŞ,"CĂMINUL CULTURAL JENA",404,GAVOJDIA,157031,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:19:48",409,409,0,256,242,0,14,600,344,256,0,1,18,1,1,6,2,151,2,40,0,2,2,5,21,0,4
37,TIMIŞ,"CĂMINUL CULTURAL JUREŞTI",313,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:42:34",176,176,0,130,123,0,7,200,70,114,16,2,9,2,0,3,4,71,0,14,0,0,0,1,8,0,0
37,TIMIŞ,"CĂMINUL CULTURAL LĂPUŞNIC",308,BARA,155662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:17:25",54,54,0,94,43,0,51,100,6,92,2,1,16,1,1,2,6,18,0,9,0,0,4,0,32,0,2
37,TIMIŞ,"CĂMINUL CULTURAL LENAUHEIM",451,LENAUHEIM,157451,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:03:27",1552,1552,0,741,710,0,31,1700,959,676,65,10,44,4,5,22,6,256,1,129,0,1,7,5,179,6,1
37,TIMIŞ,"CĂMINUL CULTURAL LIEBLING",454,LIEBLING,157497,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:41:55",1516,1516,0,741,730,0,11,1700,959,694,47,10,43,5,8,19,5,257,1,216,10,2,16,7,71,11,13
37,TIMIŞ,"CĂMINUL CULTURAL LUNCANII DE JOS",583,TOMEŞTI,158895,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:24:59",262,262,0,214,203,0,11,300,86,203,11,3,5,0,2,0,0,140,0,37,0,0,1,5,7,3,0
37,TIMIŞ,"CĂMINUL CULTURAL MĂGURI",238,"MUNICIPIUL LUGOJ",155350,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:32:34",776,776,0,202,195,0,7,1100,898,183,19,1,8,0,7,4,4,84,0,42,2,1,0,2,22,0,6
37,TIMIŞ,"CĂMINUL CULTURAL MÂNĂSTIRE",333,BIRDA,159366,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:22:48",170,170,0,103,91,0,12,200,98,98,4,0,4,0,1,2,0,80,0,7,0,0,3,0,0,0,1
37,TIMIŞ,"CĂMINUL CULTURAL MARGINA",462,MARGINA,157585,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:10:06",941,941,0,541,530,0,11,1100,559,520,21,2,34,2,4,4,8,295,4,104,10,0,7,6,29,6,5
37,TIMIŞ,"CĂMINUL CULTURAL NEVRINCEA",328,BETHAUSEN,155840,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:14:44",193,193,0,122,113,0,9,300,178,109,13,0,10,0,3,1,0,39,1,20,2,0,2,12,17,0,2
37,TIMIŞ,"CĂMINUL CULTURAL NIȚCHIDORF",490,NIŢCHIDORF,157923,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:23:57",1102,1102,0,632,584,0,48,1200,568,599,33,6,21,1,3,10,6,354,2,58,6,0,7,18,88,17,2
37,TIMIŞ,"CAMINUL CULTURAL NR. 673, SARAVALE",539,SARAVALE,159455,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:52:15",860,860,0,566,534,0,32,900,336,509,55,0,40,5,9,13,12,223,2,65,6,0,6,24,89,10,5
37,TIMIŞ,"CĂMINUL CULTURAL OHABA LUNGĂ",493,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:39:58",307,307,0,257,231,0,26,409,152,235,22,2,23,0,3,0,0,96,0,22,1,0,0,15,63,8,2
37,TIMIŞ,"CĂMINUL CULTURAL OHABA ROMÂNĂ",496,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:49:04",167,167,0,152,135,0,17,200,48,140,12,0,12,0,0,1,0,66,0,11,0,0,1,5,41,3,0
37,TIMIŞ,"CĂMINUL CULTURAL OLOŞAG",574,ŞTIUCA,158804,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:54:36",307,307,0,191,180,0,11,400,209,183,8,0,6,1,1,3,5,83,0,63,1,0,7,0,8,4,1
37,TIMIŞ,"CĂMINUL CULTURAL OPATIŢA",255,"ORAŞ DETA",155458,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:29:10",573,573,0,315,304,0,11,700,385,293,22,3,14,0,2,10,3,158,2,73,0,2,3,7,6,9,1
37,TIMIŞ,"CĂMINUL CULTURAL PĂDURENI",612,"VICTOR VLAD DELAMARINA",159259,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:36:57",130,130,0,82,69,0,13,200,118,76,6,0,8,0,2,5,0,41,0,7,1,0,0,2,9,0,1
37,TIMIŞ,"CĂMINUL CULTURAL PANIOVA",414,GHIZELA,157193,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:30",200,200,0,223,152,0,71,300,77,187,36,2,12,0,5,3,2,118,0,16,5,0,6,3,15,0,0
37,TIMIŞ,"CĂMINUL CULTURAL PARŢA",504,PARŢA,159437,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:24:26",2113,2113,0,1381,1317,0,64,2200,819,1377,4,41,55,4,21,34,13,779,1,206,8,5,37,11,118,35,9
37,TIMIŞ,"CĂMINUL CULTURAL PĂRU",364,COŞTEIU,156473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:19:11",207,207,0,132,124,0,8,300,168,128,4,2,14,0,5,0,0,70,0,28,1,0,1,1,5,1,0
37,TIMIŞ,"CĂMINUL CULTURAL PECIU NOU",507,"PECIU NOU",158065,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:05:11",1590,1590,0,821,806,0,15,1600,779,797,24,19,44,5,16,21,3,385,5,163,8,7,22,4,79,15,1
37,TIMIŞ,"CĂMINUL CULTURAL PERCOSOVA",272,"ORAŞ GĂTAIA",157086,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:45:59",233,233,0,141,121,0,20,300,159,130,11,1,11,0,1,1,2,84,1,19,2,0,0,0,5,2,1
37,TIMIŞ,"CĂMINUL CULTURAL POGĂNEŞTI",314,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:37",270,270,0,177,169,0,8,300,123,161,16,1,20,2,4,9,4,75,0,39,0,0,0,1,2,0,4
37,TIMIŞ,"CĂMINUL CULTURAL POVÂRGINA",266,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:41:24",122,122,0,78,69,0,9,200,122,72,6,2,9,0,4,0,0,41,0,14,1,0,0,1,0,0,0
