precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
9,BRĂILA,"CĂMINUL CULTURAL SCORȚARU VECHI",259,"TUDOR VLADIMIRESCU",44257,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:01:40",733,732,1,455,444,0,11,800,345,419,36,1,0,0,85,257,17,4,40,3,0,0,1,0,6,4,1
9,BRĂILA,"CĂMINUL CULTURAL SILIȘTEA",233,SILIŞTEA,43992,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:57:21",594,594,0,325,318,0,7,650,325,306,19,1,0,2,8,203,23,4,52,0,6,0,3,1,2,1,0
9,BRĂILA,"CĂMINUL CULTURAL SPIRU HARET",165,"BERTEŞTII DE JOS",42842,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:19:33",1183,1183,0,593,575,0,18,1300,707,536,57,1,2,5,11,375,29,3,93,3,1,1,1,3,2,5,1
9,BRĂILA,"CĂMINUL CULTURAL SURDILA GĂISEANCA",241,SURDILA-GĂISEANCA,44113,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:48:55",1261,1261,0,922,901,0,21,1400,478,862,60,0,4,3,12,606,53,10,141,10,9,0,2,1,5,6,0
9,BRĂILA,"CĂMINUL CULTURAL ŞUŢEŞTI",246,ŞUŢEŞTI,44140,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:04:22",1042,1042,0,668,606,0,62,1200,532,638,30,0,2,2,14,509,31,1,54,5,2,3,0,4,2,3,6
9,BRĂILA,"CAMINUL CULTURAL ULMU",264,ULMU,44328,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:58",1137,1137,0,782,754,0,28,1250,468,732,50,0,5,10,8,596,16,10,56,13,8,0,4,1,0,2,3
9,BRĂILA,"CĂMINUL CULTURAL ZĂVOAIA",283,ZĂVOAIA,44532,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:19:17",860,860,0,565,554,0,11,950,385,516,49,0,0,4,6,402,22,5,61,3,5,3,0,0,3,2,0
9,BRĂILA,"CASA CORPULUI DIDACTIC",86,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:02:59",1080,1080,0,392,383,0,9,1200,808,380,12,1,2,5,38,170,45,11,57,1,12,3,8,12,8,4,3
9,BRĂILA,"CASA DE CULTURĂ FĂUREI, SALA MICĂ",141,"ORAŞ FĂUREI",42753,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:38:41",1318,1318,0,895,849,0,46,1420,525,830,65,6,6,7,25,565,37,14,108,3,22,2,10,13,5,7,0
9,BRĂILA,"CASA DE CULTURĂ ”ION THEODORESCU SION”",146,"ORAŞ IANCA",43331,5,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:19:52",1155,1155,0,605,589,0,16,1250,645,590,15,1,3,0,14,415,35,11,71,0,15,1,7,9,3,3,2
9,BRĂILA,"CASA DE CULTURĂ ROȘIORI",224,ROŞIORI,43812,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:09:15",1156,1156,0,640,624,0,16,1300,660,580,60,1,5,3,16,394,17,2,124,0,2,1,3,4,5,3,0
9,BRĂILA,"CENTRU DE INFORMARE",174,CHISCANI,42708,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:09:32",987,987,0,452,436,0,16,1115,663,433,19,1,1,0,44,212,44,8,89,0,12,1,4,3,6,4,4
9,BRĂILA,"CENTRU EDUCATIONAL VIZIRU",279,VIZIRU,44505,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:06:35",1665,1665,0,1007,985,0,22,1800,793,882,125,2,1,4,10,590,71,6,172,5,1,2,0,6,0,11,1
9,BRĂILA,"CLĂDIRE SALA SPORT BORDEI VERDE",166,"BORDEI VERDE",42913,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:18:40",1072,1072,0,723,685,0,38,1200,477,691,32,3,1,3,20,535,36,6,65,7,5,2,1,1,0,6,0
9,BRĂILA,"COLEGIUL ECONOMIC „ION GHICA”",84,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:46:24",1077,1077,0,431,419,0,12,1200,769,418,13,2,5,2,53,215,24,14,54,1,4,4,11,18,8,1,2
9,BRĂILA,"COLEGIUL ECONOMIC „ION GHICA”",85,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:00:19",1293,1293,0,496,481,0,15,1450,954,480,16,4,2,0,40,235,46,11,81,9,14,5,9,10,4,9,1
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",38,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:42:58",1345,1345,0,463,455,0,8,1501,1038,441,22,5,4,2,17,257,46,10,55,0,4,5,16,4,8,5,3
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",36,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:36:07",1004,1004,0,433,423,0,10,1100,667,412,21,8,5,2,43,215,33,6,43,2,12,3,14,16,4,2,4
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",37,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:15:04",1333,1333,0,578,570,0,8,1500,922,562,16,6,5,3,30,326,29,15,85,2,18,0,18,10,5,5,5
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",34,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:31:47",824,824,0,242,234,0,8,900,658,233,9,0,1,4,13,124,28,3,33,2,5,3,5,3,4,5,0
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",35,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:41:06",1199,1199,0,441,436,0,5,1300,859,419,22,2,3,3,29,255,33,11,45,1,7,0,19,7,1,1,2
9,BRĂILA,"COLEGIUL NAȚIONAL „GHEORGHE MUNTEANU MURGOCI”",56,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:40:41",1095,1095,0,496,482,0,14,1200,704,478,18,4,1,5,52,272,15,4,60,2,14,1,13,18,10,4,3
9,BRĂILA,"COLEGIUL NAȚIONAL „GHEORGHE MUNTEANU MURGOCI”",57,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:24:36",1150,1150,0,469,464,0,5,1250,781,455,14,2,7,4,47,215,32,8,67,7,15,3,21,23,2,2,0
9,BRĂILA,"COLEGIUL NAŢIONAL „NICOLAE BĂLCESCU”",63,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:31:38",1238,1238,0,468,458,0,10,1400,932,450,18,1,4,5,39,226,40,5,81,2,6,4,11,18,5,0,3
9,BRĂILA,"COLEGIUL NAȚIONAL PEDAGOGIC „DUMITRU PANAITESCU PERPESSICIUS”",93,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:34:18",1107,1107,0,469,463,0,6,1250,781,453,16,3,5,2,32,296,19,13,37,2,15,4,8,8,4,5,0
9,BRĂILA,"COLEGIUL NAȚIONAL PEDAGOGIC „DUMITRU PANAITESCU PERPESSICIUS”",94,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:57:45",1078,1078,0,419,411,0,8,1200,781,404,15,3,0,4,30,236,26,7,56,0,8,3,15,10,1,3,2
9,BRĂILA,"COLEGIUL TEHNIC „EDMOND NICOLAU”",40,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:45:25",1292,1292,0,543,534,0,9,1400,857,528,15,5,3,4,34,293,46,22,51,7,17,8,17,14,3,1,3
9,BRĂILA,"COLEGIUL TEHNIC „EDMOND NICOLAU”",39,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:35:21",1370,1370,0,533,511,0,22,1500,967,522,11,1,2,4,34,311,30,6,75,5,15,7,9,14,3,2,4
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",70,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:22",774,774,0,324,311,0,13,800,476,315,9,5,2,4,13,170,23,12,42,7,10,3,9,4,4,3,4
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",69,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:37:33",1232,1232,0,494,479,0,15,1350,856,484,10,2,7,3,43,254,26,8,70,4,22,1,21,21,0,2,0
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",71,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:41:17",1191,1191,0,465,452,0,13,1300,835,444,21,3,4,2,42,236,36,11,63,1,10,3,15,10,3,4,1
9,BRĂILA,"COMPANIA DE UTILITĂȚI PUBLICE „DUNĂREA” SA BRĂILA",41,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:58:03",1395,1395,0,538,523,0,15,1500,962,524,14,1,4,4,41,278,48,13,76,1,10,5,15,13,2,12,1
9,BRĂILA,"CORP ANEXA PARTER",169,CAZASU,44560,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:57:26",1484,1484,0,793,781,0,12,1600,807,770,23,1,1,2,37,410,72,19,144,3,10,4,20,21,22,3,1
9,BRĂILA,"FOSTA ŞCOALA GENERALĂ NR.2 FĂUREI, SALA NR.1",143,"ORAŞ FĂUREI",42753,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:36:53",518,518,0,342,322,0,20,490,148,317,25,0,1,1,8,218,11,8,49,2,7,1,2,5,4,0,0
9,BRĂILA,"FOSTA ȘCOALA GIMNAZIALA FILIPESTI",242,SURDILA-GĂISEANCA,44113,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:10:12",620,620,0,431,418,0,13,732,301,402,29,4,0,2,6,313,23,7,31,5,1,1,4,1,1,2,1
9,BRĂILA,"GRĂDINIȚA 25 LOCURI",249,ŞUŢEŞTI,44140,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:09:51",285,285,0,178,155,0,23,300,122,161,17,1,0,1,1,132,10,1,14,0,0,0,0,0,1,0,0
9,BRĂILA,"GRADINITA CU PROGRAM NORMAL",159,"ORAŞ ÎNSURĂŢEI",43411,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:35:55",347,347,0,193,182,0,11,400,207,179,14,0,1,1,8,140,6,0,20,0,1,0,0,0,0,2,0
9,BRĂILA,"GRĂDINIŢA CU PROGRAM NORMAL COTU-LUNG",235,SILIŞTEA,43992,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:56:26",272,272,0,175,164,0,11,300,125,165,10,2,1,0,2,128,9,1,14,2,3,1,0,0,1,0,1
9,BRĂILA,"GRĂDINIŢA CU PROGRAM NORMAL GULIANCA",229,"SALCIA TUDOR",43867,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:26:22",306,306,0,187,182,0,5,350,163,176,11,1,0,1,24,98,4,2,40,2,1,0,0,2,0,1,0
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL SIHLEANU",232,"SCORŢARU NOU",43929,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 18:40:09",365,365,0,253,243,0,10,404,151,227,26,2,1,0,0,143,1,1,29,0,9,0,2,2,3,9,25
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",46,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:51:26",760,760,0,382,348,0,34,800,418,375,7,3,2,3,34,210,20,6,44,1,7,2,10,20,7,1,5
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",45,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:47:21",1237,1237,0,550,537,0,13,1400,850,535,15,1,3,3,58,283,29,11,82,2,13,3,13,13,12,3,6
9,BRĂILA,"GRĂDINIŢA NR. 11 „BRÂNDUȘA”",33,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:23:00",1364,1364,0,510,501,0,9,1500,990,491,19,4,5,10,30,293,33,12,66,0,5,5,10,7,5,4,2
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",10,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 12:06:36",1504,1504,0,618,611,0,7,1600,982,595,23,2,6,5,47,338,40,11,84,1,11,3,14,18,8,1,6
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",9,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:33:47",1586,1586,0,631,618,0,13,1750,1119,603,28,6,1,2,43,326,56,19,90,3,15,4,12,9,5,11,1
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",74,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:15:57",1194,1194,0,446,433,0,13,1300,854,424,22,3,4,7,23,236,36,8,74,0,9,3,7,4,6,4,0
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",75,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:48:40",932,932,0,333,324,0,9,1050,717,325,8,3,2,1,11,192,28,5,51,2,4,5,6,7,2,5,1
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",76,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:41:21",1243,1243,0,443,436,0,7,1350,907,428,15,7,1,2,18,235,33,13,65,5,14,3,17,8,3,3,1
9,BRĂILA,"GRĂDINIŢA NR. 36 „FURNICUŢA”",92,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:27:11",1230,1230,0,503,496,0,7,1350,847,480,23,4,3,3,25,307,29,10,51,1,15,3,7,14,3,5,0
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",95,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:54:03",1059,1059,0,523,450,0,73,1150,675,459,16,2,1,4,39,262,35,6,47,8,15,4,7,12,9,3,5
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",97,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:46:41",1112,1112,0,490,480,0,10,1250,760,453,37,1,2,4,36,281,22,12,63,2,6,4,13,0,5,2,0
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",96,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:49:37",1542,1542,0,606,593,0,13,1700,1094,577,29,2,3,2,56,291,38,12,81,6,23,5,14,18,12,9,5
9,BRĂILA,"GRĂDINIŢA NR. 38 „IZVORAȘUL”",29,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:34:29",1273,1273,0,558,546,0,12,1400,842,536,22,4,8,8,35,302,34,10,72,5,22,5,10,10,2,8,1
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",21,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:47:44",1026,1026,0,408,398,0,10,1200,792,387,21,4,5,2,26,206,20,10,68,2,10,2,7,6,12,6,1
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",23,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:29:24",1000,1000,0,359,351,0,8,1100,741,349,10,1,3,0,24,208,31,12,38,2,10,3,9,4,3,1,0
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",20,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 12:17:08",1142,1142,0,445,438,0,7,1200,755,436,9,7,4,0,30,251,29,8,57,3,11,3,10,6,6,8,3
