precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA AUR-voturi"
1,ALBA,"CĂMINUL CULTURAL ALMAȘU MARE - SUSENI",190,"ALMAŞU MARE",2309,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:25:39",203,203,0,153,142,0,11,223,70,141,12,1,1,12,0,1,1,1,1,0,11,4,79,1,0,3,25
1,ALBA,"CĂMINUL CULTURAL AVRAM IANCU",198,"AVRAM IANCU",2577,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:29:02",556,556,0,408,363,0,45,620,212,384,24,5,5,16,3,2,3,2,0,4,22,5,194,6,0,3,114
1,ALBA,"CĂMINUL CULTURAL BALOMIR",402,ŞIBOT,7810,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:07:44",486,486,0,309,285,0,24,530,221,297,12,3,4,8,1,1,3,2,1,3,9,5,191,1,4,3,58
1,ALBA,"CĂMINUL CULTURAL BOZ",247,DOŞTAT,4268,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:45:55",393,393,0,270,256,0,14,440,170,255,15,0,2,7,1,1,2,3,0,0,11,3,197,2,0,2,24
1,ALBA,"CĂMINUL CULTURAL BUCERDEA GRÂNOASĂ",212,"BUCERDEA GRÂNOASĂ",9026,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:58:58",1048,1048,0,763,730,0,33,1200,437,720,43,2,2,13,3,0,1,5,0,3,17,7,224,18,163,6,256
1,ALBA,"CĂMINUL CULTURAL CĂPÎLNA DE JOS",289,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:40:56",635,635,0,415,379,0,36,677,262,395,20,3,1,3,2,1,5,4,0,2,19,5,247,7,2,2,92
1,ALBA,"CĂMINUL CULTURAL CIOARA DE SUS",121,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:33:07",184,184,0,116,101,0,15,210,94,115,1,0,0,2,0,0,0,1,1,0,2,0,35,0,0,2,72
1,ALBA,"CĂMINUL CULTURAL CIUGUDU DE JOS",420,UNIREA,8158,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:41:48",267,267,0,165,156,0,9,301,136,152,13,1,6,5,1,0,8,1,1,2,7,1,98,1,3,4,13
1,ALBA,"CĂMINUL CULTURAL ”EUGEN CURTA” GALTIU",386,SÂNTIMBRU,7384,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:04:20",393,393,0,245,231,0,14,431,186,231,14,1,3,11,1,0,6,4,0,0,11,7,112,6,2,2,65
1,ALBA,"CĂMINUL CULTURAL FEISA",290,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:21:17",597,597,0,403,380,0,23,639,236,379,24,6,0,1,1,0,6,2,0,0,16,1,282,11,1,6,46
1,ALBA,"CĂMINUL CULTURAL GĂBUD",328,NOŞLAC,6048,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:41:47",233,233,0,123,113,0,10,245,122,112,11,0,1,4,0,1,2,0,0,0,2,0,75,1,6,1,19
1,ALBA,"CĂMINUL CULTURAL GALDA DE JOS",253,"GALDA DE JOS",4366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:48:13",1556,1556,0,1032,1003,0,29,1750,718,981,51,5,5,219,2,4,14,5,2,5,53,19,413,36,13,13,173
1,ALBA,"CAMINUL CULTURAL GEOGEL",344,PONOR,6397,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:18:56",181,181,0,167,121,0,46,235,68,153,14,3,2,2,0,0,2,2,2,1,5,2,93,1,2,3,33
1,ALBA,"CĂMINUL CULTURAL GEOMAL",400,STREMŢ,7767,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:14:26",230,230,0,183,158,0,25,250,67,171,12,1,0,2,1,0,0,1,0,0,9,0,123,3,2,2,27
1,ALBA,"CĂMINUL CULTURAL INOC",423,UNIREA,8158,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:40:00",158,158,0,90,80,0,10,180,90,86,3,3,2,5,0,0,2,1,0,0,8,0,40,2,1,1,21
1,ALBA,"CĂMINUL CULTURAL INURI",437,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:42:18",142,141,1,76,65,1,10,148,72,71,5,3,0,2,0,0,4,0,0,0,0,0,40,2,2,2,16
1,ALBA,"CĂMINUL CULTURAL JIDVEI",287,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:47:48",1112,1112,0,597,594,0,3,1154,557,566,31,1,5,15,5,1,11,0,0,3,11,10,383,10,15,7,89
1,ALBA,"CĂMINUL CULTURAL LUNCA AMPOIȚEI",311,METEŞ,5577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:56:31",195,195,0,132,128,0,4,230,98,120,12,6,0,4,0,0,1,2,0,0,5,0,71,4,1,0,26
1,ALBA,"CĂMINUL CULTURAL LUPȘA",305,LUPŞA,5336,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:34:17",619,619,0,493,476,0,17,710,217,474,19,0,6,14,0,3,3,0,1,3,24,2,296,10,5,5,102
1,ALBA,"CĂMINUL CULTURAL MĂHĂCENI",424,UNIREA,8158,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:08:01",200,200,0,122,100,0,22,226,104,113,9,0,1,3,0,0,1,1,0,0,10,0,80,0,1,2,14
1,ALBA,"CĂMINUL CULTURAL MERETEU",438,"VINŢU DE JOS",8826,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:41:33",180,180,0,122,113,0,9,189,67,121,1,0,0,1,0,0,3,2,0,1,6,0,77,3,0,1,27
1,ALBA,"CĂMINUL CULTURAL MUNCELU",122,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:01",279,279,0,182,175,0,7,300,118,178,4,1,0,10,1,0,1,0,1,0,9,3,82,2,3,1,64
1,ALBA,"CĂMINUL CULTURAL NECRILEȘTI",286,ÎNTREGALDE,4981,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:26:41",145,142,3,101,93,3,5,175,74,90,11,0,1,2,1,0,0,0,0,0,3,0,74,0,0,0,9
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:34:54",1279,1279,0,617,608,0,9,1400,783,597,20,1,4,39,7,5,24,5,2,7,28,15,286,20,7,8,139
1,ALBA,"CĂMINUL CULTURAL OIEJDEA",258,"GALDA DE JOS",4366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:08:28",660,660,0,431,417,0,14,750,319,402,29,2,0,67,1,2,5,2,0,2,15,1,125,5,118,13,44
1,ALBA,"CĂMINUL CULTURAL PĂGIDA",70,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:19:46",90,90,0,55,46,0,9,101,46,54,1,2,0,3,0,0,1,1,0,0,2,0,28,2,2,2,11
1,ALBA,"CĂMINUL CULTURAL POIANA AMPOIULUI",312,METEŞ,5577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:36:01",203,202,1,138,127,0,11,239,101,126,12,4,3,2,1,0,0,0,0,1,7,1,83,0,1,1,22
1,ALBA,"CĂMINUL CULTURAL PRESACA AMPOIULUI",313,METEŞ,5577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:58:28",284,277,7,222,209,7,6,270,48,211,11,1,4,6,0,0,4,2,0,0,7,2,115,0,1,0,69
1,ALBA,"CĂMINUL CULTURAL RĂZBOIENI-CETATE",165,"ORAŞ OCNA MUREŞ",1794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:30:26",1028,1028,0,459,452,0,7,1200,741,435,24,0,4,84,4,2,7,8,1,2,28,11,189,4,10,10,71
1,ALBA,"CĂMINUL CULTURAL SÂNCEL",379,SÂNCEL,7348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:32:45",1308,1308,0,823,810,0,13,1413,590,769,54,2,9,26,0,3,7,4,2,2,22,15,480,12,0,8,177
1,ALBA,"CĂMINUL CULTURAL SÂNTIMBRU",383,SÂNTIMBRU,7384,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:18:04",459,459,0,248,235,0,13,505,257,233,15,1,2,3,2,1,3,0,0,0,17,1,135,2,9,3,54
1,ALBA,"CĂMINUL CULTURAL SARTĂŞ",123,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:33:46",291,291,0,133,131,0,2,320,187,132,1,0,0,7,1,0,2,0,0,1,5,2,45,6,0,3,60
1,ALBA,"CĂMINUL CULTURAL SCĂRIȘOARA",388,SCĂRIŞOARA,7197,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:43:13",537,537,0,439,416,0,23,598,159,406,33,5,4,9,0,2,3,2,2,2,19,5,272,4,1,6,70
1,ALBA,"CĂMINUL CULTURAL SOHODOL",394,SOHODOL,7446,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:52:30",750,750,0,441,432,0,9,825,384,411,30,2,7,6,4,2,2,0,1,8,21,7,242,6,0,4,99
1,ALBA,"CĂMINUL CULTURAL STÂNA DE MUREȘ",329,NOŞLAC,6048,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:54:31",300,293,7,180,160,7,13,315,135,171,9,0,1,7,0,0,0,1,0,2,4,3,74,1,55,1,22
1,ALBA,"CĂMINUL CULTURAL VADU MOȚILOR",425,"VADU MOŢILOR",8229,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:41:04",1040,1040,0,882,772,0,110,1200,318,848,34,1,9,14,2,4,1,5,1,7,33,5,540,17,5,16,188
1,ALBA,"CĂMINUL CULTURAL VESEUŞ",291,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:33:31",736,736,0,494,449,0,45,775,281,356,138,3,4,3,1,3,1,2,1,2,5,0,300,0,14,1,16
1,ALBA,"CĂMINUL CULTURAL VINŢU DE JOS",434,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:22:19",1068,1068,0,660,637,0,23,1271,611,642,18,14,12,30,5,4,6,6,2,3,44,14,285,24,15,27,151
1,ALBA,"CĂMINUL CULTURAL VURPĂR",440,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:45:15",861,861,0,545,528,0,17,904,359,528,17,9,3,21,1,5,11,0,0,0,30,14,207,10,4,4,209
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:33:25",1243,1232,11,672,617,0,55,1400,728,654,18,4,2,85,9,2,27,3,5,3,23,43,292,18,15,27,96
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:20",744,744,0,309,272,0,37,800,491,303,6,5,2,29,3,1,11,2,1,4,18,26,106,22,11,3,59
1,ALBA,"CASA DE CULTURĂ ”ION SÂNGEREANU”",157,"ORAŞ OCNA MUREŞ",1794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:18:01",1182,1182,0,572,543,0,29,1302,730,543,29,3,4,37,2,2,9,0,0,1,10,18,312,13,39,14,79
1,ALBA,"CASA DE CULTURĂ TEIUŞ",166,"ORAŞ TEIUŞ",8096,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:37:57",1514,1514,0,820,802,0,18,1675,855,797,23,9,5,26,3,0,20,9,4,2,41,8,413,17,26,15,199
1,ALBA,"CASĂ PARTICULARĂ",428,"VALEA LUNGĂ",8354,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:32:24",163,163,0,125,116,0,9,170,45,121,4,4,1,0,0,0,7,2,0,0,1,2,64,3,1,0,36
1,ALBA,"CENTRU DE ZI PERSOANE VĂRSTNICE",385,SÂNTIMBRU,7384,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:39:37",71,71,0,52,45,0,7,76,24,51,1,1,0,4,1,0,1,0,0,0,2,2,35,0,0,0,5
1,ALBA,"CENTRUL CULTURAL ”IACOB MUREŞIANU’’",81,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:11:08",782,782,0,442,418,0,24,800,358,437,5,4,3,43,1,3,9,1,3,1,14,12,243,14,25,13,48
1,ALBA,"CENTRUL CULTURAL ”VALENTIN URITESCU” AL ORAŞULUI CUGIR",145,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:12:55",1267,1266,1,565,549,0,16,1300,735,536,29,2,3,57,2,1,12,1,1,2,10,11,299,25,8,15,87
1,ALBA,"CENTRUL DE INFORMARE TURISTICĂ",324,MOGOŞ,5826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:45:48",478,478,0,322,276,0,46,530,208,302,20,3,3,4,2,0,4,0,1,2,13,2,221,3,3,3,38
1,ALBA,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",1,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:33:36",1747,1747,0,891,869,0,22,1998,1107,857,34,9,2,79,8,6,22,5,9,7,34,44,374,30,18,30,180
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ COLIBI (FOSTA ŞCOALĂ GENERALĂ)",335,OHABA,6164,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:37:33",20,20,0,16,11,0,5,37,21,12,4,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,4
