precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","GHEORGHE VLAD-DAN-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi"
37,TIMIŞ,"CĂMIN CULTURAL RUDNA",439,GIULVĂZ,157317,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:50:56",584,584,0,264,248,0,16,600,336,239,25,3,8,0,107,53,4,1,0,1,53,4,0,1,2,2,0
37,TIMIŞ,"CAMIN CULTURAL UNIP",537,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:20:22",195,195,0,143,121,0,22,200,57,135,8,1,5,4,59,4,0,0,1,0,43,2,3,5,6,1,1
37,TIMIŞ,"CĂMINUL CULTURAL ALIOȘ",468,MAŞLOC,157683,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:56:25",681,681,0,516,476,0,40,700,184,477,39,7,19,4,259,27,1,0,1,2,131,4,2,14,2,1,3
37,TIMIŞ,"CĂMINUL CULTURAL BALINŢ",298,BALINŢ,155546,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:28",394,394,0,237,209,0,28,504,267,227,10,8,38,2,69,26,13,1,2,1,42,5,4,3,3,4,6
37,TIMIŞ,"CĂMINUL CULTURAL BALOȘEȘTI",581,TOMEŞTI,158895,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:01:25",112,112,0,91,87,0,4,200,109,87,4,3,1,1,49,3,0,0,0,0,29,1,0,0,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BÂRNA",310,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:38:29",414,414,0,286,274,0,12,700,414,257,29,1,4,1,157,18,0,2,2,0,55,3,6,5,2,0,1
37,TIMIŞ,"CĂMINUL CULTURAL BAZOŞU NOU",345,BUCOVĂŢ,159516,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:25:54",515,515,0,384,354,0,30,800,416,383,1,12,48,12,187,19,6,2,0,2,63,7,5,4,11,1,4
37,TIMIŞ,"CĂMINUL CULTURAL BERECUŢA",332,BIRDA,159366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:53:46",163,163,0,93,89,0,4,300,207,92,1,2,1,0,61,6,2,0,0,0,16,2,0,2,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",548,SĂCĂLAZ,158564,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:21:01",1039,1039,0,669,611,0,58,1100,431,646,23,22,42,14,310,34,7,2,6,1,163,12,4,9,13,1,6
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",549,SĂCĂLAZ,158564,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:48:16",1062,1062,0,668,618,0,50,1100,432,640,28,8,39,15,287,33,10,2,1,3,202,9,3,5,16,3,4
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MIC",550,SĂCĂLAZ,158564,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:50:11",782,782,0,444,423,0,21,900,456,426,18,9,19,8,223,28,5,3,1,0,102,6,2,5,14,0,1
37,TIMIŞ,"CĂMINUL CULTURAL BICHIGI",261,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:10:27",511,511,0,316,308,0,8,600,284,294,22,3,8,5,146,14,5,1,0,2,91,3,4,4,5,0,3
37,TIMIŞ,"CAMINUL CULTURAL BILED",329,BILED,155911,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:24:43",1930,1930,0,1052,1022,0,30,2200,1148,978,74,29,94,20,447,55,10,2,10,6,155,11,103,3,25,2,6
37,TIMIŞ,"CĂMINUL CULTURAL BOTINEŞTI",311,BÂRNA,155957,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:05:40",145,145,0,120,108,0,12,200,80,95,25,0,3,1,65,4,1,1,1,0,13,0,3,2,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BRĂNEŞTI",262,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:50:32",398,398,0,260,257,0,3,400,140,247,13,0,1,1,177,6,3,0,0,0,50,1,4,0,2,2,0
37,TIMIŞ,"CĂMINUL CULTURAL BREAZOVA",463,MARGINA,157585,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:44:07",207,207,0,142,133,0,9,304,162,137,5,2,9,5,54,11,0,1,2,0,40,0,6,4,3,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BUCOVĂŢ",344,BUCOVĂŢ,159516,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:56:06",1785,1785,0,1246,1157,0,89,2000,754,1203,43,61,274,22,450,30,15,5,9,2,180,19,62,15,45,4,10
37,TIMIŞ,"CĂMINUL CULTURAL BULGĂRUŞ",452,LENAUHEIM,157451,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:10:07",1806,1806,0,765,752,0,13,1900,1135,700,65,11,122,21,239,67,7,5,0,0,180,4,9,18,14,1,2
37,TIMIŞ,"CĂMINUL CULTURAL CADAR",593,TORMAC,159035,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:50:18",223,223,0,132,116,0,16,300,168,121,9,3,7,1,66,8,9,0,0,0,21,0,2,3,0,0,1
37,TIMIŞ,"CĂMINUL CULTURAL CARANI",554,SÂNANDREI,158653,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:58:38",1712,1712,0,825,795,0,30,1800,975,792,33,30,62,26,256,42,7,4,4,5,234,26,50,12,29,1,4
37,TIMIŞ,"CĂMINUL CULTURAL CĂRPINIŞ",347,CĂRPINIŞ,156213,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:38:45",1757,1757,0,708,693,0,15,2000,1292,675,33,10,63,15,360,40,17,1,5,6,118,11,2,7,14,3,3
37,TIMIŞ,"CĂMINUL CULTURAL CHECEA",353,CHECEA,159375,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:15:01",1749,1749,0,863,845,0,18,2100,1237,809,54,2,24,30,492,41,15,4,0,3,172,11,4,5,5,0,1
37,TIMIŞ,"CĂMINUL CULTURAL CHEREŞTUR",316,"BEBA VECHE",155724,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:54:04",393,393,0,278,257,0,21,400,122,266,12,4,10,1,109,11,44,1,3,1,63,9,6,2,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL CIREŞU",368,CRICIOVA,156534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:59:09",278,278,0,218,197,0,21,400,182,213,5,4,3,1,121,20,6,1,2,0,49,2,0,2,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL CLICIOVA",325,BETHAUSEN,155840,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:10:36",343,343,0,227,214,0,13,418,191,210,17,0,21,4,75,22,2,0,2,0,65,2,7,6,4,0,0
37,TIMIŞ,"CĂMINUL CULTURAL COMLOŞU MARE",358,"COMLOŞU MARE",156437,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:04:10",1521,1521,0,714,702,0,12,1800,1086,650,64,11,10,8,427,49,8,1,3,2,99,5,5,8,9,1,4
37,TIMIŞ,"CĂMINUL CULTURAL COŞAVA",371,CURTEA,156589,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:21:28",468,468,0,392,351,0,41,600,208,372,20,12,5,0,250,26,2,2,2,0,56,8,3,0,5,0,1
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU",361,COŞTEIU,156473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:41:41",651,651,0,423,390,0,33,900,477,414,9,13,47,12,185,39,1,1,3,6,70,8,6,4,13,4,2
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU DE SUS",464,MARGINA,157585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:42:09",161,161,0,96,87,0,9,200,104,87,9,2,7,1,38,8,0,0,2,0,25,0,2,0,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL CRALOVĂŢ",588,"TOPOLOVĂŢU MARE",158966,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:52:03",88,88,0,57,38,0,19,102,45,56,1,1,7,2,14,4,1,3,1,0,18,1,0,0,3,1,0
37,TIMIŞ,"CĂMINUL CULTURAL CRICIOVA",367,CRICIOVA,156534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:06:21",610,610,0,506,470,0,36,900,394,480,26,4,12,8,274,12,5,2,1,0,139,4,2,2,10,3,2
37,TIMIŞ,"CĂMINUL CULTURAL CRIVOBARA",565,SECAŞ,158608,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:27:28",75,75,0,85,52,0,33,100,15,78,7,2,10,2,42,1,0,1,1,0,12,2,3,0,1,0,1
37,TIMIŞ,"CĂMINUL CULTURAL CURTEA",370,CURTEA,156589,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:40:27",549,549,0,431,418,0,13,700,269,402,29,4,73,3,176,24,7,3,1,0,93,6,8,1,1,0,2
37,TIMIŞ,"CĂMINUL CULTURAL DINIAȘ",508,"PECIU NOU",158065,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:12:47",961,961,0,541,530,0,11,1000,459,525,16,19,47,6,256,37,6,2,5,2,99,9,4,15,9,4,5
37,TIMIŞ,"CĂMINUL CULTURAL DRAGOMIREŞTI",573,ŞTIUCA,158804,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:04:39",329,329,0,173,167,0,6,400,227,170,3,5,1,4,65,14,2,1,0,0,74,2,0,0,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL DRĂGSINEŞTI",398,FÂRDEA,156927,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:05:39",385,385,0,332,312,0,20,500,168,318,14,0,5,6,207,15,3,0,1,0,66,2,2,6,4,1,0
37,TIMIŞ,"CĂMINUL CULTURAL DRINOVA",312,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:45:38",145,145,0,108,106,0,2,200,92,94,14,2,0,0,70,6,0,0,0,0,11,2,1,0,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL DUBEŞTI",494,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:17:02",190,190,0,151,147,0,4,200,49,136,15,2,31,4,38,8,5,1,2,0,33,0,5,3,2,1,1
37,TIMIŞ,"CĂMINUL CULTURAL FÂRDEA",397,FÂRDEA,156927,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:22",560,560,0,440,375,0,65,700,260,415,25,2,26,4,214,17,9,5,1,1,96,8,11,5,13,2,1
37,TIMIŞ,"CĂMINUL CULTURAL FIBIŞ",400,FIBIŞ,159393,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:47",1452,1452,0,1009,978,0,31,1508,499,956,53,13,87,17,454,73,21,12,5,2,169,25,6,25,40,3,4
37,TIMIŞ,"CĂMINUL CULTURAL GAD",408,GHILAD,159400,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:10:04",121,121,0,76,65,0,11,200,124,72,4,1,6,2,40,5,1,0,0,0,9,1,3,0,4,0,0
37,TIMIŞ,"CĂMINUL CULTURAL GĂVOJDIA",403,GAVOJDIA,157031,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:44:14",1104,1104,0,563,521,0,42,1300,737,526,37,4,30,6,323,40,3,2,0,1,75,14,5,7,13,1,2
37,TIMIŞ,"CĂMINUL CULTURAL GHERMAN",447,"JAMU MARE",157362,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:55:40",190,190,0,125,114,0,11,200,75,119,6,3,9,0,64,5,1,0,0,2,26,6,1,0,0,0,2
37,TIMIŞ,"CĂMINUL CULTURAL GHIRODA",411,GHIRODA,155289,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:13:42",1693,1693,0,960,930,0,30,1800,840,876,84,68,137,46,305,40,38,8,4,8,128,26,11,13,38,2,4
37,TIMIŞ,"CĂMINUL CULTURAL GIARMATA - VII",412,GHIRODA,155289,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:12:39",2001,2001,0,1124,1101,0,23,2100,976,1086,38,101,181,52,361,45,13,15,7,5,185,35,25,7,45,1,8
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",424,GIROC,155314,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:57:53",1692,1692,0,819,784,0,35,1800,981,793,26,66,141,42,278,27,13,6,7,3,134,20,5,5,34,3,9
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",423,GIROC,155314,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:21:24",1670,1670,0,919,846,0,73,1800,881,897,22,67,129,50,292,43,16,13,6,7,157,22,9,8,65,1,12
37,TIMIŞ,"CĂMINUL CULTURAL GLADNA ROMÂNĂ",399,FÂRDEA,156927,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:27:28",441,441,0,350,336,0,14,600,253,328,19,3,8,4,230,17,2,0,0,0,53,0,7,2,1,0,1
37,TIMIŞ,"CĂMINUL CULTURAL GRABAŢ",453,LENAUHEIM,157451,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:09:06",1715,1715,0,707,673,0,34,1800,1093,659,48,10,70,3,329,55,25,2,4,2,116,14,4,12,11,0,2
37,TIMIŞ,"CĂMINUL CULTURAL GROŞI",465,MARGINA,157585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:55:32",68,68,0,47,32,0,15,100,53,44,3,0,2,0,26,0,4,0,0,0,12,0,0,0,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL HERENDEŞTI",610,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:35:24",371,371,0,226,211,0,15,400,174,220,6,4,17,0,124,11,2,0,0,1,43,3,9,2,0,2,2
37,TIMIŞ,"CĂMINUL CULTURAL HONORICI",611,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:25",267,267,0,193,177,0,16,300,107,183,10,0,58,0,75,10,1,0,0,2,26,1,4,0,2,1,3
37,TIMIŞ,"CĂMINUL CULTURAL ICLODA",533,"SACOŞU TURCESC",158449,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:17:40",238,238,0,185,149,0,36,300,115,173,12,8,22,4,75,13,1,0,1,0,41,0,0,1,4,0,3
37,TIMIŞ,"CĂMINUL CULTURAL IECEA MICĂ",348,CĂRPINIŞ,156213,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:33:51",1006,1006,0,360,349,0,11,1100,740,345,15,1,20,0,214,20,5,1,0,1,57,8,4,4,7,2,1
37,TIMIŞ,"CĂMINUL CULTURAL IERŞNIC",495,"OHABA LUNGĂ",157969,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:08:09",114,114,0,121,90,0,31,200,79,112,9,1,6,0,74,4,0,1,0,0,19,2,2,1,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL JDIOARA",369,CRICIOVA,156534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:52:38",434,434,0,365,328,0,37,600,235,350,15,2,8,2,187,13,5,0,0,0,118,2,1,4,7,0,1
37,TIMIŞ,"CĂMINUL CULTURAL JENA",404,GAVOJDIA,157031,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:19:48",409,409,0,256,242,0,14,600,344,256,0,1,21,0,151,18,1,1,0,2,40,2,5,2,6,2,4
37,TIMIŞ,"CĂMINUL CULTURAL JUREŞTI",313,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:42:34",176,176,0,130,123,0,7,200,70,114,16,2,8,0,71,9,0,2,0,0,14,0,1,4,3,0,0
37,TIMIŞ,"CĂMINUL CULTURAL LĂPUŞNIC",308,BARA,155662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:17:25",54,54,0,94,43,0,51,100,6,92,2,1,32,0,18,16,1,1,0,0,9,4,0,6,2,0,2
37,TIMIŞ,"CĂMINUL CULTURAL LENAUHEIM",451,LENAUHEIM,157451,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:03:27",1552,1552,0,741,710,0,31,1700,959,676,65,10,179,6,256,44,5,4,0,1,129,7,5,6,22,1,1
37,TIMIŞ,"CĂMINUL CULTURAL LIEBLING",454,LIEBLING,157497,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:41:55",1516,1516,0,741,730,0,11,1700,959,694,47,10,71,11,257,43,8,5,10,2,216,16,7,5,19,1,13
37,TIMIŞ,"CĂMINUL CULTURAL LUNCANII DE JOS",583,TOMEŞTI,158895,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:24:59",262,262,0,214,203,0,11,300,86,203,11,3,7,3,140,5,2,0,0,0,37,1,5,0,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL MĂGURI",238,"MUNICIPIUL LUGOJ",155350,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:32:34",776,776,0,202,195,0,7,1100,898,183,19,1,22,0,84,8,7,0,2,1,42,0,2,4,4,0,6
37,TIMIŞ,"CĂMINUL CULTURAL MÂNĂSTIRE",333,BIRDA,159366,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:22:48",170,170,0,103,91,0,12,200,98,98,4,0,0,0,80,4,1,0,0,0,7,3,0,0,2,0,1
37,TIMIŞ,"CĂMINUL CULTURAL MARGINA",462,MARGINA,157585,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:10:06",941,941,0,541,530,0,11,1100,559,520,21,2,29,6,295,34,4,2,10,0,104,7,6,8,4,4,5
37,TIMIŞ,"CĂMINUL CULTURAL NEVRINCEA",328,BETHAUSEN,155840,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:14:44",193,193,0,122,113,0,9,300,178,109,13,0,17,0,39,10,3,0,2,0,20,2,12,0,1,1,2
37,TIMIŞ,"CĂMINUL CULTURAL NIȚCHIDORF",490,NIŢCHIDORF,157923,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:23:57",1102,1102,0,632,584,0,48,1200,568,599,33,6,88,17,354,21,3,1,6,0,58,7,18,6,10,2,2
37,TIMIŞ,"CAMINUL CULTURAL NR. 673, SARAVALE",539,SARAVALE,159455,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:52:15",860,860,0,566,534,0,32,900,336,509,55,0,89,10,223,40,9,5,6,0,65,6,24,12,13,2,5
37,TIMIŞ,"CĂMINUL CULTURAL OHABA LUNGĂ",493,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:39:58",307,307,0,257,231,0,26,409,152,235,22,2,63,8,96,23,3,0,1,0,22,0,15,0,0,0,2
37,TIMIŞ,"CĂMINUL CULTURAL OHABA ROMÂNĂ",496,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:49:04",167,167,0,152,135,0,17,200,48,140,12,0,41,3,66,12,0,0,0,0,11,1,5,0,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL OLOŞAG",574,ŞTIUCA,158804,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:54:36",307,307,0,191,180,0,11,400,209,183,8,0,8,4,83,6,1,1,1,0,63,7,0,5,3,0,1
37,TIMIŞ,"CĂMINUL CULTURAL OPATIŢA",255,"ORAŞ DETA",155458,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:29:10",573,573,0,315,304,0,11,700,385,293,22,3,6,9,158,14,2,0,0,2,73,3,7,3,10,2,1
37,TIMIŞ,"CĂMINUL CULTURAL PĂDURENI",612,"VICTOR VLAD DELAMARINA",159259,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:36:57",130,130,0,82,69,0,13,200,118,76,6,0,9,0,41,8,2,0,1,0,7,0,2,0,5,0,1
37,TIMIŞ,"CĂMINUL CULTURAL PANIOVA",414,GHIZELA,157193,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:30",200,200,0,223,152,0,71,300,77,187,36,2,15,0,118,12,5,0,5,0,16,6,3,2,3,0,0
37,TIMIŞ,"CĂMINUL CULTURAL PARŢA",504,PARŢA,159437,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:24:26",2113,2113,0,1381,1317,0,64,2200,819,1377,4,41,118,35,779,55,21,4,8,5,206,37,11,13,34,1,9
37,TIMIŞ,"CĂMINUL CULTURAL PĂRU",364,COŞTEIU,156473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:19:11",207,207,0,132,124,0,8,300,168,128,4,2,5,1,70,14,5,0,1,0,28,1,1,0,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL PECIU NOU",507,"PECIU NOU",158065,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:05:11",1590,1590,0,821,806,0,15,1600,779,797,24,19,79,15,385,44,16,5,8,7,163,22,4,3,21,5,1
37,TIMIŞ,"CĂMINUL CULTURAL PERCOSOVA",272,"ORAŞ GĂTAIA",157086,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:45:59",233,233,0,141,121,0,20,300,159,130,11,1,5,2,84,11,1,0,2,0,19,0,0,2,1,1,1
37,TIMIŞ,"CĂMINUL CULTURAL POGĂNEŞTI",314,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:37",270,270,0,177,169,0,8,300,123,161,16,1,2,0,75,20,4,2,0,0,39,0,1,4,9,0,4
37,TIMIŞ,"CĂMINUL CULTURAL POVÂRGINA",266,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:41:24",122,122,0,78,69,0,9,200,122,72,6,2,0,0,41,9,4,0,1,0,14,0,1,0,0,0,0
