precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA AUR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL DIASPORA UNITĂ-voturi"
35,SUCEAVA,"CAMIN CULTURAL GLODU",416,PANACI,149682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:04:33",255,255,0,120,111,0,9,300,180,114,6,0,0,3,2,1,1,1,0,1,2,0,12,63,25,3,0
35,SUCEAVA,"CĂMIN CULTURAL HOLDA",136,"ORAŞ BROŞTENI",147358,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:01:50",1030,1030,0,582,572,0,10,1273,691,543,39,19,4,7,13,1,68,4,2,1,16,6,43,240,100,7,12
35,SUCEAVA,"CĂMIN CULTURAL JAHALIA",450,RÂŞCA,150114,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:01:20",273,273,0,157,127,0,30,294,137,146,11,0,0,0,9,2,1,2,0,1,2,4,9,72,38,4,2
35,SUCEAVA,"CĂMIN CULTURAL LITENI",398,MOARA,149414,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:19:05",758,758,0,431,422,0,9,800,369,410,21,4,1,9,17,4,4,18,0,2,1,0,30,229,71,12,8
35,SUCEAVA,"CĂMIN CULTURAL LUCĂCEȘTI",293,DRĂGOIEŞTI,148328,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:27:54",219,219,0,156,147,0,9,300,144,140,16,0,1,2,18,1,4,1,0,0,1,2,11,62,31,2,4
35,SUCEAVA,"CĂMIN CULTURAL MIHAI BOLEAC",226,BOROAIA,147072,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:49:02",814,814,0,394,380,0,14,900,506,374,20,1,3,6,14,0,3,0,1,0,11,8,26,235,53,3,10
35,SUCEAVA,"CĂMIN CULTURAL PĂRHĂUȚI",493,TODIREŞTI,150524,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:39:46",965,965,0,623,610,0,13,1100,477,584,39,7,3,7,8,2,14,3,2,4,8,6,43,408,61,6,2
35,SUCEAVA,"CAMIN CULTURAL PLOPENI",179,"ORAŞ SALCEA",146370,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:31:56",1982,1982,0,1133,1126,0,7,2200,1067,1057,76,5,9,13,61,5,10,2,11,0,36,24,51,592,205,15,18
35,SUCEAVA,"CĂMIN CULTURAL PLUTONIŢA",155,"ORAŞ FRASIN",148612,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:13:02",935,935,0,501,487,0,14,1000,499,476,25,4,1,5,6,3,1,1,1,0,19,8,43,279,89,7,9
35,SUCEAVA,"CĂMIN CULTURAL RÎŞCA",446,RÂŞCA,150114,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:35:25",1514,1514,0,857,844,0,13,1700,843,770,87,10,14,0,60,12,14,2,0,6,13,15,52,352,202,18,0
35,SUCEAVA,"CAMIN CULTURAL SERBAUTI",489,ŞERBĂUŢI,151460,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:08:18",1645,1645,0,855,820,0,35,1700,845,747,108,2,0,2,63,6,4,18,1,0,1,19,41,258,327,5,0
35,SUCEAVA,"CĂMIN CULTURAL VAMA",517,VAMA,150935,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:51:28",993,993,0,560,550,0,10,1100,540,517,43,2,11,14,18,3,5,2,5,1,9,17,20,285,102,10,13
35,SUCEAVA,"CĂMINUL CULTURAL",539,VOLOVĂŢ,151120,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:00:27",1696,1696,0,766,762,0,4,1800,1034,700,66,2,5,6,15,1,2,2,1,1,12,6,72,413,147,11,4
35,SUCEAVA,"CĂMINUL CULTURAL",540,VOLOVĂŢ,151120,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:57:17",1729,1729,0,820,820,0,0,1900,1080,750,70,4,2,12,10,4,0,3,2,0,13,11,66,457,150,11,5
35,SUCEAVA,"CAMINUL CULTURAL AL COMUNEI MITOCU DRAGOMIRNEI",391,"MITOCU DRAGOMIRNEI",146325,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:42:15",1290,1290,0,810,771,0,39,1400,590,739,71,4,0,7,30,3,9,2,2,2,14,19,55,370,202,8,12
35,SUCEAVA,"CĂMINUL CULTURAL BAINEŢ",407,MUŞENIŢA,149584,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:44:20",236,236,0,118,110,0,8,300,182,108,10,0,0,3,14,0,0,5,0,2,1,6,3,56,16,2,0
35,SUCEAVA,"CĂMINUL CULTURAL BĂNEŞTI",306,FÂNTÂNELE,148453,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:22:17",913,913,0,480,472,0,8,1000,520,452,28,14,2,7,24,1,22,1,1,1,10,6,2,222,109,25,5
35,SUCEAVA,"CAMINUL CULTURAL BOSANCI",232,BOSANCI,147134,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:32:00",1171,1171,0,508,498,0,10,1300,792,486,22,1,2,7,11,2,0,4,0,2,9,3,37,133,268,2,5
35,SUCEAVA,"CĂMINUL CULTURAL BOSANCI",233,BOSANCI,147134,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:34:31",1376,1376,0,609,604,0,5,1500,891,562,47,1,2,9,15,0,2,2,2,1,10,7,12,169,313,10,7
35,SUCEAVA,"CĂMINUL CULTURAL BOTUȘ",332,"FUNDU MOLDOVEI",148765,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:05:18",957,957,0,543,526,0,17,1100,557,499,44,1,1,5,19,2,3,7,2,2,5,7,19,331,84,6,5
35,SUCEAVA,"CAMINUL CULTURAL BURLA - SALA MARE",247,BURLA,151521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:29:15",1728,1728,0,929,910,0,19,1900,971,824,105,2,1,10,13,2,4,6,0,0,10,7,47,533,175,3,11
35,SUCEAVA,"CĂMINUL CULTURAL CAPU CODRULUI",420,PĂLTINOASA,149753,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:02:39",899,899,0,512,502,0,10,1000,488,493,19,3,2,11,20,1,7,3,3,0,3,3,24,312,90,1,10
35,SUCEAVA,"CĂMINUL CULTURAL CHILIŞENI",496,UDEŞTI,150588,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:13:09",665,665,0,422,414,0,8,732,310,364,58,0,1,5,4,0,1,6,1,2,6,2,16,255,63,2,0
35,SUCEAVA,"CĂMINUL CULTURAL CHIRIL",273,CRUCEA,147884,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:22:46",472,472,0,304,293,0,11,500,196,289,15,3,0,2,6,1,6,0,0,0,8,5,8,190,53,3,4
35,SUCEAVA,"CĂMINUL CULTURAL CIUMULEȘTI",509,"VADU MOLDOVEI",150766,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:37:14",738,738,0,448,435,0,13,800,352,433,15,4,3,2,10,2,2,0,1,0,6,2,14,219,163,2,3
35,SUCEAVA,"CĂMINUL CULTURAL CLIMĂUŢI",408,MUŞENIŢA,149584,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:16:20",262,262,0,132,124,0,8,300,168,111,21,2,0,3,6,0,2,2,1,1,0,2,16,52,14,9,1
35,SUCEAVA,"CAMINUL CULTURAL COROCAIESTI",530,VEREŞTI,151022,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:55:50",1287,1287,0,536,536,0,0,1400,864,496,40,3,1,2,10,4,3,1,0,1,8,6,31,322,95,4,5
35,SUCEAVA,"CĂMINUL CULTURAL GURA PUTNEI",441,PUTNA,150043,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:53:47",1102,1102,0,536,533,0,3,1200,664,498,38,1,5,4,9,1,2,4,0,1,12,4,35,313,92,12,3
35,SUCEAVA,"CĂMINUL CULTURAL HĂNŢEŞTI",346,HĂNŢEŞTI,151512,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:24:49",1504,1503,1,849,845,0,4,1640,791,797,52,9,6,3,9,0,6,3,1,0,19,13,57,554,106,7,4
35,SUCEAVA,"CĂMINUL CULTURAL HERLA",462,SLATINA,150258,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:24:07",1184,1184,0,691,673,0,18,1300,609,677,14,0,0,1,0,1,1,2,0,0,0,0,10,617,38,5,2
35,SUCEAVA,"CĂMINUL CULTURAL HORODNIC DE JOS",351,"HORODNIC DE JOS",149101,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:10:01",1382,1382,0,747,743,0,4,1490,743,696,47,6,5,13,15,2,2,3,3,4,14,20,35,441,121,4,8
35,SUCEAVA,"CĂMINUL CULTURAL MILIŞĂUŢI",174,"ORAŞ MILIŞĂUŢI",146931,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:44:53",1673,1673,0,892,882,0,10,1800,908,855,37,4,2,7,303,5,7,13,4,1,16,17,44,269,143,10,10
35,SUCEAVA,"CĂMINUL CULTURAL NEAGRA ȘARULUI",478,"ŞARU DORNEI",150445,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:49:57",1543,1543,0,1020,989,0,31,1700,680,960,60,6,17,18,20,6,12,8,2,1,17,21,51,644,109,19,9
35,SUCEAVA,"CĂMINUL CULTURAL NOU",412,OSTRA,149655,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:56:19",1741,1741,0,787,772,0,15,1900,1113,746,41,4,1,6,11,0,2,3,0,0,8,8,29,479,173,17,5
35,SUCEAVA,"CĂMINUL CULTURAL PĂLTINOASA",418,PĂLTINOASA,149753,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:55:09",1231,1231,0,712,710,0,2,1300,588,673,39,4,3,5,13,1,1,10,2,1,4,10,32,483,92,4,8
35,SUCEAVA,"CĂMINUL CULTURAL PALTINU",525,"VATRA MOLDOVIŢEI",150980,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:48:03",678,678,0,366,364,0,2,800,434,341,25,1,2,4,5,2,5,9,2,2,8,1,19,172,94,8,7
35,SUCEAVA,"CĂMINUL CULTURAL PĂTRĂUȚI",422,PĂTRĂUŢI,149833,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 11:12:52",2033,2033,0,1071,1063,0,8,2200,1129,1000,71,7,3,19,24,7,8,4,1,2,26,20,49,572,245,4,9
35,SUCEAVA,"CĂMINUL CULTURAL POIANA NEGRII",287,"DORNA CANDRENILOR",148202,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:21:27",770,770,0,566,555,0,11,800,234,524,42,5,5,0,10,2,1,2,2,2,8,5,38,319,112,7,6
35,SUCEAVA,"CĂMINUL CULTURAL POIENI - SUCEAVA",499,UDEŞTI,150588,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:59:47",534,534,0,282,272,0,10,600,318,250,32,0,1,4,0,0,1,0,0,2,2,1,20,158,57,1,3
35,SUCEAVA,"CĂMINUL CULTURAL POJORÂTA",431,POJORÂTA,149931,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:22:55",1342,1342,0,905,892,0,13,1487,582,866,39,5,8,18,28,4,6,6,2,5,11,20,44,534,150,3,22
35,SUCEAVA,"CĂMINUL CULTURAL - PRELIPCA",181,"ORAŞ SALCEA",146370,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:13:43",1100,1100,0,583,573,0,10,1200,617,551,32,1,5,4,17,2,4,4,3,1,13,6,34,321,127,2,7
35,SUCEAVA,"CĂMINUL CULTURAL PREUTEŞTI",433,PREUTEŞTI,149968,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:53:27",1511,1511,0,935,920,0,15,1600,665,891,44,5,0,0,10,0,5,9,0,2,9,5,58,603,180,0,5
35,SUCEAVA,"CĂMINUL CULTURAL RACOVA",500,UDEŞTI,150588,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:16:53",230,230,0,140,137,0,3,300,160,128,12,0,1,2,4,1,1,0,2,1,2,3,10,81,18,1,1
35,SUCEAVA,"CĂMINUL CULTURAL SADOVA",452,SADOVA,150178,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:25:43",1165,1165,0,771,761,0,10,1300,529,736,35,6,3,14,35,3,2,3,1,2,17,22,26,448,138,6,10
35,SUCEAVA,"CĂMINUL CULTURAL SALCEA",177,"ORAŞ SALCEA",146370,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:27:24",1415,1415,0,690,684,0,6,1600,910,653,37,5,4,8,29,5,8,7,6,4,31,19,54,331,121,7,14
35,SUCEAVA,"CĂMINUL CULTURAL SALCEA",176,"ORAŞ SALCEA",146370,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:07:18",1244,1244,0,624,619,0,5,1400,776,575,49,8,6,6,30,5,9,5,1,5,16,16,33,293,123,9,10
35,SUCEAVA,"CAMINUL CULTURAL SAT BREAZA",239,BREAZA,147205,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:06:20",1233,1233,0,619,613,0,6,1300,681,581,38,2,5,4,13,7,2,18,0,1,12,5,45,378,75,11,3
35,SUCEAVA,"CĂMINUL CULTURAL SIMINICEA",457,SIMINICEA,150221,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:08:15",1201,1201,0,563,557,0,6,1323,760,534,29,1,0,7,20,1,8,2,0,3,9,7,41,374,49,7,5
35,SUCEAVA,"CĂMINUL CULTURAL ŞTIRBĂŢ",503,UDEŞTI,150588,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:22:50",428,428,0,253,234,0,19,500,247,222,31,3,1,1,27,2,1,3,0,3,0,0,23,110,46,1,1
35,SUCEAVA,"CĂMINUL CULTURAL ULMA",504,ULMA,150702,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:08:37",528,528,0,306,294,0,12,600,294,274,32,3,0,5,1,1,1,6,0,0,7,3,18,174,53,1,1
35,SUCEAVA,"CĂMINUL CULTURAL VALEA MOLDOVEI",515,"VALEA MOLDOVEI",150891,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:14:59",1434,1434,0,943,925,0,18,1536,593,878,65,8,0,3,10,1,2,1,1,0,11,11,64,561,196,5,4
35,SUCEAVA,"CĂMINUL CULTURAL VALEA PUTNEI",432,POJORÂTA,149931,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:23:23",275,275,0,155,146,0,9,332,177,134,21,0,2,2,4,0,1,1,0,1,4,1,2,71,40,3,2
35,SUCEAVA,"CĂMINUL CULTURAL VĂŞCĂUŢI",410,MUŞENIŢA,149584,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:12:26",501,501,0,282,273,0,9,492,210,269,13,0,0,3,11,1,1,2,3,3,9,0,17,142,67,8,2
35,SUCEAVA,"CĂMINUL CULTURAL VATRA MOLDOVIȚEI",522,"VATRA MOLDOVIŢEI",150980,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:45:17",1158,1158,0,706,684,0,22,1300,594,655,51,1,3,4,3,0,3,3,0,4,11,15,44,416,129,7,12
35,SUCEAVA,"CAMINUL CULTURAL VECHI PATRAUTI",423,PĂTRĂUŢI,149833,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:12:03",2048,2048,0,1049,1042,0,7,2200,1151,809,240,3,2,5,11,3,3,3,4,2,7,4,48,556,139,9,10
35,SUCEAVA,"CAMINUL CULTURAL VERESTI",527,VEREŞTI,151022,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:50",1245,1245,0,610,605,0,5,1400,790,589,21,6,4,12,20,3,3,3,3,3,13,11,41,280,179,2,6
35,SUCEAVA,"CĂMINUL CULTURAL VICOVU DE SUS-EST",192,"ORAŞ VICOVU DE SUS",151095,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:18:11",1327,1327,0,553,545,0,8,1400,847,525,28,2,1,5,7,1,4,1,0,2,19,7,29,267,162,8,10
35,SUCEAVA,"CĂMINUL CULTURAL VOIEVODEASA",477,SUCEVIŢA,150418,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 00:33:30",1100,1100,0,666,640,0,26,1200,534,591,75,4,0,7,10,4,61,0,2,3,2,16,40,350,84,2,6
35,SUCEAVA,"CĂMINUL CULTURAL VOITINEL",537,VOITINEL,151558,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:50:27",1881,1881,0,826,820,0,6,2000,1174,746,80,2,3,0,3,2,1,3,2,2,7,5,20,583,106,5,2
35,SUCEAVA,"CĂMINUL CULTURAL ZAMOSTEA",549,ZAMOSTEA,151246,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:37:04",1216,1216,0,700,680,0,20,1323,623,658,42,0,0,5,23,5,5,5,1,3,9,16,38,448,92,3,5
35,SUCEAVA,"CASA DE CULTURA",101,"MUNICIPIUL RĂDĂUŢI",146628,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:32:54",1739,1739,0,700,686,0,14,1700,1000,677,23,6,2,40,42,8,7,2,3,6,21,16,30,355,112,3,24
35,SUCEAVA,"CASA DE CULTURĂ",354,"HORODNIC DE SUS",151479,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:41:44",1778,1778,0,940,929,0,11,2000,1060,882,58,3,3,18,38,2,13,3,2,6,15,11,52,473,220,7,16
35,SUCEAVA,"CASA DE CULTURĂ CIOCĂNEȘTI",257,CIOCĂNEŞTI,151451,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:47:33",920,920,0,574,555,0,19,1000,426,547,27,5,5,5,17,5,5,1,0,0,18,15,27,322,102,6,14
35,SUCEAVA,"CASA DE CULTURĂ ”ELISEI TODAȘCĂ”",427,"POIANA STAMPEI",149851,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:15:04",1606,1606,0,1066,1042,0,24,1750,684,1022,44,6,4,16,30,3,9,4,2,3,23,35,36,730,97,5,19
35,SUCEAVA,"CASA DE CULTURĂ LITENI",165,"ORAŞ LITENI",149227,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:24:23",1746,1746,0,802,784,0,18,1900,1098,791,11,0,0,13,39,3,6,3,0,3,16,35,55,465,137,0,16
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",116,"MUNICIPIUL VATRA DORNEI",146744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:06:55",1171,1171,0,601,559,0,42,1300,699,576,25,2,8,17,29,6,8,8,4,1,8,12,38,341,73,4,17
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",117,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:28:10",884,884,0,520,495,0,25,974,454,501,19,5,6,12,35,6,1,2,14,4,6,11,24,296,64,1,14
35,SUCEAVA,"CASA DE CULTURĂ VICOVU DE SUS - LAURA",197,"ORAŞ VICOVU DE SUS",151095,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:12:41",1746,1746,0,734,733,0,1,1900,1166,702,32,4,1,10,9,1,3,4,1,0,17,7,47,477,116,3,2
35,SUCEAVA,"CASĂ DE PRĂZNUIRE A PAROFIEI SFINŢII ÎMPĂRAŢI MIHAIL ŞI GAVRIL PE STIL VECHI",135,"ORAŞ BROŞTENI",147358,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:33:56",400,400,0,249,243,0,6,400,151,230,19,11,0,2,7,3,5,2,0,1,0,3,18,135,38,3,2
