precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA AUR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi"
31,PRAHOVA,"CĂMIN CULTURAL DIN SATUL VALEA PLOPULUI",519,POSEŞTI,134648,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:47:36",768,768,0,475,439,0,36,800,325,441,34,6,74,257,14,51,1,4,2,0,1,9,1,15,2,2,2
31,PRAHOVA,"CĂMIN CULTURAL GORNET-CRICOV",440,GORNET-CRICOV,133615,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:01:54",737,737,0,558,537,0,21,800,242,521,37,3,82,330,17,35,16,8,0,1,2,3,2,13,4,4,1
31,PRAHOVA,"CĂMIN CULTURAL ÎN SAT MEHEDINȚA",503,"PODENII NOI",134443,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:47:57",1343,1343,0,917,830,0,87,1400,483,871,46,9,125,431,80,41,12,6,4,18,0,115,2,11,6,11,0
31,PRAHOVA,"CĂMIN CULTURAL ÎN SAT VALEA DULCE",505,"PODENII NOI",134443,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:48:20",771,771,0,509,486,0,23,900,391,474,35,4,118,188,26,27,8,3,6,1,3,81,0,4,3,0,2
31,PRAHOVA,"CAMIN CULTURAL LIPANESTI SALA MARE PARTER",463,LIPĂNEŞTI,133964,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:17:28",742,742,0,521,511,0,10,800,279,498,23,2,70,306,22,31,5,8,5,1,5,4,1,19,3,15,1
31,PRAHOVA,"CAMIN CULTURAL LIPANESTI SALA MARE PARTER",462,LIPĂNEŞTI,133964,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:00:04",732,732,0,492,481,0,11,800,308,463,29,3,70,240,16,34,16,10,5,2,2,9,2,38,1,12,3
31,PRAHOVA,"CĂMIN CULTURAL LOCALITATEA CIUPELNIŢA",402,DUMBRAVA,133090,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:54:44",1431,1431,0,756,751,0,5,1600,844,677,79,11,76,448,7,57,8,3,6,2,2,35,3,8,3,6,2
31,PRAHOVA,"CĂMIN CULTURAL LOCALITATEA DUMBRAVA",401,DUMBRAVA,133090,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:43:58",1280,1280,0,768,761,0,7,1400,632,707,61,2,89,468,37,35,10,3,4,4,2,23,1,6,6,13,4
31,PRAHOVA,"CĂMIN CULTURAL LOCALITATEA ZĂNOAGA",403,DUMBRAVA,133090,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:13:45",756,756,0,501,490,0,11,800,299,472,29,4,62,296,18,33,8,8,3,6,2,7,0,13,3,7,2
31,PRAHOVA,"CĂMIN CULTURAL LOLOIASCA, SAT LOLOIASCA, NR. 6V",595,TOMŞANI,135896,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:32:47",1210,1210,0,712,695,0,17,1300,617,647,36,7,91,427,25,55,11,7,4,3,3,4,0,4,3,2,1
31,PRAHOVA,"CAMIN CULTURAL PLEASA",358,BUCOV,130785,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:43:05",1293,1293,0,610,604,0,6,1400,790,576,34,3,108,274,63,32,15,13,3,1,2,9,3,25,4,16,5
31,PRAHOVA,"CAMIN CULTURAL PLEASA",357,BUCOV,130785,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:29:57",1240,1240,0,597,586,0,11,1400,803,562,35,8,80,262,71,38,16,13,5,1,3,12,1,24,3,16,9
31,PRAHOVA,"CǍMIN FILIPEŞTII DE TÎRG (SALĂ ȘEDINȚĂ VIDEOCLUB)",416,"FILIPEŞTII DE TÂRG",133214,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:08:14",1028,1028,0,583,573,0,10,1136,553,545,38,16,79,280,47,34,15,16,5,2,1,8,1,14,7,14,6
31,PRAHOVA,"CAMINUL CULTURAL",543,SĂLCIILE,135146,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:29:06",647,647,0,564,411,0,153,700,136,512,52,3,72,240,123,27,10,6,0,6,4,0,4,2,5,10,0
31,PRAHOVA,"CĂMINUL CULTURAL",460,JUGURENI,133866,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:26:57",395,395,0,356,259,0,97,400,44,319,37,0,37,218,10,9,5,9,1,4,5,5,0,9,1,5,1
31,PRAHOVA,"CĂMINUL CULTURAL",461,LAPOŞ,133919,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:28:15",827,827,0,576,539,0,37,900,324,546,30,3,123,315,33,27,6,5,3,2,1,11,3,5,3,4,2
31,PRAHOVA,"CĂMINUL CULTURAL ARICEȘTII RAHTIVANI, NR. 527A",297,"ARICEŞTII RAHTIVANI",132075,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:06:08",1070,1070,0,733,667,0,66,1200,467,685,48,10,106,391,38,35,16,11,9,4,3,6,8,26,5,12,5
31,PRAHOVA,"CĂMINUL CULTURAL BOBOLIA",509,"POIANA CÂMPINA",131274,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:32:53",861,861,0,575,567,0,8,900,325,554,21,5,55,364,24,21,24,11,4,7,0,13,4,7,4,9,2
31,PRAHOVA,"CAMINUL CULTURAL CALINESTI",426,FLOREŞTI,133330,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:32:32",1075,1075,0,601,597,0,4,1200,599,583,18,3,60,371,22,43,10,6,5,4,2,9,1,16,10,18,3
31,PRAHOVA,"CĂMINUL CULTURAL DIN SATUL NUCSOARA DE SUS",517,POSEŞTI,134648,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:49:45",1191,1191,0,805,768,0,37,1300,495,758,47,4,153,478,21,27,17,5,8,2,3,16,1,9,3,9,2
31,PRAHOVA,"CĂMINUL CULTURAL DIN SATUL POSEŞTII-PĂMÂNTENI",516,POSEŞTI,134648,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:17:23",603,603,0,395,376,0,19,700,305,362,33,4,55,202,19,25,3,8,3,3,2,16,0,11,2,6,3
31,PRAHOVA,"CAMINUL CULTURAL FULGA DE JOS",427,FULGA,133394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:16:27",1165,1165,0,771,731,0,40,1300,529,679,92,8,57,467,23,35,11,2,1,26,1,15,5,11,5,11,1
31,PRAHOVA,"CAMINUL CULTURAL GAGENI",497,PĂULEŞTI,130847,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:09:30",1226,1226,0,741,717,0,24,1300,559,704,37,9,104,339,72,43,30,21,7,2,1,12,4,12,6,35,7
31,PRAHOVA,"CĂMINUL CULTURAL ”GEO BOGZA”, SAT PLOIEȘTIORI, NR. 174 B",336,BLEJOI,130678,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:44:09",2165,2165,0,998,973,0,25,2400,1410,944,42,13,147,318,100,47,49,33,2,3,71,21,2,44,11,71,12
31,PRAHOVA,"CĂMINUL CULTURAL GORNET",437,GORNET,133562,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:06:57",938,938,0,610,601,0,9,1000,390,573,37,6,58,366,30,34,14,11,2,4,3,2,7,15,6,13,2
31,PRAHOVA,"CĂMINUL CULTURAL, NR. 212",443,"GURA VADULUI",133688,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:39:03",1093,1093,0,610,591,0,19,1200,590,572,38,14,62,320,18,52,17,16,5,5,3,25,5,13,0,13,4
31,PRAHOVA,"CAMINUL CULTURAL PIETROSANI",530,"PUCHENII MARI",134942,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:16:34",920,920,0,438,423,0,15,1000,562,422,16,5,45,179,83,28,16,13,6,3,3,5,0,9,7,17,3
31,PRAHOVA,"CĂMINUL CULTURAL STREJNICU",580,"TÂRGŞORU VECHI",130892,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:17:54",1151,1150,1,625,618,0,7,1200,575,598,27,6,84,248,103,35,20,11,5,6,0,2,4,23,7,31,13
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",42,"MUNICIPIUL PLOIEŞTI",130534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:41:58",1361,1361,0,567,548,0,19,1500,929,539,28,4,113,131,96,58,19,17,13,1,7,13,3,26,7,21,10
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",44,"MUNICIPIUL PLOIEŞTI",130534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:08:54",1294,1294,0,479,473,0,6,1400,927,447,26,2,76,169,39,31,23,13,11,1,5,5,7,30,6,22,7
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",43,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:46:21",1199,1198,1,474,459,1,14,1300,825,444,30,8,63,125,76,23,20,24,3,5,4,10,5,29,9,35,5
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",41,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:50:35",1329,1329,0,519,513,0,6,1500,981,462,28,12,75,189,55,42,21,14,6,2,2,12,3,14,7,0,8
31,PRAHOVA,"CASA CORPULUI DIDACTIC",52,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:38:34",786,786,0,337,330,0,7,900,563,324,13,2,54,96,54,7,14,13,7,3,8,6,1,15,4,33,7
31,PRAHOVA,"CASA CORPULUI DIDACTIC",51,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:47:21",1069,1069,0,451,439,0,12,1200,749,431,20,4,87,111,81,24,17,16,5,4,3,12,10,15,6,29,7
31,PRAHOVA,"CASA DE CULTURĂ (FOAIER)",277,"ORAŞ VĂLENII DE MUNTE",131817,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:23:14",1073,1073,0,639,592,0,47,1200,561,602,37,9,81,329,34,42,8,8,7,6,5,14,3,17,12,19,8
31,PRAHOVA,"CASA DE CULTURĂ ”GEO BOGZA”- (HOL)",158,"MUNICIPIUL CÂMPINA",131256,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:06:39",1262,1262,0,651,625,0,26,1400,749,616,35,6,80,256,63,44,20,23,8,19,5,12,3,18,6,47,6
31,PRAHOVA,"CASA DE CULTURA LILIESTI",193,"ORAŞ BĂICOI",130981,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:08:02",1351,1351,0,733,707,0,26,1500,767,671,62,11,122,277,33,87,23,11,3,8,1,35,3,14,10,28,5
31,PRAHOVA,"CASA DE CULTURĂ ”MIHAI EMINESCU”",203,"ORAŞ BOLDEŞTI-SCĂENI",131069,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:01:02",842,842,0,520,508,0,12,900,380,489,31,3,122,207,43,32,22,8,5,2,1,5,2,17,3,8,9
31,PRAHOVA,"”CASA DE CULTURĂ” ORAȘUL URLAŢI",272,"ORAŞ URLAŢI",131620,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:42:16",1416,1416,0,728,711,0,17,1600,872,690,38,7,137,324,49,98,22,9,7,2,2,5,1,21,4,0,2
31,PRAHOVA,"CASA DE CULTURĂ PLOPENI",246,"ORAŞ PLOPENI",131443,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:29:02",1194,1184,10,729,691,10,28,1300,571,704,25,7,95,394,45,35,22,24,8,8,3,12,4,16,5,19,7
31,PRAHOVA,"CASA DE CULTURA RURALA",379,"COCORĂŞTII COLŢ",136241,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:40:34",1351,1351,0,808,788,0,20,1400,592,757,51,9,112,392,50,52,19,20,13,12,2,6,7,25,13,21,4
31,PRAHOVA,"CASA DE CULTURĂ (SALA MICĂ)",276,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:28:00",1335,1335,0,768,753,0,15,1500,732,716,52,7,127,383,18,34,23,17,18,4,7,12,9,15,14,22,6
31,PRAHOVA,"CASA DE CULTURA TINTEA",196,"ORAŞ BĂICOI",130981,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:15:20",982,982,0,583,575,0,8,1100,517,534,49,1,90,222,47,44,9,24,4,1,2,35,15,11,5,21,3
31,PRAHOVA,"CASA HRAM - PAROHIA NISIPOASA HARSA",500,PLOPU,134390,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:17:53",228,228,0,171,157,0,14,291,120,168,3,5,35,98,9,3,2,3,0,2,0,1,0,5,2,2,1
31,PRAHOVA,"CASA TINERETULUI (HOL MARE)",161,"MUNICIPIUL CÂMPINA",131256,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:29:53",961,961,0,392,372,0,20,1100,708,371,21,11,56,150,26,31,9,18,2,13,4,5,1,10,4,23,8
31,PRAHOVA,"CASA TINERETULUI (HOL MIC)",167,"MUNICIPIUL CÂMPINA",131256,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:40:31",1369,1369,0,639,623,0,16,1500,851,607,32,5,87,263,54,37,30,19,4,18,6,13,0,28,10,28,5
31,PRAHOVA,"CENTRU DE ZI PENTRU COPII ”ACUM AU NEVOIE DE NOI”",262,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:06:31",537,537,0,311,299,0,12,311,7,297,7,1,47,121,31,29,10,10,4,3,1,6,3,9,0,18,4
31,PRAHOVA,"CENTRUL CULTURAL ”ADRIAN PĂUNESCU”",242,"ORAŞ MIZIL",131407,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:28:09",1364,1364,0,548,540,0,8,1500,952,515,33,10,94,264,30,40,14,8,6,4,9,5,2,14,4,9,2
31,PRAHOVA,"CENTRUL CULTURAL ARH.TOMA T.SOCOLESCU PAULESTI",494,PĂULEŞTI,130847,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:57:52",1867,1867,0,1122,1078,0,44,2000,922,1046,32,8,123,461,149,44,57,31,15,7,8,7,5,30,8,77,16
31,PRAHOVA,"CENTRUL CULTURAL BABA ANA",304,"BABA ANA",132164,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:01:50",1496,1496,0,818,813,0,5,1600,782,762,56,7,86,421,34,48,11,14,1,4,5,90,1,21,4,11,4
31,PRAHOVA,"CENTRUL CULTURAL ”CARMEN SYLVA”",261,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:56:13",484,482,2,290,264,0,26,528,238,274,16,2,46,118,35,12,4,7,1,2,2,7,0,15,4,13,6
31,PRAHOVA,"CENTRUL CULTURAL ”NICOLAE IORGA” VĂLENII DE MUNTE (BIBLIOTECA ORĂȘENEASCĂ ”MIRON RADU PARASCHIVESCU”)",275,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:57:09",971,971,0,501,487,0,14,1099,598,480,21,8,89,237,26,22,10,11,4,2,6,15,2,17,12,15,4
31,PRAHOVA,"CENTRUL CULTURAL VÎLCĂNEŞTI",621,VÂLCĂNEŞTI,136198,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:01:47",1379,1379,0,829,812,0,17,1500,671,779,50,14,90,466,96,39,11,7,5,4,3,6,2,13,8,10,5
31,PRAHOVA,"CENTRUL INTERNATIONAL DE CONFERINŢE CASINO",263,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:34:03",569,569,0,368,306,0,62,600,232,356,12,0,81,145,32,19,15,9,2,2,3,0,0,17,7,20,4
31,PRAHOVA,"CLǍDIRE NOUǍ - FOST SEDIU C.A.P.",452,IORDĂCHEANU,133722,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:18:17",1030,1030,0,811,764,0,47,1100,289,780,31,12,123,489,29,56,11,4,7,9,2,3,2,12,5,11,5
31,PRAHOVA,"CLUB PLEASA",359,BUCOV,130785,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:44:42",1040,1040,0,408,401,0,7,1100,692,388,20,5,87,199,16,26,8,6,3,12,0,6,2,6,4,7,1
31,PRAHOVA,"CLUBUL COPIILOR",278,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:45:04",857,857,0,457,449,0,8,900,443,439,18,4,71,209,30,23,26,12,4,1,3,12,4,7,7,22,4
31,PRAHOVA,"CLUBUL ELEVILOR",186,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:59:31",1394,1392,2,784,766,1,17,1500,716,715,69,4,127,286,55,56,26,24,4,6,6,55,3,30,5,25,3
31,PRAHOVA,"CLUBUL ”MINERUL”",409,"FILIPEŞTII DE PĂDURE",133161,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:36:01",976,976,0,608,596,0,12,1100,492,578,30,5,174,226,33,39,12,13,5,7,5,18,4,12,5,20,0
31,PRAHOVA,"CLUBUL SPORTIV CARPAŢI - SALA DE SPORT",258,"ORAŞ SINAIA",131540,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:13:55",744,744,0,451,413,0,38,800,349,435,15,3,78,224,33,21,17,12,4,3,3,2,5,13,5,12,0
31,PRAHOVA,"COLEGIUL AGRICOL GHEORGHE IONESCU SISESTI",609,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:17:18",763,763,0,339,326,0,13,800,461,314,25,6,57,143,25,19,12,8,1,7,4,12,0,7,3,8,2
31,PRAHOVA,"COLEGIUL DE ARTĂ ”CARMEN SYLVA”",69,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:43:11",780,780,0,353,343,0,10,900,547,346,7,3,38,111,70,11,15,11,5,1,1,9,8,16,4,38,5
31,PRAHOVA,"COLEGIUL DE ARTĂ ”CARMEN SYLVA”",68,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:31:28",870,870,0,361,344,0,17,1000,639,342,19,2,28,102,66,15,19,14,10,0,2,4,6,32,5,31,6
31,PRAHOVA,"COLEGIUL FERDINAND I",479,MĂNECIU,134096,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:18:51",1211,1211,0,654,637,0,17,1296,642,629,25,3,98,391,22,20,14,13,5,2,2,24,3,15,4,11,2
