precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA AUR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","GHEORGHE VLAD-DAN-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
5,BIHOR,"CĂMIN CULTURAL",287,BUNTEŞTI,27971,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:30:08",237,237,0,200,193,0,7,251,51,192,8,0,0,4,0,45,0,1,1,0,17,1,4,109,3,4,3
5,BIHOR,"CĂMIN CULTURAL",220,ABRAM,27070,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:55:18",235,235,0,123,110,0,13,252,129,110,13,0,1,2,0,22,0,2,1,1,2,0,0,74,2,0,3
5,BIHOR,"CĂMIN CULTURAL",325,CETARIU,28415,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:22:05",197,197,0,127,110,0,17,213,86,124,3,0,1,0,0,6,0,97,0,0,1,0,1,17,0,0,1
5,BIHOR,"CĂMIN CULTURAL",643,ŢEŢCHEA,31878,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:50:56",669,669,0,485,449,0,36,734,249,452,33,0,5,1,3,69,1,1,7,3,10,1,4,309,6,5,27
5,BIHOR,"CĂMIN CULTURAL",229,AŞTILEU,26742,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:37:55",510,510,0,321,303,0,18,556,235,295,26,2,0,3,2,27,0,4,3,0,13,1,1,219,7,2,11
5,BIHOR,"CĂMIN CULTURAL",450,MĂGEŞTI,30069,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:44:20",378,378,0,287,259,0,28,412,125,275,12,0,1,2,1,32,0,2,4,1,21,3,5,186,4,1,12
5,BIHOR,"CĂMIN CULTURAL",286,BUNTEŞTI,27971,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:49:01",536,536,0,441,426,0,15,589,148,430,11,1,2,3,2,68,0,1,2,1,6,0,11,304,4,7,18
5,BIHOR,"CĂMIN CULTURAL",426,"LAZURI DE BEIUŞ",29760,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:01:34",506,506,0,433,401,0,32,550,117,411,22,0,1,8,2,56,0,7,6,0,2,3,4,303,4,3,12
5,BIHOR,"CĂMIN CULTURAL",432,LĂZĂRENI,29813,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:07:54",95,95,0,68,58,0,10,103,35,64,4,0,0,1,0,14,0,0,3,0,1,0,0,37,0,2,6
5,BIHOR,"CĂMIN CULTURAL",596,ŞOIMI,31422,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:09:48",232,232,0,186,172,0,14,250,64,177,9,1,1,0,0,24,1,2,1,0,5,1,0,141,0,0,0
5,BIHOR,"CĂMIN CULTURAL",511,RĂBĂGANI,30648,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:16:27",96,96,0,83,75,0,8,104,21,83,0,0,1,0,0,12,0,2,1,0,2,0,3,60,2,0,0
5,BIHOR,"CĂMIN CULTURAL",628,TILEAGD,31716,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:15:40",660,660,0,338,326,0,12,720,382,333,5,5,1,8,3,69,0,2,9,0,7,6,6,170,16,8,23
5,BIHOR,"CĂMIN CULTURAL",408,HOLOD,29573,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:12:20",115,115,0,102,65,0,37,126,24,98,4,0,0,3,0,20,0,2,0,0,3,0,0,66,1,0,3
5,BIHOR,"CĂMIN CULTURAL",291,BUNTEŞTI,27971,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:31:04",524,524,0,405,384,0,21,572,167,391,14,0,1,5,2,83,0,3,2,1,17,2,13,237,8,4,13
5,BIHOR,"CĂMIN CULTURAL",344,COPĂCEL,28816,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:26:09",209,209,0,177,139,0,38,231,54,167,10,0,2,0,1,16,0,2,1,1,5,6,1,106,3,1,22
5,BIHOR,"CĂMIN CULTURAL",354,CURĂŢELE,28941,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:48:33",345,345,0,250,247,0,3,374,124,243,7,0,0,2,0,46,1,2,0,0,5,4,4,170,3,0,6
5,BIHOR,"CĂMIN CULTURAL",187,"ORAŞ ALEŞD",26699,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 00:03:10",1067,1067,0,654,637,0,17,1164,510,633,21,0,2,9,3,130,0,9,13,1,15,5,9,374,16,8,39
5,BIHOR,"CĂMIN CULTURAL",433,LĂZĂRENI,29813,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:45:51",146,146,0,107,89,0,18,162,55,99,8,0,0,0,1,17,0,3,0,0,1,0,1,66,1,0,9
5,BIHOR,"CĂMIN CULTURAL",629,TILEAGD,31716,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:05:19",671,671,0,361,347,0,14,736,388,325,23,1,0,0,0,39,0,133,6,0,8,1,8,108,3,6,12
5,BIHOR,"CĂMIN CULTURAL",642,ŢEŢCHEA,31878,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:48",684,684,0,457,434,0,23,745,288,417,40,0,3,3,2,71,1,4,0,1,8,1,7,272,4,6,34
5,BIHOR,"CĂMIN CULTURAL",407,HOLOD,29573,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:15:53",583,583,0,360,343,0,17,630,270,282,76,0,0,2,1,77,0,2,1,0,2,1,0,176,0,6,14
5,BIHOR,"CĂMIN CULTURAL",533,SĂCĂDAT,30871,6,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 14:21:28",588,588,0,409,379,0,30,645,242,378,25,1,0,3,3,101,1,4,7,1,6,5,3,231,2,2,8
5,BIHOR,"CĂMIN CULTURAL",409,HOLOD,29573,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:33:47",107,107,0,85,67,0,18,116,31,79,6,0,0,0,1,20,1,1,0,0,8,0,1,41,4,0,2
5,BIHOR,"CĂMIN CULTURAL",233,AUŞEU,27212,5,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:36:18",728,728,0,428,417,0,11,802,374,391,37,0,1,2,4,93,0,1,2,0,12,2,7,237,5,4,21
5,BIHOR,"CĂMIN CULTURAL",428,LĂZĂRENI,29813,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:28:24",504,504,0,385,356,0,29,544,159,367,18,0,1,4,3,63,0,1,3,0,3,1,7,249,7,2,23
5,BIHOR,"CĂMIN CULTURAL",645,ŢEŢCHEA,31878,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:21:52",671,671,0,437,412,0,25,734,298,316,120,0,0,3,1,51,0,115,4,1,0,1,3,110,5,3,19
5,BIHOR,"CĂMIN CULTURAL",644,ŢEŢCHEA,31878,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:28",453,453,0,267,249,0,18,494,227,246,21,1,0,3,5,49,0,2,6,0,8,0,8,147,9,1,7
5,BIHOR,"CĂMIN CULTURAL",224,ABRAM,27070,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:55:12",222,222,0,135,127,0,8,240,105,130,5,1,2,0,0,26,1,3,5,0,3,0,7,66,2,3,11
5,BIHOR,"CĂMIN CULTURAL",659,VIIŞOARA,32045,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:54:04",151,151,0,88,82,0,6,163,75,84,4,0,0,0,0,11,0,51,0,0,1,0,0,17,0,1,3
5,BIHOR,"CĂMIN CULTURAL",221,ABRAM,27070,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:18:26",230,230,0,141,130,0,11,247,106,134,7,0,1,2,0,30,0,3,0,0,1,1,0,91,1,1,3
5,BIHOR,"CĂMIN CULTURAL",347,COPĂCEL,28816,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:55:19",320,320,0,306,231,0,75,333,27,295,11,0,0,1,0,13,0,4,2,1,7,2,1,249,0,2,13
5,BIHOR,"CĂMIN CULTURAL",314,CEFA,28246,5,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:06:20",698,698,0,460,453,0,7,763,303,444,16,1,2,1,3,56,0,5,12,5,8,2,5,297,14,6,27
5,BIHOR,"CĂMIN CULTURAL",431,LĂZĂRENI,29813,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:07:01",606,606,0,406,380,0,26,660,254,368,38,0,2,1,1,32,0,7,1,0,1,1,3,300,1,1,17
5,BIHOR,"CĂMIN CULTURAL BĂLENI",424,"LAZURI DE BEIUŞ",29760,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:47:11",161,161,0,134,118,0,16,173,39,126,8,1,1,2,1,22,0,1,3,0,2,0,8,84,0,0,1
5,BIHOR,"CĂMIN CULTURAL BĂLNACA",603,ŞUNCUIUŞ,31510,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:45:15",766,766,0,418,404,0,14,840,424,379,37,2,4,5,4,90,0,3,5,0,8,1,4,215,17,3,18
5,BIHOR,"CĂMIN CULTURAL BICACI",397,GEPIU,32195,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:48:01",516,516,0,340,286,0,54,606,266,328,12,0,1,1,4,34,0,37,7,1,0,4,3,209,3,1,23
5,BIHOR,"CĂMIN CULTURAL BIRTIN",652,"VADU CRIŞULUI",31976,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:03:28",271,271,0,205,193,0,12,294,89,191,14,0,0,2,0,28,0,1,3,0,11,18,8,104,3,1,12
5,BIHOR,"CĂMIN CULTURAL BISTRA",501,POPEŞTI,30568,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:03:22",789,789,0,474,470,0,4,863,389,443,31,0,0,4,0,93,0,5,3,1,13,1,3,250,3,4,63
5,BIHOR,"CĂMIN CULTURAL BOROD",251,BOROD,27560,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:42:23",1263,1263,0,803,781,0,22,1380,577,759,44,2,1,1,0,124,0,11,17,5,9,6,5,503,7,8,60
5,BIHOR,"CĂMIN CULTURAL BULZ",282,BULZ,27935,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:35:19",648,648,0,514,492,0,22,708,194,499,15,1,5,5,2,104,0,4,5,2,35,5,9,278,9,9,26
5,BIHOR,"CĂMIN CULTURAL CĂLĂȚEA",227,AŞTILEU,26742,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:00:55",244,244,0,174,166,0,8,270,96,169,5,0,0,0,5,23,0,0,2,0,2,0,0,118,2,7,10
5,BIHOR,"CĂMIN CULTURAL CĂLUGĂRI",304,CĂRPINET,28193,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:59:51",380,380,0,279,259,0,20,391,115,266,10,0,0,0,0,28,0,1,3,1,9,6,3,199,8,1,7
5,BIHOR,"CĂMIN CULTURAL CĂRĂNDENI",429,LĂZĂRENI,29813,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:48:32",340,340,0,247,207,0,40,366,119,236,11,0,0,2,0,42,0,3,2,0,5,0,2,160,2,0,18
5,BIHOR,"CAMIN CULTURAL CATUN CARMAZAN",605,ŞUNCUIUŞ,31510,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:02:48",109,109,0,70,65,0,5,121,51,66,4,0,0,0,0,19,0,2,0,0,4,0,0,36,1,0,4
5,BIHOR,"CAMIN CULTURAL CHERIU",469,OŞORHEI,30274,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:43:58",725,725,0,408,379,0,29,801,393,378,30,1,2,6,1,81,0,6,5,1,7,4,4,234,12,4,10
5,BIHOR,"CĂMIN CULTURAL CHEȘEREU",327,CHERECHIU,28497,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:26:53",813,813,0,558,525,0,33,889,331,527,31,2,0,1,1,4,0,461,0,0,1,1,1,51,1,2,1
5,BIHOR,"CĂMIN CULTURAL CORNET",228,AŞTILEU,26742,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:07:50",209,209,0,158,151,0,7,217,59,151,7,0,0,0,0,16,0,0,2,0,4,0,0,111,2,3,13
5,BIHOR,"CĂMIN CULTURAL COȘDENI",493,POMEZEU,30470,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:26:02",419,419,0,327,319,0,8,452,125,321,6,0,1,5,0,37,2,7,3,2,5,1,3,242,2,1,10
5,BIHOR,"CĂMIN CULTURAL DELANI",153,"MUNICIPIUL BEIUŞ",26804,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 00:09:11",270,270,0,194,185,0,9,295,101,188,6,0,5,0,1,21,0,1,2,2,6,0,3,127,3,1,16
5,BIHOR,"CĂMIN CULTURAL DOLEA",583,"SUPLACU DE BARCĂU",31262,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:10:04",124,124,0,84,73,0,11,133,49,77,7,0,0,0,0,1,0,49,0,0,2,1,0,20,0,0,4
5,BIHOR,"CĂMIN CULTURAL”ELISABETA PAVEL” GIRIȘU NEGRU",634,TINCA,31789,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:54:45",539,539,0,373,354,0,19,588,215,341,32,1,1,3,3,50,1,2,4,1,7,7,2,240,7,2,10
5,BIHOR,"CĂMIN CULTURAL FELCHERIU",470,OŞORHEI,30274,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:57:37",263,263,0,217,188,0,29,288,60,203,14,1,1,1,5,21,1,4,0,0,6,0,0,143,8,3,9
5,BIHOR,"CĂMIN CULTURAL FUGHIU",471,OŞORHEI,30274,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:51:46",1080,1080,0,625,606,0,19,1185,560,587,38,1,5,7,1,111,0,158,5,2,12,5,3,238,10,6,23
5,BIHOR,"CĂMIN CULTURAL GEPIU",396,GEPIU,32195,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:22:12",1151,1151,0,977,824,0,153,1226,249,926,51,0,5,12,5,85,0,7,17,2,19,9,11,697,31,1,25
5,BIHOR,"CĂMIN CULTURAL GHIGHIȘENI",520,RIENI,30773,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:59:48",803,803,0,579,558,0,21,880,301,551,28,1,0,4,1,46,1,6,3,0,12,3,6,454,4,3,7
5,BIHOR,"CĂMIN CULTURAL GIRIŞU DE CRIŞ",398,"GIRIŞU DE CRIŞ",29467,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:20:40",1224,1224,0,854,818,0,36,1336,482,770,84,3,6,15,113,148,7,21,11,5,20,2,20,315,16,17,51
5,BIHOR,"CĂMIN CULTURAL HIDIȘ",494,POMEZEU,30470,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:24:30",244,244,0,211,184,0,27,261,50,196,15,0,1,0,3,18,0,3,2,3,5,1,0,146,0,3,11
5,BIHOR,"CĂMIN CULTURAL HIDIȘELU DE SUS",401,"HIDIŞELU DE SUS",29519,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:58:12",890,890,0,769,691,0,78,970,201,747,22,1,4,18,2,152,7,4,12,1,20,0,8,448,21,6,43
5,BIHOR,"CĂMIN CULTURAL HODIȘ",410,HOLOD,29573,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:11:10",121,121,0,100,82,0,18,128,28,96,4,0,0,1,0,16,0,1,0,2,0,0,2,67,2,1,4
5,BIHOR,"CĂMIN CULTURAL IZBUC",305,CĂRPINET,28193,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:52:10",395,395,0,304,297,0,7,416,112,289,15,0,3,0,1,46,1,0,2,1,5,0,1,224,0,1,4
5,BIHOR,"CĂMIN CULTURAL LĂZĂRENI",427,LĂZĂRENI,29813,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:05:25",712,712,0,627,566,0,61,768,141,492,135,1,0,2,2,113,0,9,0,0,2,0,1,334,0,3,25
5,BIHOR,"CĂMIN CULTURAL LEHECENI",306,CĂRPINET,28193,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:02:43",293,293,0,225,197,0,28,319,94,217,8,0,1,1,0,28,0,5,13,0,6,1,0,147,4,2,9
5,BIHOR,"CĂMIN CULTURAL LELEȘTI",289,BUNTEŞTI,27971,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:26:39",319,319,0,264,259,0,5,347,83,257,7,0,1,0,0,55,0,0,4,1,6,0,2,175,3,0,10
5,BIHOR,"CĂMIN CULTURAL MIERLĂU",403,"HIDIŞELU DE SUS",29519,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:31:21",561,561,0,472,403,0,69,610,138,441,31,0,2,1,2,68,0,0,8,0,6,2,12,303,6,7,24
5,BIHOR,"CĂMIN CULTURAL MIZIEȘ",381,DRĂGĂNEŞTI,29243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:25:41",441,441,0,345,320,0,25,478,133,335,10,0,0,6,0,63,2,3,3,1,35,0,7,193,12,0,10
5,BIHOR,"CĂMIN CULTURAL NIMĂIEŞTI",355,CURĂŢELE,28941,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:10:39",653,653,0,498,490,0,8,715,217,474,24,3,0,9,3,67,1,1,3,1,15,32,6,304,9,5,15
5,BIHOR,"CAMIN CULTURAL PALOTA",568,SÂNTANDREI,26653,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:15:01",599,599,0,286,282,0,4,654,368,274,12,1,1,5,0,23,0,45,8,2,14,0,6,140,13,3,13
5,BIHOR,"CAMIN CULTURAL PETRANI",489,POCOLA,30416,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:46:27",268,268,0,222,200,0,22,299,77,214,8,0,2,8,0,32,0,0,4,1,3,2,4,151,1,1,5
5,BIHOR,"CĂMIN CULTURAL PETRILENI",521,RIENI,30773,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:24:38",452,452,0,281,274,0,7,493,212,273,8,0,2,3,0,27,0,6,6,1,8,3,3,203,4,2,5
5,BIHOR,"CĂMIN CULTURAL ROHANI",300,CĂPÂLNA,28139,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:38:45",113,113,0,97,65,0,32,116,19,88,9,0,0,2,0,15,2,2,1,0,2,0,4,58,2,0,0
5,BIHOR,"CĂMIN CULTURAL SĂLACEA",534,SĂLACEA,30988,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:53:54",947,947,0,623,590,0,33,1034,411,592,31,1,0,1,1,5,0,557,1,0,2,0,0,20,1,2,1
5,BIHOR,"CAMIN CULTURAL SAT BALNACA GROSI",604,ŞUNCUIUŞ,31510,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:22:07",49,49,0,39,31,0,8,55,16,34,5,0,0,0,0,5,0,2,0,0,2,0,0,23,1,1,0
5,BIHOR,"CAMIN CULTURAL SINMARTIN DE BEIUȘ",490,POCOLA,30416,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:36:22",181,181,0,156,149,0,7,196,40,153,3,0,0,1,0,25,0,0,2,0,4,0,0,106,4,2,9
5,BIHOR,"CĂMIN CULTURAL ȘINTEU",592,ŞINTEU,31379,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:00:50",912,912,0,419,391,0,28,997,577,342,77,2,6,7,2,63,0,29,2,0,13,1,6,180,3,11,17
5,BIHOR,"CĂMIN CULTURAL SPINUȘ DE POMEZEU",497,POMEZEU,30470,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:23:01",152,152,0,128,123,0,5,161,33,127,1,0,0,1,2,20,0,0,2,0,0,0,0,96,1,0,5
5,BIHOR,"CĂMIN CULTURAL SUDRIGIU",522,RIENI,30773,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:56:57",268,268,0,193,187,0,6,290,97,183,10,0,1,6,2,27,0,4,2,0,10,0,0,121,6,0,4
5,BIHOR,"CĂMIN CULTURAL ȘUMUGIU",405,"HIDIŞELU DE SUS",29519,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:18:03",331,331,0,286,204,0,82,359,73,278,8,1,0,5,0,39,2,2,2,1,8,0,3,174,0,7,34
5,BIHOR,"CĂMIN CULTURAL - TÂRGUȘOR",328,CHERECHIU,28497,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:37:51",443,443,0,267,242,0,25,484,217,243,24,1,1,3,0,6,0,212,0,0,1,1,2,14,1,0,1
5,BIHOR,"CĂMIN CULTURAL TĂRIAN",400,"GIRIŞU DE CRIŞ",29467,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:26:31",961,961,0,660,646,0,14,1052,380,558,102,4,9,18,113,77,14,37,6,3,9,3,6,205,6,15,33
5,BIHOR,"CĂMIN CULTURAL VADU CRIŞULUI",650,"VADU CRIŞULUI",31976,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:26:30",1430,1430,0,928,879,0,49,1574,646,890,38,2,1,17,4,113,3,268,25,4,15,7,18,363,19,3,28
5,BIHOR,"CĂMIN CULTURAL VĂLANI DE POMEZEU",498,POMEZEU,30470,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:26:55",425,425,0,331,318,0,13,466,135,321,10,0,0,4,1,124,1,2,2,0,11,2,2,160,3,2,7
5,BIHOR,"CĂMIN CULTURAL VĂLANII DE BEIUȘ",649,"UILEACU DE BEIUŞ",31921,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:27:29",191,191,0,177,170,0,7,206,35,166,5,0,1,23,0,0,4,0,1,1,3,1,0,130,1,0,1
5,BIHOR,"CĂMIN CULTURAL VARVIZ",504,POPEŞTI,30568,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:23:06",412,412,0,242,234,0,8,448,206,230,12,0,2,5,0,36,0,1,2,0,12,2,2,147,8,2,11
5,BIHOR,"CAMINUL CULTURAL",541,SÂMBĂTA,31057,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:14:29",274,274,0,250,195,0,55,295,45,235,15,0,1,3,3,49,0,3,1,1,12,0,4,134,6,4,14
5,BIHOR,"CAMINUL CULTURAL",542,SÂMBĂTA,31057,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 00:50:22",104,104,0,91,72,0,19,115,24,87,4,0,0,0,0,5,1,1,0,1,0,0,0,64,2,0,13
5,BIHOR,"CAMINUL CULTURAL",545,SÂMBĂTA,31057,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:06:04",104,104,0,99,67,0,32,114,15,95,4,0,0,2,0,15,0,7,6,0,5,0,1,53,2,1,3
