precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA AUR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
19,GIURGIU,"CĂMINUL CULTURAL GOGOŞARI",139,GOGOŞARI,103309,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:18",592,574,18,413,368,18,27,633,220,391,22,10,0,25,8,3,2,333,1,1,3,4,0,0,1,0,0
19,GIURGIU,"CĂMINUL CULTURAL HULUBEŞTI",92,CĂLUGĂRENI,101662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:36:13",1222,1222,0,933,898,0,35,1343,410,854,79,34,6,81,5,4,2,687,3,1,4,6,7,6,4,1,3
19,GIURGIU,"CĂMINUL CULTURAL IEPUREŞTI",158,IEPUREŞTI,103693,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:26:53",765,765,0,894,602,0,292,894,0,836,58,28,1,61,11,5,2,680,8,11,3,8,3,8,1,2,4
19,GIURGIU,"CĂMINUL CULTURAL LETCA NOUĂ",171,"LETCA NOUĂ",104047,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:18:27",692,692,0,645,510,0,135,755,110,635,10,0,0,9,25,0,0,601,0,0,0,0,0,0,0,0,0
19,GIURGIU,"CĂMINUL CULTURAL LETCA VECHE",172,"LETCA NOUĂ",104047,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:51:18",697,695,2,555,473,2,80,755,200,538,17,16,0,20,14,0,0,488,0,0,0,0,0,0,0,0,0
19,GIURGIU,"CĂMINUL CULTURAL MALU",174,MALU,179739,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:53:33",834,834,0,679,595,0,84,915,236,633,46,14,0,80,6,6,3,511,4,1,0,0,1,5,2,0,0
19,GIURGIU,"CĂMINUL CULTURAL MILCOVĂȚU",173,"LETCA NOUĂ",104047,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:01:29",1107,1107,0,1167,987,0,180,1208,41,1083,84,46,0,66,5,9,1,939,1,4,3,5,0,1,3,0,0
19,GIURGIU,"CĂMINUL CULTURAL OINACU",184,OINACU,104519,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:24:28",1332,1332,0,951,880,0,71,1471,520,916,35,14,2,35,7,0,4,828,6,0,2,2,8,7,0,0,1
19,GIURGIU,"CĂMINUL CULTURAL REMUŞ",124,FRĂTEŞTI,102909,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:35:52",1632,1632,0,1157,1057,0,100,1789,632,1091,66,51,6,137,23,20,6,759,18,9,0,16,12,14,9,5,6
19,GIURGIU,"CĂMINUL CULTURAL STOENEŞTI",218,STOENEŞTI,105348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:52:19",818,818,0,697,609,0,88,902,205,653,44,33,0,55,2,1,1,533,2,3,5,12,3,3,0,0,0
19,GIURGIU,"CANTINA DE AJUTOR SOCIAL",39,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:31:32",764,764,0,242,231,0,11,843,601,234,8,20,1,38,6,3,2,131,3,1,8,6,1,0,6,5,3
19,GIURGIU,"CANTINA SEMINARULUI TEOLOGIC TEOCTIST PATRIARHUL",7,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:09",835,835,0,334,324,0,10,927,593,328,6,17,0,79,14,4,4,171,17,0,3,1,4,12,2,0,0
19,GIURGIU,"CASA DE CULTURĂ PUTINEIU",190,PUTINEIU,104715,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:54:42",913,913,0,817,714,0,103,990,173,755,62,38,6,42,7,6,5,627,3,1,5,4,2,6,2,0,1
19,GIURGIU,"CENTRUL DE ASISTENŢĂ DUPĂ PROGRAMUL ŞCOLAR, DĂRĂŞTI-VLAŞCA",66,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:04:06",1589,1589,0,889,850,0,39,1746,857,811,78,51,0,69,11,6,9,635,7,3,1,2,5,7,4,1,0
19,GIURGIU,"CLADIREA PRIMARIEI GHIMPATI",135,GHIMPAŢI,103238,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:17:28",481,481,0,432,322,0,110,591,159,405,27,0,0,46,8,1,0,337,0,2,0,2,1,3,1,1,3
19,GIURGIU,"CLĂDIRE DE INTERES PUBLIC",166,IZVOARELE,103899,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:33:06",60,53,7,92,32,7,53,115,23,92,0,3,0,5,0,1,1,79,0,2,0,1,0,0,0,0,0
19,GIURGIU,"CLUBUL CADRELOR MILITARE ÎN RETRAGERE",24,"MUNICIPIUL GIURGIU",100521,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:35:12",1462,1462,0,598,584,0,14,1620,1022,576,22,26,4,86,31,14,9,320,15,4,22,7,12,15,6,5,0
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",45,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:43",1026,1026,0,443,432,0,11,1129,686,427,16,13,2,69,26,12,2,246,12,11,8,1,8,11,5,0,1
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",44,"MUNICIPIUL GIURGIU",100521,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:13:06",809,809,0,418,398,0,20,885,467,405,13,11,1,58,16,19,1,256,9,3,2,7,12,6,1,3,0
19,GIURGIU,"COLEGIUL TEHNIC VICEAMIRAL IOAN BĂLĂNESCU",8,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:25:19",975,974,1,393,384,0,9,1078,685,385,8,18,2,73,19,6,1,213,9,1,17,1,13,6,3,2,1
19,GIURGIU,"CREȘA DE COPII CU PROGRAM NORMAL",150,GREACA,103470,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:45:43",1237,1237,0,961,814,0,147,1353,392,922,39,34,5,229,21,8,12,566,9,2,5,0,5,17,3,4,2
19,GIURGIU,"DIRECŢIA PENTRU AGRICULTURĂ JUDEŢEANĂ",15,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:17:57",1205,1137,68,544,468,67,9,1263,719,512,32,29,9,82,20,0,5,309,20,2,12,7,6,3,3,0,5
19,GIURGIU,"DISPENSAR UMAN IZVORU",141,GOGOŞARI,103309,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:53:56",497,481,16,364,322,16,26,545,181,358,6,5,0,8,3,1,0,336,0,0,0,3,0,1,1,0,0
19,GIURGIU,"FOSTA PRIMĂRIE",140,GOGOŞARI,103309,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:07:40",86,83,3,80,66,3,11,90,10,79,1,1,0,6,0,0,0,66,0,1,0,0,3,0,2,0,0
19,GIURGIU,"FOSTA ŞCOALA CU CLASELE I-IV PODU POPA NAE",130,GĂISENI,103087,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:34:27",121,121,0,96,83,0,13,134,38,93,3,4,0,19,1,0,0,64,3,1,1,0,0,0,0,0,0
19,GIURGIU,"FOSTA ŞCOALA RĂLEŞTI",142,GOGOŞARI,103309,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:08:13",122,120,2,85,75,2,8,131,46,82,3,2,0,8,4,1,0,62,0,1,0,1,0,1,0,1,1
19,GIURGIU,"GALERIILE DE ARTĂ",2,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:45:02",898,898,0,438,426,0,12,995,557,422,16,9,5,64,41,11,0,225,18,1,22,5,8,10,0,1,2
19,GIURGIU,"GRADINITA BRĂNIŞTARI",91,CĂLUGĂRENI,101662,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:19:15",538,538,0,359,318,0,41,590,231,343,16,12,0,44,2,2,2,256,7,3,2,2,0,2,1,2,6
19,GIURGIU,"GRĂDINIŢA CĂSUŢA FERMECATĂ",38,"MUNICIPIUL GIURGIU",100521,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:29:11",921,920,1,347,339,0,8,1023,676,323,24,19,2,52,7,0,3,195,9,3,14,1,9,6,0,2,1
19,GIURGIU,"GRĂDINIŢA CRIVINA",54,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:51:18",724,724,0,368,353,0,15,793,425,354,14,28,1,40,8,5,4,235,6,6,2,1,5,12,0,0,1
19,GIURGIU,"GRĂDINIŢA CU PN NR.3 NEAJLOV",95,CLEJANI,101984,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:10:48",1191,1190,1,1033,912,0,121,1294,261,937,96,29,0,60,2,0,5,814,2,0,7,4,5,1,4,1,3
19,GIURGIU,"GRĂDINIŢA CU PN NR.8 CĂRĂMIDARI",16,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:10:21",1693,1693,0,813,726,0,87,1843,1030,773,40,36,4,116,18,8,4,503,13,7,31,8,19,0,3,0,3
19,GIURGIU,"GRĂDINIŢA CU PN NR.9",36,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:00:21",879,878,1,282,272,1,9,971,689,272,10,18,1,45,12,5,3,148,12,1,13,3,2,5,1,3,0
19,GIURGIU,"GRĂDINIŢA CU PP NR.9",37,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:29:57",953,953,0,338,323,0,15,1058,720,316,22,26,0,56,10,2,9,157,5,3,19,11,7,6,4,1,0
19,GIURGIU,"GRĂDINIŢĂ CU PROGRAM NORMAL",219,STOENEŞTI,105348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:33:00",332,330,2,334,270,1,63,355,21,325,9,16,0,15,4,2,0,284,0,1,2,1,0,0,0,0,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL CARTOJANI",198,"ROATA DE JOS",104831,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:16:47",736,736,0,405,397,0,8,810,405,378,27,18,0,41,4,2,5,288,6,2,2,5,2,0,2,0,1
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL CU 3 SĂLI DE GRUPĂ GHIMPAȚI",137,GHIMPAŢI,103238,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:24:06",1203,1202,1,836,680,0,156,1321,485,836,0,21,1,33,7,0,4,755,0,5,0,2,3,0,0,5,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL GRĂDIŞTEA",103,COMANA,102106,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:06:23",1091,1091,0,697,618,0,79,1200,503,667,30,20,5,75,4,3,3,506,3,4,17,7,10,8,2,0,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 BUDENI",101,COMANA,102106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:48:03",594,594,0,393,352,0,41,649,256,373,20,9,0,49,1,1,3,291,1,1,6,3,1,5,1,0,1
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 PIETRIŞU",133,GĂUJANI,103194,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:13:11",799,766,33,615,524,33,58,846,231,537,78,24,0,73,103,5,4,300,1,13,1,3,0,2,0,7,1
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 ROATA MICA",201,"ROATA DE JOS",104831,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:30:15",419,419,0,309,294,0,15,461,152,286,23,16,1,33,5,3,1,207,6,2,3,2,2,1,0,2,2
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2",155,HOTARELE,103639,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:39:28",518,515,3,442,383,3,56,570,128,414,28,12,0,63,4,6,2,301,2,7,8,1,2,4,1,1,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2 GORNENI",159,IEPUREŞTI,103693,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:37:16",502,497,5,462,389,5,68,498,36,410,52,21,3,38,15,2,4,307,8,2,0,5,2,1,1,1,0
19,GIURGIU,"GRADINIŢA CU PROGRAM NORMAL NR.2 PLOPŞORU",112,DAIA,102446,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:10:32",563,559,4,385,361,4,20,622,237,357,28,24,3,36,20,2,2,249,3,0,5,3,2,6,0,1,1
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 3",157,HOTARELE,103639,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:11:53",554,554,0,466,418,0,48,611,145,446,20,16,2,58,8,7,8,321,4,3,5,4,3,5,1,1,0
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR 3",60,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 11:53:32",1137,1137,0,912,842,0,70,1245,333,886,26,33,1,77,6,4,7,746,1,0,1,3,0,3,3,0,1
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 3 CETATEA",122,FRĂTEŞTI,102909,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:23:46",391,391,0,255,224,0,31,427,172,248,7,5,0,49,6,5,1,172,1,0,2,3,2,1,1,0,0
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 ONCEŞTI",217,STĂNEŞTI,105295,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:13:06",281,279,2,224,167,0,57,304,80,208,16,8,0,31,5,3,3,148,0,1,1,2,2,0,2,0,2
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.3 PLOPŞORU",113,DAIA,102446,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:17:58",661,653,8,404,373,8,23,725,321,378,26,12,0,49,4,0,1,288,2,1,6,6,0,6,2,1,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 STEJARU",211,SINGURENI,105106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:00:04",542,542,0,376,345,0,31,600,224,355,21,16,0,68,0,3,0,258,0,4,0,3,0,0,1,1,1
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR.3 VALEA BUJORULUI",168,IZVOARELE,103899,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:28:24",415,368,47,321,231,47,43,404,83,309,12,11,0,13,0,1,0,271,2,2,1,2,2,3,1,0,0
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 VARLAAM",68,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:33:47",465,465,0,238,223,0,15,512,274,225,13,11,0,30,4,3,2,159,2,2,1,3,0,3,3,1,1
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 BĂLANU",215,STĂNEŞTI,105295,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:44:50",443,443,0,303,264,0,39,490,187,283,20,8,0,33,8,3,2,216,3,2,1,0,3,3,1,0,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 4 CETATEA (BĂLĂNOAIA)",123,FRĂTEŞTI,102909,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:40:25",220,220,0,158,126,0,32,240,82,154,4,0,0,21,4,0,13,106,6,0,0,1,1,1,1,0,0
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 MOGOŞEŞTI",67,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:23:43",366,366,0,232,211,0,21,401,169,216,16,16,1,36,11,5,6,134,1,0,1,0,1,2,1,1,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 POŞTA",89,BUTURUGENI,101617,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:16:34",347,347,0,238,221,0,17,389,151,221,17,14,0,22,1,1,5,172,1,1,0,1,1,1,0,1,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.5 COPACIU",136,GHIMPAŢI,103238,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:15:58",659,659,0,462,432,0,30,724,262,461,1,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.6",25,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:22:00",1189,1188,1,500,492,1,7,1510,1010,480,20,23,1,94,31,8,3,254,11,1,22,3,8,13,3,4,1
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 6",81,BUCŞANI,101378,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:58:56",364,360,4,312,277,4,31,397,85,285,27,11,1,16,5,2,7,228,2,3,3,2,3,2,0,0,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.8 GORNENI",14,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:11:36",1201,1201,0,482,397,0,85,1327,845,453,29,20,7,76,21,13,4,257,5,2,19,3,11,7,4,4,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT",65,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:22",1122,1122,0,620,581,0,39,1231,611,593,27,9,0,39,13,4,11,495,8,0,2,1,4,3,2,1,1
19,GIURGIU,"GRĂDINIŢA DE COPII BOLINTIN - DEAL",77,BOLINTIN-DEAL,101163,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:24:11",952,952,0,493,471,0,22,1048,555,455,38,34,0,56,20,6,16,268,14,4,8,4,4,17,1,2,1
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",105,COSOBA,179748,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:24:56",1104,1091,13,727,721,0,6,1192,465,707,20,42,1,119,128,8,5,358,10,11,5,1,3,10,5,1,0
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",106,COSOBA,179748,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:56:15",1108,1100,8,753,749,0,4,1191,438,717,36,29,2,89,143,7,15,387,11,8,11,0,3,9,0,2,1
19,GIURGIU,"GRĂDINIŢA DE COPII SLOBOZIA",213,SLOBOZIA,100549,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:26:23",1110,1101,9,618,609,9,0,1207,589,582,36,20,2,67,4,10,7,447,1,1,6,4,6,2,1,2,2
19,GIURGIU,"GRĂDINIŢA ” IRIS” OGREZENI",182,OGREZENI,104485,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:56:53",784,784,0,568,523,0,45,860,292,547,21,33,1,57,33,4,4,380,2,3,7,5,4,8,3,0,3
19,GIURGIU,"GRĂDINIŢA ”MARIN MOGESCU”",225,ULMI,105623,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:45:58",653,653,0,466,441,0,25,715,249,445,21,22,2,52,29,6,6,227,8,1,78,0,3,6,2,3,0
19,GIURGIU,"GRADINITA NR. 2 BRANISTEA",185,OINACU,104519,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:43:44",770,770,0,647,575,0,72,847,200,629,18,11,0,23,10,0,7,567,0,0,0,0,4,3,1,1,2
19,GIURGIU,"GRADINITA NR. 3 COMASCA",186,OINACU,104519,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:58:08",510,510,0,397,352,0,45,560,163,344,53,3,0,21,1,0,2,311,1,2,0,0,2,1,0,0,0
19,GIURGIU,"GRADINITA NR.4 GHIONEA",226,ULMI,105623,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:04:18",458,458,0,272,259,0,13,505,233,252,20,13,0,31,29,4,0,97,0,2,67,0,6,3,0,0,0
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",10,"MUNICIPIUL GIURGIU",100521,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:50:01",1349,1348,1,518,504,0,14,1488,970,491,27,30,3,80,12,10,7,284,8,6,29,1,6,9,4,2,0
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",9,"MUNICIPIUL GIURGIU",100521,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:28:44",1163,1160,3,462,446,3,13,1281,819,443,19,23,8,71,13,6,1,257,13,11,16,3,4,10,2,5,0
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",57,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 11:13:59",1054,1051,3,874,810,0,64,1138,264,835,39,29,0,80,0,10,0,646,14,21,9,3,9,13,1,0,0
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",59,"ORAŞ MIHĂILEŞTI",104136,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 11:08:20",915,915,0,709,665,0,44,1009,300,669,40,22,1,91,9,7,9,479,15,5,4,9,4,10,4,0,0
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",58,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 11:51:23",842,842,0,694,645,0,49,927,233,657,37,22,2,72,11,3,9,482,20,3,2,10,4,13,2,1,1
19,GIURGIU,"LICEUL ”TUDOR VIANU”",4,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:48:26",1081,1081,0,434,421,0,13,1195,761,413,21,14,5,91,17,12,2,212,9,1,16,3,7,14,6,4,0
19,GIURGIU,"LICEUL ”UDRIŞTE NĂSTUREL”",156,HOTARELE,103639,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:10:45",552,552,0,422,355,0,67,610,188,385,37,20,1,37,2,3,0,299,3,8,2,1,3,1,2,1,2
19,GIURGIU,"LICEUL ”UDRISTE NASTUREL HOTARELE",154,HOTARELE,103639,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:38:37",987,987,0,811,710,0,101,1089,278,756,55,32,1,89,6,8,6,558,8,12,7,10,8,7,2,1,1
