precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA AUR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROMÂNIA SOCIALISTĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi"
23,IALOMIŢA,"CĂMIN CULTURAL, SAT SINTEŞTI",114,BORĂNEŞTI,179784,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:08",313,313,0,229,220,0,9,347,118,216,13,6,1,1,21,9,34,5,0,3,0,9,1,0,2,123,1
23,IALOMIŢA,"CĂMINUL CULTURAL",220,VLĂDENI,94795,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:04:38",733,733,0,482,460,0,22,800,318,462,20,7,1,1,32,3,3,6,0,2,2,37,7,0,4,356,1
23,IALOMIŢA,"CĂMINUL CULTURAL",118,BUCU,93021,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:01:14",1012,1012,0,556,540,0,16,1100,544,533,23,9,0,4,81,16,64,2,0,4,7,36,9,6,16,277,2
23,IALOMIŢA,"CĂMINUL CULTURAL",154,GRINDU,93717,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:40:14",729,729,0,499,473,0,26,800,301,471,28,0,2,0,60,4,0,11,0,3,0,18,1,4,3,363,2
23,IALOMIŢA,"CĂMINUL CULTURAL",155,GRINDU,93717,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:38:55",711,711,0,523,485,0,38,750,227,487,36,7,2,1,49,3,16,1,2,4,0,14,7,4,0,376,1
23,IALOMIŢA,"CĂMINUL CULTURAL",119,BUCU,93021,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:18:05",991,991,0,556,532,0,24,1100,544,524,32,6,9,2,64,10,32,5,0,5,1,45,8,9,10,314,4
23,IALOMIŢA,"CĂMINUL CULTURAL",219,VLĂDENI,94795,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:46:33",848,848,0,539,529,0,10,950,411,511,28,4,1,2,52,3,7,11,0,3,0,32,7,1,4,383,1
23,IALOMIŢA,"CĂMINUL CULTURAL COSÂMBEŞTI",132,COSÂMBEŞTI,93236,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:30:22",800,800,0,530,507,0,23,900,370,492,38,3,6,2,63,0,14,4,1,6,3,42,21,10,9,308,0
23,IALOMIŢA,"CAMINUL CULTURAL COSERENI",134,COŞERENI,102240,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:49:47",1233,1233,0,813,782,0,31,1350,537,778,35,7,3,3,101,31,30,85,3,5,2,58,22,8,4,412,4
23,IALOMIŢA,"CĂMINUL CULTURAL DRĂGOEŞTI",137,DRĂGOEŞTI,102641,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:39:27",719,719,0,588,503,0,85,800,212,551,37,5,0,0,89,3,37,4,3,2,2,27,3,3,4,366,3
23,IALOMIŢA,"CĂMINUL CULTURAL MALU,SALONUL DE NUNŢI SITUATĂ ÎN MALU",208,"SFÂNTU GHEORGHE",94456,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:31:29",840,840,0,583,569,0,14,904,321,536,47,11,2,1,58,6,48,2,2,15,0,26,5,6,3,349,2
23,IALOMIŢA,"CĂMINUL CULTURAL SAT LILIECI",210,SINEŞTI,105026,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:55:38",875,875,0,484,461,0,23,950,466,457,27,6,2,1,102,7,15,5,2,2,2,51,3,5,1,250,3
23,IALOMIŢA,"CĂMINUL CULTURAL SITUATĂ ÎN SATUL SINEŞTI, SINEŞTI",209,SINEŞTI,105026,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:46:42",1273,1273,0,833,787,0,46,1400,567,759,74,9,4,3,99,3,40,0,0,3,0,61,5,7,2,519,4
23,IALOMIŢA,"CASA DE CULTURĂ",62,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:38:42",1127,1127,0,563,552,0,11,1250,687,542,21,5,9,3,53,21,66,6,4,5,5,48,9,13,12,280,3
23,IALOMIŢA,"CASA MUNICIPALĂ DE CULTURĂ „NICOLAE ROTARU”",13,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:46:05",1287,1287,0,493,483,0,10,1446,953,477,16,6,2,3,89,11,36,9,3,2,2,48,8,16,15,227,0
23,IALOMIŢA,"CENTRUL COMUNITAR MULTIFUNCȚIONAL VALEA CIORII",216,"VALEA CIORII",94688,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:36:53",1403,1403,0,1020,1000,0,20,1550,530,960,60,5,0,2,70,7,75,8,2,7,1,39,20,7,2,714,1
23,IALOMIŢA,"CENTRUL DE EDUCAȚIE NON-FORMALĂ",10,"MUNICIPIUL SLOBOZIA",92658,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:21:17",1365,1365,0,616,610,0,6,1550,934,590,26,7,5,3,90,14,43,14,7,4,8,26,7,12,11,327,12
23,IALOMIŢA,"CENTRUL SOCIAL AL PAROHIEI FETEȘTI GARĂ II",55,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:25:40",1268,1268,0,429,422,0,7,1400,971,399,30,6,3,1,52,1,14,14,2,2,1,29,9,10,3,252,0
23,IALOMIŢA,"CENTRU SOCIAL DE ZI VIITORUL",207,"SFÂNTU GHEORGHE",94456,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:55:04",597,597,0,434,405,0,29,660,226,410,24,1,1,0,67,6,19,3,2,2,3,31,1,3,8,261,2
23,IALOMIŢA,"CLUBUL SINDICATELOR",65,"MUNICIPIUL URZICENI",100683,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:38:22",1541,1541,0,755,735,0,20,1700,945,715,40,5,3,4,81,19,75,9,4,2,1,71,25,17,17,377,5
23,IALOMIŢA,"COLEGIUL NAȚIONAL „MIHAI VITEAZUL” (FOST LICEU DE MATEMATICĂ-FIZICĂ)",5,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:42:26",1125,1125,0,503,493,0,10,1268,765,481,22,5,3,4,66,25,29,18,2,4,3,23,13,18,9,258,1
23,IALOMIŢA,"CONTAINER MODULAR(TEREN FOSTA GRĂDINIŢĂ COPUZU)",104,BALACIU,92907,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:58:31",222,222,0,125,122,0,3,250,125,110,15,0,3,0,22,0,19,2,0,1,0,11,0,0,0,52,0
23,IALOMIŢA,"CONTAINER(SITUAT IN CURTEA GRĂDINIȚEI CU PROGRAM NORMAL MARSILIENI)",92,ALBEŞTI,92783,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:14:42",405,405,0,288,259,0,29,450,162,264,24,1,0,0,33,4,4,1,1,0,0,13,0,2,0,204,1
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 11:47:17",927,927,0,377,357,0,20,1022,646,348,27,4,2,2,44,6,9,6,2,5,2,20,4,1,6,231,4
23,IALOMIŢA,"FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL FUNDATA",186,PERIEŢI,94161,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:37:31",393,393,0,224,206,0,18,450,226,215,9,3,5,1,51,5,6,2,1,8,0,12,7,1,3,109,1
23,IALOMIŢA,"FOSTĂ ȘCOALA GIMNAZIALĂ”MIHAI VITEAZUL” - LOCAL BULIGA",34,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:15:44",867,867,0,370,364,0,6,950,580,355,15,7,4,1,40,4,8,3,0,3,3,35,8,3,1,234,1
23,IALOMIŢA,"FOSTA ŞCOALA NR. 1",88,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:14",1095,1095,0,270,267,0,3,1200,930,240,30,0,1,0,14,2,10,3,2,4,2,7,4,1,0,189,1
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL BORDUȘELU",123,CIOCHINA,93101,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:05:43",558,558,0,492,430,0,62,600,108,444,48,3,3,2,34,4,12,11,2,9,3,5,0,2,0,354,0
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL FRUMUȘICA",100,AXINTELE,100923,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:20:45",755,755,0,442,430,0,12,850,408,383,59,4,4,4,96,3,0,2,1,3,0,13,4,3,0,246,0
23,IALOMIŢA,"GRADINIȚA CU PROGRAM NORMAL GIMBĂŞANI",133,COSÂMBEŞTI,93236,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:39:54",724,724,0,502,488,0,14,800,298,481,21,3,2,0,63,8,77,6,2,7,4,27,7,1,7,265,2
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL IAZU",206,SCÂNTEIA,94429,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:35:22",787,787,0,390,380,0,10,850,460,370,20,2,2,1,55,6,41,20,1,8,0,14,1,2,3,213,1
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL OREZU",124,CIOCHINA,93101,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:10:31",587,587,0,400,387,0,13,652,252,368,32,3,3,2,38,4,3,13,1,13,0,20,1,2,0,262,3
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL PROGRESU",145,FĂCĂENI,93575,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:48:30",493,493,0,234,222,0,12,500,266,215,19,0,1,0,92,2,12,1,0,0,0,17,2,3,3,79,3
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL SMIRNA",158,GRIVIŢA,93735,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:14:15",717,717,0,470,420,0,50,800,330,433,37,7,2,3,38,6,17,5,1,0,0,31,6,5,2,309,1
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM NORMAL TRAIAN",214,TRAIAN,179702,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:58:14",1151,1151,0,837,784,0,53,1250,413,751,86,2,2,4,46,9,5,3,0,6,1,29,8,2,1,632,1
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",59,"MUNICIPIUL URZICENI",100683,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:52:03",659,659,0,330,319,0,11,750,420,315,15,3,2,4,41,5,44,5,1,0,0,18,8,5,11,168,0
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBĂ CA ZĂPADA”",47,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:13:55",1011,1011,0,410,396,0,14,1100,690,395,15,2,5,6,56,8,19,9,2,5,1,35,6,5,3,233,0
23,IALOMIŢA,"GRÃDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",28,"MUNICIPIUL SLOBOZIA",92658,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:48:37",1302,1302,0,642,623,0,19,1447,805,619,23,3,5,3,84,26,61,15,7,5,8,35,10,39,24,287,7
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ PITICOT”",17,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:57:15",1458,1458,0,698,682,0,16,1600,902,682,16,1,3,7,76,41,80,16,3,4,7,18,19,23,15,361,8
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL ”",71,"ORAŞ AMARA",92836,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:17:09",1041,1041,0,533,524,0,9,1150,617,498,35,1,4,2,136,18,39,4,0,4,2,24,9,5,8,239,3
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL”",70,"ORAŞ AMARA",92836,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 18:51:54",1287,1287,0,649,637,0,12,1450,801,627,22,12,9,5,186,22,31,4,2,3,7,35,3,5,12,281,10
23,IALOMIŢA,"GRĂDINIŢA DE COPII",61,"MUNICIPIUL URZICENI",100683,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:54:26",931,931,0,473,461,0,12,1000,527,451,22,2,5,3,61,20,68,11,4,0,0,31,16,8,3,216,3
23,IALOMIŢA,"GRĂDINIŢA DRIDU – MOARĂ",139,DRIDU,102703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:54:28",802,802,0,518,492,0,26,900,382,478,40,4,1,3,67,13,15,2,1,1,1,39,3,5,7,316,0
23,IALOMIŢA,"GRĂDINIŢA DRIDU – MOVILA",140,DRIDU,102703,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:54:08",504,504,0,288,257,0,31,550,262,261,27,3,2,2,27,5,9,0,1,1,0,17,5,2,5,182,0
23,IALOMIŢA,"GRĂDINIŢA DRIDU –SNAGOV",141,DRIDU,102703,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:43:47",298,298,0,221,205,0,16,350,129,207,14,5,1,0,20,1,2,0,0,0,1,15,5,1,3,152,1
23,IALOMIŢA,"GRADINITA ION ROATA (LOCALUL VECHI COLINELE)",162,"ION ROATĂ",103862,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:56:12",747,747,0,446,432,0,14,800,354,407,39,12,20,5,87,17,37,9,0,10,4,39,2,5,7,141,12
23,IALOMIŢA,"GRADINIŢA PĂTRIME",136,COŞERENI,102240,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:14:17",1016,1016,0,731,720,0,11,1100,369,685,46,7,5,3,67,7,25,115,2,5,1,62,8,2,2,373,1
23,IALOMIŢA,"GRĂDINIŢA SĂVENI",202,SĂVENI,94376,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:45:03",1184,1184,0,548,541,0,7,1300,752,527,21,3,2,2,72,11,19,5,1,2,3,27,8,5,6,359,2
23,IALOMIŢA,"GRĂDINIȚA SCÂNTEIA",204,SCÂNTEIA,94429,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 18:53:12",1120,1120,0,630,611,0,19,1250,620,600,30,7,5,2,96,5,5,5,2,1,1,29,0,0,0,441,1
23,IALOMIŢA,"GRĂDINIŢA ȘCOLII GIMNAZIALE ”DIMITRIE CANTEMIR”",51,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:08:17",1106,1106,0,553,542,0,11,1200,647,530,23,4,0,4,81,8,30,12,1,3,4,29,8,21,8,311,6
23,IALOMIŢA,"GRUPUL ŞCOLAR ’’SF. ECATERINA’’",63,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:39:44",1255,1255,0,622,611,0,11,1400,778,604,18,4,3,5,62,23,67,9,4,4,3,43,21,14,19,320,3
23,IALOMIŢA,"INTERNATUL COLEGIULUI NATIONAL GRIGORE MOISIL",68,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:20:44",1054,1054,0,502,491,0,11,1150,648,490,12,4,4,3,46,19,56,7,11,2,7,37,11,12,9,258,4
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",27,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:07:13",1385,1385,0,647,637,0,10,1559,912,637,10,2,8,5,81,32,68,11,5,3,7,30,23,19,21,315,7
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",26,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:17:17",1122,1122,0,468,457,0,11,1250,782,453,15,3,4,1,60,20,43,11,3,2,2,17,18,13,14,239,3
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” - ATELIERELE DE CREAȚIE",29,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:15:11",1782,1782,0,897,883,0,14,1924,1027,875,22,8,8,9,108,41,74,15,0,6,3,51,18,33,30,468,3
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",24,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:06:39",1044,1044,0,530,516,0,14,1151,621,509,21,2,4,3,47,13,56,6,3,5,2,23,18,21,15,283,8
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",25,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:51:41",957,957,0,494,483,0,11,1050,556,467,27,2,4,7,62,12,58,17,4,2,5,17,14,17,10,234,2
23,IALOMIŢA,"LICEUL PEDAGOGIC ”MATEI BASARAB” (FOSTĂ ȘCOALA NORMALĂ)",6,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:16:50",1405,1405,0,648,638,0,10,1550,902,633,15,4,10,4,82,23,62,12,3,4,6,33,8,18,14,347,3
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",2,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:19:44",1375,1375,0,692,599,0,93,1500,808,669,23,5,6,5,115,29,48,7,4,4,1,27,14,18,14,368,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",1,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:29:49",1517,1517,0,685,581,0,104,1700,1015,658,27,12,8,5,113,17,37,13,9,7,0,45,7,15,10,357,3
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”",43,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:04:00",928,928,0,462,447,0,15,1050,588,439,23,4,8,1,45,7,20,10,0,3,1,37,10,6,6,281,0
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",57,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:02:43",1403,1403,0,498,488,0,10,1550,1052,469,29,7,7,3,81,13,7,10,4,1,1,47,10,7,4,266,1
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",58,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:10",1062,1062,0,344,336,0,8,1150,806,324,20,6,3,1,38,4,11,6,0,0,2,32,15,3,3,200,0
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”( FOSTA ȘCOALĂ NR.5)",56,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:21:51",1253,1253,0,371,351,0,20,1350,979,345,26,5,2,3,50,5,8,1,3,3,1,31,8,3,4,215,3
23,IALOMIŢA,"LICEUL TEHNOLOGI CĂZĂNEȘTI",76,"ORAŞ CĂZĂNEŞTI",93067,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 12:14:46",1349,1349,0,691,658,0,33,1500,809,611,80,11,6,7,112,9,28,14,4,16,3,47,15,4,8,322,5
23,IALOMIŢA,"LICEUL TEHNOLOGIC, CORP B",75,"ORAŞ CĂZĂNEŞTI",93067,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:39:24",1392,1392,0,703,656,0,47,1550,847,692,11,13,7,3,106,20,69,10,4,6,3,45,38,0,9,359,0
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ",46,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:59:23",1374,1374,0,639,626,0,13,1500,861,618,21,10,2,8,66,18,24,9,9,1,4,49,10,7,10,389,2
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ - CORP C 1",49,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:29:32",818,818,0,309,306,0,3,900,591,297,12,2,1,1,45,6,18,7,0,0,0,24,13,2,3,173,2
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ - CORP C1",50,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:06:11",948,948,0,406,391,0,15,1050,644,388,18,6,2,3,71,7,15,5,2,2,2,37,9,5,6,214,2
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",8,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:37:24",1434,1434,0,638,626,0,12,1605,967,613,25,9,6,6,104,26,43,13,4,5,6,40,16,16,15,298,6
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",9,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:29:22",1263,1263,0,486,477,0,9,1404,918,461,25,4,2,2,77,14,27,5,8,1,1,20,14,4,8,273,1
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”MIHAI EMINESCU” (LICEUL DE CHIMIE)",14,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:57:37",1022,1022,0,403,386,0,17,1150,747,386,17,6,0,4,57,11,25,7,1,2,2,25,11,12,9,209,5
