precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL CĂLINEŞTI",135,"ORAŞ BREZOI",167794,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:21:51",529,529,0,308,294,0,14,580,272,287,21,3,4,1,1,0,7,17,3,172,2,3,6,2,1,51,14
40,VÂLCEA,"CĂMINUL CULTURAL CREMENARI",238,GALICEA,169994,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:45:45",315,315,0,227,218,0,9,350,123,216,11,2,3,3,3,4,1,9,8,133,5,0,1,2,1,29,12
40,VÂLCEA,"CAMINUL CULTURAL DĂEŞTI",209,DĂEŞTI,169351,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:13:31",732,732,0,442,426,0,16,800,358,408,34,2,2,2,0,1,4,8,2,271,6,3,5,1,8,67,26
40,VÂLCEA,"CAMINUL CULTURAL DIANU",388,STROEŞTI,173533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:01",387,387,0,260,244,0,16,430,170,239,21,2,2,1,1,0,2,3,1,123,7,1,5,0,0,70,21
40,VÂLCEA,"CĂMINUL CULTURAL DÎNGEŞTI",168,BERISLĂVEŞTI,168675,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:50:09",248,248,0,174,166,0,8,270,96,158,16,4,4,2,0,1,3,5,0,103,1,1,1,1,3,23,6
40,VÂLCEA,"CĂMINUL CULTURAL DOBRICENI",379,STOENEŞTI,173230,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:50:58",983,983,0,625,609,0,16,1080,455,598,27,4,2,2,2,4,6,9,6,370,3,4,54,1,5,67,59
40,VÂLCEA,"CĂMINUL CULTURAL DRĂGANI",423,"VALEA MARE",174085,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:55:54",407,407,0,274,245,0,29,450,176,267,7,0,5,1,0,1,3,9,3,199,3,1,3,1,1,28,9
40,VÂLCEA,"CĂMINUL CULTURAL FOLEȘTII DE JOS",414,TOMŞANI,173935,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:55:06",645,630,15,402,385,2,15,690,288,363,39,0,5,12,1,5,11,10,7,182,4,10,3,1,7,83,22
40,VÂLCEA,"CĂMINUL CULTURAL FUMURENI",279,LUNGEŞTI,170952,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:11:21",491,491,0,320,289,0,31,540,220,295,25,2,1,1,2,0,2,4,1,208,4,3,4,0,3,50,10
40,VÂLCEA,"CĂMINUL CULTURAL GALICEA",234,GALICEA,169994,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:08:04",907,904,3,561,549,3,9,990,429,537,24,3,2,2,2,1,0,22,14,326,5,3,8,0,6,110,33
40,VÂLCEA,"CĂMINUL CULTURAL GHIOROIU",241,GHIOROIU,170097,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:20:54",442,442,0,302,276,0,26,490,188,268,34,1,1,2,0,0,1,4,5,212,1,0,1,0,0,32,8
40,VÂLCEA,"CĂMINUL CULTURAL GURA VĂII",182,BUJORENI,168880,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:32:16",1139,1139,0,658,634,0,24,1250,592,628,30,5,19,3,6,2,20,22,8,363,12,5,12,5,5,96,45
40,VÂLCEA,"CĂMINUL CULTURAL GUŞOIANCA",255,GUŞOENI,170444,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:22:32",416,399,17,283,244,17,22,440,157,264,19,1,1,2,0,0,4,6,1,205,2,0,1,1,0,36,4
40,VÂLCEA,"CĂMINUL CULTURAL IZVORU RECE",418,VAIDEENI,174021,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:02:49",588,588,0,373,352,0,21,650,277,358,15,2,0,4,1,4,5,14,7,208,1,0,3,0,4,81,24
40,VÂLCEA,"CĂMINUL CULTURAL MĂGURA",299,MIHĂEŞTI,171325,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:09:16",746,746,0,512,493,0,19,820,308,491,21,3,11,2,2,1,11,26,0,305,3,5,6,0,6,88,22
40,VÂLCEA,"CĂMINUL CULTURAL MARIŢA",419,VAIDEENI,174021,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:29:23",459,459,0,284,257,0,27,510,226,264,20,3,3,3,0,1,2,8,2,160,5,2,6,2,6,50,11
40,VÂLCEA,"CÃMINUL CULTURAL MITROFANI",306,MITROFANI,174520,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:54:23",543,502,41,425,341,41,43,560,135,404,21,5,1,0,0,1,10,4,3,305,0,1,4,1,0,63,6
40,VÂLCEA,"CĂMINUL CULTURAL MLĂCENI",332,PERIŞANI,172153,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:47:07",423,406,17,282,265,4,13,450,168,260,22,6,0,3,0,0,1,8,1,201,1,0,1,1,1,20,16
40,VÂLCEA,"CĂMINUL CULTURAL OTEŞANI",322,OTEŞANI,171931,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:02:26",998,998,0,725,666,0,59,1100,375,662,63,1,10,1,2,2,9,11,11,428,4,3,6,0,8,140,26
40,VÂLCEA,"CĂMINUL CULTURAL PĂSCOAIA",136,"ORAŞ BREZOI",167794,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:04:58",163,163,0,116,106,0,10,180,64,115,1,2,0,1,0,3,2,6,1,89,2,0,0,0,2,5,2
40,VÂLCEA,"CĂMINUL CULTURAL PĂUŞEŞTI",324,PĂUŞEŞTI,171995,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:20:26",703,703,0,500,490,0,10,788,288,460,40,1,7,3,0,3,4,6,3,325,3,4,6,2,6,65,22
40,VÂLCEA,"CĂMINUL CULTURAL PERIŞANI",331,PERIŞANI,172153,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:09:07",444,435,9,344,320,9,15,490,146,316,28,5,0,2,0,0,6,13,3,207,5,2,3,1,1,54,14
40,VÂLCEA,"CĂMINUL CULTURAL PISCU MARE",380,STOENEŞTI,173230,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:36:40",491,491,0,346,303,0,43,540,194,330,16,0,0,2,0,5,5,5,6,237,5,1,5,0,5,38,16
40,VÂLCEA,"CĂMINUL CULTURAL POJOGI - CERNA",390,STROEŞTI,173533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:53:58",199,199,0,142,127,0,15,220,78,130,12,0,1,1,0,1,0,2,1,86,5,0,0,0,0,30,3
40,VÂLCEA,"CĂMINUL CULTURAL POPEŞTI",341,POPEŞTI,172377,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:22:27",368,368,0,280,239,0,41,410,130,261,19,0,1,0,1,2,1,2,0,203,10,1,0,0,0,27,13
40,VÂLCEA,"CĂMINUL CULTURAL POPEŞTI",247,GOLEŞTI,170220,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:31:46",752,752,0,528,497,0,31,830,302,497,31,3,10,0,0,6,7,15,0,305,2,4,8,1,1,111,24
40,VÂLCEA,"CĂMINUL CULTURAL RACOVIŢA",346,RACOVIŢA,172509,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:03:51",733,733,0,518,476,0,42,830,312,491,27,0,5,4,7,0,8,32,0,338,4,3,4,2,1,52,31
40,VÂLCEA,"CĂMINUL CULTURAL RĂDĂCINEŞTI",169,BERISLĂVEŞTI,168675,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:28:03",535,535,0,341,333,0,8,560,219,323,18,8,3,0,0,2,2,14,1,195,4,0,1,2,6,57,28
40,VÂLCEA,"CĂMINUL CULTURAL RÂMEȘTI",150,"ORAŞ HOREZU",168041,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:04:53",350,350,0,212,200,0,12,392,180,197,15,2,0,1,1,0,2,24,1,130,2,2,2,0,1,26,3
40,VÂLCEA,"CĂMINUL CULTURAL ROBAIA",170,BERISLĂVEŞTI,168675,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:28:13",176,176,0,133,131,0,2,190,57,118,15,0,0,0,1,0,0,1,3,100,0,0,2,0,0,10,1
40,VÂLCEA,"CĂMINUL CULTURAL ROBEȘTI",190,CÂINENI,169119,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:51:22",166,166,0,112,99,0,13,191,79,103,9,1,0,0,0,2,1,24,2,48,1,2,2,0,2,12,6
40,VÂLCEA,"CĂMINUL CULTURAL ROMANII DE SUS",152,"ORAŞ HOREZU",168041,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:56",259,259,0,168,156,0,12,280,112,147,21,0,4,2,4,2,2,6,0,86,3,0,3,0,2,29,4
40,VÂLCEA,"CĂMINUL CULTURAL SĂLĂTRUCEL",360,SĂLĂTRUCEL,172894,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:21",1226,1214,12,792,762,12,18,1330,538,751,41,32,9,6,3,4,15,16,8,402,29,16,0,4,12,145,50
40,VÂLCEA,"CĂMINUL CULTURAL ŞERBĂNEŞTI",327,PĂUŞEŞTI,171995,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:00:01",488,483,5,324,314,5,5,530,206,298,26,0,3,2,0,0,5,10,3,200,5,0,1,1,3,51,14
40,VÂLCEA,"CĂMINUL CULTURAL SPINU",335,PERIŞANI,172153,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:04:20",287,280,7,209,201,1,7,310,101,167,42,16,0,1,0,1,1,11,1,111,0,0,0,0,0,18,7
40,VÂLCEA,"CĂMINUL CULTURAL STOENESTI",377,STOENEŞTI,173230,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:52:50",848,848,0,618,572,0,46,940,322,578,40,3,5,0,1,3,18,7,1,415,12,0,10,0,6,72,25
40,VÂLCEA,"CĂMINUL CULTURAL STOENEŞTI",167,BERISLĂVEŞTI,168675,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:59",767,767,0,524,502,0,22,850,326,489,35,7,4,3,0,2,18,12,5,309,9,0,9,2,8,66,35
40,VÂLCEA,"CĂMINUL CULTURAL TĂNĂSEȘTI",154,"ORAŞ HOREZU",168041,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:12:42",126,126,0,91,78,0,13,140,49,79,12,1,2,1,0,1,1,6,1,43,4,0,1,0,0,12,6
40,VÂLCEA,"CĂMINUL CULTURAL TETOIU",405,TETOIU,173855,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:06:08",515,489,26,364,295,26,43,540,176,343,21,3,1,1,1,1,3,27,4,203,4,2,4,2,2,70,15
40,VÂLCEA,"CĂMINUL CULTURAL TOMŞANI",412,TOMŞANI,173935,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:47:50",897,897,0,592,572,0,20,990,398,538,54,0,11,11,2,1,12,21,6,280,17,7,7,3,10,107,43
40,VÂLCEA,"CĂMINUL CULTURAL URȘANI",155,"ORAŞ HOREZU",168041,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:24:35",369,368,1,257,241,1,15,407,150,244,13,1,12,2,1,0,6,34,1,151,3,0,1,0,0,23,9
40,VÂLCEA,"CĂMINUL CULTURAL UŞUREI",404,ŞUŞANI,173793,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:37:26",438,411,27,266,230,9,27,460,194,253,13,0,2,0,0,0,2,11,3,188,2,0,1,0,1,32,11
40,VÂLCEA,"CĂMINUL CULTURAL VAIDEENI",417,VAIDEENI,174021,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:46:32",1173,1173,0,781,737,0,44,1290,509,682,99,2,20,3,0,1,0,12,4,445,16,6,7,2,5,117,42
40,VÂLCEA,"CĂMINUL CULTURAL VAIDEENI",416,VAIDEENI,174021,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:36:18",893,893,0,565,508,0,57,990,425,519,46,1,21,5,2,4,28,19,7,293,16,0,4,2,6,92,19
40,VÂLCEA,"CĂMINUL CULTURAL VULPUEŞTI",301,MIHĂEŞTI,171325,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:36:24",604,604,0,413,404,0,9,660,247,385,28,1,2,3,3,2,7,7,2,258,4,6,5,4,0,60,21
40,VÂLCEA,"CĂMINUL CULTURAL ZMEURĂTU",381,STOENEŞTI,173230,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:21:45",136,136,0,117,88,0,29,143,26,104,13,0,1,0,0,0,1,4,0,70,4,2,1,0,1,16,4
40,VÂLCEA,"CARTIER PETRIŞOR - PT8",49,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:35",1456,1448,8,567,559,0,8,1600,1033,548,19,5,14,10,4,4,10,33,3,229,18,7,4,1,20,145,41
40,VÂLCEA,"CASA CĂSĂTORIILOR DIN CADRUL CLĂDIRII BIBLIOTECII COMUNALE",173,BUDEŞTI,168791,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:07:35",1383,1383,0,813,786,0,27,1510,697,802,11,0,19,4,1,3,18,39,3,473,16,10,1,4,15,136,60
40,VÂLCEA,"CASA DE CULTURĂ CONSTANTIN BRÂNCOVEANU",149,"ORAŞ HOREZU",168041,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:50:00",1053,1052,1,646,628,0,18,1162,516,612,34,3,11,8,2,4,17,66,4,308,28,2,10,1,5,113,30
40,VÂLCEA,"CASA DE CULTURĂ SLĂTIOARA",369,SLĂTIOARA,173061,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:46:28",781,781,0,571,551,0,20,900,329,523,48,1,6,2,1,1,4,13,1,332,10,2,0,5,1,108,36
40,VÂLCEA,"CENTRUL CULTURAL TEPŞENARI",305,MILCOIU,171469,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:42:48",313,313,0,279,229,0,50,340,61,261,18,0,9,0,1,1,8,13,0,157,3,0,0,1,2,45,21
40,VÂLCEA,"CENTRUL DE INFORMARE TURISTICA CACIULATA",143,"ORAŞ CĂLIMĂNEŞTI",167909,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:10:25",651,650,1,552,343,1,208,720,168,530,22,7,23,5,7,5,13,44,3,260,16,3,10,0,9,94,31
40,VÂLCEA,"CENTRUL DE ÎNGRIJIRE ȘI ASISTENȚĂ PENTRU PERSOANE VARSTNICE",223,FÂRTĂŢEŞTI,169681,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:25:46",363,351,12,247,216,12,19,360,113,242,5,2,0,0,0,0,0,3,1,134,0,1,0,0,0,99,2
40,VÂLCEA,"CENTRUL NAȚIONAL DE INFORMARE ȘI PROMOVARE TURISTICĂ CĂLIMĂNEŞTI",142,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:20:27",501,501,0,301,262,0,39,550,249,288,13,7,7,2,2,0,7,18,0,176,4,0,5,2,3,44,11
40,VÂLCEA,"CENTRUL PENTRU SERVICII SOCIALE",160,ALUNU,168229,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:18:33",269,269,0,163,154,0,9,300,137,149,14,2,2,1,0,0,3,4,1,45,4,0,1,0,0,73,13
40,VÂLCEA,"CENTRUL SOCIAL OBROCEŞTI",389,STROEŞTI,173533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:43:59",254,254,0,172,157,0,15,280,108,144,28,0,2,1,0,0,4,6,3,81,2,2,1,1,3,27,11
40,VÂLCEA,"CLĂDIRE GRĂDINIȚĂ PÎRÎIENII DE JOS",275,LIVEZI,170872,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:34:37",895,895,0,598,565,0,33,980,382,564,34,8,2,1,1,0,2,10,6,238,2,1,10,1,3,253,26
40,VÂLCEA,"CLĂDIRE ȘCOALĂ I-IV TINA",274,LIVEZI,170872,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:03:24",535,514,21,399,370,0,29,590,191,372,27,0,3,0,6,0,0,10,3,192,7,0,8,0,4,127,12
40,VÂLCEA,"CLUBUL COPIILOR HOREZU",148,"ORAŞ HOREZU",168041,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:04",1031,1031,0,589,568,0,21,1199,610,554,35,1,11,10,4,1,10,51,7,297,25,1,11,2,10,88,25
40,VÂLCEA,"COLEGIUL ECONOMIC",54,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:31:55",1046,1046,0,514,507,0,7,1160,646,507,7,5,35,7,7,3,20,35,6,222,11,3,7,6,20,102,18
40,VÂLCEA,"COLEGIUL ECONOMIC",55,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:10:35",1053,1038,15,452,421,15,16,1140,688,436,16,3,14,3,3,8,13,25,2,216,20,1,7,1,6,92,22
40,VÂLCEA,"COLEGIUL ECONOMIC",53,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:44:31",1034,1034,0,444,436,0,8,1140,696,436,8,3,26,10,2,2,18,35,9,186,5,7,6,6,7,91,23
40,VÂLCEA,"COLEGIUL ENERGETIC",1,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:05:58",1796,1796,0,772,757,0,15,1970,1198,749,23,9,32,11,7,10,36,94,4,275,21,8,7,11,22,163,39
40,VÂLCEA,"COLEGIUL ENERGETIC",2,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:13:05",866,866,0,408,393,0,15,1040,630,403,5,3,27,3,6,5,8,42,6,150,17,4,3,2,19,90,18
40,VÂLCEA,"COLEGIUL NAȚIONAL ALEXANDRU LAHOVARI",29,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:02:46",992,992,0,482,460,0,22,1090,608,471,11,7,30,9,3,4,15,47,3,211,21,0,1,2,13,84,21
40,VÂLCEA,"COLEGIUL NAȚIONAL ALEXANDRU LAHOVARI",30,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:57:11",1365,1349,16,646,630,0,16,1490,844,636,10,6,35,13,5,6,22,73,6,258,27,1,5,4,17,123,35
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",15,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:54:24",752,752,0,363,346,0,17,830,467,345,18,1,19,6,3,6,7,32,3,148,22,2,0,4,5,67,20
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",17,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:48:45",1200,1200,0,544,530,0,14,1330,786,523,21,4,35,2,2,7,21,43,0,223,19,4,6,4,12,115,26
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",14,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:54:09",968,968,0,386,372,0,14,1070,684,376,10,5,14,5,1,5,12,23,3,145,18,2,7,4,9,85,38
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",16,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:48:16",974,974,0,414,409,0,5,1040,626,398,16,6,28,4,3,4,10,34,5,155,13,5,3,4,16,85,23
40,VÂLCEA,"COLEGIUL NAȚIONAL GIB MIHĂESCU",100,"MUNICIPIUL DRĂGĂŞANI",167981,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:11:04",1425,1425,0,702,690,0,12,1570,868,664,38,6,22,5,5,4,24,67,2,308,21,9,9,4,13,132,33
40,VÂLCEA,"DADP - SEDIU, BL A17",34,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:55:33",2003,1988,15,924,909,0,15,2200,1276,894,30,6,55,10,2,3,42,84,5,339,31,4,6,10,25,232,40
40,VÂLCEA,"DIRECȚIA ADMINISTRĂRII DOMENIULUI PUBLIC",70,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:17:17",1150,1084,66,667,586,66,15,1190,523,638,29,8,38,2,0,6,13,40,4,309,9,2,4,11,26,146,20
