precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUREŞAN CORNELIU-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITREL ION-PARTIDUL NAȚIONAL LIBERAL-voturi","OLAR CORNELIU-DAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHINESCU ION-PARTIDUL S.O.S. ROMÂNIA-voturi","ROF MARIUS-NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TALPAŞ CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"CĂMIN CULTURAL IZVOARELE",293,LIVEZILE,5167,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:34",1651,1632,5,7,7,1644,1637,2,5,0,1584,60,1854,210,158,281,541,118,207,279
1,ALBA,"CĂMIN CULTURAL LEORINȚ",351,RĂDEŞTI,6547,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:39",2546,2527,6,8,5,1918,1910,3,0,5,1686,232,2917,999,212,374,239,647,122,92
1,ALBA,"CĂMIN CULTURAL LIMBA",233,CIUGUD,1071,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:14",2486,2469,2,8,7,2451,2445,1,3,2,2436,15,2596,145,9,554,341,247,445,840
1,ALBA,"CĂMIN CULTURAL LUNCA TÂRNAVEI",408,ŞONA,7865,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:44",2618,2616,2,0,0,2483,2481,2,0,0,2482,1,2933,450,857,844,391,91,208,91
1,ALBA,"CĂMIN CULTURAL MĂTIȘEȘTI",274,HOREA,4767,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:32",1698,1681,5,5,7,1646,1638,1,3,4,1225,421,1791,145,185,659,172,53,73,83
1,ALBA,"CĂMIN CULTURAL OBREJA",318,MIHALŢ,5700,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:36",1470,1453,7,0,10,1260,1253,3,0,4,1101,159,1552,292,201,297,147,50,30,376
1,ALBA,"CĂMIN CULTURAL POIANA AIUDULUI",294,LIVEZILE,5167,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:34",928,903,10,7,8,784,775,3,3,3,751,33,1287,503,147,206,95,6,36,261
1,ALBA,"CĂMIN CULTURAL SÂNBENEDIC",251,FĂRĂU,4302,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:30",2048,2039,0,2,7,2032,2029,0,0,3,1395,637,2266,234,441,358,297,31,155,113
1,ALBA,"CĂMIN CULTURAL, SAT IZVORUL AMPOIULUI",178,"ORAŞ ZLATNA",1936,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:24",2679,2658,8,6,7,2474,2458,6,5,5,1913,561,2997,523,577,475,206,42,403,210
1,ALBA,"CĂMIN CULTURAL, SAT VÂLTORI",183,"ORAŞ ZLATNA",1936,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:24",1255,1247,1,1,6,996,989,1,0,6,712,284,1563,567,109,32,232,178,129,32
1,ALBA,"CĂMIN CULTURAL ȘEUȘA",234,CIUGUD,1071,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:14",3568,3554,1,10,3,3458,3449,0,9,0,2923,535,4001,543,484,675,216,1331,41,176
1,ALBA,"CĂMIN CULTURAL ȘIBOT",401,ŞIBOT,7810,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:43",2120,2104,9,3,4,1895,1886,5,3,1,1262,633,2581,686,397,123,105,86,429,122
1,ALBA,"CĂMIN CULTURAL ȘILEA",252,FĂRĂU,4302,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:30",2546,2535,5,0,6,2310,2299,5,0,6,2210,100,2916,606,411,1179,2,433,182,3
1,ALBA,"CĂMIN CULTURAL SILIVAŞ",267,HOPÂRTA,4703,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:31",1885,1879,0,3,3,1858,1855,0,2,1,1026,832,1957,99,536,12,330,53,27,68
1,ALBA,"CĂMIN CULTURAL ŞPĂLNACA",268,HOPÂRTA,4703,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:31",3393,3383,0,7,3,3114,3109,0,5,0,2865,249,3499,385,532,51,266,27,503,1486
1,ALBA,"CĂMIN CULTURAL TĂUNI",430,"VALEA LUNGĂ",8354,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:46",883,869,4,0,10,627,621,0,0,6,596,31,1251,624,172,91,53,157,93,30
1,ALBA,"CĂMIN CULTURAL TELEAC",235,CIUGUD,1071,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:14",2158,2143,3,8,4,1784,1779,0,4,1,1739,45,2473,689,494,571,436,3,24,211
1,ALBA,"CĂMIN CULTURAL TURDAŞ",269,HOPÂRTA,4703,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:31",2327,2318,2,1,6,2310,2301,2,1,6,2224,86,2697,387,71,329,7,478,1034,305
1,ALBA,"CĂMIN CULTURAL VĂLIȘOARA",295,LIVEZILE,5167,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:34",3006,2989,4,6,7,2358,2352,3,0,3,2037,321,3007,649,2,1262,98,359,306,10
1,ALBA,"CĂMIN CULTURAL VAMA SEACĂ",270,HOPÂRTA,4703,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:32",1821,1801,6,9,5,1731,1722,1,7,1,1432,299,1863,132,133,119,378,120,214,468
1,ALBA,"CĂMINUL CULTURAL",224,CERU-BĂCĂINŢI,3841,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:28",2895,2892,1,2,0,2755,2755,0,0,0,2678,77,3189,434,378,612,72,25,1568,23
1,ALBA,"CĂMINUL CULTURAL",345,POŞAGA,6468,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:38",1385,1374,2,6,3,976,969,1,5,1,828,148,1555,579,36,79,325,38,57,293
1,ALBA,"CĂMINUL CULTURAL ALBAC",184,ALBAC,2130,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:24",2867,2855,5,4,3,2853,2846,2,2,3,2460,393,3148,295,178,247,1519,418,47,51
1,ALBA,"CĂMINUL CULTURAL ALECUŞ",406,ŞONA,7865,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:43",1503,1500,1,2,0,1215,1214,0,1,0,1194,21,1903,688,99,285,96,285,83,346
1,ALBA,"CĂMINUL CULTURAL ALMAȘU MARE - SUSENI",190,"ALMAŞU MARE",2309,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:25",2532,2522,6,1,3,2178,2174,0,1,3,2064,114,2716,538,90,292,593,535,41,513
1,ALBA,"CĂMINUL CULTURAL AVRAM IANCU",198,"AVRAM IANCU",2577,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:25",3838,3828,6,2,2,3428,3424,1,1,2,2982,446,4132,704,98,311,240,1266,473,594
1,ALBA,"CĂMINUL CULTURAL BALOMIR",402,ŞIBOT,7810,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:43",3176,3162,1,9,4,3039,3029,1,7,2,2434,605,3363,324,988,392,292,693,50,19
1,ALBA,"CĂMINUL CULTURAL BOZ",247,DOŞTAT,4268,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:29",3358,3346,10,2,0,2905,2904,0,1,0,2352,553,3808,903,492,143,338,32,46,1301
1,ALBA,"CĂMINUL CULTURAL BUCERDEA GRÂNOASĂ",212,"BUCERDEA GRÂNOASĂ",9026,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:47",2282,2266,8,1,7,1996,1989,0,1,6,1788,208,2589,593,144,77,187,28,935,417
1,ALBA,"CĂMINUL CULTURAL CĂPÎLNA DE JOS",289,JIDVEI,5103,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:33",2840,2824,4,7,5,2625,2621,0,4,0,2123,502,2884,259,246,31,620,205,502,519
1,ALBA,"CĂMINUL CULTURAL CIOARA DE SUS",121,"ORAŞ BAIA DE ARIEŞ",2915,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:26",3111,3086,5,10,10,2930,2920,0,3,7,2898,32,3593,663,24,714,46,419,303,1392
1,ALBA,"CĂMINUL CULTURAL CIUGUDU DE JOS",420,UNIREA,8158,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:45",1068,1057,4,1,6,1064,1055,3,1,5,1015,49,1247,183,7,116,74,113,2,703
1,ALBA,"CĂMINUL CULTURAL ”EUGEN CURTA” GALTIU",386,SÂNTIMBRU,7384,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:42",2467,2448,4,8,7,2148,2141,2,2,3,1610,538,2697,549,98,187,93,894,213,125
1,ALBA,"CĂMINUL CULTURAL FEISA",290,JIDVEI,5103,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:33",2887,2877,7,3,0,2821,2815,6,0,0,2090,731,3271,450,86,301,666,794,180,63
1,ALBA,"CĂMINUL CULTURAL GĂBUD",328,NOŞLAC,6048,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:37",1898,1888,0,8,2,1287,1282,0,3,2,1016,271,1941,654,167,12,320,223,110,184
1,ALBA,"CĂMINUL CULTURAL GALDA DE JOS",253,"GALDA DE JOS",4366,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:30",528,511,8,1,8,510,494,7,1,8,506,4,874,364,3,88,5,47,249,114
1,ALBA,"CAMINUL CULTURAL GEOGEL",344,PONOR,6397,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:38",2763,2757,4,0,2,2733,2733,0,0,0,2730,3,2989,256,23,49,12,454,388,1804
1,ALBA,"CĂMINUL CULTURAL GEOMAL",400,STREMŢ,7767,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:43",642,632,6,0,4,626,618,6,0,2,621,5,896,270,62,223,229,2,46,59
1,ALBA,"CĂMINUL CULTURAL INOC",423,UNIREA,8158,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:45",3543,3534,0,3,6,3120,3116,0,0,4,2740,380,3561,441,1115,182,687,448,170,138
1,ALBA,"CĂMINUL CULTURAL INURI",437,"VINŢU DE JOS",8826,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:47",2746,2725,8,7,6,2668,2657,1,4,6,2516,152,3063,395,37,389,869,258,316,647
1,ALBA,"CĂMINUL CULTURAL JIDVEI",287,JIDVEI,5103,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:33",3639,3617,8,4,10,3347,3339,4,0,4,2750,597,3850,503,426,30,1144,499,555,96
1,ALBA,"CĂMINUL CULTURAL LUNCA AMPOIȚEI",311,METEŞ,5577,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:35",2918,2907,4,7,0,2685,2683,1,1,0,2306,379,3091,406,1465,29,591,118,14,89
1,ALBA,"CĂMINUL CULTURAL LUPȘA",305,LUPŞA,5336,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:35",2608,2600,8,0,0,1719,1711,8,0,0,1658,61,3066,1347,108,175,498,150,143,584
1,ALBA,"CĂMINUL CULTURAL MĂHĂCENI",424,UNIREA,8158,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:46",1420,1409,1,4,6,1273,1265,0,4,4,1251,22,1614,341,308,97,684,36,4,122
1,ALBA,"CĂMINUL CULTURAL MERETEU",438,"VINŢU DE JOS",8826,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:47",718,711,0,6,1,695,690,0,5,0,543,152,1206,511,19,97,130,107,58,132
1,ALBA,"CĂMINUL CULTURAL MUNCELU",122,"ORAŞ BAIA DE ARIEŞ",2915,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:26",3144,3134,0,9,1,2728,2722,0,5,1,2583,145,3412,684,319,130,113,472,217,1332
1,ALBA,"CĂMINUL CULTURAL NECRILEȘTI",286,ÎNTREGALDE,4981,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:33",3091,3069,8,5,9,3048,3041,4,2,1,2512,536,3459,411,580,143,285,528,933,43
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:13",2030,2014,10,6,0,1893,1882,7,4,0,1858,35,2481,588,326,519,41,7,88,877
1,ALBA,"CĂMINUL CULTURAL OIEJDEA",258,"GALDA DE JOS",4366,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:31",2573,2559,9,3,2,2480,2480,0,0,0,1955,525,2933,453,16,215,1300,196,210,18
1,ALBA,"CĂMINUL CULTURAL PĂGIDA",70,"MUNICIPIUL AIUD",1213,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:16",3689,3677,4,3,5,3341,3339,0,2,0,2684,657,3705,364,131,1821,140,12,236,344
1,ALBA,"CĂMINUL CULTURAL POIANA AMPOIULUI",312,METEŞ,5577,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:35",1154,1139,1,9,5,1146,1132,0,9,5,855,291,1599,453,278,9,145,116,260,47
1,ALBA,"CĂMINUL CULTURAL PRESACA AMPOIULUI",313,METEŞ,5577,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:35",1078,1058,10,4,6,861,851,9,1,0,606,255,1190,329,47,36,130,40,95,258
1,ALBA,"CĂMINUL CULTURAL RĂZBOIENI-CETATE",165,"ORAŞ OCNA MUREŞ",1794,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:22",1410,1396,1,9,4,885,873,1,8,3,543,342,1799,914,88,52,276,94,29,4
1,ALBA,"CĂMINUL CULTURAL SÂNCEL",379,SÂNCEL,7348,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:41",2821,2800,4,9,8,2658,2646,0,8,4,2509,149,3049,391,251,55,350,244,622,987
1,ALBA,"CĂMINUL CULTURAL SÂNTIMBRU",383,SÂNTIMBRU,7384,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:42",3050,3039,1,9,1,2545,2536,1,8,0,2452,93,3168,623,425,35,752,490,153,597
1,ALBA,"CĂMINUL CULTURAL SARTĂŞ",123,"ORAŞ BAIA DE ARIEŞ",2915,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:26",2481,2470,4,5,2,1788,1780,4,3,1,1588,200,2865,1077,301,513,105,150,475,44
1,ALBA,"CĂMINUL CULTURAL SCĂRIȘOARA",388,SCĂRIŞOARA,7197,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:41",2747,2727,5,7,8,2354,2349,5,0,0,1980,374,3018,664,806,79,116,368,458,153
1,ALBA,"CĂMINUL CULTURAL SOHODOL",394,SOHODOL,7446,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:42",1304,1283,8,3,10,1280,1268,6,2,4,1161,119,1361,81,700,48,169,122,30,92
1,ALBA,"CĂMINUL CULTURAL STÂNA DE MUREȘ",329,NOŞLAC,6048,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:37",2262,2257,2,2,1,2111,2107,2,1,1,1776,335,2431,320,235,937,34,264,147,159
1,ALBA,"CĂMINUL CULTURAL VADU MOȚILOR",425,"VADU MOŢILOR",8229,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:46",2469,2451,1,7,10,2403,2393,0,6,4,2343,60,2623,220,487,513,491,277,280,295
1,ALBA,"CĂMINUL CULTURAL VESEUŞ",291,JIDVEI,5103,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:33",2779,2775,1,3,0,2756,2753,1,2,0,2739,17,3146,390,393,543,274,1162,288,79
1,ALBA,"CĂMINUL CULTURAL VINŢU DE JOS",434,"VINŢU DE JOS",8826,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:46",1466,1457,6,2,1,1417,1414,3,0,0,1105,312,1727,310,338,115,290,299,31,32
1,ALBA,"CĂMINUL CULTURAL VURPĂR",440,"VINŢU DE JOS",8826,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:47",3534,3519,8,1,6,3029,3021,1,1,6,2892,137,3955,926,547,1444,83,307,422,89
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:13",1818,1802,7,5,4,1623,1615,7,1,0,1080,543,1965,342,515,63,54,264,132,52
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:09",1672,1655,6,8,3,1099,1094,1,4,0,1011,88,1974,875,51,240,24,8,74,614
1,ALBA,"CASA DE CULTURĂ ”ION SÂNGEREANU”",157,"ORAŞ OCNA MUREŞ",1794,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:21",818,817,0,0,1,704,703,0,0,1,582,122,921,217,43,16,77,78,120,248
1,ALBA,"CASA DE CULTURĂ TEIUŞ",166,"ORAŞ TEIUŞ",8096,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:44",2466,2452,5,3,6,2436,2425,5,0,6,2291,145,2579,143,20,69,682,191,533,796
1,ALBA,"CASĂ PARTICULARĂ",428,"VALEA LUNGĂ",8354,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:46",2313,2294,8,10,1,1865,1858,5,1,1,1805,60,2531,666,954,265,18,157,99,312
1,ALBA,"CENTRU DE ZI PERSOANE VĂRSTNICE",385,SÂNTIMBRU,7384,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:42",2486,2471,1,7,7,2313,2310,0,0,3,1767,546,2494,181,79,142,1010,303,148,85
1,ALBA,"CENTRUL CULTURAL ”IACOB MUREŞIANU’’",81,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:17",1108,1094,2,7,5,1047,1044,0,3,0,765,282,1281,234,12,216,148,261,108,20
1,ALBA,"CENTRUL CULTURAL ”VALENTIN URITESCU” AL ORAŞULUI CUGIR",145,"ORAŞ CUGIR",1696,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:20",1736,1723,2,2,9,1714,1706,1,2,5,837,877,2035,321,71,410,101,115,133,7
1,ALBA,"CENTRUL DE INFORMARE TURISTICĂ",324,MOGOŞ,5826,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:36",2665,2645,9,7,4,2372,2366,5,1,0,2232,140,3037,665,434,873,154,269,263,239
1,ALBA,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",1,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:09",639,619,10,0,10,530,517,7,0,6,520,10,668,138,21,120,278,26,58,17
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ COLIBI (FOSTA ŞCOALĂ GENERALĂ)",335,OHABA,6164,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:37",1715,1709,1,3,2,1387,1386,0,0,1,1377,10,1725,338,36,186,756,57,306,36
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ (FOSTA ŞCOALĂ GENERALĂ CU CLASELE I-IV) PLAIURI",339,PIANU,6217,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:38",1499,1481,10,6,2,840,835,4,1,0,780,60,1882,1042,270,29,102,40,157,182
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ (FOSTĂ ŞCOALA GENERALĂ DOBRA)",415,ŞUGAG,8014,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:44",1633,1612,8,9,4,1399,1387,2,7,3,1345,54,1957,558,240,208,178,229,27,463
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ (FOSTĂ ŞCOALA GENERALĂ POIANA GALDEI)",259,"GALDA DE JOS",4366,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:31",1833,1818,8,2,5,1754,1743,6,1,4,1570,184,2061,307,152,779,50,223,186,180
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ SĂRĂCSĂU (FOSTA ŞCOALĂ GENERALĂ)",404,ŞIBOT,7810,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:43",3465,3460,1,1,3,3318,3314,1,0,3,2865,453,3812,494,247,554,964,537,448,115
1,ALBA,"CLĂDIRE ANEXĂ PRIMĂRIA LOPADEA NOUĂ",301,"LOPADEA NOUĂ",5210,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:34",3416,3416,0,0,0,2783,2783,0,0,0,2583,200,3866,1083,622,99,153,929,677,103
1,ALBA,"CLĂDIRE ANEXĂ PRIMĂRIA LOPADEA NOUĂ",298,"LOPADEA NOUĂ",5210,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:34",3479,3478,0,0,1,2881,2881,0,0,0,2548,333,3596,715,221,107,1566,30,228,396
1,ALBA,"CLĂDIRE ANEXĂ PRIMĂRIA LOPADEA NOUĂ",300,"LOPADEA NOUĂ",5210,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:34",1628,1622,3,1,2,1551,1548,1,1,1,1540,11,1787,236,531,302,134,122,263,188
