precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STĂVĂRACHE COSTEL-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","FLOREA GABRIEL-FLORINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GÂDEA ADRIAN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","MARDALE GEORGE-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi","ŢOLE MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL RĂDULEŞTI",154,CREVENICU,151932,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:35:14",427,395,0,13,19,306,274,0,13,19,296,10,430,124,10,47,213,12,14
36,TELEORMAN,"CĂMINUL CULTURAL RĂSMIREŞTI",259,RĂSMIREŞTI,153909,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:52:58",790,591,2,164,33,624,425,2,164,33,609,15,740,114,2,24,179,13,391
36,TELEORMAN,"CĂMINUL CULTURAL SILIŞTEA",282,SILIŞTEA,154228,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:24:45",1029,972,0,26,31,796,739,0,26,31,767,29,1070,274,60,29,442,36,200
36,TELEORMAN,"CĂMINUL CULTURAL TECUCI",93,BALACI,151996,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:18:52",552,489,0,32,31,405,342,0,32,31,395,10,540,135,3,162,202,14,14
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE JOS",322,VÂRTOAPE,154932,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:04:38",707,636,1,39,31,547,477,0,39,31,547,0,735,180,0,0,293,0,254
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE SUS",320,VÂRTOAPE,154932,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:20:34",839,756,0,58,25,629,546,0,58,25,606,23,825,196,10,89,277,12,218
36,TELEORMAN,"CASA DE CULTURĂ",51,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:58:42",1017,1000,0,16,1,402,385,0,16,1,393,9,1110,703,139,34,176,7,37
36,TELEORMAN,"CASA DE CULTURA VIDELE",76,"ORAŞ VIDELE",151905,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:58:13",1465,1443,0,21,1,951,929,0,21,1,915,36,1590,639,109,91,283,42,390
36,TELEORMAN,"CENTRU DE ZI",160,DRACEA,155109,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:36:00",64,56,0,1,7,50,42,0,1,7,48,2,70,20,1,2,10,0,35
36,TELEORMAN,"CENTRU DE ZI",161,DRACEA,155109,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:27:30",139,109,0,5,25,118,88,0,5,25,116,2,140,22,1,2,7,1,105
36,TELEORMAN,"CENTRU EDUCAȚIONAL",71,"MUNICIPIUL TURNU MĂGURELE",151683,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:04:32",1229,1223,0,6,0,400,394,0,6,0,377,23,1350,950,21,50,219,16,71
36,TELEORMAN,"CENTRUL CULTURAL",40,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:34:30",1014,1007,0,5,2,412,405,0,5,2,388,24,1110,698,94,42,209,14,29
36,TELEORMAN,"CENTRUL DE ÎNGRIJIRE DE ZI PENTRU COPIII ÎN SITUAȚII DE RISC ÎN COMUNA DOBROTEȘTI",157,DOBROTEŞTI,152760,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:29:12",1232,1207,0,7,18,626,601,0,7,18,598,28,1320,694,52,69,412,27,38
36,TELEORMAN,"CENTRUL MEMORIAL ”MARIN PREDA”",285,SILIŞTEA-GUMEŞTI,154282,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:09:55",1154,1089,0,20,45,713,648,0,20,45,681,30,1193,481,42,172,271,29,167
36,TELEORMAN,"CLĂDIREA FOSTA ȘCOALĂ GIMNAZIALĂ CIURARI",266,SĂCENI,153972,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:25:33",313,285,0,16,12,233,205,0,16,12,220,13,310,77,4,98,82,3,33
36,TELEORMAN,"CLĂDIREA ŞCOLII ELEMENTARE GRESIA",293,STEJARU,154415,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:41:03",105,88,0,12,5,90,73,0,12,5,88,0,90,2,2,36,45,2,3
36,TELEORMAN,"CLĂDIREA ŞCOLII GENERALE SOCETU",294,STEJARU,154415,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:43:36",609,546,0,42,21,461,398,0,42,21,444,14,620,158,4,120,293,7,20
36,TELEORMAN,"CLĂDIRE PRIMĂRIE FOSTA ŞCOALĂ CU CLASELE I-IV DOROBANŢU",149,CRÂNGENI,152617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:36:53",197,192,0,4,1,118,113,0,4,1,110,8,200,82,2,13,24,2,69
36,TELEORMAN,"CLĂDIRE PRIMĂRIE FOSTA ŞCOALĂ CU CLASELE I-IV STEJARU",150,CRÂNGENI,152617,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:51:45",178,171,0,6,1,120,113,0,6,1,114,6,190,70,12,10,50,11,31
36,TELEORMAN,"CLĂDIRE PRIMĂRIE -FOST SEDIU CAP BĂCĂLEȘTI",133,"CĂLMĂŢUIU DE SUS",152467,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:34:17",733,671,1,13,48,529,468,0,13,48,504,25,730,201,5,25,260,14,200
36,TELEORMAN,"CLUB SĂTESC",142,CIUPERCENI,151709,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:26:59",515,428,1,58,28,419,332,1,58,28,401,18,490,71,8,15,217,3,158
36,TELEORMAN,"CLUBUL COPIILOR",44,"MUNICIPIUL ROŞIORI DE VEDE",151870,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 23:42:09",1253,1247,1,5,0,547,542,0,5,0,516,24,1370,823,177,55,227,12,45
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. D. GHICA”",9,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:55:27",1153,1142,1,9,1,583,573,0,9,1,563,20,1270,687,64,59,302,12,126
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. D. GHICA”",8,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:09",1414,1410,1,2,1,650,647,0,2,1,625,25,1550,900,32,58,347,21,167
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",24,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:56:07",962,951,0,10,1,380,369,0,10,1,375,5,1040,660,29,41,207,26,72
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",25,"MUNICIPIUL ALEXANDRIA",151790,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:18:13",954,943,0,10,1,431,420,0,10,1,413,18,1080,649,35,50,234,16,78
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",26,"MUNICIPIUL ALEXANDRIA",151790,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:09:20",887,877,0,7,3,390,380,0,7,3,384,6,1000,610,34,57,198,14,81
36,TELEORMAN,"COLEGIUL NAŢIONAL ”ANASTASESCU”",52,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:08:09",1307,1306,0,1,0,522,521,0,1,0,506,16,1480,958,141,51,249,13,52
36,TELEORMAN,"COLEGIUL NAŢIONAL ”UNIREA”",65,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:42:46",1151,1115,2,6,28,514,480,0,6,28,497,17,1230,716,42,52,314,14,75
36,TELEORMAN,"COLEGIUL NAŢIONAL ”UNIREA”",64,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:13:39",1040,1029,3,8,0,442,432,2,8,0,416,16,1130,698,37,42,256,13,68
36,TELEORMAN,"COLEGIUL TEHNIC ”ANGHEL SALIGNY”",38,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:32:41",991,980,0,9,2,426,415,0,9,2,395,31,1090,664,90,37,210,11,47
36,TELEORMAN,"DISPENSARUL BRᾸTᾸŞANI",309,TRIVALEA-MOŞTENI,154754,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:04:20",559,490,0,46,23,398,329,0,46,23,386,12,540,142,8,71,250,8,49
36,TELEORMAN,"DISPENSAR UMAN (HOL)",106,BOGDANA,152127,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:37:28",581,471,0,79,31,417,328,0,79,10,400,17,510,93,10,12,312,6,60
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL",122,BUZESCU,152332,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:56:40",1237,1158,0,29,50,777,698,0,29,50,673,27,1280,580,4,40,520,7,102
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL",119,BUJORU,152314,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:09:09",737,674,0,37,26,613,550,0,37,26,528,22,740,190,7,21,304,4,192
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL",316,ŢIGĂNEŞTI,154834,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:08:54",1163,1134,0,2,27,700,671,0,2,27,672,28,1280,580,16,53,528,16,59
36,TELEORMAN,"GRĂDINIȚĂ CU PROGRAM NORMAL",329,VIIŞOARA,154914,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:29",563,525,0,6,32,444,406,0,6,32,429,15,615,171,5,46,151,8,219
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL BRAGADIRU",114,BRAGADIRU,152234,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:14",1078,1022,0,6,50,658,602,0,6,50,590,18,1120,512,8,94,470,7,11
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL CALOMFIREȘTI",252,POROSCHIA,151834,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:27:35",776,766,0,10,0,546,536,0,10,0,537,9,840,294,16,124,375,6,16
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL CONŢEŞTI",143,CONŢEŞTI,152564,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:48:26",1379,1300,0,24,55,863,784,0,24,55,811,52,1430,567,16,34,681,12,68
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL DRACEA",159,DRACEA,155109,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:32:26",1082,995,1,24,62,556,470,0,24,62,546,10,1090,534,7,41,54,10,434
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL ”DR.GHEORGHE FURTUNĂ”",107,BOTOROAGA,152172,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:07",1032,936,0,44,52,693,597,0,44,52,676,17,1020,327,12,118,278,16,252
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL NR.1",202,MĂLDĂENI,153277,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:59:23",908,878,0,11,19,527,497,0,11,19,508,19,980,453,27,127,243,26,85
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",182,GRATIA,153062,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:58:30",950,897,0,22,31,673,620,0,22,31,658,15,1020,347,12,65,453,19,109
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",209,MERENI,153295,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:48:19",770,745,0,2,23,427,402,0,2,23,422,5,820,393,2,55,50,6,309
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1 CREVENICU",153,CREVENICU,151932,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:28:19",733,636,0,48,49,561,464,0,48,49,537,18,700,145,17,146,334,16,24
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 NENCIULEȘTI",219,NENCIULEŞTI,154996,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:37:03",771,729,1,16,25,507,465,1,16,25,474,32,800,294,11,49,272,5,137
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 PUTINEIU",254,PUTINEIU,153829,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:29",1034,973,0,36,25,756,695,0,36,25,720,36,1070,314,16,31,182,11,480
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL ,NR.1 SEACA , SAT SEACA , JUDETUL TELEORMAN , STRADA VICTORIEI , NR.75",276,SEACA,154139,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:07",1263,1114,0,88,61,720,571,0,88,61,702,18,1290,570,9,35,218,3,437
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 VITĂNEȘTI",330,VITĂNEŞTI,153776,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:38:52",971,840,0,53,78,673,542,0,53,78,673,0,1010,337,0,16,641,0,16
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL NR.2",203,MĂLDĂENI,153277,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:12:45",1210,1180,0,4,26,729,699,0,4,26,708,21,1300,571,32,138,344,17,177
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2",268,SÂRBENI,154308,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:59:32",594,508,0,71,15,457,371,0,71,15,430,15,570,125,8,22,369,15,16
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",109,BOTOROAGA,152172,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:43:38",1039,911,0,82,46,723,595,0,82,46,717,6,1000,277,10,49,365,11,282
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",241,PLOPII-SLĂVITEŞTI,153623,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 00:54:37",591,527,0,38,26,541,477,0,38,26,414,63,610,133,13,133,123,14,131
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2",193,LIŢA,151763,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:56:14",1074,1022,0,22,30,681,629,0,22,30,652,29,1120,439,13,26,412,16,185
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2",185,ISLAZ,151736,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:33:17",1476,1443,0,15,18,816,783,0,15,18,773,43,1570,754,50,33,392,32,266
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2",148,CRÂNGENI,152617,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:41:32",564,528,0,4,32,342,306,0,4,32,290,18,580,271,10,24,75,4,177
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.2",73,"MUNICIPIUL TURNU MĂGURELE",151683,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:35:42",1212,1201,1,5,5,501,491,0,5,5,471,19,1330,840,19,77,267,24,84
36,TELEORMAN,"GRĂDİNİŢA CU PROGRAM NORMAL NR.2",166,"DRĂGĂNEŞTI DE VEDE",152868,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:26",536,507,0,9,20,368,339,0,9,20,362,5,580,213,32,12,186,8,124
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 BĂDULEASA",255,PUTINEIU,153829,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:30",537,488,0,35,14,408,359,0,35,14,393,15,530,122,11,27,67,5,283
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR.2 BLEJEŞTI",101,BLEJEŞTI,152083,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:07",828,812,0,4,12,525,509,0,4,12,516,9,900,375,9,64,408,20,15
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 BUTEȘTI (FOST LOCAL AL ȘCOLII CU CLASELE I-IV BUTEȘTI)",283,SILIŞTEA,154228,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:49:07",439,429,0,8,2,281,271,0,8,2,270,11,470,189,15,30,101,11,113
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 FRUMOASA",175,FRUMOASA,152993,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:44:49",423,404,0,5,14,315,296,0,5,14,315,0,460,145,6,28,176,6,99
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL NR.2 NAVODARI , SAT NAVODARI, COMUNA SEACA , JUDETUL TELEORMAN, STRADA DUNARII, NR.107",277,SEACA,154139,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:35:40",643,562,0,33,48,491,410,0,33,48,471,20,670,179,2,25,172,4,268
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 PĂRU ROTUND",220,NENCIULEŞTI,154996,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 22:37:48",468,455,0,6,7,300,294,0,6,0,268,26,500,206,2,20,86,11,149
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 PĂULEASCA",176,FRUMOASA,152993,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:26:37",394,372,0,13,9,289,267,0,13,9,280,9,429,139,5,23,135,10,107
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2, TĂMĂȘEȘTI",80,"ORAŞ VIDELE",151905,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:28:31",660,647,0,7,6,473,460,0,7,6,446,27,720,247,25,54,187,40,140
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",269,SÂRBENI,154308,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:20:01",384,325,1,50,8,283,227,0,50,6,270,8,320,42,8,23,210,10,19
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",53,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:52:15",1155,1145,0,9,1,438,428,0,9,1,419,19,1300,862,109,57,215,15,23
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR.3",240,PLOPII-SLĂVITEŞTI,153623,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 00:08:16",778,693,0,55,30,592,507,0,55,30,543,49,790,198,89,173,111,13,157
