precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ILIEŞ BOGDAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",18,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:29:51",924,915,0,9,0,344,335,0,9,0,338,6,1000,656,0,25,64,7,158,34,33,4,13
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",19,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:47",1080,1076,0,4,0,372,368,0,4,0,370,2,1200,828,2,31,56,7,165,49,29,14,17
33,SĂLAJ,"LICEUL CU PROGRAM SPORTIV ”AVRAM IANCU”",7,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:29:34",1766,1756,2,8,0,684,676,0,8,0,668,16,1900,1216,6,47,107,13,289,116,56,13,21
33,SĂLAJ,"LICEUL CU PROGRAM SPORTIV ”AVRAM IANCU”",6,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:16:50",1931,1898,21,4,8,996,984,0,4,8,976,20,2100,1104,1,45,231,16,402,125,95,16,45
33,SĂLAJ,"LICEUL CU PROGRAM SPORTIV ”AVRAM IANCU”",8,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:12",1658,1648,3,5,2,709,702,0,5,2,698,11,1800,1091,2,35,98,4,317,138,70,9,25
33,SĂLAJ,"LICEUL DE ARTĂ ”IOAN SIMA”",30,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:51:44",1602,1587,3,12,0,655,643,0,12,0,643,12,1740,1085,3,54,114,6,284,85,53,13,31
33,SĂLAJ,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU”",13,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:45",856,845,0,9,2,370,359,0,9,2,363,7,1000,630,0,31,54,2,135,79,41,12,9
33,SĂLAJ,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU”",14,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:29:42",1193,1179,8,6,0,454,448,0,6,0,442,12,1300,846,0,37,67,15,196,57,45,14,11
33,SĂLAJ,"LICEUL TEHNOLOGIC ”VOIEVOD GELU”",27,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:21:55",1846,1835,2,8,1,739,730,0,8,1,724,9,2050,1317,2,48,125,16,357,66,74,19,17
33,SĂLAJ,"LICEUL TEHNOLOGIC ”VOIEVOD GELU”",26,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:44",1341,1333,0,8,0,552,544,0,8,0,548,4,1500,948,0,42,100,13,237,68,42,12,34
33,SĂLAJ,"LICEUL TEHNOLOGIC ”VOIEVOD GELU”",28,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:42:48",1369,1361,1,6,1,563,556,0,6,1,555,8,1500,937,0,45,110,6,282,44,44,8,16
33,SĂLAJ,"LICEUL TEORETIC ”GHEORGHE ŞINCAI”",35,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:11",1486,1480,0,5,1,732,726,0,5,1,720,12,1650,918,2,34,154,5,313,94,71,20,27
33,SĂLAJ,"PRIMĂRIA MUNICIPIULUI ZALĂU",4,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:07",1172,1162,1,8,1,483,474,0,8,1,475,8,1301,818,1,37,86,6,234,42,45,10,14
33,SĂLAJ,"SALA SPORTURILOR",20,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:25:05",1587,1576,1,9,1,630,620,0,9,1,610,20,1850,1220,3,64,90,23,280,67,42,25,16
33,SĂLAJ,"SALA SPORTURILOR",21,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 14:00:55",1517,1508,0,8,1,593,584,0,8,1,580,13,1700,1107,2,45,114,12,274,30,63,12,28
33,SĂLAJ,"ŞCOALA GENERALĂ ”GEORGE COŞBUC”, CARTIER ORTELEC",38,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:35:42",1743,1737,0,6,0,867,861,0,6,0,844,23,1948,1081,3,60,97,18,566,13,57,9,21
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",25,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:33",1176,1167,0,9,0,585,576,0,9,0,566,19,1350,765,1,36,102,7,249,87,63,8,13
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",24,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:23",1211,1211,0,0,0,463,463,0,0,0,448,15,1450,987,2,39,90,3,205,40,46,5,18
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",23,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:25:52",1440,1430,0,10,0,573,563,0,10,0,562,11,1600,1027,2,36,95,10,276,59,53,12,19
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",22,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:54",1237,1224,4,8,1,468,459,0,8,1,464,4,1400,932,1,34,79,6,236,32,51,9,16
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”GHEORGHE LAZĂR”",12,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:41:31",1710,1697,4,6,3,779,770,0,6,3,762,17,1900,1121,1,56,137,12,342,99,79,7,29
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”IULIU MANIU”",17,"MUNICIPIUL ZALĂU",139704,4,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:53:56",1629,1614,7,8,0,548,540,0,8,0,533,15,1798,1250,5,53,77,8,257,63,41,5,24
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",36,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:09:08",1533,1525,1,6,1,636,629,0,6,1,621,15,1700,1064,1,45,120,16,268,78,52,6,35
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”POROLISSUM”",15,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:24",1691,1678,7,5,1,754,748,0,5,1,740,14,1860,1106,1,50,141,14,358,64,72,13,27
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”POROLISSUM”",16,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:47:36",1826,1811,8,7,0,823,816,0,7,0,808,15,1950,1127,2,56,175,13,368,66,72,20,36
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ”SIMION BĂRNUȚIU”",11,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:38",1410,1395,4,10,1,690,679,0,10,1,677,4,1900,1210,3,39,142,9,316,87,56,9,16
33,SĂLAJ,"ŞCOALA POSTLICEALĂ SANITARĂ",31,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:20",1264,1250,5,7,2,508,499,0,7,2,505,3,1450,942,1,36,81,6,262,64,35,6,14
33,SĂLAJ,"ŞCOALA PRIMARĂ STÎNA",39,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:02",231,221,0,9,1,114,104,0,9,1,111,3,300,186,0,9,17,1,77,0,3,4,0
33,SĂLAJ,"STADIONUL MUNICIPAL SEDIUL CLUBULUI SPORTIV MUNICIPAL",5,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:53:16",1343,1329,3,9,2,617,606,0,9,2,592,25,1400,772,1,34,94,10,244,128,51,10,20
