precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VUŞCAN VOICU-PARTIDUL SOCIAL DEMOCRAT-voturi","MATIEŞ CĂLIN-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PLEŞA GABRIEL-CODRU-PARTIDUL NAȚIONAL LIBERAL-voturi","NANU DANA-ELISABETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LUDOŞAN DIANA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PĂDUREAN CĂLIN-LIVIU-PARTIDUL PHRALIPE AL ROMILOR-voturi"
1,ALBA,"FLORIDA GOLD SRL",41,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:15",1414,1387,21,6,0,723,716,1,6,0,717,6,1500,777,140,90,376,82,18,11
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",46,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:49",1269,1261,3,5,0,619,614,0,5,0,596,23,1400,781,122,94,286,49,39,6
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",45,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:11",1021,1006,7,3,5,443,435,0,3,5,429,14,1100,657,77,78,216,36,17,5
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10",34,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:45:29",1474,1461,7,6,0,577,571,0,6,0,547,24,1592,1021,126,105,241,51,9,15
1,ALBA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 10",33,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:28:48",1677,1667,1,9,0,698,689,0,9,0,668,30,1800,1102,139,128,299,63,21,18
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5 PARTOŞ",43,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:26",831,824,1,5,1,406,400,0,5,1,398,8,1000,594,56,56,224,44,10,8
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL OARDA DE SUS",50,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:24",740,728,5,7,0,348,341,0,7,0,343,5,900,552,70,75,170,16,8,4
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 11",19,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:57",1100,1086,2,12,0,399,386,1,12,0,387,12,1300,901,74,71,201,32,7,2
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",24,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:39",1027,1016,0,11,0,445,434,0,11,0,427,18,1200,755,76,59,232,42,15,3
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",25,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:30",1167,1158,0,9,0,571,562,0,9,0,551,20,1300,729,140,85,252,58,14,2
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 16",37,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:43:01",1570,1564,1,5,0,638,632,1,5,0,629,9,1700,1062,114,94,317,80,23,1
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",15,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:40",1263,1250,3,10,0,473,463,0,10,0,456,17,1400,927,93,100,199,39,18,7
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",21,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:08",1012,1005,4,3,0,444,440,1,3,0,436,8,1200,756,89,59,226,45,11,6
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",20,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:50:05",997,984,3,10,0,451,440,1,10,0,438,12,1100,650,98,73,203,48,9,7
1,ALBA,"LICEUL CU PROGRAM SPORTIV",28,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:25",1398,1382,5,11,0,636,625,0,11,0,624,12,1500,864,157,83,296,71,14,3
1,ALBA,"LICEUL CU PROGRAM SPORTIV",26,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:59",1316,1301,2,13,0,584,571,0,13,0,570,14,1400,816,118,96,264,73,16,3
1,ALBA,"LICEUL CU PROGRAM SPORTIV",27,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:09:21",1301,1293,0,8,0,601,593,0,8,0,576,18,1400,806,140,100,256,57,21,2
1,ALBA,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:37",968,954,1,13,0,398,385,0,13,0,388,10,1100,702,79,65,191,40,11,2
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",4,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:00",1247,1240,0,6,1,636,629,0,6,1,612,24,1399,763,138,85,310,51,17,11
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",5,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:36",959,945,5,9,0,469,460,0,9,0,431,38,1100,631,91,85,193,45,17,0
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",18,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:15",810,801,1,7,1,366,358,0,7,1,354,12,900,534,75,65,164,34,11,5
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",17,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:17:26",840,827,3,10,0,359,349,0,10,0,350,9,900,541,63,73,162,37,13,2
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI",48,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:32:09",1472,1459,1,11,1,778,766,0,11,1,774,4,1600,822,92,87,442,132,10,11
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI - SALA DE SPORT",47,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:32",1220,1207,7,6,0,648,642,0,6,0,633,15,1400,752,103,63,335,113,15,4
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",22,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:20:29",1171,1153,5,13,0,529,516,0,13,0,513,16,1204,675,113,99,235,51,11,4
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",23,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:26:29",1645,1632,9,4,0,737,733,0,4,0,714,23,1800,1063,156,116,340,64,25,13
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",2,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:10:05",1001,991,4,6,0,430,424,0,6,0,417,11,1100,671,94,47,224,33,17,2
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",3,"MUNICIPIUL ALBA IULIA",1017,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:22:26",1305,1299,0,5,1,601,595,0,5,1,587,14,1600,999,150,73,282,58,20,4
1,ALBA,"ŞCOALA PRIMARĂ PÂCLIŞA",51,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:10",844,839,0,5,0,355,350,0,5,0,344,11,947,592,84,76,149,16,10,9
1,ALBA,"SEMINARUL TEOLOGIC ORTODOX „SFÂNTUL SIMION ŞTEFAN”",16,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:36:31",1327,1287,5,13,22,549,514,0,13,22,542,7,1400,851,103,112,257,53,10,7
1,ALBA,"STADION MUNICIPAL „CETATE”",32,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:36:22",1322,1311,2,9,0,617,608,0,9,0,597,20,1500,883,138,67,301,68,20,3
