precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"CLADIREA PRIMARIEI GHIMPATI",135,GHIMPAŢI,103238,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:11",583,481,1,45,56,424,322,1,45,56,411,13,591,167,332,1,34,2,41,1
19,GIURGIU,"CLĂDIRE DE INTERES PUBLIC",166,IZVOARELE,103899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:06",105,53,0,45,7,84,32,0,45,7,84,0,113,29,69,0,2,0,13,0
19,GIURGIU,"CLUBUL CADRELOR MILITARE ÎN RETRAGERE",24,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:20:35",1470,1462,0,7,1,593,585,0,7,1,570,23,1608,1015,240,48,60,37,173,12
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",45,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:43",1012,1000,6,6,0,440,433,1,6,0,424,16,1124,684,199,32,38,19,128,8
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",44,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:56:09",825,809,6,10,0,410,400,0,10,0,407,3,885,475,189,20,15,14,157,12
19,GIURGIU,"COLEGIUL TEHNIC VICEAMIRAL IOAN BĂLĂNESCU",8,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:25:19",983,974,1,8,0,393,385,0,8,0,383,10,1078,685,145,19,55,16,144,4
19,GIURGIU,"CREȘA DE COPII CU PROGRAM NORMAL",150,GREACA,103470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:45:43",1300,1168,0,78,54,947,815,0,78,54,918,29,1353,406,41,25,223,8,610,11
19,GIURGIU,"DIRECŢIA PENTRU AGRICULTURĂ JUDEŢEANĂ",15,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:45:44",1145,1137,0,8,0,476,468,0,8,0,448,28,1264,788,240,25,49,16,114,4
19,GIURGIU,"DISPENSAR UMAN IZVORU",141,GOGOŞARI,103309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:57",507,481,0,10,16,348,322,0,10,16,344,4,542,194,309,4,5,0,25,1
19,GIURGIU,"FOSTA PRIMĂRIE",140,GOGOŞARI,103309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:07:42",92,83,0,6,3,75,66,0,6,3,74,1,89,14,43,0,3,2,26,0
19,GIURGIU,"FOSTA ŞCOALA CU CLASELE I-IV PODU POPA NAE",130,GĂISENI,103087,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 21:07:53",124,118,0,3,3,89,83,0,3,3,88,1,132,43,60,1,13,0,14,0
19,GIURGIU,"FOSTA ŞCOALA RĂLEŞTI",142,GOGOŞARI,103309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:08:12",129,120,0,6,3,86,77,0,6,3,85,1,130,44,53,2,7,0,23,0
19,GIURGIU,"GALERIILE DE ARTĂ",2,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:09:33",905,896,1,7,1,433,425,0,7,1,416,17,995,562,179,43,30,29,128,7
19,GIURGIU,"GRADINITA BRĂNIŞTARI",91,CĂLUGĂRENI,101662,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:34:28",563,538,2,23,0,343,320,0,23,0,334,9,590,247,170,7,33,5,112,7
19,GIURGIU,"GRĂDINIŢA CĂSUŢA FERMECATĂ",38,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:18:46",929,919,1,8,1,352,343,0,8,1,338,14,1023,671,133,12,42,15,129,7
19,GIURGIU,"GRĂDINIŢA CRIVINA",54,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:51:14",738,724,0,6,8,368,354,0,6,8,356,12,793,425,236,16,28,2,73,1
19,GIURGIU,"GRĂDINIŢA CU PN NR.3 NEAJLOV",95,CLEJANI,101984,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:59:25",1251,1142,1,60,48,1020,912,0,60,48,987,33,1294,274,886,3,32,0,60,6
19,GIURGIU,"GRĂDINIŢA CU PN NR.8 CĂRĂMIDARI",16,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:56:32",1699,1692,0,6,1,804,797,0,6,1,780,24,1851,1047,421,32,88,15,213,11
19,GIURGIU,"GRĂDINIŢA CU PN NR.9",36,"MUNICIPIUL GIURGIU",100521,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:16:58",887,877,1,8,1,287,278,0,8,1,274,13,971,684,94,17,38,12,104,9
19,GIURGIU,"GRĂDINIŢA CU PP NR.9",37,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:11:24",966,953,0,11,2,337,324,0,11,2,318,19,1058,721,109,14,47,15,125,8
19,GIURGIU,"GRĂDINIŢĂ CU PROGRAM NORMAL",219,STOENEŞTI,105348,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:10:47",377,295,2,55,25,326,246,0,55,25,317,9,354,28,274,0,14,1,28,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL CARTOJANI",198,"ROATA DE JOS",104831,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:42:47",743,737,0,6,0,403,397,0,6,0,390,13,810,407,275,2,30,5,74,4
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL CU 3 SĂLI DE GRUPĂ GHIMPAȚI",137,GHIMPAŢI,103238,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:21:13",1238,1089,1,35,113,828,680,0,35,113,826,2,1321,493,716,7,36,5,62,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL GRĂDIŞTEA",103,COMANA,102106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:23",1110,1043,0,19,48,693,626,0,19,48,648,45,1200,507,42,9,58,11,528,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 BUDENI",101,COMANA,102106,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:06",623,577,0,28,18,380,334,0,28,18,365,15,649,269,17,9,42,2,294,1
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 PIETRIŞU",133,GĂUJANI,103194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:59:47",853,766,0,54,33,611,524,0,54,33,566,45,845,234,98,199,41,1,225,2
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 ROATA MICA",201,"ROATA DE JOS",104831,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:17",427,419,0,8,0,302,294,0,8,0,291,11,461,159,196,9,29,1,56,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2",155,HOTARELE,103639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:29",567,515,0,49,3,435,383,0,49,3,417,18,569,134,187,17,47,9,154,3
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2 GORNENI",159,IEPUREŞTI,103693,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:57:13",563,492,1,65,5,458,388,0,65,5,433,25,466,8,203,12,22,0,184,12
19,GIURGIU,"GRADINIŢA CU PROGRAM NORMAL NR.2 PLOPŞORU",112,DAIA,102446,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:29:20",577,559,0,14,4,381,363,0,14,4,364,17,622,241,205,18,19,7,99,16
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 3",157,HOTARELE,103639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:53",600,552,0,46,2,464,416,0,46,2,448,16,611,147,225,11,42,2,166,2
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR 3",60,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:19:47",1201,1137,0,64,0,906,842,0,64,0,881,25,1245,339,397,15,55,8,399,7
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 3 CETATEA",122,FRĂTEŞTI,102909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:46",439,391,1,24,23,247,200,0,24,23,240,7,427,180,150,7,26,2,51,4
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 ONCEŞTI",217,STĂNEŞTI,105295,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:32:25",332,279,2,29,22,219,168,0,29,22,207,12,303,84,134,7,17,3,44,2
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.3 PLOPŞORU",113,DAIA,102446,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:58:52",684,661,0,15,8,447,424,0,15,8,426,21,725,278,240,7,34,3,140,2
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 STEJARU",211,SINGURENI,105106,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:44:02",570,525,0,28,17,468,423,0,28,17,448,20,600,132,120,3,52,3,270,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR.3 VALEA BUJORULUI",168,IZVOARELE,103899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:25",416,325,1,47,43,318,228,0,47,43,310,8,404,86,274,0,5,4,27,0
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 VARLAAM",68,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:33:47",478,465,0,13,0,236,223,0,13,0,227,9,511,275,170,9,22,2,21,3
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 BĂLANU",215,STĂNEŞTI,105295,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:13:43",475,443,0,23,9,296,264,0,23,9,291,5,489,193,204,14,18,3,52,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 4 CETATEA (BĂLĂNOAIA)",123,FRĂTEŞTI,102909,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:02:31",248,220,0,21,7,154,126,0,21,7,148,6,234,80,93,1,14,5,31,4
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 MOGOŞEŞTI",67,ADUNAŢII-COPĂCENI,100781,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:28",375,366,0,9,0,220,211,0,9,0,210,10,401,181,124,10,28,3,40,5
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 POŞTA",89,BUTURUGENI,101617,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:43:48",359,343,0,12,4,237,221,0,12,4,227,10,389,152,155,2,22,0,48,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.5 COPACIU",136,GHIMPAŢI,103238,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:23:31",669,608,1,9,51,441,380,1,9,51,438,3,724,283,419,3,6,0,10,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.6",25,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:32:15",1195,1187,2,5,1,498,492,0,5,1,477,21,2011,1513,179,49,70,28,143,8
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 6",81,BUCŞANI,101378,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:22:24",391,357,0,30,4,311,277,0,30,4,303,8,397,86,223,9,11,3,57,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.8 GORNENI",14,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:35",1210,1201,0,8,1,406,397,0,8,1,367,39,1327,921,157,20,44,25,112,9
19,GIURGIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT",65,ADUNAŢII-COPĂCENI,100781,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:26:44",1158,1124,1,29,4,609,576,0,29,4,593,16,1230,621,472,13,44,3,58,3
19,GIURGIU,"GRĂDINIŢA DE COPII BOLINTIN - DEAL",77,BOLINTIN-DEAL,101163,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:24:13",965,947,5,8,5,488,473,2,8,5,458,30,1048,560,304,20,45,3,79,7
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",105,COSOBA,179748,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:53:25",1106,1078,0,15,13,753,725,0,15,13,719,34,1191,438,233,191,90,1,202,2
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",106,COSOBA,179748,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:01:44",1110,1100,0,2,8,758,748,0,2,8,733,25,1214,456,224,209,57,3,238,2
19,GIURGIU,"GRĂDINIŢA DE COPII SLOBOZIA",213,SLOBOZIA,100549,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:47:07",1105,1101,0,3,1,618,614,0,3,1,579,39,1206,588,79,18,43,21,415,3
19,GIURGIU,"GRĂDINIŢA ” IRIS” OGREZENI",182,OGREZENI,104485,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 09:24:20",808,770,0,24,14,564,526,0,24,14,550,14,860,296,321,51,32,5,140,1
19,GIURGIU,"GRĂDINIŢA ”MARIN MOGESCU”",225,ULMI,105623,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:44:47",669,653,0,16,0,458,442,0,16,0,446,12,715,257,39,45,47,78,231,6
19,GIURGIU,"GRADINITA NR. 2 BRANISTEA",185,OINACU,104519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:43:44",787,703,3,18,63,593,512,0,18,63,582,11,847,254,512,5,18,1,44,2
19,GIURGIU,"GRADINITA NR. 3 COMASCA",186,OINACU,104519,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:39:10",549,510,0,4,35,345,306,0,4,35,329,16,560,215,285,4,11,0,28,1
19,GIURGIU,"GRADINITA NR.4 GHIONEA",226,ULMI,105623,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:39:17",466,458,2,6,0,308,302,0,6,0,292,16,505,197,35,44,25,79,108,1
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",10,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:22:07",1360,1349,1,10,0,522,512,0,10,0,506,16,1488,966,208,23,62,19,189,5
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",9,"MUNICIPIUL GIURGIU",100521,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:50:28",1169,1157,3,6,3,441,432,0,6,3,414,27,1280,839,196,19,44,10,141,4
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",57,"ORAŞ MIHĂILEŞTI",104136,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:28:58",1106,1048,3,52,3,872,817,0,52,3,849,23,1138,266,482,31,39,10,283,4
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",59,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:40:13",956,913,2,39,2,724,683,0,39,2,701,23,1009,285,349,18,52,1,279,2
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",58,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:55:13",894,841,0,52,1,700,647,0,52,1,683,17,927,227,349,19,38,0,263,14
19,GIURGIU,"LICEUL ”TUDOR VIANU”",4,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:48:27",1067,1058,0,7,2,430,421,0,7,2,406,24,1195,765,152,20,73,24,128,9
19,GIURGIU,"LICEUL ”UDRIŞTE NĂSTUREL”",156,HOTARELE,103639,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:44:30",621,552,0,63,6,424,355,0,63,6,398,26,610,186,209,14,28,5,140,2
19,GIURGIU,"LICEUL ”UDRISTE NASTUREL HOTARELE",154,HOTARELE,103639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:44:40",1088,987,0,96,5,812,711,0,96,5,769,43,1089,277,301,23,50,5,387,3
19,GIURGIU,"LICEU TEHNOLOGIC ”DIMITRIE BOLINTINEANU”",52,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:03",898,886,0,9,3,507,495,0,9,3,483,24,980,473,327,29,34,4,86,3
19,GIURGIU,"PRIMĂRIA COMUNEI DAIA",111,DAIA,102446,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:14:58",250,223,0,10,17,180,153,0,10,17,171,9,264,84,117,2,10,3,39,0
19,GIURGIU,"PRIMARIA COMUNEI PRUNDU",187,PRUNDU,104680,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:27",1630,1622,0,8,0,1010,1002,0,8,0,982,28,1786,776,770,13,107,3,86,3
19,GIURGIU,"PRIMĂRIA MUNICIPIULUI GIURGIU",3,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:33:06",1022,1014,1,7,0,394,387,0,7,0,371,23,1122,728,180,18,30,20,117,6
19,GIURGIU,"PRIMARIA SINGURENI",209,SINGURENI,105106,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:52:06",1104,1021,4,47,32,783,705,0,46,32,757,26,1152,369,246,12,69,1,428,1
19,GIURGIU,PRIMĂRIE,53,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:01",1757,1727,1,10,19,828,799,0,10,19,810,18,1923,1095,515,54,53,7,175,6
19,GIURGIU,"PUNCTUL TERMIC NR. 35",34,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:52:11",1115,1108,1,5,1,440,434,0,5,1,432,8,1232,792,167,44,42,23,156,0
19,GIURGIU,"PUNCTUL TERMIC NR.35",35,"MUNICIPIUL GIURGIU",100521,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:36:25",780,770,1,9,0,332,323,0,9,0,305,27,858,526,125,7,39,0,127,7
19,GIURGIU,"ŞCOALA CU CLASELE I-IV IANCULEŞTI",220,STOENEŞTI,105348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:05:55",222,209,0,5,8,188,175,0,5,8,182,6,230,42,107,2,15,0,58,0
19,GIURGIU,"ŞCOALA CU CLASELE I-IV MIRĂU",221,STOENEŞTI,105348,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:14:06",138,117,0,17,4,108,87,0,17,4,102,6,129,21,48,1,2,9,38,4
19,GIURGIU,"ŞCOALA DIN CETĂTUIA",132,GĂUJANI,103194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:58:29",177,132,2,30,13,138,94,1,30,13,132,6,157,19,21,40,15,2,52,2
19,GIURGIU,"ŞCOALA GENERALĂ NR. 2 RĂSUCENI",194,RĂSUCENI,104788,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:35",295,267,0,8,20,194,166,0,8,20,189,5,313,119,165,1,4,0,19,0
19,GIURGIU,"ŞCOALA GENERALĂ RADU VODĂ",167,IZVOARELE,103899,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:43:59",204,154,1,38,11,149,99,1,38,11,144,5,181,32,129,3,3,1,8,0
