precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ŞERBAN MARCEL-IULIAN-voturi"
8,BRAŞOV,"CĂMIN CULTURAL VAMA BUZĂULUI",451,"VAMA BUZĂULUI",42183,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:32:37",1350,1338,2,7,3,674,663,1,7,3,602,72,1500,826,92,10,314,105,27,49,5
8,BRAŞOV,"CAMIN CULTURAL VENETIA DE JOS",393,PĂRĂU,41578,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:38",588,556,0,23,9,374,342,0,23,9,312,62,600,226,40,8,98,115,22,22,7
8,BRAŞOV,"CAMIN CULTURAL VISTEA DE SUS",457,VIŞTEA,42236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:11",568,516,1,36,15,372,321,0,36,15,361,11,600,228,43,9,113,146,3,40,7
8,BRAŞOV,"CĂMINUL CULTURAL",423,ŞINCA,41854,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:16",574,571,0,2,1,373,370,0,2,1,212,158,608,234,34,7,75,71,10,11,4
8,BRAŞOV,"CĂMINUL CULTURAL",421,ŞINCA,41854,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:17:30",270,264,1,5,0,150,145,0,5,0,120,30,300,150,19,4,43,41,7,4,2
8,BRAŞOV,"CĂMINUL CULTURAL",336,CRIZBAV,42456,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:34:27",1472,1433,1,32,6,873,835,0,32,6,815,58,1600,727,81,488,88,98,27,32,1
8,BRAŞOV,"CĂMINUL CULTURAL",349,HĂLCHIU,41033,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:54:33",1614,1595,1,11,7,922,903,1,11,7,871,32,1759,856,166,39,143,327,31,138,27
8,BRAŞOV,"CĂMINUL CULTURAL",420,ŞINCA,41854,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:35",239,234,0,5,0,136,131,0,5,0,117,19,300,164,10,2,35,52,9,5,4
8,BRAŞOV,"CĂMINUL CULTURAL",425,"ŞINCA NOUĂ",42449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:18:24",1012,916,16,59,21,797,708,9,59,21,763,34,1000,203,178,6,79,409,13,69,9
8,BRAŞOV,"CĂMINUL CULTURAL",355,HĂRMAN,41088,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:47:06",749,738,1,10,0,413,403,0,10,0,385,28,800,387,45,9,34,180,19,83,15
8,BRAŞOV,"CĂMINUL CULTURAL",422,ŞINCA,41854,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:35:00",932,929,1,2,0,484,482,0,2,0,390,94,1000,516,102,16,35,195,20,16,6
8,BRAŞOV,"CĂMINUL CULTURAL",305,BOD,40606,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:55:43",1286,1258,11,13,4,709,690,2,13,4,676,33,1318,609,81,24,158,265,25,100,23
8,BRAŞOV,"CĂMINUL CULTURAL AL BISERICII ORTODOXE",413,SÂNPETRU,41925,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:05:16",1557,1543,0,8,6,846,832,0,8,6,809,37,1700,854,66,26,138,401,31,131,16
8,BRAŞOV,"CĂMINUL CULTURAL APAȚA",296,APAŢA,40526,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:56",1297,1283,0,3,11,770,756,0,3,11,695,75,1400,630,65,253,15,344,10,8,0
8,BRAŞOV,"CĂMINUL CULTURAL APAȚA",297,APAŢA,40526,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:54:07",1184,1174,0,4,6,698,688,0,4,6,638,60,1324,626,51,312,22,215,19,15,4
8,BRAŞOV,"CAMINUL CULTURAL ARINI",379,MĂIERUŞ,41382,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:52",857,844,0,4,9,555,542,0,4,9,442,113,961,406,110,18,53,239,13,8,1
8,BRAŞOV,"CĂMINUL CULTURAL BERIVOI",407,RECEA,41738,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:52",506,494,0,9,3,325,313,0,9,3,304,21,561,236,42,7,139,75,11,28,2
8,BRAŞOV,"CĂMINUL CULTURAL BOGATA",362,HOGHIZ,41177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:12",364,355,0,9,0,230,221,0,9,0,200,20,400,180,61,33,54,41,2,9,0
8,BRAŞOV,"CĂMINUL CULTURAL BREAZA",377,LISA,41346,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:54:27",563,531,0,8,24,412,380,0,8,24,395,17,615,203,82,2,179,92,15,22,3
8,BRAŞOV,"CĂMINUL CULTURAL CAŢA",321,CAŢA,40768,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:53:16",1049,1033,2,11,3,634,620,0,11,3,548,86,1100,466,56,30,52,394,7,9,0
8,BRAŞOV,"CAMINUL CULTURAL CINCSOR",459,VOILA,42307,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:41:51",657,637,5,7,8,366,348,3,7,8,334,32,670,304,147,4,56,57,19,49,2
8,BRAŞOV,"CĂMINUL CULTURAL COMĂNA DE JOS",328,COMANA,40857,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:17",896,860,2,22,12,587,551,2,22,12,513,38,900,349,86,5,154,238,9,17,4
8,BRAŞOV,"CĂMINUL CULTURAL COMĂNA DE SUS",329,COMANA,40857,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:52:50",316,299,1,12,4,233,217,0,12,4,207,20,349,122,38,13,116,27,10,3,0
8,BRAŞOV,"CĂMINUL CULTURAL COPĂCEL",357,HÂRSENI,41113,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:36",545,533,2,8,2,371,360,1,8,2,333,38,600,229,58,6,113,119,13,16,8
8,BRAŞOV,"CAMINUL CULTURAL CORBI",446,UCEA,42101,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:57:21",182,169,0,11,2,123,110,0,11,2,114,9,200,77,9,2,36,35,1,31,0
8,BRAŞOV,"CĂMINUL CULTURAL CRIHALMA",330,COMANA,40857,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:41:01",613,602,0,7,4,382,371,0,7,4,360,22,700,318,21,0,197,131,3,8,0
8,BRAŞOV,"CĂMINUL CULTURAL CUCIULATA",363,HOGHIZ,41177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:22:47",1163,1157,0,6,0,634,628,0,6,0,546,88,1300,666,69,17,243,168,15,33,1
8,BRAŞOV,"CĂMINUL CULTURAL DOPCA",364,HOGHIZ,41177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:26:00",396,389,0,7,0,248,241,0,7,0,227,21,400,152,20,142,49,12,1,3,0
8,BRAŞOV,"CAMINUL CULTURAL DRIDIF",460,VOILA,42307,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:49",392,373,1,14,4,255,237,0,14,4,226,29,400,145,25,4,75,90,14,15,3
8,BRAŞOV,"CAMINUL CULTURAL FELDIOARA",447,UCEA,42101,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:28:45",204,182,0,21,1,149,127,0,21,1,135,14,204,55,15,9,68,27,3,13,0
8,BRAŞOV,"CĂMINUL CULTURAL FELDIOARA",342,FELDIOARA,40955,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:23",1740,1733,0,5,2,822,815,0,5,2,790,32,1842,1020,163,19,76,443,29,49,11
8,BRAŞOV,"CĂMINUL CULTURAL HÂRSENI",356,HÂRSENI,41113,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:26:50",498,482,0,11,5,290,274,0,11,5,266,24,528,238,49,8,88,73,10,32,6
8,BRAŞOV,"CĂMINUL CULTURAL HOGHIZ",361,HOGHIZ,41177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:27:03",756,741,1,10,4,408,394,0,10,4,379,29,800,392,39,134,90,88,11,13,4
8,BRAŞOV,"CĂMINUL CULTURAL HOGHIZ",360,HOGHIZ,41177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:51:17",983,970,0,10,3,534,521,0,10,3,502,32,1100,566,46,217,93,125,7,13,1
8,BRAŞOV,"CĂMINUL CULTURAL HOLBAV",367,HOLBAV,42472,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:14:17",1026,1020,1,1,4,732,726,1,1,4,663,64,1133,405,126,19,227,246,18,27,0
8,BRAŞOV,"CĂMINUL CULTURAL IONEŞTI",324,CAŢA,40768,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:32:59",104,96,1,7,0,62,55,0,7,0,57,5,135,73,1,46,2,8,0,0,0
8,BRAŞOV,"CĂMINUL CULTURAL LISA",376,LISA,41346,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:58",925,908,0,6,11,587,570,0,6,11,409,178,1000,413,85,3,164,95,22,37,3
8,BRAŞOV,"CĂMINUL CULTURAL LOVNIC",374,JIBERT,41284,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:01:45",495,478,0,15,2,275,258,0,15,2,243,32,300,25,32,12,35,112,1,51,0
8,BRAŞOV,"CAMINUL CULTURAL LUDISOR",461,VOILA,42307,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:12:40",172,158,0,14,0,117,103,0,14,0,112,5,200,83,14,0,30,60,1,6,1
8,BRAŞOV,"CĂMINUL CULTURAL LUPŞA",366,HOGHIZ,41177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:48:52",84,77,0,7,0,53,46,0,7,0,50,3,100,47,11,5,16,12,2,3,1
8,BRAŞOV,"CAMINUL CULTURAL MAIERUS",378,MĂIERUŞ,41382,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:34:18",1481,1454,1,5,21,950,924,0,5,21,872,78,1600,650,287,47,153,324,28,30,3
8,BRAŞOV,"CĂMINUL CULTURAL MĂRGINENI",358,HÂRSENI,41113,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:53",261,247,0,13,1,186,172,0,13,1,176,10,300,114,16,1,47,88,9,13,2
8,BRAŞOV,"CĂMINUL CULTURAL MEŞENDORF",318,BUNEŞTI,40704,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:19",312,300,1,9,2,181,170,0,9,2,164,16,350,169,52,2,12,59,8,30,1
8,BRAŞOV,"CĂMINUL CULTURAL PĂRĂU",391,PĂRĂU,41578,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:48",524,478,1,29,16,314,269,0,29,16,284,30,600,286,40,14,56,142,8,14,10
8,BRAŞOV,"CĂMINUL CULTURAL POARTA",309,BRAN,40633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:42",880,868,3,8,1,545,536,0,8,1,525,20,1000,455,37,7,140,267,32,33,9
8,BRAŞOV,"CĂMINUL CULTURAL RECEA",406,RECEA,41738,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:41:38",1631,1600,2,11,18,933,903,1,11,18,844,89,1800,867,153,16,236,289,34,110,6
8,BRAŞOV,"CĂMINUL CULTURAL RECONSTRUCŢIA",345,FELDIOARA,40955,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:03:14",611,601,0,8,2,361,351,0,8,2,322,29,714,351,72,31,29,163,11,14,2
8,BRAŞOV,"CĂMINUL CULTURAL ROTBAV",346,FELDIOARA,40955,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:15",1134,1119,3,6,6,653,641,0,6,6,594,59,1300,647,76,24,102,324,18,43,7
8,BRAŞOV,"CAMINUL CULTURAL SAMBATA DE JOS",462,VOILA,42307,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:41",432,408,1,12,11,271,248,0,12,11,243,28,450,179,46,7,39,47,10,93,1
8,BRAŞOV,"CĂMINUL CULTURAL SĂVĂSTRENI",408,RECEA,41738,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:44:11",594,573,1,13,7,374,354,0,13,7,342,32,600,226,42,11,123,108,15,37,6
8,BRAŞOV,"CĂMINUL CULTURAL SEBEȘ",359,HÂRSENI,41113,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:38",695,663,0,19,13,459,427,0,19,13,410,49,700,241,55,5,48,252,22,21,7
8,BRAŞOV,"CĂMINUL CULTURAL ŞIMON",312,BRAN,40633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:32",1039,1026,0,12,1,661,648,0,12,1,626,35,1132,471,87,34,78,321,27,66,13
8,BRAŞOV,"CĂMINUL CULTURAL SOHODOL",311,BRAN,40633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:39:42",928,917,4,5,2,547,539,1,5,2,512,35,1000,453,62,9,87,264,26,58,6
8,BRAŞOV,"CĂMINUL CULTURAL TELIU",441,TELIU,42058,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:48:13",1034,1015,0,10,9,652,633,0,10,9,613,39,1100,448,83,177,92,214,11,33,3
8,BRAŞOV,"CĂMINUL CULTURAL TICUŞU NOU",331,COMANA,40857,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:31:08",503,492,1,10,0,365,354,1,10,0,319,44,516,153,42,8,120,139,3,5,2
8,BRAŞOV,"CĂMINUL CULTURAL TICUŞU VECHI",443,TICUŞU,42076,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:06",617,605,1,10,1,422,411,0,10,1,313,109,665,243,34,8,118,125,10,17,1
8,BRAŞOV,"CĂMINUL CULTURAL TOHANUL NOU",295,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:20:59",1206,1194,3,3,6,677,668,0,3,6,648,29,1300,623,79,12,176,270,20,73,18
8,BRAŞOV,"CAMINUL CULTURAL TOHANUL VECHI",294,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:00:39",1745,1733,2,9,1,856,846,0,9,1,811,45,1900,1044,103,8,341,230,38,70,21
8,BRAŞOV,"CAMINUL CULTURAL UCEA DE SUS",448,UCEA,42101,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:14:31",835,779,0,37,19,580,524,0,37,19,554,25,903,324,59,8,233,181,8,63,2
8,BRAŞOV,"CĂMINUL CULTURAL VENEȚIA DE SUS",394,PĂRĂU,41578,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:03:20",408,371,0,27,10,290,253,0,27,10,235,55,400,110,31,7,80,96,10,7,4
8,BRAŞOV,"CĂMINUL CULTURAL VIȘTEA DE JOS",454,VIŞTEA,42236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:56:53",681,642,0,30,9,376,337,0,30,9,337,39,700,324,68,11,92,136,6,24,0
8,BRAŞOV,"CĂMINUL CULTURAL VOILA",458,VOILA,42307,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:48",594,581,0,4,9,361,348,0,4,9,327,34,681,320,131,7,63,73,11,36,6
8,BRAŞOV,"CAMINUL CULTURAL VOIVODENII MARI",463,VOILA,42307,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:13",379,342,1,28,8,282,246,0,28,8,260,22,400,118,57,2,51,102,18,28,2
8,BRAŞOV,"CAMINUL CULTURAL VULCAN",465,VULCAN,42398,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:43:03",1803,1789,8,4,2,1118,1110,2,4,2,1002,116,1950,832,167,32,407,299,35,58,4
8,BRAŞOV,"CAMINUL CULTURAL VULCAN",464,VULCAN,42398,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:21:18",1709,1694,5,2,8,1106,1096,0,2,8,1059,47,1900,794,169,29,329,430,29,60,13
8,BRAŞOV,"CĂMUNUL CULTURAL FÂNTÂNA",365,HOGHIZ,41177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:23",223,211,0,10,2,153,141,0,10,2,139,14,235,82,14,3,43,63,5,10,1
8,BRAŞOV,"CANTINA STUDENŢEASCĂ",134,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:13",1556,1512,18,26,0,731,705,0,26,0,699,32,1700,969,69,73,87,197,16,241,16
8,BRAŞOV,"CASA DE CULTURĂ",284,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:05:55",1289,1275,5,9,0,668,659,0,9,0,653,15,1400,732,72,18,210,217,31,78,27
8,BRAŞOV,"CASA ORASENEASCA DE CULTURA",271,"ORAŞ RUPEA",40394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:19:30",1189,1164,3,13,9,602,580,1,13,8,548,50,1300,702,54,78,176,208,12,20,0
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",152,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:57:12",1835,1779,22,33,1,832,798,0,33,1,801,31,1900,1020,60,15,72,178,31,423,22
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",153,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:27",1747,1735,0,12,0,783,771,0,12,0,758,20,1900,1117,48,22,73,224,29,338,24
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",154,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:49:29",1657,1617,22,18,0,725,706,1,18,0,720,5,1800,1075,35,11,60,197,32,372,13
8,BRAŞOV,"CENTRUL DE CULTURĂ MIHAIL SAULESCU",253,"ORAŞ PREDEAL",40303,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:58:00",1159,1144,1,12,2,621,607,0,12,2,582,32,1300,686,50,9,134,266,22,76,25
8,BRAŞOV,"CENTRUL REGIONAL DE FORMARE PROFESIONALĂ BRAŞOV",133,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:36:59",1775,1733,24,17,1,876,858,0,17,1,840,19,1900,1041,63,37,156,207,22,335,20
8,BRAŞOV,"CENTRUL REGIONAL DE FORMARE PROFESIONALĂ BRAŞOV",132,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:26:13",931,928,0,3,0,357,354,0,3,0,341,16,1000,643,34,11,75,86,18,106,11
8,BRAŞOV,"CLADIRE FOST SEDIU PRIMARIE",302,BECLEAN,40544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:43",406,376,5,17,8,289,264,0,17,8,277,12,400,111,31,8,135,68,13,17,5
8,BRAŞOV,"CLĂDIRE ȘCOALA COLONIA 1 MAI",466,VULCAN,42398,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:21",736,726,1,9,0,476,467,0,9,0,431,45,800,324,90,18,167,111,25,17,3
8,BRAŞOV,"CLUB MUNCITORESC BRAFOR GARA RUPEA",273,"ORAŞ RUPEA",40394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:07",524,518,1,5,0,271,266,0,5,0,254,17,600,329,12,60,92,76,4,8,2
8,BRAŞOV,"CLUBUL PENSIONARILOR",287,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:25",1161,1148,2,10,1,564,553,0,10,1,533,31,1300,736,52,8,195,162,26,61,29
8,BRAŞOV,"CLUBUL PENSIONARILOR - CARAIMAN",286,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:46:23",1324,1313,2,9,0,612,603,0,9,0,589,23,1500,888,62,17,183,192,36,77,22
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",109,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:11:43",1346,1328,6,12,0,623,611,0,12,0,601,22,1500,877,52,79,84,132,21,215,18
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",107,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:42:45",1360,1345,9,6,0,670,664,0,6,0,634,36,1500,830,49,54,110,177,18,209,17
