precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"THUMA HUBERT PETRU ŞTEFAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","MIHALCEA SERGIU-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOBEI VICTOR-HORIA-PARTIDUL S.O.S. ROMÂNIA-voturi","TĂNĂSESCU CLAUDIU-PARTIDUL ROMÂNIA MARE-voturi","DANCĂ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",125,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:51:32",1851,1781,37,22,11,961,928,0,22,11,924,37,2000,1039,534,136,87,47,120
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",89,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:07:23",1932,1899,12,21,0,890,869,0,21,0,872,18,2050,1160,339,88,31,25,389
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",88,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:22:44",1911,1871,11,29,0,843,814,0,29,0,819,24,2000,1157,248,136,15,19,401
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",87,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 22:52:54",2013,1961,9,43,0,1002,959,0,43,0,977,25,2200,1198,339,141,32,27,438
25,ILFOV,"FUNDATIA LEORNARDO MURIALDO",90,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 22:43:26",1860,1830,9,21,0,874,853,0,21,0,853,21,2000,1126,251,157,39,23,383
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",58,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:41:15",1886,1848,18,18,2,929,908,1,18,2,894,35,2100,1171,351,91,36,26,390
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",59,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:43:33",1797,1765,16,16,0,969,953,0,16,0,940,29,1942,973,451,78,30,15,366
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",61,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:46:38",1523,1505,0,18,0,882,864,0,18,0,850,32,1650,768,261,82,21,24,462
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR.3",143,BERCENI,101145,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:54:42",1982,1857,4,109,12,1347,1226,0,109,12,1309,38,1889,542,926,109,48,31,195
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",11,"ORAŞ BRAGADIRU",179221,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 04:20:28",1577,1560,6,11,0,668,656,1,11,0,647,21,1699,1031,211,110,48,20,258
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",13,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:08:26",1655,1609,24,22,0,740,718,0,22,0,722,18,1746,1006,265,62,40,28,327
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",12,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 06:18:09",1639,1606,3,30,0,682,652,0,30,0,665,17,1700,1018,199,60,38,20,348
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",14,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:28:14",1406,1385,16,5,0,541,536,0,5,0,533,8,1500,959,215,72,36,19,191
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",18,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:18:02",1368,1349,6,13,0,527,514,0,13,0,504,23,1500,973,177,64,29,23,211
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",15,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:26:15",1534,1499,10,25,0,727,702,0,25,0,711,16,1700,973,272,79,37,29,294
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",17,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:44:31",1439,1411,5,23,0,679,656,0,23,0,658,13,1500,820,265,84,29,23,257
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",16,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 22:28:47",1559,1531,9,19,0,579,560,0,19,0,565,14,1700,1121,226,75,35,16,213
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",216,DOMNEŞTI,102570,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:49:49",2105,1990,3,108,4,1211,1099,0,108,4,1186,15,2200,989,1066,40,40,14,26
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",217,DOMNEŞTI,102570,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:36:41",2010,1910,0,96,4,1042,942,0,96,4,1024,18,2100,1058,808,59,31,20,106
25,ILFOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",34,"ORAŞ CHITILA",179285,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:52:12",1149,1143,0,6,0,539,533,0,6,0,517,22,1300,761,372,72,21,14,38
25,ILFOV,"GRĂDINIŢA DE COPII",238,GRUIU,103513,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:07:32",1818,1787,0,22,9,1095,1064,0,22,9,1032,63,2000,905,645,93,43,19,232
25,ILFOV,"GRĂDINIŢA NR. 1",196,CORBEANCA,102160,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:28:52",1169,1131,1,37,0,664,626,1,37,0,641,23,1250,586,204,87,20,15,315
25,ILFOV,"GRĂDINIŢA NR.1",152,BRĂNEŞTI,101298,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:00:47",1254,1250,0,4,0,706,702,0,4,0,677,29,1350,644,516,75,40,17,29
25,ILFOV,"GRĂDINIȚA NR. 1",242,JILAVA,179383,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:46:09",1404,1378,3,23,0,998,975,0,23,0,949,49,1500,502,717,118,48,20,46
25,ILFOV,"GRĂDINIŢA NR. 1 CIOFLICENI",268,SNAGOV,105160,6,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:22:27",1144,1118,9,17,0,733,716,0,17,0,711,20,1200,469,484,79,27,19,102
25,ILFOV,"GRĂDINIȚA NR. 1 DRAGOMIREȘTI-DEAL(ȘCOALA VECHE)",223,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:27",1381,1264,4,109,4,789,676,0,109,4,761,28,1400,611,424,87,32,18,200
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",78,"ORAŞ PANTELIMON",179515,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:39:55",1838,1826,1,11,0,733,722,0,11,0,694,35,1996,1267,447,105,44,16,82
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",79,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:26:03",1870,1867,0,3,0,722,719,0,3,0,687,35,2117,1395,389,139,48,25,86
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",76,"ORAŞ PANTELIMON",179515,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:12:37",1252,1236,10,6,0,507,501,0,6,0,488,0,1400,912,310,75,32,16,55
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",75,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:36:26",1378,1367,6,5,0,606,601,0,5,0,577,29,1500,894,373,104,36,13,51
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",77,"ORAŞ PANTELIMON",179515,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 22:02:51",1246,1240,0,6,0,522,516,0,6,0,501,12,1402,880,306,71,36,17,71
25,ILFOV,"GRĂDINIȚA NR. 1 ȘTEFĂNEȘTII DE JOS",278,"ŞTEFĂNEŞTII DE JOS",105419,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 21:28:20",857,831,0,20,6,673,647,0,20,6,640,33,906,233,270,47,256,12,55
25,ILFOV,"GRADINITA NR. 1- ȚEGHEȘ",220,DOMNEŞTI,102570,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:54:08",1153,1058,6,87,2,754,664,1,87,2,739,15,1137,383,596,50,24,7,62
25,ILFOV,"GRADINITA NR.2",153,BRĂNEŞTI,101298,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:22:18",1034,1014,3,16,1,572,555,0,16,1,553,19,1093,521,386,66,25,19,57
25,ILFOV,"GRĂDINIȚA NR.2, BĂLTENI",261,PERIŞ,104546,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:56:40",442,429,1,12,0,283,270,1,12,0,271,12,500,217,150,33,11,14,63
25,ILFOV,"GRĂDINIȚA NR. 2 FUNDENI",214,DOBROEŞTI,179310,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:01:07",1189,1168,4,15,2,613,596,0,15,2,592,21,1293,680,357,66,40,27,102
25,ILFOV,"GRĂDINIŢA NR. 2 GAGU",205,DASCĂLU,102473,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:19:58",698,682,0,16,0,487,471,0,16,0,457,27,707,220,325,42,33,12,45
25,ILFOV,"GRADINITA NR 2 MAGURELE",43,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:19:26",1380,1366,4,6,4,804,795,0,6,3,787,17,1600,796,568,80,40,10,89
25,ILFOV,"GRADINITA NR.3",181,CIOLPANI,101902,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:19:22",683,664,0,17,2,358,339,0,17,2,341,17,700,342,241,54,5,5,36
25,ILFOV,"GRĂDINIŢA NR.3 DUMBRĂVENI",141,BALOTEŞTI,100969,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 22:41:25",1071,1055,3,13,0,647,634,0,13,0,624,23,1200,553,332,55,25,13,199
25,ILFOV,"GRADINITA NR 3 VARTEJU",50,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:09:48",1646,1621,8,12,5,859,841,1,12,5,838,21,1735,876,513,104,54,25,142
25,ILFOV,"GRADINITA NR.4",180,CIOLPANI,101902,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:28:44",1162,1123,4,12,23,669,634,0,12,23,655,14,1300,631,451,142,20,14,28
25,ILFOV,"GRĂDINIȚA NR.4",103,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:50:36",1219,1179,17,23,0,581,558,0,23,0,571,10,1300,719,202,58,19,6,286
25,ILFOV,"GRĂDINIȚA NR.4",104,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:22:20",1027,993,4,30,0,582,552,0,30,0,538,18,1105,523,198,121,22,16,181
25,ILFOV,"GRĂDINIŢA NR.5",159,CERNICA,101742,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:50:43",1017,988,3,22,4,656,630,0,22,4,641,15,1100,444,494,58,35,12,42
25,ILFOV,"GRĂDINIȚA NR.5",83,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:11:34",2517,1751,17,749,0,794,763,0,31,0,774,20,1900,1106,257,64,32,25,396
25,ILFOV,"GRĂDINIȚA NR.5",82,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:10:59",1816,1776,4,36,0,888,852,0,36,0,865,23,2001,1113,314,150,31,26,344
25,ILFOV,"GRĂDINIŢA ”PRICHINDEL”",41,"ORAŞ CHITILA",179285,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:01:26",1245,1225,3,17,0,578,561,0,17,0,556,22,1350,772,369,71,38,18,60
25,ILFOV,"GRĂDINIŢIA CU PROGRAM PRELUNGIT NR. 2",62,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:35:46",1423,1398,12,13,0,801,787,1,13,0,768,33,1591,790,344,94,37,25,268
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",188,CLINCENI,102035,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:38:26",1500,1479,1,13,7,866,846,0,13,7,826,33,1638,779,558,104,47,19,98
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",187,CLINCENI,102035,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:23:04",1321,1295,13,11,2,757,744,0,11,2,739,18,1400,643,479,111,48,14,87
25,ILFOV,"LICEUL TEHNOLOGIC ” DOAMNA CHIAJNA”",176,CHIAJNA,179249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:45:46",1825,1809,0,16,0,509,493,0,16,0,504,5,2000,1491,131,62,36,18,257
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",177,CHIAJNA,179249,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 01:48:49",1711,1679,24,8,0,470,461,1,8,0,449,7,1900,1430,148,56,22,17,206
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",178,CHIAJNA,179249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:45:59",1444,1429,4,11,0,661,650,0,11,0,640,21,1639,978,225,62,34,23,296
25,ILFOV,"LICEUL TEHNOLOGIC” DOAMNA CHIAJNA”",171,CHIAJNA,179249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:48:33",2050,2013,7,30,0,597,567,0,30,0,586,11,2200,1603,219,79,44,21,223
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",24,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:29:54",1627,1574,0,17,36,1091,1038,0,17,36,1018,73,1800,709,672,104,88,37,117
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",23,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:28:14",988,950,1,18,19,629,592,0,18,19,594,35,1095,466,363,83,43,35,70
25,ILFOV,"LICEUL TEHNOLOGIC ”VINTILĂ BRĂTIANU”",221,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:01:56",1859,1483,3,365,8,1279,906,0,365,8,1234,45,1600,321,902,94,57,26,155
25,ILFOV,"LICEUL TEORETIC ALEXANDRU ROSETTI VIDRA",286,VIDRA,105936,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:46:31",1241,1225,0,8,8,696,680,0,8,8,638,39,1350,654,491,63,24,25,35
25,ILFOV,"LICEUL TEORETIC ”HORIA HULUBEI”",44,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:50:33",1104,1084,7,11,2,673,660,0,11,2,652,21,1197,524,457,58,17,16,104
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",52,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:46:07",916,904,9,3,0,508,505,0,3,0,475,33,1000,492,281,43,17,18,116
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",51,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:28:20",1426,1393,21,12,0,726,713,1,12,0,706,20,1500,774,363,80,24,14,225
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",54,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:29:24",1360,1348,2,7,3,746,736,0,7,3,708,38,1500,754,400,66,41,17,184
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",53,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:50:53",1273,1260,7,5,1,716,710,0,5,1,689,27,1400,684,341,78,36,26,208
25,ILFOV,"LICEUL TEORETIC IOAN PETRUȘ",60,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:39",1279,1139,130,10,0,477,467,0,10,0,457,19,1300,823,216,53,31,16,141
25,ILFOV,"LICEUL TEORETIC NR.1 PERIŞ",258,PERIŞ,104546,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:16:44",1911,1870,4,35,2,1187,1150,0,35,2,1068,65,2050,917,594,174,71,41,188
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",96,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 01:57:51",1885,1802,5,67,11,1299,1221,0,67,11,1255,43,2000,701,735,293,51,20,156
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",95,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:08:26",1885,1814,1,51,19,1366,1296,0,51,19,1288,51,2100,734,725,356,29,24,154
25,ILFOV,"LICEUL TEORETIC RADU POPESCU CORP E",97,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 13:20:38",1836,1797,2,37,0,1166,1129,0,37,0,1135,31,2073,907,534,380,46,17,158
25,ILFOV,"LICEUL TEORETIC ”TRAIAN LALESCU”",151,BRĂNEŞTI,101298,8,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:04:03",1889,1873,1,15,0,1078,1063,0,15,0,1041,37,2050,972,751,121,39,43,87
25,ILFOV,"POLICLINICA JILAVA",246,JILAVA,179383,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:20:07",1851,1807,3,38,3,1216,1175,0,38,3,1125,91,1979,763,820,142,69,22,72
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",45,"ORAŞ MĂGURELE",179409,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 08:38:58",2361,2316,10,29,6,1266,1231,0,29,6,1245,14,2500,1234,735,110,47,34,319
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",46,"ORAŞ MĂGURELE",179409,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 21:21:53",1302,1282,11,7,2,618,609,0,7,2,582,36,1393,775,367,57,31,21,106
25,ILFOV,"PRIMĂRIA ORAŞULUI OTOPENI",55,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:31:57",1359,1331,16,8,4,749,734,3,8,4,701,48,1500,751,394,70,32,22,183
25,ILFOV,"PRIMĂRIA ORAŞULUI VOLUNTARI",126,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:29:50",1526,1505,0,21,0,864,843,0,21,0,828,36,1715,851,550,87,68,28,95
25,ILFOV,"PROPRIETATE PRIVATĂ BACHAR DAVID-SAMUIL",241,JILAVA,179383,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:48:18",1647,1629,3,13,2,856,841,0,13,2,805,51,1796,940,539,104,105,19,38
25,ILFOV,"PROPRIETATE PRIVATĂ PUȘA HACK",102,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 01:08:36",1551,1524,10,17,0,720,703,0,17,0,705,15,1696,976,300,135,28,12,230
25,ILFOV,"PROPRIETATE PRIVATĂ: TUTUNARU GHEORGHE",33,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:15:48",509,490,0,14,5,267,248,0,14,5,261,6,558,291,179,34,19,9,20
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",175,CHIAJNA,179249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:30:08",1691,1668,8,15,0,723,708,0,15,0,714,9,1795,1072,258,66,44,21,325
