precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
23,IALOMIŢA,"CASA MUNICIPALĂ DE CULTURĂ „NICOLAE ROTARU”",13,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:40:59",1295,1288,2,4,1,494,489,0,4,1,477,17,1498,1004,100,70,198,5,28,20,39,17
23,IALOMIŢA,"CENTRUL COMUNITAR MULTIFUNCȚIONAL VALEA CIORII",216,"VALEA CIORII",94688,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:36:44",1467,1403,0,15,49,1015,951,0,15,49,972,43,1536,521,291,70,508,2,24,7,68,2
23,IALOMIŢA,"CENTRUL DE EDUCAȚIE NON-FORMALĂ",10,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:54",1370,1365,1,4,0,614,610,0,4,0,579,35,1550,929,141,70,264,9,12,14,40,29
23,IALOMIŢA,"CENTRUL SOCIAL AL PAROHIEI FETEȘTI GARĂ II",55,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:25:40",1273,1268,0,5,0,429,424,0,5,0,404,25,1400,971,57,37,248,4,21,17,17,3
23,IALOMIŢA,"CENTRU SOCIAL DE ZI VIITORUL",207,"SFÂNTU GHEORGHE",94456,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:58:53",605,584,1,6,14,434,413,1,6,14,418,16,660,226,168,50,153,0,25,2,16,4
23,IALOMIŢA,"CLUBUL SINDICATELOR",65,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:35:40",1541,1529,0,11,1,740,728,0,11,1,705,35,1700,960,192,57,261,4,75,11,99,6
23,IALOMIŢA,"COLEGIUL NAȚIONAL „MIHAI VITEAZUL” (FOST LICEU DE MATEMATICĂ-FIZICĂ)",5,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:20:50",1131,1125,0,6,0,499,493,0,6,0,485,14,1244,745,134,44,208,7,16,17,38,21
23,IALOMIŢA,"CONTAINER MODULAR(TEREN FOSTA GRĂDINIŢĂ COPUZU)",104,BALACIU,92907,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:10:17",224,222,0,2,0,124,122,0,2,0,107,17,250,126,28,21,34,0,4,3,17,0
23,IALOMIŢA,"CONTAINER(SITUAT IN CURTEA GRĂDINIȚEI CU PROGRAM NORMAL MARSILIENI)",92,ALBEŞTI,92783,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:44",409,387,0,4,18,281,259,0,4,18,254,27,450,169,30,27,180,0,9,3,4,1
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:26",933,927,0,6,0,364,358,0,6,0,344,16,1050,670,90,33,162,6,20,10,12,11
23,IALOMIŢA,"FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL FUNDATA",186,PERIEŢI,94161,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:31",401,393,0,7,1,219,211,0,7,1,208,11,430,211,68,33,77,3,6,2,13,6
23,IALOMIŢA,"FOSTĂ ȘCOALA GIMNAZIALĂ”MIHAI VITEAZUL” - LOCAL BULIGA",34,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:50",864,858,1,5,0,369,364,0,5,0,353,16,950,581,33,23,261,1,23,6,6,0
23,IALOMIŢA,"FOSTA ŞCOALA NR. 1",88,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:05",1098,1095,0,3,0,270,267,0,3,0,238,32,1228,958,20,10,180,0,4,11,12,1
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL BORDUȘELU",123,CIOCHINA,93101,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:44",611,556,0,55,0,485,430,0,55,0,462,21,600,117,273,25,154,1,3,5,1,0
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL FRUMUȘICA",100,AXINTELE,100923,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:46",759,748,0,8,3,478,470,0,8,0,422,56,830,352,104,91,160,1,11,8,45,2
23,IALOMIŢA,"GRADINIȚA CU PROGRAM NORMAL GIMBĂŞANI",133,COSÂMBEŞTI,93236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:10",734,713,1,9,11,497,477,0,9,11,476,21,800,303,194,35,131,2,17,10,86,1
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL IAZU",206,SCÂNTEIA,94429,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:35:55",793,787,0,6,0,390,384,0,6,0,368,22,868,478,52,62,164,1,9,39,38,3
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL OREZU",124,CIOCHINA,93101,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:39",600,587,0,11,2,408,395,0,11,2,376,19,652,257,179,23,144,0,11,15,4,0
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL PROGRESU",145,FĂCĂENI,93575,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:30:05",501,491,0,8,2,230,220,0,8,2,223,7,567,337,13,104,78,0,11,1,16,0
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL SMIRNA",158,GRIVIŢA,93735,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:49:48",752,717,0,9,26,490,455,0,9,26,432,23,775,294,156,36,203,2,15,4,14,2
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM NORMAL TRAIAN",214,TRAIAN,179702,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:58:14",1214,1151,0,10,53,835,775,0,10,50,783,52,1300,465,412,29,313,0,10,11,6,2
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",59,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:42:25",639,631,0,8,0,327,319,0,8,0,310,17,750,423,70,42,116,0,16,6,56,4
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBĂ CA ZĂPADA”",47,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:13:47",1020,1011,0,8,1,413,404,0,8,1,391,22,1100,687,49,51,227,2,23,16,20,3
23,IALOMIŢA,"GRÃDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",28,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:17",1280,1270,0,10,0,633,623,0,10,0,619,14,1464,831,162,52,268,8,23,14,54,38
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ PITICOT”",17,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:57:15",1448,1439,1,8,0,694,686,0,8,0,679,15,1600,906,196,52,298,7,12,24,72,18
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL ”",71,"ORAŞ AMARA",92836,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:15",1042,1041,0,0,1,524,523,0,0,1,497,27,1150,626,133,113,170,2,16,10,44,9
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL”",70,"ORAŞ AMARA",92836,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:17:47",1293,1285,2,5,1,680,674,0,5,1,656,15,1400,714,189,174,217,0,21,14,29,12
23,IALOMIŢA,"GRĂDINIŢA DE COPII",61,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:41:01",944,931,3,8,2,470,460,0,8,2,444,26,1000,530,131,43,138,2,30,15,79,6
23,IALOMIŢA,"GRĂDINIŢA DRIDU – MOARĂ",139,DRIDU,102703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:54:28",813,802,0,11,0,503,492,0,11,0,460,43,800,297,40,73,309,3,16,3,14,2
23,IALOMIŢA,"GRĂDINIŢA DRIDU – MOVILA",140,DRIDU,102703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:47:58",517,504,0,13,0,272,259,0,13,0,253,19,600,328,23,32,180,0,8,1,8,1
23,IALOMIŢA,"GRĂDINIŢA DRIDU –SNAGOV",141,DRIDU,102703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:54:37",308,298,0,10,0,216,206,0,10,0,201,15,370,154,11,18,163,0,7,0,2,0
23,IALOMIŢA,"GRADINITA ION ROATA (LOCALUL VECHI COLINELE)",162,"ION ROATĂ",103862,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:06",755,743,2,8,2,442,432,0,8,2,402,40,820,378,81,100,101,2,44,22,45,7
23,IALOMIŢA,"GRADINIŢA PĂTRIME",136,COŞERENI,102240,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:17",1013,1002,0,6,5,727,716,0,6,5,693,34,1118,391,183,53,250,1,49,120,36,1
23,IALOMIŢA,"GRĂDINIŢA SĂVENI",202,SĂVENI,94376,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:03",1181,1176,0,1,4,546,541,0,1,4,529,17,1300,754,22,58,380,0,29,10,29,1
23,IALOMIŢA,"GRĂDINIȚA SCÂNTEIA",204,SCÂNTEIA,94429,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:26:02",1138,1121,0,7,10,628,611,0,7,10,585,43,1240,612,50,101,399,0,17,13,5,0
23,IALOMIŢA,"GRĂDINIŢA ȘCOLII GIMNAZIALE ”DIMITRIE CANTEMIR”",51,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:21",1106,1102,0,3,1,547,543,0,3,1,530,17,1250,703,73,61,318,8,25,12,29,4
23,IALOMIŢA,"GRUPUL ŞCOLAR ’’SF. ECATERINA’’",63,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:39:50",1229,1221,0,7,1,620,612,0,7,1,607,13,1400,780,181,50,224,6,49,9,78,10
23,IALOMIŢA,"INTERNATUL COLEGIULUI NATIONAL GRIGORE MOISIL",68,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:21:03",1054,1052,0,2,0,502,500,0,2,0,482,20,1150,648,146,35,158,13,39,14,68,9
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",27,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:07:13",1372,1362,2,6,2,652,644,0,6,2,644,8,1400,748,230,54,241,4,14,16,59,26
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",26,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:30:36",1130,1121,0,8,1,466,457,0,8,1,452,14,1520,784,121,48,192,5,14,47,11,14
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” - ATELIERELE DE CREAȚIE",29,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:15:13",1791,1781,0,9,1,904,894,0,9,1,888,16,1950,1046,264,80,362,13,24,19,68,58
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",24,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:07:06",1052,1043,0,8,1,530,521,0,8,1,503,27,1147,617,156,26,225,5,17,6,57,11
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",25,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:51:39",965,955,2,8,0,491,483,0,8,0,468,23,1050,559,148,41,182,7,9,20,40,21
23,IALOMIŢA,"LICEUL PEDAGOGIC ”MATEI BASARAB” (FOSTĂ ȘCOALA NORMALĂ)",6,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:12:59",1413,1405,0,8,0,646,638,0,8,0,629,17,1550,904,178,59,254,16,16,20,53,33
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",2,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:04:29",1383,1376,2,5,0,612,606,1,5,0,591,16,1500,893,186,71,236,4,8,10,47,29
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",1,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:30:40",1538,1517,5,8,8,606,590,0,8,8,586,20,1596,990,151,63,278,3,15,22,34,20
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”",43,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:20",931,904,0,8,19,453,426,0,8,19,430,23,1050,597,60,24,283,6,25,11,20,1
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",57,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:39",1411,1403,0,7,1,498,490,0,7,1,471,27,1550,1052,60,78,260,1,40,12,16,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",58,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:14",1069,1063,0,6,0,342,336,0,6,0,317,25,1226,884,46,38,186,2,22,3,16,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”( FOSTA ȘCOALĂ NR.5)",56,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:22",1259,1253,0,6,0,362,356,0,6,0,335,27,1376,1014,53,32,202,2,22,6,14,4
23,IALOMIŢA,"LICEUL TEHNOLOGI CĂZĂNEȘTI",76,"ORAŞ CĂZĂNEŞTI",93067,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:05:48",1357,1323,0,14,20,755,721,0,14,20,671,84,1425,670,151,95,268,0,35,23,34,65
23,IALOMIŢA,"LICEUL TEHNOLOGIC, CORP B",75,"ORAŞ CĂZĂNEŞTI",93067,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:45:41",1393,1352,1,10,30,743,703,0,10,30,676,54,1600,857,173,87,246,4,29,17,72,48
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ",46,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:59:24",1381,1373,0,8,0,635,627,0,8,0,612,23,1500,863,75,51,397,9,38,20,18,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ - CORP C 1",49,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:29:32",821,817,1,2,1,308,305,0,2,1,299,9,900,592,47,30,173,1,17,12,17,2
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ - CORP C1",50,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:06:13",959,948,0,8,3,403,392,0,8,3,393,10,974,571,48,52,232,7,29,9,15,1
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",8,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:37:25",1430,1420,2,7,1,638,630,0,7,1,620,18,1598,960,150,76,237,10,28,13,55,51
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",9,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:29:25",1245,1238,2,5,0,482,477,0,5,0,470,12,1394,912,132,56,208,2,12,15,25,20
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”MIHAI EMINESCU” (LICEUL DE CHIMIE)",14,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:40",1042,1022,7,13,0,399,386,0,13,0,387,12,1150,751,107,41,158,6,17,8,29,21
23,IALOMIŢA,"LICEUL TEHNOLOGIC ȚĂNDĂREI",80,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:00:34",1362,1354,1,5,2,504,497,0,5,2,481,23,1557,1053,64,74,218,5,26,23,65,6
23,IALOMIŢA,"LICEUL TEHNOLOGIC ȚĂNDĂREI (ȘCOALA GIMNAZIALĂ NR. 1)",85,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:46",1546,1538,1,7,0,487,480,0,7,0,456,31,1700,1213,46,56,238,1,14,27,69,5
23,IALOMIŢA,"LICEUL TEHNOLOGIC ȚĂNDĂREI (ȘCOALA GIMNAZIALĂ NR. 1)",86,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:36:51",972,965,0,7,0,190,183,0,7,0,154,36,1050,860,8,2,133,1,2,3,5,0
23,IALOMIŢA,"LICEUL TEHNOLOGIC URZICENI",69,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:25:02",1649,1648,1,0,0,777,777,0,0,0,716,61,1828,1051,273,75,207,4,64,9,76,8
23,IALOMIŢA,"LICEUL TEORETIC ”CAROL I”",44,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:24:52",1334,1324,1,8,1,584,574,1,8,1,552,32,1500,916,86,53,335,2,29,12,34,1
23,IALOMIŢA,"LICEUL TEORETIC ’’PAUL GEORGESCU’’",81,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:27:03",1174,1157,0,8,9,396,379,0,8,9,368,28,1300,904,43,48,231,1,12,11,20,2
23,IALOMIŢA,"LICEUL TEORETIC ’’PAUL GEORGESCU’’",82,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:59",844,834,0,6,4,334,324,0,6,4,319,15,900,566,67,41,135,1,9,15,49,2
23,IALOMIŢA,"LOCALUL GRUPULUI ŞCOLAR BORDUŞANI (ZONA „MOARĂ”)",116,BORDUŞANI,92989,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:41",1384,1373,4,7,0,565,558,0,7,0,527,38,1550,985,60,103,326,2,24,7,4,1
