precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL VERTICALA NOUĂ-voturi","FORȚA DREPTEI-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
26,MARAMUREŞ,"CĂMIN CULTURAL",319,FĂRCAŞA,108106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:07",932,876,0,41,15,522,466,0,41,15,491,31,1000,478,144,234,3,15,5,39,0,8,19,0,0,0,16,8
26,MARAMUREŞ,"CĂMIN CULTURAL",279,CICÂRLĂU,107662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:33:32",396,386,1,9,0,214,205,0,9,0,195,19,400,186,144,25,0,11,0,1,0,2,0,0,0,0,3,9
26,MARAMUREŞ,"CAMINUL CULTURAL",269,"CÂMPULUNG LA TISA",107715,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:31",1213,1203,1,0,9,699,689,1,0,9,674,25,1300,601,101,180,346,21,2,1,0,0,1,3,1,0,5,13
26,MARAMUREŞ,"CĂMINUL CULTURAL",268,CĂLINEŞTI,107546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:15:18",1099,1076,0,7,16,696,673,0,7,16,657,39,1200,504,344,176,5,36,2,6,1,1,5,13,37,1,23,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",440,"VIMA MICĂ",109425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:18:11",217,201,0,9,7,161,145,0,9,7,156,5,250,89,71,73,1,3,1,2,0,0,0,0,0,0,4,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",429,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:42",539,484,1,38,16,403,348,1,38,16,384,19,580,177,184,155,8,11,1,2,0,3,3,1,0,1,8,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",173,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:43",212,193,0,11,8,163,144,0,11,8,160,3,300,137,118,33,1,2,0,0,0,0,0,1,0,0,4,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",233,"BĂIŢA DE SUB CODRU",107118,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:05:58",285,252,0,29,4,235,202,0,29,4,214,17,300,69,79,51,2,10,13,7,0,1,0,0,0,0,41,10
26,MARAMUREŞ,"CĂMINUL CULTURAL",235,BĂIUŢ,107154,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:41:27",159,150,0,6,3,103,94,0,6,3,97,6,200,97,43,38,1,4,0,3,1,1,0,0,0,1,5,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",168,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:42:04",619,607,0,8,4,375,363,0,8,4,360,15,700,325,228,58,7,15,2,5,0,3,3,1,1,0,33,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",229,ARINIŞ,107047,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:32:42",195,158,3,26,8,156,119,3,26,8,151,5,199,43,84,15,0,3,1,32,0,9,2,0,0,0,5,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",247,BICAZ,107234,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:40:22",239,214,0,12,13,174,149,0,12,13,161,13,300,126,82,57,0,9,0,0,1,0,0,1,2,0,9,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",373,"REMETEA CHIOARULUI",108491,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:00:21",365,347,2,10,6,212,195,1,10,6,207,5,404,192,91,82,1,9,0,1,2,1,13,0,1,0,5,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",374,"REMETEA CHIOARULUI",108491,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:38",287,272,0,11,4,225,210,0,11,4,222,3,300,75,96,76,1,7,0,1,1,3,29,1,2,1,3,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",288,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:16:10",582,562,2,8,10,292,274,0,8,10,274,18,600,308,53,146,2,23,2,3,1,3,2,0,0,0,33,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",245,BICAZ,107234,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:56:14",439,396,0,26,17,316,273,0,26,17,293,23,500,184,91,88,2,64,4,4,0,5,1,1,2,0,28,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",354,ONCEŞTI,179864,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:36:21",1258,1236,1,12,9,709,687,1,12,9,657,52,1400,691,397,123,1,52,7,10,3,4,13,9,3,3,20,12
26,MARAMUREŞ,"CĂMINUL CULTURAL",182,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:05",603,593,3,7,0,289,282,0,7,0,273,16,699,410,49,120,11,24,1,7,0,16,9,0,0,0,27,9
26,MARAMUREŞ,"CĂMINUL CULTURAL",400,SATULUNG,108712,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:18",635,591,2,15,27,445,403,0,15,27,429,16,700,255,140,195,5,32,3,7,1,9,3,1,1,0,23,9
26,MARAMUREŞ,"CĂMINUL CULTURAL",227,ARINIŞ,107047,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:05",582,536,0,27,19,412,366,0,27,19,395,17,600,187,201,56,49,24,5,31,0,8,3,0,0,1,9,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",437,"VIMA MICĂ",109425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:43:36",86,74,0,10,2,68,56,0,10,2,63,5,141,73,19,36,1,1,0,1,0,0,0,1,1,0,3,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",395,SATULUNG,108712,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:52",256,172,0,75,9,216,132,0,75,9,210,6,250,34,155,10,3,11,5,4,0,4,1,1,5,1,9,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",208,"ORAŞ ULMENI",109265,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:42",619,580,0,13,26,354,315,0,13,26,344,10,700,346,223,94,3,6,0,3,1,2,2,1,1,0,2,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",232,"BĂIŢA DE SUB CODRU",107118,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:36:00",1311,1196,0,92,23,1004,889,0,92,23,943,61,1302,298,409,409,12,22,7,13,0,8,3,1,1,2,42,14
26,MARAMUREŞ,"CĂMINUL CULTURAL",186,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:02:45",167,158,0,9,0,114,105,0,9,0,111,3,200,86,16,83,1,6,0,0,0,1,0,0,1,0,2,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",384,"RONA DE SUS",108632,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:59:06",1635,1595,0,4,36,834,795,0,4,35,768,62,1700,866,494,111,5,16,1,20,13,0,6,37,2,1,26,36
26,MARAMUREŞ,"CĂMINUL CULTURAL",249,BISTRA,107270,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:39",1296,1286,0,10,0,663,653,0,10,0,567,96,1400,737,135,204,6,25,8,6,1,0,5,111,43,2,5,16
26,MARAMUREŞ,"CĂMINUL CULTURAL",406,SĂLSIG,108918,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:08:14",1448,1276,3,125,44,1295,1125,1,125,44,1043,62,1400,295,573,354,2,30,25,13,1,1,2,0,0,0,25,17
26,MARAMUREŞ,"CĂMINUL CULTURAL",396,SATULUNG,108712,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:42:10",612,582,0,23,7,397,367,0,23,7,382,15,700,303,203,74,4,30,5,2,1,17,15,0,0,1,19,11
26,MARAMUREŞ,"CĂMINUL CULTURAL",441,"VIMA MICĂ",109425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:39",349,320,0,16,13,232,203,0,16,13,215,17,380,148,68,25,1,91,1,7,2,3,1,0,1,0,13,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",228,ARINIŞ,107047,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:10:44",163,151,0,10,2,128,116,0,10,2,119,9,200,72,65,11,1,20,0,6,1,2,2,0,0,0,2,9
26,MARAMUREŞ,"CĂMINUL CULTURAL",308,DESEŞTI,107975,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:57",445,418,0,11,16,311,284,0,11,16,298,13,497,186,71,124,2,49,0,3,0,1,2,2,1,0,34,9
26,MARAMUREŞ,"CĂMINUL CULTURAL",265,BUDEŞTI,107519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:46",628,623,1,0,4,398,393,1,0,4,377,21,700,302,115,210,2,27,1,0,1,1,1,5,1,0,11,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",352,"OCNA ŞUGATAG",108400,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:43",245,239,0,5,1,168,162,0,5,1,150,12,300,138,67,49,1,5,0,17,0,0,3,0,0,1,5,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",209,"ORAŞ ULMENI",109265,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:52",213,195,0,11,7,141,123,0,11,7,138,3,300,159,107,19,0,3,2,2,1,0,3,1,0,0,0,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",398,SATULUNG,108712,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:09",631,598,0,26,7,420,387,0,26,7,403,17,700,280,239,80,2,25,5,8,2,12,3,0,1,0,22,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",336,"MIREŞU MARE",108268,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:17:09",1158,1123,1,16,18,737,703,0,16,18,700,37,1300,563,327,243,8,30,14,10,0,25,6,0,1,1,13,22
26,MARAMUREŞ,"CĂMINUL CULTURAL",289,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:17:55",70,64,0,6,0,48,42,0,6,0,45,3,100,52,4,29,1,1,0,0,0,1,0,0,0,0,9,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",295,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:31:01",219,213,0,6,0,219,213,0,6,0,154,8,300,138,30,43,1,2,0,2,0,1,3,0,1,0,66,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",287,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:05",286,283,0,3,0,197,194,0,3,0,188,9,303,106,56,90,5,14,1,1,0,3,3,0,1,1,9,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",307,DESEŞTI,107975,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:45:08",756,700,0,33,23,557,501,0,33,23,531,26,800,243,221,197,4,27,4,20,0,3,6,1,13,1,27,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",385,"RONA DE SUS",108632,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:24:16",1505,1469,3,3,30,753,720,0,3,30,692,61,1600,847,476,99,4,15,2,11,7,2,1,29,0,0,21,25
26,MARAMUREŞ,"CĂMINUL CULTURAL",397,SATULUNG,108712,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:44:26",1022,993,0,29,0,694,665,0,29,0,626,68,1100,406,498,56,4,30,4,3,0,3,2,0,5,2,11,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",237,BĂSEŞTI,107190,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:25:17",498,441,0,38,19,355,298,0,38,19,336,19,500,145,105,126,1,47,3,5,2,2,5,0,1,1,31,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",285,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:42:36",793,778,0,7,8,506,491,0,7,8,487,19,800,294,86,299,10,22,1,2,1,4,2,0,2,2,45,11
26,MARAMUREŞ,"CĂMINUL CULTURAL",321,GIULEŞTI,108151,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:33",1061,1027,0,4,30,642,608,0,4,30,620,22,1150,508,168,391,0,17,0,4,0,2,11,2,0,0,19,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",371,"REMETEA CHIOARULUI",108491,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:42:38",998,949,2,36,11,668,621,0,36,11,640,28,1000,332,311,210,4,14,3,4,7,10,45,1,4,1,11,15
26,MARAMUREŞ,"CĂMINUL CULTURAL",399,SATULUNG,108712,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:20:22",677,649,1,17,10,425,397,1,17,10,390,35,700,275,161,96,4,43,6,3,5,8,6,6,1,6,40,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",293,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:31:31",273,262,0,4,7,189,178,0,4,7,181,4,300,111,26,116,1,6,1,2,1,1,1,0,2,0,24,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",394,SATULUNG,108712,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:38:55",1423,1314,4,68,37,897,791,1,68,37,841,56,1450,553,454,126,17,27,15,13,0,20,19,1,6,6,128,9
26,MARAMUREŞ,"CĂMINUL CULTURAL",291,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:00:23",704,701,0,0,3,383,383,0,0,0,342,28,800,402,104,193,0,24,1,0,4,3,1,0,4,0,0,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",240,BĂSEŞTI,107190,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:03:32",223,212,0,7,4,142,131,0,7,4,119,23,300,157,16,42,0,11,0,1,1,1,2,0,0,0,45,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",402,SĂCĂLĂŞENI,108794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:08",747,695,0,21,31,513,471,0,21,21,505,8,800,287,164,261,0,25,6,11,0,11,6,1,1,0,11,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",434,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:09:28",205,145,1,48,11,205,145,1,48,11,195,10,220,5,69,46,2,64,1,0,1,4,2,0,0,0,6,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",380,REPEDEA,108598,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:01:52",1748,1738,0,3,7,839,829,0,3,7,793,46,1800,961,451,130,7,52,3,3,0,4,57,41,0,0,13,32
26,MARAMUREŞ,"CĂMINUL CULTURAL",351,"OCNA ŞUGATAG",108400,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:11",861,837,3,11,10,527,505,1,11,10,490,37,900,373,314,61,0,15,4,44,18,6,4,2,5,0,15,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",435,"VIMA MICĂ",109425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:59:18",262,245,0,4,13,184,167,0,4,13,178,6,350,165,81,38,2,18,0,18,1,1,1,1,2,0,12,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",183,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:33:54",319,311,1,7,0,194,187,0,7,0,183,11,400,206,32,76,5,11,0,4,0,16,14,0,2,0,18,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",170,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:54:56",486,475,0,5,6,306,295,0,5,6,299,7,504,198,203,34,4,29,2,1,1,10,0,0,1,5,7,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",393,SARASĂU,106620,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:46:47",1104,1097,2,2,3,597,592,0,2,3,571,22,1200,607,334,56,1,20,1,119,0,1,7,0,4,0,20,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",320,GÂRDANI,179855,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:16",1158,1079,0,33,46,772,693,0,33,46,740,32,1200,428,453,182,2,26,7,2,0,11,7,0,2,0,38,10
26,MARAMUREŞ,"CĂMINUL CULTURAL",392,SARASĂU,106620,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:07:30",1236,1223,2,0,11,680,667,2,0,11,654,25,1400,721,365,71,1,34,1,108,2,1,12,1,0,0,28,30
26,MARAMUREŞ,"CĂMINUL CULTURAL",231,"ASUAJU DE SUS",107083,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:29:06",277,235,0,35,7,195,153,0,35,7,192,3,300,105,73,98,0,6,0,1,1,5,0,0,0,2,6,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",417,ŞIEU,179613,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:37:34",1245,1168,1,52,24,861,784,1,52,24,821,40,1300,439,231,467,0,47,0,12,3,0,7,4,5,0,12,33
26,MARAMUREŞ,"CĂMINUL CULTURAL",439,"VIMA MICĂ",109425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:18",179,172,0,5,2,131,124,0,5,2,129,2,240,109,86,17,0,11,0,3,2,2,0,0,0,0,5,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",239,BĂSEŞTI,107190,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:12:27",88,63,0,20,5,71,46,0,20,5,66,5,100,29,9,14,2,7,0,20,0,0,8,2,0,0,3,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",207,"ORAŞ ULMENI",109265,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:57",937,875,0,16,46,599,537,0,16,46,583,9,1000,408,265,29,252,8,0,3,0,5,7,0,1,0,5,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",267,CĂLINEŞTI,107546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:48",358,347,0,6,5,198,187,0,6,5,193,5,400,202,80,78,0,17,1,3,0,1,0,2,5,0,4,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",403,SĂCĂLĂŞENI,108794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:57",548,537,0,10,1,306,295,0,10,1,292,14,600,294,64,117,0,43,3,2,3,9,1,1,3,1,35,10
26,MARAMUREŞ,"CĂMINUL CULTURAL",286,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:38",591,583,0,4,4,365,357,0,4,4,344,18,600,238,110,178,4,20,2,2,2,4,1,0,2,0,11,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",430,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:16",268,206,0,52,10,224,162,0,52,10,211,13,300,76,88,90,2,12,2,1,0,4,4,0,3,0,2,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",300,COROIENI,107868,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:30:42",171,158,0,4,9,107,94,0,4,9,105,2,200,93,41,51,4,5,0,0,0,0,0,0,0,0,4,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",292,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:41",392,378,1,9,4,259,246,0,9,4,253,6,400,141,93,97,1,12,0,0,1,6,7,1,1,2,27,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",284,COLTĂU,179846,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:48:19",486,482,1,2,1,283,280,0,2,1,274,9,500,217,31,34,136,11,5,5,11,9,4,0,1,2,19,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",298,COROIENI,107868,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:50:34",349,339,0,2,8,242,232,0,2,8,233,9,400,158,39,150,1,4,0,2,7,1,3,2,0,0,23,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",236,BĂIUŢ,107154,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:41:10",489,476,0,7,6,267,254,0,7,6,254,13,500,233,102,59,40,10,2,6,3,3,6,3,0,0,14,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",174,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:00:10",600,569,1,12,18,467,437,0,12,18,458,9,700,233,352,58,5,12,5,1,0,0,5,1,1,2,10,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",259,"BOIU MARE",107430,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:26",371,343,0,16,12,255,227,0,16,12,248,7,400,145,162,54,1,9,1,1,0,7,0,0,2,0,6,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",431,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:38",82,51,0,28,3,65,34,0,28,3,61,4,100,35,34,11,1,2,1,0,0,3,0,0,0,0,8,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",438,"VIMA MICĂ",109425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:51:10",40,30,0,8,2,29,19,0,8,2,29,0,70,41,14,10,0,3,0,0,0,0,0,0,0,0,2,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",266,CĂLINEŞTI,107546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:19:30",743,690,3,9,41,740,690,0,9,41,714,26,1300,560,259,323,11,19,3,8,3,0,28,2,1,0,47,10
26,MARAMUREŞ,"CĂMINUL CULTURAL",154,"ORAŞ DRAGOMIREŞTI",108017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:00:49",1354,1283,2,27,42,747,678,0,27,42,686,45,1400,639,374,214,4,19,1,9,2,3,6,2,1,3,36,12
