precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL VERDE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ZAINEA SERGIU-FLORIAN-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL VERTICALA NOUĂ-voturi"
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",11,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:28:37",1037,1031,2,4,0,457,453,0,4,0,448,9,1100,643,1,80,22,6,2,12,11,7,4,1,6,89,61,14,89,43
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",10,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:17",928,920,4,4,0,398,394,0,4,0,390,8,1040,642,4,86,17,5,4,8,4,8,4,1,8,69,49,14,75,34
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",39,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:12",1366,1359,0,7,0,562,555,0,7,0,551,11,1500,938,2,94,42,10,1,14,5,11,6,3,10,152,28,13,95,65
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",40,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:40:44",1336,1328,0,8,0,503,495,0,8,0,487,16,1500,997,5,75,38,8,2,6,9,9,2,0,5,117,26,14,86,85
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",41,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:47:13",1432,1427,0,5,0,547,542,0,5,0,534,13,1600,1053,6,75,35,5,4,8,5,10,7,4,6,155,29,11,112,62
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",3,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:48:11",1670,1649,10,11,0,810,799,0,11,0,775,35,1800,990,5,108,51,2,6,11,11,17,3,2,7,192,58,22,187,93
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",4,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:05",1812,1794,3,14,1,852,837,0,14,1,838,14,1900,1048,7,128,40,13,7,26,2,12,6,3,14,177,82,38,167,116
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",16,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:58",1109,1091,8,10,0,489,479,0,10,0,475,14,1200,711,3,77,29,8,1,7,1,13,4,0,11,81,93,17,71,59
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",17,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:47:06",1002,988,3,11,0,443,432,0,11,0,409,20,1100,671,1,54,31,7,4,7,4,10,3,1,8,93,62,16,69,39
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",32,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:48",839,831,0,8,0,319,311,0,8,0,315,4,999,680,5,46,22,5,4,8,3,7,6,0,7,87,26,9,43,37
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",34,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:07",1149,1134,0,15,0,433,418,0,15,0,413,20,1300,867,8,46,39,4,1,7,2,22,4,3,10,127,20,10,71,39
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",33,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:38:58",1288,1280,0,7,1,488,480,0,7,1,470,18,1400,912,1,75,38,6,6,11,6,10,3,0,5,97,58,13,68,73
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",67,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:17:25",1658,1642,6,9,1,835,825,0,9,1,812,23,1900,1065,4,112,41,5,3,16,7,8,4,6,4,161,104,26,203,108
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",65,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:24:08",1101,1089,3,9,0,523,514,0,9,0,505,18,1200,677,6,77,27,6,4,9,7,14,1,1,7,80,64,19,123,60
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",66,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:59:39",1018,986,17,11,4,463,448,0,11,4,448,15,1100,637,2,57,31,6,1,18,3,4,5,0,5,93,59,8,93,63
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",68,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:57:02",1516,1492,14,10,0,593,583,0,10,0,586,7,1700,1107,2,87,45,2,2,18,8,4,4,3,14,141,35,18,114,89
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",58,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:48:07",1187,1181,0,6,0,535,529,0,6,0,517,18,1300,765,8,33,31,4,3,2,7,9,3,2,7,194,10,13,107,84
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",57,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:05",1250,1243,1,6,0,592,586,0,6,0,566,26,1400,808,14,52,48,5,3,7,7,12,5,0,10,216,9,10,80,88
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",8,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:47:34",1564,1550,9,5,0,761,756,0,5,0,749,12,1800,1039,10,110,44,7,7,19,6,18,8,4,11,146,102,24,154,79
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",9,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:51:01",1492,1420,2,40,30,646,609,0,11,26,626,20,1600,954,3,116,51,4,4,3,8,8,5,1,12,138,61,30,116,66
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",56,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:22",1319,1303,9,7,0,565,558,0,7,0,517,48,1500,935,18,40,56,6,3,3,5,11,2,6,5,184,35,16,62,65
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",55,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:24:40",1553,1544,1,8,0,639,631,0,8,0,597,42,1700,1061,17,67,56,17,4,2,7,18,5,1,8,164,71,16,79,65
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",19,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:55",1044,1030,2,12,0,466,454,0,12,0,452,14,1100,634,1,74,28,10,1,16,6,11,4,1,5,86,57,18,86,48
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",18,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:07:56",797,786,0,11,0,369,358,0,11,0,360,9,900,531,2,63,17,9,2,12,0,3,5,0,8,80,59,11,60,29
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 13",59,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:47:33",1416,1394,7,14,1,677,662,0,14,1,644,31,1500,823,1,43,43,8,0,1,6,6,3,6,5,332,13,28,99,50
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",26,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:09:09",1376,1363,0,13,0,586,573,0,13,0,579,7,1600,1014,7,90,59,0,4,10,4,14,14,1,10,120,57,27,93,69
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",27,"MUNICIPIUL BAIA MARE",106318,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 14:39:02",1380,1374,1,5,0,538,533,0,5,0,519,19,1500,962,1,65,56,2,3,8,5,11,7,2,6,155,40,20,67,71
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „OCTAVIAN GOGA”",61,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:29",1197,1177,10,8,2,546,535,1,8,2,532,14,1400,854,5,63,32,2,2,11,4,4,1,1,16,78,163,22,64,64
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „OCTAVIAN GOGA”",60,"MUNICIPIUL BAIA MARE",106318,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:00",1148,1104,11,11,22,539,507,1,11,20,523,16,1300,761,3,66,30,2,5,7,3,7,5,0,5,89,129,17,97,58
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „SIMION BĂRNUȚIU”",81,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:25",1924,1919,2,3,0,749,745,1,3,0,726,23,2199,1450,5,103,61,5,6,16,6,22,8,0,14,181,29,21,144,105
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „SIMION BĂRNUȚIU”",82,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:07:27",1939,1927,4,8,0,881,873,0,8,0,868,13,2100,1219,6,133,48,14,7,16,8,17,9,2,12,200,59,16,197,124
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",75,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:53:46",1440,1425,8,7,0,544,537,0,7,0,534,10,1600,1056,2,65,42,3,6,10,3,13,7,1,15,118,49,12,116,72
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",74,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:53",1316,1302,0,13,1,499,485,0,13,1,483,16,1500,1001,2,83,36,4,2,6,4,20,4,2,8,107,21,13,90,81
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",73,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:42:13",1464,1452,4,8,0,518,510,0,8,0,497,21,1600,1082,3,73,45,5,2,4,7,19,8,1,18,99,14,15,87,97
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",76,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:46",1204,1197,0,7,0,423,416,0,7,0,409,14,1300,877,3,47,38,3,3,8,5,10,6,1,3,112,22,15,64,69
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",72,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:02:59",1394,1388,2,4,0,547,543,0,4,0,540,7,1500,953,8,75,57,2,4,8,5,13,8,2,12,104,35,11,93,103
