precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL VERDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi"
25,ILFOV,"CLĂDIRE POLICLINICĂ",136,BALOTEŞTI,100969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:58:46",1047,1032,5,8,2,567,557,0,8,2,546,21,1101,534,69,327,20,4,99,9,9,3,6
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS - COSMOPOLIS PLAZA",275,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:07:42",1146,1087,42,17,0,516,499,0,17,0,507,9,1200,684,32,146,21,12,269,14,10,2,1
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS, SPAȚIUL NR. 7 (SHOWROOM)",272,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:05:25",1730,1635,71,23,1,748,723,1,23,1,718,30,1800,1052,45,208,32,5,392,17,9,5,5
25,ILFOV,"CREȘA PRICHINDEL NR. 3",105,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:02",1975,1959,0,16,0,650,634,0,16,0,630,20,2200,1550,59,177,22,10,324,10,18,6,4
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",80,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:13",1760,1661,21,78,0,953,875,0,78,0,856,15,1800,929,119,276,19,17,396,4,18,6,1
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",81,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:20",1252,1175,12,65,0,630,565,0,65,0,607,23,1300,670,80,189,20,3,277,12,21,3,2
25,ILFOV,"DIRECȚIA POLIȚIEI LOCALE BUFTEA",30,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:42:51",1431,1392,0,27,12,1100,1061,0,27,12,1017,83,1500,400,112,720,43,7,66,26,7,34,2
25,ILFOV,"FOSTA ŞCOALA NR. 3 PERIS",260,PERIŞ,104546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:06:08",687,669,1,13,4,446,428,1,13,4,408,33,750,309,73,133,22,6,140,12,2,18,2
25,ILFOV,"FOSTA SCOALA SI GRADINITA ALUNISU",47,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:31",1293,1273,1,10,9,726,707,0,10,9,698,28,1400,674,82,513,23,8,49,10,8,3,2
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",125,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:31",1851,1781,37,22,11,961,928,0,22,11,927,34,2000,1039,117,552,65,17,108,23,17,15,13
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",89,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:21",1899,1878,0,21,0,890,869,0,21,0,874,16,2050,1160,86,329,27,7,391,11,16,3,4
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",88,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:12:11",1900,1871,0,29,0,843,814,0,29,0,820,23,2000,1157,136,239,10,10,394,5,20,4,2
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",87,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:18:27",2004,1961,0,43,0,1002,959,0,43,0,974,28,2200,1198,134,331,22,13,431,11,25,3,4
25,ILFOV,"FUNDATIA LEORNARDO MURIALDO",90,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:52:06",1866,1845,0,21,0,874,853,0,21,0,850,24,2000,1126,152,248,26,11,364,11,25,7,6
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",58,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:41:19",1886,1848,18,18,2,929,908,1,18,2,900,29,2100,1171,90,327,19,24,387,17,22,7,7
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",59,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:43:33",1797,1765,16,16,0,969,953,0,16,0,933,1,1945,975,72,421,25,17,358,11,18,8,3
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",61,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:46:39",1523,1505,0,18,0,882,864,0,18,0,857,25,1650,768,80,243,17,48,434,14,18,2,1
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR.3",143,BERCENI,101145,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:18:03",1982,1857,4,109,12,1347,1226,0,109,12,1268,58,1889,542,108,876,39,9,187,30,9,7,3
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",11,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:11:29",1577,1560,6,11,0,669,657,1,11,0,656,13,1700,1031,95,214,35,9,267,13,10,9,4
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",13,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:08:26",1655,1609,24,22,0,740,718,0,22,0,726,14,1749,1009,65,247,31,10,329,13,23,3,5
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",12,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:07:20",1639,1606,3,30,0,682,652,0,30,0,661,18,1700,1021,58,182,26,10,349,21,10,3,2
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",14,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:28:14",1406,1385,16,5,0,541,536,0,5,0,527,14,1500,959,69,200,29,14,190,12,6,5,2
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",18,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:18:02",1368,1349,6,13,0,527,514,0,13,0,507,20,1500,973,63,178,26,17,195,16,9,1,2
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",15,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:15",1534,1499,10,25,0,727,702,0,25,0,710,17,1700,973,76,253,21,14,304,19,16,5,2
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",17,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:40:57",1439,1411,5,23,0,679,656,0,23,0,669,10,1500,815,94,234,33,11,255,15,6,12,9
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",16,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:17:08",1559,1531,9,19,0,579,560,0,19,0,559,20,1700,1121,75,201,28,17,211,7,15,1,4
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",216,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:49:49",2105,1990,3,108,4,1211,1099,0,108,4,1176,23,2200,989,76,884,68,10,114,20,0,2,2
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",217,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:07:24",2010,1910,0,96,4,1042,942,0,96,4,1018,24,2100,1058,105,708,39,10,124,15,8,3,6
25,ILFOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",34,"ORAŞ CHITILA",179285,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:52:12",1149,1143,0,6,0,539,533,0,6,0,522,17,1300,761,59,383,13,9,33,12,8,3,2
25,ILFOV,"GRĂDINIŢA DE COPII",238,GRUIU,103513,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:07:32",1818,1787,0,22,9,1095,1064,0,22,9,1015,80,2000,905,94,645,39,7,201,19,5,3,2
25,ILFOV,"GRĂDINIŢA NR. 1",196,CORBEANCA,102160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:52",1169,1131,1,37,0,664,626,1,37,0,643,21,1250,586,89,182,11,8,299,8,30,12,4
25,ILFOV,"GRĂDINIŢA NR.1",152,BRĂNEŞTI,101298,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:00:47",1254,1250,0,4,0,706,702,0,4,0,648,58,1350,644,85,475,38,8,28,12,0,0,2
25,ILFOV,"GRĂDINIȚA NR. 1",242,JILAVA,179383,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:58:17",1404,1378,3,23,0,998,975,0,23,0,939,59,1500,502,126,660,51,12,53,17,13,3,4
25,ILFOV,"GRĂDINIŢA NR. 1 CIOFLICENI",268,SNAGOV,105160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:20:17",1144,1118,9,17,0,733,716,0,17,0,705,28,1200,467,81,467,19,5,90,23,12,6,2
25,ILFOV,"GRĂDINIȚA NR. 1 DRAGOMIREȘTI-DEAL(ȘCOALA VECHE)",223,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:26",1381,1264,4,109,4,789,676,0,109,4,758,31,1400,611,83,424,25,11,185,12,11,6,1
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",78,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:28",1838,1826,1,11,0,733,722,0,11,0,684,43,1998,1265,115,438,30,11,71,9,7,0,3
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",79,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:26:03",1870,1867,0,3,0,722,719,0,3,0,692,30,2117,1395,129,383,44,13,85,13,9,5,11
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",76,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:12:39",1252,1236,10,6,0,507,501,0,6,0,486,0,1400,914,71,314,24,7,53,11,2,2,2
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",75,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:36:26",1378,1367,6,5,0,606,601,0,5,0,581,25,1500,894,95,376,31,7,58,8,3,1,2
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",77,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:25:32",1246,1240,0,6,0,522,516,0,6,0,494,16,1397,887,69,308,13,7,73,12,6,5,1
25,ILFOV,"GRĂDINIȚA NR. 1 ȘTEFĂNEȘTII DE JOS",278,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:53:27",857,831,0,20,6,673,647,0,20,6,640,25,831,25,48,320,210,7,37,8,0,9,1
25,ILFOV,"GRADINITA NR. 1- ȚEGHEȘ",220,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:10",1153,1058,6,87,2,754,664,1,87,2,735,19,1137,383,45,595,16,5,58,11,4,1,0
25,ILFOV,"GRADINITA NR.2",153,BRĂNEŞTI,101298,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:53:30",1034,1014,3,16,1,572,555,0,16,1,548,24,1093,521,57,376,24,8,65,5,5,5,3
25,ILFOV,"GRĂDINIȚA NR.2, BĂLTENI",261,PERIŞ,104546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:40",442,429,1,12,0,283,270,1,12,0,270,13,500,217,41,143,11,4,58,7,4,2,0
25,ILFOV,"GRĂDINIȚA NR. 2 FUNDENI",214,DOBROEŞTI,179310,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:43:09",1189,1168,4,15,2,613,596,0,15,2,594,19,1293,680,43,325,16,43,87,15,52,8,5
25,ILFOV,"GRĂDINIŢA NR. 2 GAGU",205,DASCĂLU,102473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:03:33",698,682,0,16,0,487,471,0,16,0,453,31,711,227,44,319,28,5,44,5,3,3,2
25,ILFOV,"GRADINITA NR 2 MAGURELE",43,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:19:26",1380,1366,4,6,4,804,795,0,6,3,770,34,1600,796,81,530,24,16,88,11,13,5,2
25,ILFOV,"GRADINITA NR.3",181,CIOLPANI,101902,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:22",683,664,0,17,2,358,339,0,17,2,344,14,700,342,50,239,6,0,37,7,2,3,0
25,ILFOV,"GRĂDINIŢA NR.3 DUMBRĂVENI",141,BALOTEŞTI,100969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:33:18",1071,1055,3,13,0,647,634,0,13,0,632,15,1200,553,51,334,20,6,194,6,10,9,2
25,ILFOV,"GRADINITA NR 3 VARTEJU",50,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:09:43",1646,1621,8,12,5,859,841,1,12,5,829,30,1737,878,109,474,47,21,137,11,18,7,5
25,ILFOV,"GRADINITA NR.4",180,CIOLPANI,101902,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:09:01",1162,1123,4,12,23,669,634,0,12,23,644,23,1300,633,136,435,17,8,29,7,3,4,5
25,ILFOV,"GRĂDINIȚA NR.4",103,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:50:36",1219,1179,17,23,0,581,558,0,23,0,569,12,1300,719,58,203,10,1,279,4,9,3,2
25,ILFOV,"GRĂDINIȚA NR.4",104,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 00:20:43",1027,993,4,30,0,582,552,0,30,0,544,11,1105,550,127,192,9,9,178,5,14,3,7
25,ILFOV,"GRĂDINIŢA NR.5",159,CERNICA,101742,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:24",1017,988,3,22,4,656,630,0,22,4,639,17,1100,444,56,508,11,5,43,7,4,3,2
25,ILFOV,"GRĂDINIȚA NR.5",83,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:23:26",2500,1734,17,749,0,794,763,0,31,0,773,21,1900,1106,63,245,24,7,390,12,19,9,4
25,ILFOV,"GRĂDINIȚA NR.5",82,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:11:04",1816,1776,4,36,0,888,852,0,36,0,866,22,2001,1113,156,304,23,9,348,7,9,6,4
25,ILFOV,"GRĂDINIŢA ”PRICHINDEL”",41,"ORAŞ CHITILA",179285,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:05:19",1245,1225,3,17,0,578,561,0,17,0,560,18,1350,772,82,359,31,2,57,13,8,4,4
25,ILFOV,"GRĂDINIŢIA CU PROGRAM PRELUNGIT NR. 2",62,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:35:45",1423,1398,12,13,0,801,787,1,13,0,774,27,1591,790,83,298,9,108,228,17,22,5,4
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",188,CLINCENI,102035,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:19:17",1500,1479,1,13,7,866,846,0,13,7,833,33,1641,775,119,522,38,7,104,18,11,9,5
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",187,CLINCENI,102035,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:04",1321,1295,13,11,2,757,744,0,11,2,741,16,1400,643,112,450,37,7,85,13,15,13,9
25,ILFOV,"LICEUL TEHNOLOGIC ” DOAMNA CHIAJNA”",176,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:45:46",1825,1809,0,16,0,509,493,0,16,0,503,6,2000,1491,58,125,26,7,231,11,35,7,3
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",177,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:25:55",1711,1679,24,8,0,470,461,1,8,0,443,4,1921,1451,48,138,19,6,185,9,30,5,3
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",178,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:59",1444,1429,4,11,0,661,650,0,11,0,644,17,1639,978,52,209,18,11,300,14,30,6,4
25,ILFOV,"LICEUL TEHNOLOGIC” DOAMNA CHIAJNA”",171,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:48:32",2050,2013,7,30,0,597,567,0,30,0,588,9,2200,1603,73,213,35,7,214,18,21,5,2
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",24,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:29:54",1627,1574,0,17,36,1091,1038,0,17,36,1010,81,1800,709,94,655,44,3,107,26,6,75,0
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",23,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:14",988,950,1,18,19,629,592,0,18,19,599,30,1101,472,76,361,21,7,66,19,9,37,3
25,ILFOV,"LICEUL TEHNOLOGIC ”VINTILĂ BRĂTIANU”",221,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:56",1859,1483,3,365,8,1279,906,0,365,8,1234,45,1600,321,113,886,49,9,145,14,9,5,4
25,ILFOV,"LICEUL TEORETIC ALEXANDRU ROSETTI VIDRA",286,VIDRA,105936,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:33:42",1241,1225,0,8,8,696,680,0,8,8,679,9,1350,620,65,530,25,7,30,8,4,6,4
25,ILFOV,"LICEUL TEORETIC ”HORIA HULUBEI”",44,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:50:32",1104,1084,7,11,2,673,660,0,11,2,650,23,1196,523,69,434,13,11,105,10,4,1,3
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",52,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:46:08",916,904,9,3,0,508,505,0,3,0,477,31,1000,492,40,282,14,6,103,8,15,5,4
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",51,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:28:21",1426,1393,21,12,0,726,713,1,12,0,708,18,1500,774,71,353,11,26,209,8,21,5,4
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",54,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:29:23",1360,1348,2,7,3,746,736,0,7,3,712,32,1500,756,67,382,28,13,176,16,19,6,5
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",53,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:53",1273,1260,7,5,1,716,710,0,5,1,688,28,1400,684,63,348,23,12,199,12,15,7,9
25,ILFOV,"LICEUL TEORETIC IOAN PETRUȘ",60,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:39",1279,1139,130,10,0,477,467,0,10,0,458,19,1300,823,51,216,20,6,135,15,9,2,4
25,ILFOV,"LICEUL TEORETIC NR.1 PERIŞ",258,PERIŞ,104546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:47:03",1911,1870,4,35,2,1187,1150,0,35,2,1048,57,2050,945,188,580,47,0,174,28,9,22,0
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",96,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:03:51",1885,1802,5,67,11,1299,1221,0,67,11,1265,34,2000,701,287,752,40,3,152,13,10,7,1
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",95,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 00:26:29",1919,1848,1,51,19,1366,1296,0,51,19,1295,43,2100,762,382,707,24,10,133,15,18,4,2
25,ILFOV,"LICEUL TEORETIC RADU POPESCU CORP E",97,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:38:06",1836,1797,2,37,0,1236,1199,0,37,0,1128,38,2069,833,398,518,24,7,157,14,8,2,0
25,ILFOV,"LICEUL TEORETIC ”TRAIAN LALESCU”",151,BRĂNEŞTI,101298,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:41:32",1889,1873,1,15,0,1078,1063,0,15,0,1025,48,2050,977,141,713,27,9,89,25,6,8,7
25,ILFOV,"POLICLINICA JILAVA",246,JILAVA,179383,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:20:06",1851,1807,3,38,3,1216,1175,0,38,3,1097,119,1979,763,146,782,65,8,57,25,5,3,6
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",45,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:48:37",2361,2316,10,29,6,1266,1231,0,29,6,1245,14,2500,1239,115,713,34,20,317,19,16,5,6
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",46,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:13:43",1302,1282,11,7,2,618,609,0,7,2,584,32,1402,784,71,351,19,12,106,8,9,6,2
25,ILFOV,"PRIMĂRIA ORAŞULUI OTOPENI",55,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:31:57",1359,1331,16,8,4,749,734,3,8,4,710,39,1500,751,67,383,28,13,180,12,12,9,6
25,ILFOV,"PRIMĂRIA ORAŞULUI VOLUNTARI",126,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:29:50",1526,1505,0,21,0,864,843,0,21,0,825,39,1715,851,89,550,54,9,76,17,12,8,10
