precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLĂRAŞU COSMIN-ALIN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
22,HUNEDOARA,"CAMIN CULTURAL RUNCU MARE",392,LELESE,90066,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:28:55",77,73,0,4,0,61,57,0,4,0,57,4,76,15,1,35,3,0,15,1,0,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL",197,"ORAŞ CĂLAN",87424,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:20:35",244,232,2,9,1,157,146,1,9,1,141,16,250,93,0,42,16,0,67,7,5,1,3
22,HUNEDOARA,"CĂMINUL CULTURAL",200,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:29:00",300,293,0,4,3,163,156,0,4,3,153,10,350,187,4,38,35,1,68,2,1,0,4
22,HUNEDOARA,"CĂMINUL CULTURAL",196,"ORAŞ CĂLAN",87424,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:02:27",280,262,0,9,9,186,168,0,9,9,177,9,300,114,1,52,35,0,65,16,3,3,2
22,HUNEDOARA,"CĂMINUL CULTURAL",201,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:42",167,158,0,5,4,113,104,0,5,4,107,6,200,87,2,24,32,1,41,3,2,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL",203,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:50",254,250,0,4,0,163,159,0,4,0,157,6,300,137,1,59,38,0,52,6,1,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞ SĂLIŞTE",521,ZAM,92177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:11:38",109,101,1,7,0,65,57,1,7,0,59,6,117,52,1,16,9,0,30,1,0,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU MIC",410,"PESTIŞU MIC",90431,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:23",83,64,1,16,2,71,53,0,16,2,70,1,80,9,0,13,10,1,41,3,1,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU SEC",336,CÂRJIŢI,86749,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:24",206,170,2,32,2,165,130,1,32,2,159,6,180,15,1,30,26,3,78,11,5,0,5
22,HUNEDOARA,"CĂMINUL CULTURAL ALUN",292,BOŞOROD,88449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:23",57,51,2,4,0,41,37,0,4,0,40,1,57,16,0,18,6,0,12,2,0,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL ARDEU",261,BALŞA,87843,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:08:29",56,49,0,7,0,48,41,0,7,0,46,2,55,7,2,17,9,0,16,0,0,1,1
22,HUNEDOARA,"CĂMINUL CULTURAL AUREL VLAICU",206,"ORAŞ GEOAGIU",89561,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:29:00",790,768,13,7,2,473,460,4,7,2,453,11,850,380,5,154,47,4,220,11,0,3,9
22,HUNEDOARA,"CĂMINUL CULTURAL BACEA",381,ILIA,89856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:20",278,266,0,6,6,151,139,0,6,6,137,14,302,151,4,75,36,0,15,2,0,1,4
22,HUNEDOARA,"CĂMINUL CULTURAL BĂCIA",270,BĂCIA,88047,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:01:32",856,843,1,11,1,525,513,0,11,1,504,20,925,401,8,228,83,8,77,33,6,0,61
22,HUNEDOARA,"CĂMINUL CULTURAL BĂIȚA",273,BĂIŢA,88092,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:18",1018,990,11,8,9,603,584,2,8,9,590,13,1108,505,4,288,90,3,166,17,3,1,18
22,HUNEDOARA,"CĂMINUL CULTURAL BĂLATA",475,ŞOIMUŞ,91330,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:56:42",365,362,0,3,0,243,240,0,3,0,230,13,400,157,5,42,42,4,125,10,0,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL BALOMIR",467,SÂNTĂMĂRIA-ORLEA,91232,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:22:20",271,258,2,5,6,193,182,0,5,6,184,9,280,87,1,95,54,0,26,5,1,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL BERIU",281,BERIU,88261,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:59",612,600,0,8,4,369,357,0,8,4,351,18,700,331,7,102,90,3,115,17,4,0,13
22,HUNEDOARA,"CĂMINUL CULTURAL BLĂJENI",287,BLĂJENI,88350,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:16:02",490,416,0,54,20,435,361,0,54,20,417,18,474,39,0,186,47,0,156,8,4,2,14
22,HUNEDOARA,"CĂMINUL CULTURAL BOBÂLNA",429,"RAPOLTU MARE",90663,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:33:55",384,371,0,10,3,258,245,0,10,3,241,17,410,152,7,73,111,0,18,21,2,1,8
22,HUNEDOARA,"CĂMINUL CULTURAL BOHOLT",476,ŞOIMUŞ,91330,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:14:40",279,270,0,6,3,194,185,0,6,3,186,8,300,106,4,45,21,2,107,4,0,0,3
22,HUNEDOARA,"CĂMINUL CULTURAL BOIȚA",434,RĂCHITOVA,90725,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:28:25",366,330,0,29,7,281,245,0,29,7,276,5,350,69,0,132,45,2,79,8,1,0,9
22,HUNEDOARA,"CĂMINUL CULTURAL BOIU",430,"RAPOLTU MARE",90663,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:53:44",128,119,0,7,2,82,73,0,7,2,76,6,140,58,1,29,17,0,24,2,0,0,3
22,HUNEDOARA,"CĂMINUL CULTURAL BOIU DE SUS",373,GURASADA,89687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:47:42",77,70,0,7,0,57,50,0,7,0,52,5,80,23,0,42,2,0,5,0,0,0,3
22,HUNEDOARA,"CĂMINUL CULTURAL BOŞOROD",291,BOŞOROD,88449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:17:26",763,732,0,23,8,606,575,0,23,8,569,37,830,224,2,203,92,11,212,32,0,1,16
22,HUNEDOARA,"CĂMINUL CULTURAL BOZ",298,BRĂNIŞCA,88546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:46:48",362,344,0,18,0,257,239,0,18,0,245,12,384,127,0,98,49,1,84,5,2,1,5
22,HUNEDOARA,"CĂMINUL CULTURAL BOZES",207,"ORAŞ GEOAGIU",89561,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:59:35",195,181,1,10,3,140,126,1,10,3,131,9,220,80,1,51,10,1,62,2,2,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL BRĂNIȘCA",297,BRĂNIŞCA,88546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:13",512,481,0,21,10,336,305,0,21,10,318,18,550,214,4,159,59,0,74,15,0,2,5
22,HUNEDOARA,"CĂMINUL CULTURAL BRÂZNIC",382,ILIA,89856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:35",200,186,0,13,1,132,118,0,13,1,128,4,202,70,1,76,28,0,15,1,1,0,6
22,HUNEDOARA,"CĂMINUL CULTURAL BRETEA MUREȘANĂ",383,ILIA,89856,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:32:58",480,463,1,10,6,265,249,0,10,6,254,11,522,257,6,127,66,2,37,8,3,0,5
22,HUNEDOARA,"CĂMINUL CULTURAL BRETEA STREIULUI",305,"BRETEA ROMÂNĂ",88644,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:40:11",214,209,0,5,0,128,123,0,5,0,124,4,229,101,1,87,16,3,10,2,0,0,5
22,HUNEDOARA,"CĂMINUL CULTURAL BUCIUM",404,"ORĂŞTIOARA DE SUS",90342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:27:56",288,259,0,17,12,237,208,0,17,12,233,4,299,62,0,80,29,1,109,7,0,1,6
22,HUNEDOARA,"CĂMINUL CULTURAL BUCIUM-ORLEA",469,SÂNTĂMĂRIA-ORLEA,91232,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:57:35",181,168,1,6,6,130,118,0,6,6,122,8,190,60,2,59,24,1,20,10,0,0,6
22,HUNEDOARA,"CĂMINUL CULTURAL BUCUREŞCI",320,BUCUREŞCI,88868,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:54",537,465,3,50,19,437,366,2,50,19,411,26,499,62,4,227,40,1,124,10,0,1,4
22,HUNEDOARA,"CĂMINUL CULTURAL BUNILA",327,BUNILA,89026,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:02:29",75,56,0,18,1,61,42,0,18,1,60,1,69,8,1,25,14,0,17,2,0,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL BURJUC",330,BURJUC,89080,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:27:54",137,122,1,12,2,101,87,0,12,2,97,4,131,30,1,43,13,2,9,26,0,2,1
22,HUNEDOARA,"CĂMINUL CULTURAL CĂINELU DE SUS",274,BĂIŢA,88092,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:00",330,319,1,2,8,239,229,0,2,8,231,8,360,121,3,150,29,1,37,7,2,1,1
22,HUNEDOARA,"CĂMINUL CULTURAL CÂMPURI-SURDUC",375,GURASADA,89687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:22",362,329,0,23,10,227,194,0,23,10,213,14,350,123,5,137,33,5,17,5,2,3,6
22,HUNEDOARA,"CĂMINUL CULTURAL CÂRJIŢI",335,CÂRJIŢI,86749,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:03:12",99,70,0,26,3,94,65,0,26,3,93,1,110,16,1,9,18,2,43,4,4,0,12
22,HUNEDOARA,"CĂMINUL CULTURAL CÂRNEȘTI",494,TOTEŞTI,91624,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:27:33",373,354,2,7,10,257,240,0,7,10,240,17,400,143,1,187,15,0,25,5,1,0,6
22,HUNEDOARA,"CĂMINUL CULTURAL CERIȘOR",391,LELESE,90066,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:28:10",45,39,0,5,1,45,39,0,5,1,41,4,66,21,1,29,5,0,1,0,0,0,5
22,HUNEDOARA,"CĂMINUL CULTURAL CERTEJU DE SUS",343,"CERTEJU DE SUS",89240,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:24:16",1187,1154,0,11,22,754,721,0,11,22,738,16,1252,498,12,297,125,27,202,51,7,4,13
22,HUNEDOARA,"CĂMINUL CULTURAL CHERGHEŞ",337,CÂRJIŢI,86749,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:02:06",99,78,0,19,2,67,46,0,19,2,64,3,85,18,1,15,11,0,24,10,1,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL CHIMINDIA",379,HĂRĂU,89801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:10:08",308,288,0,13,7,192,172,0,13,7,185,7,319,127,1,133,31,0,10,5,1,1,3
22,HUNEDOARA,"CĂMINUL CULTURAL CHIŞCĂDAGA",477,ŞOIMUŞ,91330,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:57:53",305,283,0,12,10,237,215,0,12,10,227,7,320,83,2,19,28,1,169,4,3,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL CIULPĂZ",411,"PESTIŞU MIC",90431,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:47:28",110,81,0,22,7,93,64,0,22,7,89,4,95,2,2,23,10,0,41,10,1,1,1
22,HUNEDOARA,"CĂMINUL CULTURAL COROIEŞTI",457,"SĂLAŞU DE SUS",91116,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:25:33",157,150,0,4,3,123,116,0,4,3,117,6,170,47,0,68,21,0,22,3,0,0,3
22,HUNEDOARA,"CĂMINUL CULTURAL COSTEȘTI",405,"ORĂŞTIOARA DE SUS",90342,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:12:50",447,400,3,32,12,337,293,0,32,12,327,9,462,126,4,100,96,3,109,12,0,0,3
22,HUNEDOARA,"CĂMINUL CULTURAL COVRAGIU",306,"BRETEA ROMÂNĂ",88644,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:31",128,124,0,3,1,79,75,0,3,1,76,3,148,69,1,46,11,0,14,1,3,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL COZIA",338,CÂRJIŢI,86749,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:22:56",154,141,0,13,0,115,102,0,13,0,109,6,150,35,2,22,44,4,27,4,1,1,4
22,HUNEDOARA,"CĂMINUL CULTURAL CURECHIU",321,BUCUREŞCI,88868,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:44",293,250,0,30,13,246,203,0,30,13,242,4,270,24,0,157,21,0,48,8,1,0,7
22,HUNEDOARA,"CĂMINUL CULTURAL DĂBÂCA",489,TOPLIŢA,91535,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:23:42",147,101,0,43,3,122,77,0,43,2,115,7,138,16,1,41,27,1,40,0,0,0,5
22,HUNEDOARA,"CĂMINUL CULTURAL DÂNCU MARE",399,MĂRTINEŞTI,90262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:00",234,204,0,27,3,175,145,0,27,3,167,8,230,55,0,117,25,1,12,9,0,0,3
22,HUNEDOARA,"CĂMINUL CULTURAL DÂNCU MIC",400,MĂRTINEŞTI,90262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:46:23",120,90,0,29,1,88,58,0,29,1,83,5,120,32,0,48,7,0,23,4,1,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL DEALU MARE",509,VĂLIŞOARA,91937,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:07:55",154,142,0,7,5,126,114,0,7,5,119,7,165,39,0,66,13,1,36,2,0,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL DEALU MIC",490,TOPLIŢA,91535,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:41:14",51,35,0,16,0,39,23,0,16,0,37,2,53,14,0,21,3,0,11,1,0,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL DENSUȘ",354,DENSUŞ,89348,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:52:49",564,496,1,52,15,442,375,0,52,15,431,11,574,132,2,149,34,2,209,26,2,1,6
22,HUNEDOARA,"CĂMINUL CULTURAL DOBRA",359,DOBRA,89428,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 01:35:13",1402,1315,0,67,20,880,793,0,67,20,836,44,1449,569,13,447,211,7,91,31,9,2,25
22,HUNEDOARA,"CĂMINUL CULTURAL DOBROȚ",486,TOMEŞTI,91447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:15",341,311,2,20,8,293,263,2,20,8,277,16,350,57,0,108,32,1,127,8,0,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL DUMBRAVA DE JOS",444,RIBIŢA,90805,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:59:26",138,106,1,13,18,119,88,1,13,17,109,10,135,16,0,52,18,1,32,2,0,0,4
22,HUNEDOARA,"CĂMINUL CULTURAL FIZEŞ",275,BĂIŢA,88092,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:24:36",251,243,1,4,3,177,170,0,4,3,168,9,270,93,1,79,23,1,29,31,1,0,3
22,HUNEDOARA,"CĂMINUL CULTURAL FOLT",431,"RAPOLTU MARE",90663,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:42:06",145,130,0,13,2,100,85,0,13,2,91,9,142,42,3,43,20,0,17,6,0,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL FORNĂDIA",478,ŞOIMUŞ,91330,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:49:24",173,168,0,4,1,130,125,0,4,1,121,9,190,60,0,22,21,2,72,1,2,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL FURCȘOARA",299,BRĂNIŞCA,88546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:33:01",42,28,0,13,1,27,13,0,13,1,27,0,50,23,0,10,4,0,12,1,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL GENERAL BERTHELOT - CLĂDIRE ANEXĂ AFTER SCHOOL",365,"GENERAL BERTHELOT",91731,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 20:18:25",519,504,0,9,6,395,380,0,9,6,386,9,565,170,4,105,77,5,160,13,2,3,17
22,HUNEDOARA,"CĂMINUL CULTURAL GODINEŞTI",522,ZAM,92177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:44:43",101,93,0,8,0,77,69,0,8,0,70,7,103,26,0,29,11,0,22,3,0,0,5
22,HUNEDOARA,"CĂMINUL CULTURAL GRĂDIȘTEA DE MUNTE",406,"ORĂŞTIOARA DE SUS",90342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:20:20",142,121,0,17,4,113,92,0,17,4,110,3,140,27,1,29,23,0,53,4,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL HĂRĂU",376,HĂRĂU,89801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:21",680,657,0,4,19,402,379,0,4,19,390,12,748,346,10,222,58,4,50,14,5,2,25
22,HUNEDOARA,"CĂMINUL CULTURAL HĂRŢĂGANI",276,BĂIŢA,88092,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:09:33",633,614,10,1,8,344,335,0,1,8,328,16,670,326,5,134,61,1,110,11,1,0,5
22,HUNEDOARA,"CĂMINUL CULTURAL HOMOROD",211,"ORAŞ GEOAGIU",89561,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:18:23",260,254,0,3,3,186,180,0,3,3,174,12,300,114,0,67,27,0,72,3,2,0,3
22,HUNEDOARA,"CĂMINUL CULTURAL HONDOL",345,"CERTEJU DE SUS",89240,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:18:13",410,387,0,8,15,269,246,0,8,15,260,9,450,181,4,109,43,12,76,12,1,2,1
22,HUNEDOARA,"CĂMINUL CULTURAL ILIA",380,ILIA,89856,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:44:19",1450,1391,6,22,31,979,926,0,22,31,860,28,1558,670,13,508,146,15,128,21,10,0,19
22,HUNEDOARA,"CĂMINUL CULTURAL IZVOARELE",483,"TELIUCU INFERIOR",86936,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:32:29",86,72,0,10,4,62,48,0,10,4,57,5,100,38,0,33,5,0,13,1,1,0,4
22,HUNEDOARA,"CĂMINUL CULTURAL JELEDINŢI",401,MĂRTINEŞTI,90262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:19",229,207,0,16,6,166,144,0,16,6,153,13,220,54,0,61,9,0,17,32,1,1,32
22,HUNEDOARA,"CĂMINUL CULTURAL LĂPUGIU DE JOS",387,"LĂPUGIU DE JOS",89954,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:58:44",455,347,4,90,14,359,255,1,90,13,345,14,470,111,0,147,51,0,129,8,2,2,6
22,HUNEDOARA,"CĂMINUL CULTURAL LĂPUGIU DE SUS",388,"LĂPUGIU DE JOS",89954,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:53:31",414,290,0,118,6,352,228,0,118,6,336,16,400,48,1,243,43,1,38,2,3,1,4
22,HUNEDOARA,"CĂMINUL CULTURAL LĂPUȘNIC",360,DOBRA,89428,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:54:44",395,381,0,10,4,221,207,0,10,4,210,11,414,193,3,111,46,3,31,9,0,2,5
22,HUNEDOARA,"CĂMINUL CULTURAL LEȘNIC",512,VEŢEL,91982,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:47:30",288,272,0,7,9,288,272,0,7,9,279,9,500,212,2,90,83,4,69,12,6,3,10
22,HUNEDOARA,"CĂMINUL CULTURAL LUDEŞTII DE JOS",407,"ORĂŞTIOARA DE SUS",90342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:42:51",284,260,5,14,5,191,172,0,14,5,187,4,292,101,0,44,64,1,69,3,1,0,5
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCA",277,BĂIŢA,88092,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:22:28",250,235,0,11,4,176,161,0,11,4,165,11,270,94,1,76,38,0,38,6,0,1,5
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCANI",294,BOŞOROD,88449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:00:16",110,98,0,12,0,69,57,0,12,0,60,9,108,39,0,23,5,2,21,8,0,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCOIU DE JOS",396,"LUNCOIU DE JOS",90208,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:01:30",841,810,1,10,20,594,564,0,10,20,550,44,924,330,4,155,100,3,257,18,2,2,9
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCOIU DE SUS - MODUL CONTAINER",397,"LUNCOIU DE JOS",90208,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:17:44",629,582,8,14,25,488,445,4,14,25,473,15,675,187,4,132,58,2,249,17,3,1,7
22,HUNEDOARA,"CĂMINUL CULTURAL MADA",262,BALŞA,87843,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:57",97,87,0,7,3,79,69,0,7,3,77,2,100,21,1,17,4,0,49,0,1,1,4
22,HUNEDOARA,"CĂMINUL CULTURAL MĂGURA-TOPLIȚA",346,"CERTEJU DE SUS",89240,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:48:35",96,86,1,8,1,75,65,1,8,1,72,3,100,25,0,36,7,3,21,1,0,2,2
22,HUNEDOARA,"CĂMINUL CULTURAL MĂLĂIEŞTI",458,"SĂLAŞU DE SUS",91116,7,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 20:55:16",122,114,0,4,4,102,94,0,4,4,99,3,125,23,0,44,11,1,36,3,0,1,3
22,HUNEDOARA,"CĂMINUL CULTURAL MERIŞOR",322,BUCUREŞCI,88868,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:14:38",85,68,0,16,1,81,64,0,16,1,78,3,85,4,0,36,11,1,27,0,0,1,2
