precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BOCIOAGĂ IULIU-CIPRIAN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL PATRIOȚILOR QANON-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",24,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:07:06",1052,1043,0,8,1,530,521,0,8,1,481,49,1150,620,43,2,21,217,7,3,32,156
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",25,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:42",965,955,2,8,0,491,483,0,8,0,476,15,1050,559,51,10,16,182,25,2,41,149
23,IALOMIŢA,"LICEUL PEDAGOGIC ”MATEI BASARAB” (FOSTĂ ȘCOALA NORMALĂ)",6,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:54:44",1413,1405,0,8,0,646,638,0,8,0,631,15,1550,904,57,13,22,257,25,5,69,183
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",2,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:29",1383,1376,2,5,0,612,606,1,5,0,587,18,1500,895,41,7,15,243,28,4,66,183
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",1,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 14:03:35",1530,1509,5,8,8,606,590,0,8,8,586,20,1700,1094,31,13,18,270,16,1,75,162
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",8,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:37:25",1430,1420,2,7,1,638,630,0,7,1,620,18,1603,965,55,10,33,240,43,12,61,166
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",9,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:29:24",1245,1238,2,5,0,482,477,0,5,0,468,14,1410,928,27,8,16,225,17,2,52,121
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”MIHAI EMINESCU” (LICEUL DE CHIMIE)",14,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:40",1042,1022,7,13,0,399,386,0,13,0,388,11,1150,751,29,3,10,170,18,2,47,109
23,IALOMIŢA,"MUZEUL NAȚIONAL AL AGRICULTURII",7,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:04:00",1448,1439,0,8,1,610,601,0,8,1,596,14,1600,990,57,8,19,239,26,10,72,165
23,IALOMIŢA,"PALATUL COPIILOR SLOBOZIA",22,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:18:51",1390,1377,2,11,0,649,638,0,11,0,633,16,1556,907,42,13,38,253,31,4,57,195
23,IALOMIŢA,"PALATUL COPIILOR SLOBOZIA",23,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:52:52",1148,1142,0,6,0,564,558,0,6,0,552,12,1250,686,62,14,20,215,23,4,44,170
23,IALOMIŢA,"S.C. DRUMURI ŞI PODURI IALOMIŢA",21,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:31:11",1682,1670,6,6,0,837,831,0,6,0,824,13,1854,1017,90,11,31,357,29,4,49,253
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ BORA",31,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:45:54",1028,1023,0,5,0,434,429,0,5,0,394,35,1154,725,11,5,4,150,15,0,38,171
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ BORA",30,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:03",762,747,0,15,0,319,304,0,15,0,313,6,850,531,8,11,3,113,11,1,29,137
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”GHEORGHE LAZĂR”",16,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:13:31",1371,1357,1,5,8,568,555,0,5,8,557,11,1500,932,40,10,26,211,24,4,97,145
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ ”GHEORGHE LAZĂR”",15,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:50",1472,1465,0,7,0,643,636,0,7,0,623,20,1600,957,48,11,21,272,48,4,69,150
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ NR. 3",4,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 14:01:46",900,891,1,8,0,381,373,0,8,0,373,8,996,615,43,7,8,148,22,3,42,100
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ NR. 3",3,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:59:51",1071,1056,0,10,5,421,406,0,10,5,407,14,1200,779,41,8,14,163,16,1,52,112
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ NR.5 SLOBOZIA NOUÃ",32,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 17:34:24",1049,1043,0,6,0,509,503,0,6,0,482,18,1150,641,19,8,12,231,22,1,65,124
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ NR.5 SLOBOZIA NOUÃ",33,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:54",996,988,1,7,0,468,461,0,7,0,444,24,967,499,14,3,13,206,33,1,61,113
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”SF. ANDREI”",19,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:24",1465,1454,3,8,0,677,669,0,8,0,656,21,1600,923,51,9,32,290,20,1,47,206
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ „SF. ANDREI”",20,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:35",1324,1312,0,12,0,632,620,0,12,0,619,13,1452,820,53,7,21,255,33,1,56,193
23,IALOMIŢA,"SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN GURĂ DE AUR”,",12,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 16:33:18",887,881,1,5,0,422,417,0,5,0,406,15,1000,578,37,13,12,180,26,0,46,92
