precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÎRSAN CRISTIAN-CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","CIUNT IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","OLAR GABRIELA-CARMEN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FAZAKAS NICOLAE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TALOŞ IOAN-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PRUNEAN ALIN-COSTEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
33,SĂLAJ,"LICEUL DE ARTĂ ”IOAN SIMA”",30,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:51:43",1602,1587,3,12,0,655,643,0,12,0,641,14,1756,1101,87,372,29,76,42,35
33,SĂLAJ,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU”",13,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:45",856,845,0,9,2,370,359,0,9,2,362,8,1000,630,54,179,24,65,21,19
33,SĂLAJ,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU”",14,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:45",1193,1179,8,6,0,454,448,0,6,0,442,12,1300,846,58,256,36,52,25,15
33,SĂLAJ,"LICEUL TEHNOLOGIC ”VOIEVOD GELU”",27,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:21:56",1846,1835,2,8,1,739,730,0,8,1,719,15,2050,1316,85,468,53,56,37,20
33,SĂLAJ,"LICEUL TEHNOLOGIC ”VOIEVOD GELU”",26,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:44",1341,1333,0,8,0,552,544,0,8,0,544,8,1500,948,55,330,22,64,36,37
33,SĂLAJ,"LICEUL TEHNOLOGIC ”VOIEVOD GELU”",28,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:32:22",1369,1361,1,6,1,563,556,0,6,1,553,10,1500,937,69,365,26,42,35,16
33,SĂLAJ,"LICEUL TEORETIC ”GHEORGHE ŞINCAI”",35,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:11",1486,1480,0,5,1,732,726,0,5,1,720,12,1650,918,136,396,29,93,30,36
33,SĂLAJ,"PRIMĂRIA MUNICIPIULUI ZALĂU",4,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:07",1172,1162,1,8,1,483,474,0,8,1,467,16,1293,810,61,308,24,34,21,19
33,SĂLAJ,"SALA SPORTURILOR",20,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:25:05",1587,1576,1,9,1,630,620,0,9,1,610,20,1850,1220,54,392,31,63,48,22
33,SĂLAJ,"SALA SPORTURILOR",21,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:02",1518,1509,0,8,1,593,584,0,8,1,584,9,1700,1107,66,394,35,31,25,33
33,SĂLAJ,"ŞCOALA GENERALĂ ”GEORGE COŞBUC”, CARTIER ORTELEC",38,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:42",1743,1737,0,6,0,867,861,0,6,0,838,29,1950,1083,79,639,25,10,58,27
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",25,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:33",1176,1167,0,9,0,585,576,0,9,0,573,12,1350,765,68,336,35,81,28,25
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",24,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:23",1211,1211,0,0,0,463,463,0,0,0,457,6,1442,976,59,287,35,37,25,14
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",23,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:52",1440,1430,0,10,0,573,563,0,10,0,556,17,1600,1027,51,370,35,49,33,18
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",22,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:55",1237,1224,4,8,1,468,459,0,8,1,461,7,1400,932,44,315,28,32,24,18
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”GHEORGHE LAZĂR”",12,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:31:39",1710,1697,4,6,3,779,770,0,6,3,766,8,1900,1126,95,454,45,90,39,43
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”IULIU MANIU”",17,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:32:00",1622,1614,0,8,0,548,540,0,8,0,540,8,1792,1244,63,338,22,57,40,20
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",36,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:59:55",1533,1525,1,6,1,636,629,0,6,1,623,13,1700,1064,89,370,29,68,27,40
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”POROLISSUM”",15,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:25",1691,1678,7,5,1,754,748,0,5,1,740,14,1860,1106,110,459,45,60,37,29
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”POROLISSUM”",16,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:45:28",1818,1811,0,7,0,823,816,0,7,0,806,17,1951,1128,131,473,37,63,67,35
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ”SIMION BĂRNUȚIU”",11,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:38",1410,1395,4,10,1,690,679,0,10,1,678,9,1900,1213,118,404,26,77,24,29
33,SĂLAJ,"ŞCOALA POSTLICEALĂ SANITARĂ",31,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:20",1264,1250,5,7,2,508,499,0,7,2,496,12,1450,942,56,328,18,49,37,8
33,SĂLAJ,"ŞCOALA PRIMARĂ STÎNA",39,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:28:41",231,221,0,9,1,114,104,0,9,1,112,2,300,186,14,89,2,0,5,2
33,SĂLAJ,"STADIONUL MUNICIPAL SEDIUL CLUBULUI SPORTIV MUNICIPAL",5,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:52:03",1343,1329,3,9,2,617,606,0,9,2,612,5,1400,783,77,327,36,119,32,21
