precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POTOR DĂNUŢ-ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","MUSGOCI NINA-PARTIDUL PATRIOȚILOR QANON-voturi","SOARE DRAGOŞ-PARTIDUL NAȚIONAL LIBERAL-voturi","BOCIOAGĂ IULIU-CIPRIAN-voturi","BOANCĂ RODICA-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","GAE IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RADU PAROŞ-MIHĂIŢĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TĂNĂSESCU MIHAI-ANDREI-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",24,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:05",1052,1043,0,8,1,530,521,0,8,1,517,13,1138,608,208,2,212,17,15,7,21,35
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",25,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:31",965,955,2,8,0,491,483,0,8,0,480,11,1050,559,189,5,176,23,26,9,23,29
23,IALOMIŢA,"LICEUL PEDAGOGIC ”MATEI BASARAB” (FOSTĂ ȘCOALA NORMALĂ)",6,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:54:45",1413,1405,0,8,0,646,638,0,8,0,632,13,1550,904,241,2,241,27,33,13,50,25
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",2,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:30",1383,1376,2,5,0,612,606,1,5,0,597,9,1500,888,226,3,223,24,34,8,57,22
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",1,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-13 14:05:06",1530,1509,5,8,8,606,590,0,8,8,587,16,1700,1097,255,2,197,16,23,19,53,22
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",8,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:37:23",1430,1420,2,7,1,638,630,0,7,1,625,13,1621,983,244,11,183,34,50,12,53,38
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",9,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:25",1245,1238,2,5,0,482,477,0,5,0,472,10,1406,924,210,2,141,21,28,8,43,19
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”MIHAI EMINESCU” (LICEUL DE CHIMIE)",14,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:40",1042,1022,7,13,0,399,386,0,13,0,387,12,1150,751,161,0,127,14,19,7,36,23
23,IALOMIŢA,"MUZEUL NAȚIONAL AL AGRICULTURII",7,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-13 15:04:56",1448,1439,0,8,1,610,601,0,8,1,601,9,1600,990,237,5,219,20,36,11,44,29
23,IALOMIŢA,"PALATUL COPIILOR SLOBOZIA",22,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:18:51",1390,1377,2,11,0,649,638,0,11,0,635,13,1550,902,246,1,245,42,31,8,41,21
23,IALOMIŢA,"PALATUL COPIILOR SLOBOZIA",23,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:42",1148,1142,0,6,0,564,558,0,6,0,557,7,1250,686,193,2,232,32,33,11,28,26
23,IALOMIŢA,"S.C. DRUMURI ŞI PODURI IALOMIŢA",21,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:31:09",1682,1670,6,6,0,837,831,0,6,0,828,9,1849,1012,341,0,324,45,28,12,35,43
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ BORA",31,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:45:53",1028,1023,0,5,0,434,429,0,5,0,407,27,1304,870,148,2,185,4,25,8,30,5
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ BORA",30,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:06",762,747,0,15,0,319,304,0,15,0,308,11,850,531,111,0,143,5,11,9,22,7
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”GHEORGHE LAZĂR”",16,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-13 15:12:27",1371,1357,1,5,8,568,555,0,5,8,554,14,1500,932,199,3,194,26,40,16,59,17
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ ”GHEORGHE LAZĂR”",15,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:51",1472,1465,0,7,0,643,636,0,7,0,628,15,1600,957,264,8,180,28,71,13,39,25
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ NR. 3",4,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,P,P_SV,"2024-06-13 14:03:46",900,891,1,8,0,381,373,0,8,0,377,4,1000,619,139,0,135,11,25,6,45,16
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ NR. 3",3,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,P,P_SV,"2024-06-13 14:00:15",1071,1056,0,10,5,421,406,0,10,5,408,13,1200,779,163,2,130,12,24,10,46,21
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ NR.5 SLOBOZIA NOUÃ",32,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-13 17:35:42",1049,1043,0,6,0,509,503,0,6,0,485,18,1154,645,234,1,143,18,22,6,49,12
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ NR.5 SLOBOZIA NOUÃ",33,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:55",996,988,1,7,0,468,461,0,7,0,456,12,964,496,210,1,126,12,39,5,53,10
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”SF. ANDREI”",19,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:04:23",1465,1454,3,8,0,677,669,0,8,0,655,22,1604,927,270,3,254,37,22,14,27,28
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ „SF. ANDREI”",20,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:35",1324,1312,0,12,0,632,620,0,12,0,618,14,1448,816,238,5,239,24,40,6,33,33
23,IALOMIŢA,"SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN GURĂ DE AUR”,",12,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:37:00",887,881,1,5,0,422,417,0,5,0,414,8,1000,578,181,0,126,22,22,10,34,19
