precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOGDAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","PAP ZSOLT-ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PÎRVĂNOIU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DĂNCUŞ IOAN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIRŢ MIRCEA-PARTIDUL VERTICALA NOUĂ-voturi","HERŢEG CĂLIN-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","HODOROGEA BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","CIUCĂ SEVER-IULIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","CRISTIAN BRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BARBUR FLORIN-GHEORGHE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","FILIP CLAUDIU-GHEORGHE-PARTIDUL VERDE-voturi","POP LIVIU-MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ANGHEL CRISTIAN-FORȚA DREPTEI-voturi","GROZA CĂLIN-FLORIN-PARTIDUL OAMENILOR TINERI-voturi","DOLHA MIRCEA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ZAINEA SERGIU-FLORIAN-voturi"
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",15,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:38",863,838,16,8,1,437,428,0,8,1,432,5,1000,563,80,64,2,85,56,11,3,2,80,6,2,1,36,2,0,2
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA TEHNICĂ”",7,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:49",1250,1234,1,15,0,478,463,0,15,0,464,14,486,8,68,42,16,113,75,3,12,6,75,8,2,3,28,5,2,6
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",62,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:22:14",1548,1534,7,4,3,715,708,0,4,3,700,15,1700,985,133,104,20,139,88,3,5,0,124,8,0,0,68,2,1,5
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „VASILE LUCACIU”",63,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:01:00",1257,1241,7,9,0,511,502,0,9,0,498,13,1400,889,95,79,15,83,56,9,5,5,95,3,0,4,43,1,1,4
26,MARAMUREŞ,"COLEGIUL TEHNIC „ANGHEL SALIGNY”",69,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:06:30",1562,1536,12,14,0,741,727,0,14,0,714,27,1700,959,148,94,12,149,84,11,6,11,139,4,0,0,47,2,0,7
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",6,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:00:18",1725,1712,6,7,0,673,666,0,7,0,658,15,1900,1227,114,48,21,185,98,4,5,5,118,5,0,2,42,3,2,6
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",5,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:12",1859,1847,2,10,0,560,550,0,10,0,522,38,2000,1440,75,26,28,181,63,2,14,8,76,2,3,2,32,3,4,3
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",86,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:35:52",1313,1303,4,5,1,614,608,0,5,1,583,25,1402,794,126,101,15,104,89,3,10,5,75,1,2,3,39,3,2,5
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",85,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 19:11:19",1248,1239,1,8,0,408,399,1,8,0,365,43,1400,990,69,14,27,103,44,2,8,2,47,2,1,5,35,1,3,2
26,MARAMUREŞ,"COLEGIUL TEHNIC „GEORGE BARIȚIU”",64,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-12 15:56:49",1306,1284,9,13,0,630,617,0,13,0,619,11,1500,870,118,76,18,112,92,10,5,3,112,3,3,12,50,0,2,3
26,MARAMUREŞ,"ECHIPAMENT CONTAINER MODULAR",2,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:42:05",919,908,1,10,0,435,425,0,10,0,427,8,1000,565,76,20,35,112,88,4,6,5,47,0,4,2,26,0,2,0
26,MARAMUREŞ,"GAL BAIA MARE",70,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:43",1300,1290,0,10,0,484,474,0,10,0,467,17,1500,1016,102,20,15,128,63,0,25,2,65,0,2,3,32,3,1,6
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 12",54,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:11",1602,1589,7,6,0,738,732,0,6,0,722,16,1800,1062,117,112,13,128,122,4,12,4,133,3,15,3,45,1,1,9
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „FLOARE DE COLŢ”",36,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:46:18",1304,1294,0,10,0,528,518,0,10,0,510,18,1500,972,89,30,20,113,83,3,14,4,92,3,2,2,33,3,7,12
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „MICUL PRINŢ”",25,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:33:15",1344,1333,0,11,0,516,505,0,11,0,504,12,1500,984,110,36,20,117,69,4,9,2,82,1,1,0,42,3,2,6
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",31,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:49",1162,1150,3,7,2,459,450,0,7,2,456,3,1300,841,70,26,11,136,81,4,9,6,74,2,2,3,24,1,5,2
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",30,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:27:48",1324,1318,1,5,0,496,491,0,5,0,487,7,1400,904,100,20,16,111,90,10,15,5,79,2,1,4,34,0,0,0
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 27",80,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:46",1653,1643,1,9,0,655,646,0,9,0,649,6,1900,1245,99,32,23,122,112,5,10,9,170,4,3,8,37,6,4,5
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 28",29,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:38:00",1312,1296,0,15,1,488,472,0,15,1,481,0,1400,912,75,37,33,111,74,12,12,5,69,6,4,9,24,2,1,7
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 34",35,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:05",1316,1299,6,11,0,559,547,1,11,0,549,10,1500,941,89,26,17,113,113,6,12,7,111,6,2,3,31,5,2,6
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",20,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:42:17",1423,1406,8,9,0,666,657,0,9,0,624,42,1600,934,135,57,0,144,107,5,3,2,117,0,0,2,47,0,4,1
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",77,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:53:22",1424,1414,4,6,0,598,592,0,6,0,581,17,1600,1002,115,21,15,139,113,2,6,6,108,1,1,2,40,4,1,7
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",78,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:32:34",1250,1240,0,10,0,412,402,0,10,0,398,13,1400,989,83,17,17,98,62,5,19,7,45,4,1,2,17,9,6,6
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",44,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:28:23",1095,1085,1,9,0,432,423,0,9,0,419,4,1200,777,65,21,12,108,75,6,5,4,77,8,1,3,29,1,2,2
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",43,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:20:23",1337,1304,24,9,0,587,578,0,9,0,573,14,1500,913,100,28,12,130,103,6,8,10,96,4,7,4,59,0,3,3
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",45,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:33",761,750,3,7,1,327,319,0,7,1,320,7,900,573,67,21,7,77,53,2,4,2,53,2,1,1,18,1,6,5
26,MARAMUREŞ,"LICEUL DE ARTE",51,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:08",1108,1094,3,7,4,546,535,0,7,4,533,13,1200,654,91,76,7,87,77,9,3,5,118,4,2,2,43,0,4,5
26,MARAMUREŞ,"LICEUL DE ARTE",52,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:07",1140,1123,8,9,0,598,588,1,9,0,588,10,1200,602,101,80,14,102,90,9,4,2,108,5,1,6,62,1,2,1
26,MARAMUREŞ,"LICEUL TEORETIC „EMIL RACOVIȚĂ”",22,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:04:26",1383,1354,4,9,16,573,549,0,9,15,559,14,1500,927,115,36,21,132,99,3,2,2,86,6,1,3,40,5,2,6
26,MARAMUREŞ,"LICEUL TEORETIC „EMIL RACOVIȚĂ”",21,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:00",1347,1311,4,10,22,510,478,0,10,22,467,43,1500,990,81,72,18,101,66,4,9,6,60,2,1,0,34,2,6,5
26,MARAMUREŞ,"LICEUL TEORETIC SANITAR",53,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:13",1326,1311,7,8,0,598,590,0,8,0,588,10,1500,902,117,87,26,95,87,3,7,4,108,2,3,4,35,1,1,8
26,MARAMUREŞ,"REGISTRU AUTO ROMÂN, REPREZENTANȚA MARAMUREȘ",28,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:47:07",1283,1273,0,10,0,425,415,0,10,0,414,11,1400,975,65,19,28,138,48,4,22,0,55,2,1,0,27,0,2,3
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",49,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:40",1421,1400,4,17,0,626,609,0,17,0,617,9,1600,974,131,54,21,129,83,12,7,10,95,4,0,10,49,4,1,7
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",48,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:55",1275,1266,0,8,1,516,507,0,8,1,505,11,1400,884,108,50,19,110,75,4,3,5,71,3,1,4,43,3,5,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",24,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:04:54",1455,1435,0,9,11,609,589,0,9,11,600,9,1600,991,103,47,20,151,85,7,8,3,102,5,4,5,43,7,3,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",23,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:13:12",1353,1323,2,10,18,544,514,2,10,18,529,8,1500,6,95,32,23,129,84,5,7,9,93,5,4,4,35,1,0,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",38,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 15:38:12",1319,1309,2,8,0,569,561,0,8,0,558,8,1500,931,107,8,24,136,93,3,7,7,136,5,2,1,24,0,0,5
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",37,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:55:26",1343,1335,0,7,1,469,461,0,7,1,450,11,1500,1038,76,14,13,106,80,7,11,0,103,2,2,1,29,0,2,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",13,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:42",1363,1323,9,31,0,657,625,1,31,0,644,13,1500,843,123,65,19,129,86,4,13,8,138,3,1,6,36,3,4,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",12,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:56:03",907,895,1,11,0,429,418,0,11,0,406,12,1000,406,75,51,7,79,63,3,4,6,75,4,0,3,31,0,1,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",11,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:55:59",1037,1031,2,4,0,457,453,0,4,0,448,9,1100,643,84,50,8,81,64,13,4,1,98,3,2,3,35,1,1,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",10,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:18",928,920,4,4,0,398,394,0,4,0,393,5,1040,642,78,46,10,70,45,4,8,2,82,2,3,3,36,3,0,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",39,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:12",1366,1359,0,7,0,562,555,0,7,0,551,11,1500,938,87,15,21,144,95,3,9,4,127,3,0,6,26,1,3,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",40,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:40:44",1336,1328,0,8,0,503,495,0,8,0,491,12,1500,997,76,23,19,121,102,8,8,5,90,3,0,3,24,6,2,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",41,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:14:57",1432,1427,0,5,0,547,542,0,5,0,534,13,1600,253,111,19,21,155,88,0,7,1,85,2,2,2,31,2,4,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",3,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:12:28",1670,1649,10,11,0,810,799,0,11,0,789,21,1805,995,184,53,33,174,120,2,15,5,108,5,3,6,64,1,8,8
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",4,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:20:05",1812,1794,3,14,1,852,837,0,14,1,841,11,1900,1048,153,57,23,174,153,4,12,6,155,9,1,7,76,2,5,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",16,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:59",1109,1091,8,10,0,489,479,0,10,0,474,13,1200,713,68,79,8,86,79,2,6,2,89,1,0,5,40,4,3,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",17,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:27:33",1002,988,3,11,0,443,432,0,11,0,415,14,1100,668,73,43,14,77,60,5,6,4,75,8,4,6,37,0,0,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",32,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:47",839,831,0,8,0,319,311,0,8,0,318,1,1000,681,48,22,7,88,51,3,6,6,55,4,2,0,17,3,3,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",34,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:01:28",1149,1134,0,15,0,433,418,0,15,0,415,18,1300,867,70,16,22,146,45,1,13,4,63,0,1,5,16,2,8,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",33,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:59:12",1288,1280,0,7,1,488,480,0,7,1,473,15,1400,912,69,46,21,96,101,7,9,1,80,2,2,6,25,2,2,4
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",67,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:17:25",1658,1642,6,9,1,835,825,0,9,1,811,24,1900,1065,186,86,22,164,146,5,7,6,129,6,1,2,47,1,2,1
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",65,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:36:33",1101,1089,3,9,0,523,514,0,9,0,504,8,1200,677,123,64,27,79,60,7,14,7,77,9,4,6,19,1,6,1
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",66,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:59:40",1018,986,17,11,4,463,448,0,11,4,457,6,1100,637,87,45,9,102,85,4,1,4,81,6,0,0,25,1,0,7
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",68,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:12:42",1516,1492,14,10,0,593,583,0,10,0,584,9,1700,1107,118,25,18,138,112,6,4,6,105,6,0,1,36,1,2,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",58,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:07",1187,1181,0,6,0,535,529,0,6,0,524,11,1300,765,99,4,17,212,93,1,6,2,48,0,1,5,29,0,5,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",57,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:05",1250,1243,1,6,0,592,586,0,6,0,570,22,1400,808,77,2,25,251,104,3,5,4,57,4,1,2,25,0,2,8
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",8,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:53:30",1564,1550,9,5,0,761,756,0,5,0,751,10,1800,1039,144,85,14,145,109,14,8,4,134,7,2,3,68,0,4,10
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",9,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:53:19",1492,1420,2,40,30,646,609,0,11,26,595,15,1600,161,108,50,22,135,80,8,6,3,113,6,0,2,56,4,0,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",56,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:25",1319,1303,9,7,0,565,558,0,7,0,521,44,1500,935,73,37,36,199,80,2,8,4,50,1,1,6,11,1,11,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",55,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:24:39",1553,1544,1,8,0,639,631,0,8,0,609,30,1700,1061,58,53,42,194,91,1,10,9,81,1,1,8,37,1,12,10
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",19,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:56",1044,1030,2,12,0,466,454,0,12,0,456,10,1100,634,77,47,9,86,67,3,8,8,84,6,0,7,41,4,2,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",18,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:00",797,786,0,11,0,369,358,0,11,0,365,4,900,531,59,44,10,84,37,1,3,5,76,3,4,2,32,0,1,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 13",59,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:23:47",1416,1394,7,14,1,677,662,0,14,1,652,25,1500,823,112,16,31,317,56,8,5,4,48,3,2,7,36,3,2,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",26,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:08:52",1376,1363,0,13,0,586,573,0,13,0,572,14,1600,1014,93,37,33,126,95,5,11,7,95,4,2,4,39,7,2,12
