precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.5",33,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:41:57",1072,1063,0,9,0,431,422,0,9,0,412,19,1178,747,15,121,190,57,19,10
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.7",46,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:09:52",1320,1312,0,6,2,558,550,0,6,2,526,32,1447,889,38,192,205,69,19,3
19,GIURGIU,"ŞCOALA GIMNAZIALǍ ” PETRE ADAMEȘTEANU” TOPORU ( ŞCOALA VECHE)",222,TOPORU,154709,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:05",936,777,4,54,101,667,512,1,54,100,660,7,943,276,1,14,635,9,1,0
19,GIURGIU,"ŞCOALA GIMNAZIALA PROF. DINU NICOLAE VLASIN",208,SCHITU,104975,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:31",406,335,0,43,28,296,225,0,43,28,289,7,363,67,3,54,203,21,7,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ”REMUS BEGNESCU” PIETRELE",73,BĂNEASA,101001,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:29:42",824,751,2,31,40,596,525,0,31,40,569,27,870,274,10,97,394,63,2,3
19,GIURGIU,"ŞCOALA GIMNAZIALĂ SAVIN POPESCU",40,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:21:00",1388,1377,3,6,2,565,557,0,6,2,540,25,1522,957,30,166,238,69,32,5
19,GIURGIU,"ŞCOALA GIMNAZIALĂ SAVIN POPESCU",41,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:05",1000,990,1,8,1,344,335,0,8,1,328,16,1093,749,17,111,140,37,15,8
19,GIURGIU,"ȘCOALA GIMNAZIALĂ SAVIN POPESCU",42,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:30:52",1195,1180,0,15,0,515,508,0,7,0,482,20,1310,808,23,152,211,75,16,5
19,GIURGIU,"ȘCOALA GIMNAZIALĂ SAVIN POPESCU",43,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:19:50",1052,1049,1,2,0,369,367,0,2,0,346,23,1153,784,13,124,146,39,17,7
19,GIURGIU,"ŞCOALA GIMNAZIALĂ SFÂNTUL GHEORGHE",1,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:56",1255,1243,6,6,0,504,498,0,6,0,492,12,1299,795,38,132,227,58,26,11
19,GIURGIU,"ŞCOALA GIMNAZIALA ” SFANTUL NECTARIE” OGREZENI",180,OGREZENI,104485,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:07",980,939,0,22,19,685,644,0,22,19,664,21,1054,369,60,222,337,40,4,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ STOLNICUL CONSTANTIN CANTACUZINO - ISVOARELE",161,ISVOARELE,179766,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:07:20",1153,1007,1,132,13,853,708,0,132,13,833,20,1106,253,14,384,351,78,3,3
19,GIURGIU,"ŞCOALA GIMNZIALA NR. 1 GRADINARI",147,GRĂDINARI,103407,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:04",856,810,4,25,17,584,542,0,25,17,562,22,890,306,21,260,224,55,1,1
19,GIURGIU,"ŞCOALA HODIVOAIA",191,PUTINEIU,104715,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:49:58",349,306,0,40,3,278,235,0,40,3,265,8,329,51,5,156,84,14,3,3
19,GIURGIU,"ŞCOALA JAPCA",243,VEDEA,105909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:15",670,605,1,32,32,501,437,0,32,32,454,14,695,227,7,126,289,31,0,1
19,GIURGIU,"ŞCOALA PIMARĂ NR.5 BĂNEASA",70,BĂNEASA,101001,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:34",528,497,0,20,11,369,338,0,20,11,355,14,567,198,7,71,240,32,2,3
19,GIURGIU,"ŞCOALA PRIMARA FLORIN NICULESCU BILA",206,SCHITU,104975,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:29",335,288,0,33,14,230,183,0,33,14,222,8,316,86,3,27,172,17,3,0
19,GIURGIU,"ŞCOALA PRIMARA , NR.1 CAMINEASCA",207,SCHITU,104975,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:23:09",482,375,0,52,55,332,225,0,52,55,320,12,410,78,2,25,281,10,1,1
19,GIURGIU,"ŞCOALA PRIMARĂ NR 1 DEALU",109,"CREVEDIA MARE",102348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:27:30",1112,1104,0,6,2,675,667,0,6,2,631,44,1207,532,242,102,249,35,1,2
19,GIURGIU,"ŞCOALA PRIMARA NR.1 HOBAIA",183,OGREZENI,104485,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:30",735,714,0,13,8,504,483,0,13,8,487,16,785,282,49,165,240,32,0,1
19,GIURGIU,"ŞCOALA PRIMARĂ NR.1 PRUNDU",188,PRUNDU,104680,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:17:16",1037,1037,0,0,0,652,652,0,0,0,635,17,1138,486,6,53,518,54,3,1
19,GIURGIU,"ŞCOALA PRIMARĂ NR.1 PUIENI",189,PRUNDU,104680,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:07",580,575,0,5,0,385,380,0,5,0,368,15,631,248,4,61,221,76,4,2
19,GIURGIU,"ŞCOALA PRIMARĂ NR.2 BĂNEASA",71,BĂNEASA,101001,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:36:58",761,716,0,20,25,560,515,0,20,25,533,27,812,252,12,65,413,36,6,1
19,GIURGIU,"ŞCOALA PRIMARĂ NR.2 CRÎNGURI",210,SINGURENI,105106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:26",620,566,2,21,31,488,435,1,21,31,471,12,622,135,0,241,196,34,0,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 2 GHIZDARU",216,STĂNEŞTI,105295,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:26:40",401,377,0,21,3,236,212,0,21,3,225,11,415,179,6,54,122,31,12,0
19,GIURGIU,"SCOALA PRIMARA NR.2 ICOANA",227,ULMI,105623,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:13:26",890,885,2,3,0,573,570,0,3,0,545,28,976,403,133,189,89,61,67,6
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 2 MIHĂILEŞTI-DRĂGĂNESCU",61,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:34:46",372,356,0,16,0,298,282,0,16,0,285,13,394,96,7,96,157,17,5,3
19,GIURGIU,"ŞCOALA PRIMARA NR. 2 SADINA",202,"ROATA DE JOS",104831,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:53",1254,1246,0,8,0,828,820,0,8,0,784,44,1246,418,35,194,466,87,0,2
19,GIURGIU,"ŞCOALA PRIMARA NR. 2 TOMULEŞTI",223,TOPORU,154709,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:10",510,423,0,28,59,371,284,0,28,59,369,2,533,162,2,3,360,4,0,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 3",82,BUCŞANI,101378,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:05",484,446,0,38,0,376,338,0,38,0,363,13,487,111,12,155,178,16,1,1
19,GIURGIU,"ŞCOALA PRIMARA NR. 3 COLIBAŞI",97,COLIBAŞI,102071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:01:46",691,646,1,17,27,539,495,0,17,27,525,14,740,201,8,96,403,15,2,1
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 3 FRASINU",72,BĂNEASA,101001,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:51:38",328,305,0,9,14,213,190,0,9,14,208,5,349,136,3,40,143,20,2,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR.3 MIRONEŞTI",144,GOSTINARI,103372,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:06",340,293,0,18,29,214,167,0,18,29,201,13,326,112,0,150,31,12,1,7
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 3 NOVACI",62,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:47:25",926,885,0,39,2,701,660,0,39,2,657,44,965,264,9,273,341,21,6,7
19,GIURGIU,"ŞCOALA PRIMARĂ NR.3 OBEDENI",235,VĂRĂŞTI,105874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:41:28",871,845,0,9,17,689,663,0,9,17,654,35,946,257,7,214,408,18,4,3
19,GIURGIU,"ȘCOALA PRIMARĂ NR. 3 SAT CĂRPENIȘU , COM GĂISENI",127,GĂISENI,103087,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:06",699,664,0,35,0,433,398,0,35,0,415,16,742,311,6,108,259,39,3,0
19,GIURGIU,"SCOALA PRIMARA NR.3 ULMI",224,ULMI,105623,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:53",591,579,0,9,3,591,579,0,9,3,559,32,1046,455,98,138,95,47,173,8
19,GIURGIU,"ŞCOALA PRIMARA NR. 3 ZORILE",149,GRĂDINARI,103407,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:41",902,860,0,22,20,603,561,0,22,20,585,18,943,340,70,249,219,44,2,1
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 4",83,BUCŞANI,101378,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:07:44",287,256,0,25,6,228,197,0,25,6,224,4,286,58,0,43,168,10,3,0
19,GIURGIU,"ŞCOALA PRIMARA NR.4 VALEA PLOPILOR",138,GHIMPAŢI,103238,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:17:42",575,556,1,1,17,379,361,0,1,17,346,33,609,230,0,0,346,0,0,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 5",80,BUCŞANI,101378,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:40:27",353,331,0,22,0,270,248,0,22,0,268,2,361,91,4,35,225,3,0,1
19,GIURGIU,"ŞCOALA PRIMARĂ NR.5 POIANA LUI STÂNGĂ",241,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:50:07",586,575,0,9,2,415,404,0,9,2,413,2,635,220,25,77,278,25,6,2
19,GIURGIU,"ŞCOALA PRIMARĂ NR.6 CORBEANCA",238,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:16",404,390,0,13,1,309,295,0,13,1,297,10,432,123,25,51,205,13,1,2
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 6 SF. GHEORGHE",74,BĂNEASA,101001,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:14:49",233,201,0,28,4,180,148,0,28,4,170,10,222,42,1,36,121,8,4,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR.7 CUPELE",239,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:28",349,340,0,7,2,245,236,0,7,2,230,15,379,134,10,78,129,11,0,2
19,GIURGIU,"ŞCOALA PUŢU GRECI",151,GREACA,103470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:45:55",238,219,0,8,11,187,168,0,8,11,176,9,260,75,5,102,34,28,6,1
19,GIURGIU,"ŞCOALA SCHITU",205,SCHITU,104975,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:44",181,157,0,14,10,136,112,0,14,10,133,3,175,39,5,12,107,5,1,3
19,GIURGIU,"ŞCOALA STÂLPU",160,IEPUREŞTI,103693,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:43",247,210,0,31,6,218,181,0,31,6,207,11,234,16,1,73,120,12,0,1
19,GIURGIU,"ŞCOALA TEIUŞU",162,ISVOARELE,179766,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:51:02",192,162,0,29,1,148,118,0,29,1,137,11,178,30,4,87,30,11,1,4
19,GIURGIU,"ŞCOALA VECHE CĂLUGĂRENI( MUZEU ).",90,CĂLUGĂRENI,101662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:08:29",1411,1370,0,39,2,973,932,0,39,2,922,46,1556,588,26,190,643,50,6,7
19,GIURGIU,"ŞCOALA VIERU",192,PUTINEIU,104715,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:35:46",588,531,0,53,4,437,380,0,53,4,414,23,572,135,9,170,216,18,1,0
19,GIURGIU,"ŞCOALA ZBOIU",152,GREACA,103470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:13",226,198,0,11,17,166,138,0,11,17,158,8,230,64,0,116,18,22,2,0
19,GIURGIU,"SEDIUL FOSTEI SECŢII DE MECANIZARE A SATULUI DIMITRIE CANTEMIR",165,IZVOARELE,103899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:31:34",146,102,0,30,14,98,54,0,30,14,96,2,126,28,1,8,83,2,0,2
19,GIURGIU,"SEMINARUL TEOLOGIC TEOCTIST PATRIARHUL",6,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:30:32",994,986,0,7,1,401,393,0,7,1,381,20,1088,687,15,108,184,58,10,6
