precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","ZAINEA SERGIU-FLORIAN-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL VERTICALA NOUĂ-voturi","FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 27",80,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:46",1653,1643,1,9,0,655,646,0,9,0,641,14,1900,1245,7,126,46,5,2,14,43,4,5,18,123,15,8,84,18,123
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 28",29,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:47:46",1312,1296,0,15,1,488,472,0,15,1,475,13,1400,912,3,65,42,8,3,13,38,2,7,9,118,11,12,57,12,75
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 34",35,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:05",1316,1299,6,11,0,559,547,1,11,0,546,13,1500,941,2,87,28,6,6,27,35,1,12,8,110,6,18,92,22,86
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",20,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:58:02",1423,1406,8,9,0,666,657,0,9,0,656,10,1600,934,3,112,49,5,9,5,48,3,6,6,138,2,15,80,35,140
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",77,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:12:57",1424,1414,4,6,0,598,592,0,6,0,580,18,1600,1002,1,86,35,0,8,13,25,1,6,8,145,8,12,81,24,127
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",78,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:39:04",1250,1240,0,10,0,411,401,0,10,0,393,18,1400,988,7,37,33,4,5,16,20,1,8,4,94,4,8,48,16,88
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",44,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:54:21",1095,1085,1,9,0,432,423,0,9,0,420,3,1200,776,2,56,29,2,10,5,31,0,2,8,104,9,14,59,17,72
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",43,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:20:24",1337,1304,24,9,0,587,578,0,9,0,571,16,1500,913,6,97,30,11,8,11,41,0,5,6,140,7,14,84,21,90
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",45,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:33",761,750,3,7,1,327,319,0,7,1,320,7,900,573,5,48,15,1,2,5,24,0,6,7,80,3,9,44,9,62
26,MARAMUREŞ,"LICEUL DE ARTE",51,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:09",1108,1094,3,7,4,546,535,0,7,4,532,14,1200,654,8,96,25,4,12,3,83,2,5,16,86,8,9,59,20,96
26,MARAMUREŞ,"LICEUL DE ARTE",52,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:44:06",1140,1123,8,9,0,598,588,1,9,0,586,12,1200,602,3,105,31,1,7,10,100,2,5,7,97,8,10,70,21,109
26,MARAMUREŞ,"LICEUL TEORETIC „EMIL RACOVIȚĂ”",22,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:26",1383,1354,4,9,16,573,549,0,9,15,557,16,1500,927,5,67,43,4,6,6,43,2,2,7,142,1,12,78,19,120
26,MARAMUREŞ,"LICEUL TEORETIC „EMIL RACOVIȚĂ”",21,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:00:01",1347,1311,4,10,22,510,478,0,10,22,495,15,1500,990,5,62,36,4,8,10,82,2,6,4,117,3,7,45,20,84
26,MARAMUREŞ,"LICEUL TEORETIC SANITAR",53,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:12",1326,1311,7,8,0,598,590,0,8,0,584,14,1500,902,3,104,38,9,5,5,103,0,2,7,91,5,15,70,8,119
26,MARAMUREŞ,"REGISTRU AUTO ROMÂN, REPREZENTANȚA MARAMUREȘ",28,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:06",1283,1273,0,10,0,425,415,0,10,0,411,14,1400,975,4,54,45,4,3,21,22,1,5,5,121,3,6,32,10,75
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",49,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:56:40",1421,1400,4,17,0,626,609,0,17,0,611,15,1600,974,3,79,40,10,13,13,49,0,9,12,133,14,12,68,23,133
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",48,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:55",1275,1266,0,8,1,516,507,0,8,1,505,11,1400,884,3,69,38,4,6,7,61,1,0,9,110,6,5,60,21,105
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",24,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:09:35",1455,1435,0,9,11,609,589,0,9,11,591,18,1600,991,4,87,54,2,6,14,56,2,10,10,145,8,11,71,22,89
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",23,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:22:16",1352,1324,0,10,18,544,516,0,10,18,519,25,1500,955,5,91,35,1,2,11,36,0,3,13,119,3,13,71,23,93
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",38,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:22:32",1319,1309,2,8,0,569,561,0,8,0,560,8,1500,932,1,94,49,2,8,9,13,0,5,17,129,6,11,79,16,121
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",37,"MUNICIPIUL BAIA MARE",106318,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:23:32",1343,1335,0,7,1,461,453,0,7,1,448,13,1500,1039,1,86,26,7,2,12,23,2,4,7,108,3,9,69,13,76
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",13,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:42",1363,1323,9,31,0,657,625,1,31,0,641,16,1500,843,2,126,40,3,5,11,75,1,7,20,116,8,16,70,22,119
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",12,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:10:55",907,895,1,11,0,418,407,0,11,0,409,9,1000,582,4,59,16,4,5,3,62,0,6,14,81,11,8,42,20,74
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",11,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:28:37",1037,1031,2,4,0,457,453,0,4,0,448,9,1100,643,1,80,22,2,11,7,61,1,4,6,89,6,12,43,14,89
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",10,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:17",928,920,4,4,0,398,394,0,4,0,390,8,1040,642,4,86,17,4,4,8,49,1,4,8,69,5,8,34,14,75
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",39,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:12",1366,1359,0,7,0,562,555,0,7,0,551,11,1500,938,2,94,42,1,5,11,28,3,6,10,152,10,14,65,13,95
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",40,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:40:44",1336,1328,0,8,0,503,495,0,8,0,487,16,1500,997,5,75,38,2,9,9,26,0,2,5,117,8,6,85,14,86
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",41,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:47:13",1432,1427,0,5,0,547,542,0,5,0,534,13,1600,1053,6,75,35,4,5,10,29,4,7,6,155,5,8,62,11,112
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",3,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:48:11",1670,1649,10,11,0,810,799,0,11,0,775,35,1800,990,5,108,51,6,11,17,58,2,3,7,192,2,11,93,22,187
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",4,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:05",1812,1794,3,14,1,852,837,0,14,1,838,14,1900,1048,7,128,40,7,2,12,82,3,6,14,177,13,26,116,38,167
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",16,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:58",1109,1091,8,10,0,489,479,0,10,0,475,14,1200,711,3,77,29,1,1,13,93,0,4,11,81,8,7,59,17,71
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",17,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:47:06",1002,988,3,11,0,443,432,0,11,0,409,20,1100,671,1,54,31,4,4,10,62,1,3,8,93,7,7,39,16,69
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",32,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:48",839,831,0,8,0,319,311,0,8,0,315,4,999,680,5,46,22,4,3,7,26,0,6,7,87,5,8,37,9,43
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",34,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:07",1149,1134,0,15,0,433,418,0,15,0,413,20,1300,867,8,46,39,1,2,22,20,3,4,10,127,4,7,39,10,71
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",33,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:38:58",1288,1280,0,7,1,488,480,0,7,1,470,18,1400,912,1,75,38,6,6,10,58,0,3,5,97,6,11,73,13,68
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",67,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:17:25",1658,1642,6,9,1,835,825,0,9,1,812,23,1900,1065,4,112,41,3,7,8,104,6,4,4,161,5,16,108,26,203
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",65,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:24:08",1101,1089,3,9,0,523,514,0,9,0,505,18,1200,677,6,77,27,4,7,14,64,1,1,7,80,6,9,60,19,123
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",66,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:59:39",1018,986,17,11,4,463,448,0,11,4,448,15,1100,637,2,57,31,1,3,4,59,0,5,5,93,6,18,63,8,93
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",68,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:57:02",1516,1492,14,10,0,593,583,0,10,0,586,7,1700,1107,2,87,45,2,8,4,35,3,4,14,141,2,18,89,18,114
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",58,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:48:07",1187,1181,0,6,0,535,529,0,6,0,517,18,1300,765,8,33,31,3,7,9,10,2,3,7,194,4,2,84,13,107
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",57,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:05",1250,1243,1,6,0,592,586,0,6,0,566,26,1400,808,14,52,48,3,7,12,9,0,5,10,216,5,7,88,10,80
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",8,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:47:34",1564,1550,9,5,0,761,756,0,5,0,749,12,1800,1039,10,110,44,7,6,18,102,4,8,11,146,7,19,79,24,154
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",9,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:51:01",1492,1420,2,40,30,646,609,0,11,26,626,20,1600,954,3,116,51,4,8,8,61,1,5,12,138,4,3,66,30,116
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",56,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:22",1319,1303,9,7,0,565,558,0,7,0,517,48,1500,935,18,40,56,3,5,11,35,6,2,5,184,6,3,65,16,62
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",55,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:24:40",1553,1544,1,8,0,639,631,0,8,0,597,42,1700,1061,17,67,56,4,7,18,71,1,5,8,164,17,2,65,16,79
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",19,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:55",1044,1030,2,12,0,466,454,0,12,0,452,14,1100,634,1,74,28,1,6,11,57,1,4,5,86,10,16,48,18,86
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",18,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:07:56",797,786,0,11,0,369,358,0,11,0,360,9,900,531,2,63,17,2,0,3,59,0,5,8,80,9,12,29,11,60
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 13",59,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:47:33",1416,1394,7,14,1,677,662,0,14,1,644,31,1500,823,1,43,43,0,6,6,13,6,3,5,332,8,1,50,28,99
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",26,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:09:09",1376,1363,0,13,0,586,573,0,13,0,579,7,1600,1014,7,90,59,4,4,14,57,1,14,10,120,0,10,69,27,93
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",27,"MUNICIPIUL BAIA MARE",106318,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 14:39:02",1380,1374,1,5,0,538,533,0,5,0,519,19,1500,962,1,65,56,3,5,11,40,2,7,6,155,2,8,71,20,67
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „OCTAVIAN GOGA”",61,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:29",1197,1177,10,8,2,546,535,1,8,2,532,14,1400,854,5,63,32,2,4,4,163,1,1,16,78,2,11,64,22,64
