precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
25,ILFOV,"DIRECȚIA POLIȚIEI LOCALE BUFTEA",30,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:42:51",1431,1392,0,27,12,1100,1061,0,27,12,1017,83,1500,400,43,2,112,720,34,7,66,26,7
25,ILFOV,"FOSTA ŞCOALA NR. 3 PERIS",260,PERIŞ,104546,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:59:16",687,669,1,13,4,446,428,1,13,4,408,33,750,304,22,2,73,133,18,2,140,12,6
25,ILFOV,"FOSTA SCOALA SI GRADINITA ALUNISU",47,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:31",1293,1273,1,10,9,726,707,0,10,9,698,28,1400,674,23,2,82,513,3,8,49,10,8
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",125,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:31",1851,1781,37,22,11,961,928,0,22,11,927,34,2000,1039,65,13,117,552,15,17,108,23,17
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",89,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:07:21",1932,1899,12,21,0,890,869,0,21,0,874,16,2050,1160,27,4,86,329,3,16,391,11,7
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",88,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:22:44",1911,1871,11,29,0,843,814,0,29,0,820,23,2000,1157,10,2,136,239,4,20,394,5,10
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",87,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:03:31",2013,1961,9,43,0,1002,959,0,43,0,974,28,2200,1198,22,4,134,331,3,25,431,11,13
25,ILFOV,"FUNDATIA LEORNARDO MURIALDO",90,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 22:43:26",1860,1830,9,21,0,874,853,0,21,0,850,24,2000,1126,26,6,152,248,7,25,364,11,11
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",58,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:41:19",1886,1848,18,18,2,929,908,1,18,2,900,29,2100,1171,19,7,90,327,7,22,387,17,24
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",59,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:43:33",1797,1765,16,16,0,969,953,0,16,0,933,1,1945,975,25,3,72,421,8,18,358,11,17
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",61,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:46:39",1523,1505,0,18,0,882,864,0,18,0,857,25,1650,768,17,1,80,243,2,18,434,14,48
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR.3",143,BERCENI,101145,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:52:03",1982,1857,4,109,12,1347,1226,0,109,12,1268,58,1889,544,39,3,108,876,7,9,187,30,9
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",11,"ORAŞ BRAGADIRU",179221,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 04:20:28",1577,1560,6,11,0,668,656,1,11,0,656,12,1699,1031,35,4,95,214,9,10,267,13,9
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",13,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:08:26",1655,1609,24,22,0,740,718,0,22,0,726,14,1749,1009,31,5,65,247,3,23,329,13,10
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",12,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 06:18:08",1639,1606,3,30,0,682,652,0,30,0,661,18,1700,1021,26,2,58,182,3,10,349,21,10
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",14,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:28:14",1406,1385,16,5,0,541,536,0,5,0,527,14,1500,959,29,2,69,200,5,6,190,12,14
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",18,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:18:02",1368,1349,6,13,0,527,514,0,13,0,507,20,1500,973,26,2,63,178,1,9,195,16,17
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",15,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:15",1534,1499,10,25,0,727,702,0,25,0,710,17,1700,973,21,2,76,253,5,16,304,19,14
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",17,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 21:44:30",1439,1411,5,23,0,679,656,0,23,0,669,10,1500,815,33,9,94,234,12,6,255,15,11
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",16,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 22:28:47",1559,1531,9,19,0,579,560,0,19,0,559,20,1700,1121,28,4,75,201,1,15,211,7,17
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",216,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:49:49",2105,1990,3,108,4,1211,1099,0,108,4,1176,23,2200,989,68,2,76,884,2,0,114,20,10
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",217,DOMNEŞTI,102570,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:36:41",2010,1910,0,96,4,1042,942,0,96,4,1018,24,2100,1058,39,6,105,708,3,8,124,15,10
25,ILFOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",34,"ORAŞ CHITILA",179285,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:52:12",1149,1143,0,6,0,539,533,0,6,0,522,17,1300,761,13,2,59,383,3,8,33,12,9
25,ILFOV,"GRĂDINIŢA DE COPII",238,GRUIU,103513,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:07:32",1818,1787,0,22,9,1095,1064,0,22,9,1015,80,2000,905,39,2,94,645,3,5,201,19,7
25,ILFOV,"GRĂDINIŢA NR. 1",196,CORBEANCA,102160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:52",1169,1131,1,37,0,664,626,1,37,0,643,21,1250,586,11,4,89,182,12,30,299,8,8
25,ILFOV,"GRĂDINIŢA NR.1",152,BRĂNEŞTI,101298,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:00:47",1254,1250,0,4,0,706,702,0,4,0,648,58,1350,644,38,2,85,475,0,0,28,12,8
25,ILFOV,"GRĂDINIȚA NR. 1",242,JILAVA,179383,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:46:09",1404,1378,3,23,0,998,975,0,23,0,939,59,1500,502,51,4,126,660,3,13,53,17,12
25,ILFOV,"GRĂDINIŢA NR. 1 CIOFLICENI",268,SNAGOV,105160,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:22:27",1144,1118,9,17,0,733,716,0,17,0,705,28,1200,467,19,2,81,467,6,12,90,23,5
25,ILFOV,"GRĂDINIȚA NR. 1 DRAGOMIREȘTI-DEAL(ȘCOALA VECHE)",223,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:26",1381,1264,4,109,4,789,676,0,109,4,758,31,1400,611,25,1,83,424,6,11,185,12,11
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",78,"ORAŞ PANTELIMON",179515,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:39:55",1838,1826,1,11,0,733,722,0,11,0,684,43,1998,1265,30,3,115,438,0,7,71,9,11
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",79,"ORAŞ PANTELIMON",179515,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 21:42:04",1870,1867,0,3,0,722,719,0,3,0,692,30,2117,1395,44,11,129,383,5,9,85,13,13
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",76,"ORAŞ PANTELIMON",179515,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:08:33",1252,1236,10,6,0,507,501,0,6,0,486,0,1400,914,24,2,71,314,2,2,53,11,7
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",75,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:36:26",1378,1367,6,5,0,606,601,0,5,0,581,25,1500,894,31,2,95,376,1,3,58,8,7
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",77,"ORAŞ PANTELIMON",179515,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 22:01:32",1246,1240,0,6,0,522,516,0,6,0,494,16,1397,875,13,1,69,308,5,6,73,12,7
25,ILFOV,"GRĂDINIȚA NR. 1 ȘTEFĂNEȘTII DE JOS",278,"ŞTEFĂNEŞTII DE JOS",105419,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 21:28:20",857,831,0,20,6,673,647,0,20,6,640,33,906,233,210,1,48,320,9,0,37,8,7
25,ILFOV,"GRADINITA NR. 1- ȚEGHEȘ",220,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:10",1153,1058,6,87,2,754,664,1,87,2,735,19,1137,383,16,0,45,595,1,4,58,11,5
25,ILFOV,"GRADINITA NR.2",153,BRĂNEŞTI,101298,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:40:27",1034,1014,3,16,1,572,555,0,16,1,549,23,1093,521,24,3,57,377,5,5,65,5,8
25,ILFOV,"GRĂDINIȚA NR.2, BĂLTENI",261,PERIŞ,104546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:40",442,429,1,12,0,283,270,1,12,0,270,13,500,217,11,0,41,143,2,4,58,7,4
25,ILFOV,"GRĂDINIȚA NR. 2 FUNDENI",214,DOBROEŞTI,179310,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:01:08",1189,1168,4,15,2,613,596,0,15,2,594,19,1293,680,16,5,43,325,8,52,87,15,43
25,ILFOV,"GRĂDINIŢA NR. 2 GAGU",205,DASCĂLU,102473,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:27:12",698,682,0,16,0,487,471,0,16,0,453,31,711,224,28,2,44,319,3,3,44,5,5
25,ILFOV,"GRADINITA NR 2 MAGURELE",43,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:19:26",1380,1366,4,6,4,804,795,0,6,3,770,34,1600,796,24,2,81,530,5,13,88,11,16
25,ILFOV,"GRADINITA NR.3",181,CIOLPANI,101902,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:22",683,664,0,17,2,358,339,0,17,2,344,14,700,342,6,0,50,239,3,2,37,7,0
25,ILFOV,"GRĂDINIŢA NR.3 DUMBRĂVENI",141,BALOTEŞTI,100969,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 22:41:25",1071,1055,3,13,0,647,634,0,13,0,632,15,1200,553,20,2,51,334,9,10,194,6,6
25,ILFOV,"GRADINITA NR 3 VARTEJU",50,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:09:43",1646,1621,8,12,5,859,841,1,12,5,829,30,1737,878,47,5,109,474,7,18,137,11,21
25,ILFOV,"GRADINITA NR.4",180,CIOLPANI,101902,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:25:24",1162,1123,4,12,23,669,634,0,12,23,644,25,1300,631,17,5,136,435,4,3,29,7,8
25,ILFOV,"GRĂDINIȚA NR.4",103,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:50:36",1219,1179,17,23,0,581,558,0,23,0,569,12,1300,719,10,2,58,203,3,9,279,4,1
25,ILFOV,"GRĂDINIȚA NR.4",104,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:31:53",1027,993,4,30,0,582,552,0,30,0,544,11,1105,523,9,7,127,192,3,14,178,5,9
25,ILFOV,"GRĂDINIŢA NR.5",159,CERNICA,101742,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:43",1017,988,3,22,4,656,630,0,22,4,639,17,1100,444,11,2,56,508,3,4,43,7,5
25,ILFOV,"GRĂDINIȚA NR.5",83,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:11:33",2517,1751,17,749,0,794,763,0,31,0,773,21,1900,1106,24,4,63,245,9,19,390,12,7
25,ILFOV,"GRĂDINIȚA NR.5",82,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:11:04",1816,1776,4,36,0,888,852,0,36,0,866,22,2001,1113,23,4,156,304,6,9,348,7,9
25,ILFOV,"GRĂDINIŢA ”PRICHINDEL”",41,"ORAŞ CHITILA",179285,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:04:38",1245,1225,3,17,0,578,561,0,17,0,560,18,1350,772,31,4,82,359,4,8,57,13,2
25,ILFOV,"GRĂDINIŢIA CU PROGRAM PRELUNGIT NR. 2",62,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:04:43",1423,1398,12,13,0,801,787,1,13,0,774,27,1591,790,9,4,83,298,5,22,228,17,108
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",188,CLINCENI,102035,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:38:26",1500,1479,1,13,7,866,846,0,13,7,833,33,1641,775,38,5,119,522,9,11,104,18,7
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",187,CLINCENI,102035,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:04",1321,1295,13,11,2,757,744,0,11,2,741,16,1400,643,37,9,112,450,13,15,85,13,7
25,ILFOV,"LICEUL TEHNOLOGIC ” DOAMNA CHIAJNA”",176,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:45:46",1825,1809,0,16,0,509,493,0,16,0,503,6,2000,1491,26,3,58,125,7,35,231,11,7
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",177,CHIAJNA,179249,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 01:46:47",1711,1679,24,8,0,470,461,1,8,0,443,4,1900,1430,19,3,48,138,5,30,185,9,6
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",178,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:59",1444,1429,4,11,0,661,650,0,11,0,644,17,1639,978,18,4,52,209,6,30,300,14,11
25,ILFOV,"LICEUL TEHNOLOGIC” DOAMNA CHIAJNA”",171,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:48:32",2050,2013,7,30,0,597,567,0,30,0,588,9,2200,1603,35,2,73,213,5,21,214,18,7
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",24,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:29:54",1627,1574,0,17,36,1091,1038,0,17,36,1010,81,1800,709,44,0,94,655,75,6,107,26,3
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",23,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:14",988,950,1,18,19,629,592,0,18,19,599,30,1101,472,21,3,76,361,37,9,66,19,7
25,ILFOV,"LICEUL TEHNOLOGIC ”VINTILĂ BRĂTIANU”",221,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:56",1859,1483,3,365,8,1279,906,0,365,8,1234,45,1600,321,49,4,113,886,5,9,145,14,9
25,ILFOV,"LICEUL TEORETIC ALEXANDRU ROSETTI VIDRA",286,VIDRA,105936,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:39:42",1241,1225,0,8,8,696,680,0,8,8,679,9,1350,654,25,4,65,530,6,4,30,8,7
25,ILFOV,"LICEUL TEORETIC ”HORIA HULUBEI”",44,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:50:32",1104,1084,7,11,2,673,660,0,11,2,650,23,1196,523,13,3,69,434,1,4,105,10,11
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",52,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:46:08",916,904,9,3,0,508,505,0,3,0,477,31,1000,492,14,4,40,282,5,15,103,8,6
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",51,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:28:21",1426,1393,21,12,0,726,713,1,12,0,708,18,1500,774,11,4,71,353,5,21,209,8,26
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",54,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:32:01",1360,1348,2,7,3,746,736,0,7,3,712,32,1500,754,28,5,67,382,6,19,176,16,13
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",53,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:53",1273,1260,7,5,1,716,710,0,5,1,688,28,1400,684,23,9,63,348,7,15,199,12,12
25,ILFOV,"LICEUL TEORETIC IOAN PETRUȘ",60,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:39",1279,1139,130,10,0,477,467,0,10,0,458,19,1300,823,20,4,51,216,2,9,135,15,6
25,ILFOV,"LICEUL TEORETIC NR.1 PERIŞ",258,PERIŞ,104546,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 14:00:53",1911,1870,4,35,2,1187,1150,0,35,2,1048,57,2050,945,47,0,188,580,22,9,174,28,0
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",96,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:44:33",1885,1802,5,67,11,1299,1221,0,67,11,1265,34,2000,701,40,1,287,752,7,10,152,13,3
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",95,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:11:00",1885,1814,1,51,19,1366,1296,0,51,19,1295,43,2100,734,24,2,382,707,4,18,133,15,10
25,ILFOV,"LICEUL TEORETIC RADU POPESCU CORP E",97,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 21:14:53",1836,1797,2,37,0,1166,1129,0,37,0,1128,38,2069,903,24,0,398,518,2,8,157,14,7
25,ILFOV,"LICEUL TEORETIC ”TRAIAN LALESCU”",151,BRĂNEŞTI,101298,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:56:24",1889,1873,1,15,0,1078,1063,0,15,0,1025,48,2050,972,27,7,141,713,8,6,89,25,9
25,ILFOV,"POLICLINICA JILAVA",246,JILAVA,179383,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:20:06",1851,1807,3,38,3,1216,1175,0,38,3,1097,119,1979,763,65,6,146,782,3,5,57,25,8
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",45,"ORAŞ MĂGURELE",179409,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:17:42",2361,2316,10,29,6,1266,1231,0,29,6,1245,14,2500,1234,34,6,115,713,5,16,317,19,20
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",46,"ORAŞ MĂGURELE",179409,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:03:21",1302,1282,11,7,2,618,609,0,7,2,584,32,1400,782,19,2,71,351,6,9,106,8,12
25,ILFOV,"PRIMĂRIA ORAŞULUI OTOPENI",55,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:31:57",1359,1331,16,8,4,749,734,3,8,4,710,39,1500,751,28,6,67,383,9,12,180,12,13
25,ILFOV,"PRIMĂRIA ORAŞULUI VOLUNTARI",126,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:29:50",1526,1505,0,21,0,864,843,0,21,0,825,39,1715,851,54,10,89,550,8,12,76,17,9
