precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDUCAN-MOREGA CORNELIU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","CIOFÎCĂ ION-MARIAN-voturi","POPESCU IULIAN-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ANDREI VASILE-LIVIU-ALIANȚA NAȚIONAL CREȘTINĂ-voturi","ROMANESCU MARCEL-LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","PRIESCU IONELIA-FLORENŢA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOPLEAN MARIAN-IONUŢ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","TUDOR-DRĂGHICI ADRIAN-MARCEL-PARTIDUL VERDE-voturi","COICA GABRIEL-CONSTANTIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
20,GORJ,"COLEGIUL NAȚIONAL SPIRU HARET",9,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:47",1029,1020,0,9,0,468,459,0,9,0,458,10,1200,732,31,26,149,3,158,35,1,53,2
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",3,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:45",1155,1143,1,8,3,563,552,0,8,3,557,6,1300,737,41,19,243,10,181,22,2,33,6
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",2,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:38",1046,1031,1,6,8,547,533,0,6,8,540,7,1200,653,40,23,180,7,191,24,0,66,9
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",46,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:58:43",1744,1725,9,10,0,703,693,0,10,0,684,9,2000,1297,18,37,217,9,256,43,4,89,11
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",45,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:52:35",1667,1660,0,7,0,599,592,0,7,0,588,11,1800,1201,18,50,135,1,259,44,8,59,14
20,GORJ,"COLEGIUL TEHNIC HENRI COANDĂ",53,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,P,P_SV,"2024-06-11 22:20:58",784,767,3,14,0,375,361,0,14,0,357,18,900,525,9,28,111,3,133,37,1,29,6
20,GORJ,"COLEGIUL TEHNIC ION MINCU",43,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:34:57",1249,1242,0,7,0,521,514,0,7,0,512,9,1400,879,11,41,140,4,205,39,3,59,10
20,GORJ,"COLEGIUL TEHNIC ION MINCU",44,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:34:30",1118,1111,2,5,0,475,470,0,5,0,469,6,1300,825,25,34,138,0,174,38,1,46,13
20,GORJ,"COLEGIUL TEHNIC NR.2",6,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:03",1307,1297,4,6,0,590,584,0,6,0,575,15,1500,910,39,32,186,4,226,27,5,44,12
20,GORJ,"IMOBIL NR.42",56,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:11",736,726,4,5,1,347,341,0,5,1,342,5,800,453,23,13,104,2,127,27,1,40,5
20,GORJ,"LICEUL CU PROGRAM SPORTIV",30,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:09",889,886,0,3,0,382,379,0,3,0,371,11,1000,618,21,19,126,2,138,24,4,23,14
20,GORJ,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:33:42",1020,1015,1,4,0,455,451,0,4,0,445,10,1100,645,26,28,132,4,162,31,6,50,6
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",37,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:52",1176,1171,2,3,0,529,526,0,3,0,514,15,1300,771,26,43,152,3,181,30,1,68,10
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",34,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:18",1183,1176,1,6,0,566,560,0,6,0,548,18,1300,734,38,13,205,2,179,32,1,69,9
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",35,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,P,P_SV,"2024-06-14 21:48:21",1463,1454,1,8,0,714,706,0,8,0,702,12,1700,986,46,34,201,5,215,32,4,152,13
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",36,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,P,P_SV,"2024-06-14 22:59:30",1378,1370,0,8,0,577,569,0,8,0,550,27,1600,1023,25,3,169,3,268,20,1,53,8
20,GORJ,"LICEUL TEOLOGIC",15,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:23",1417,1411,2,4,0,623,619,0,4,0,606,17,1500,877,42,33,207,5,208,38,5,59,9
20,GORJ,"LICEUL TEOLOGIC",17,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:48:23",1258,1239,0,2,17,561,542,0,2,17,474,87,1400,839,32,26,150,5,178,28,4,42,9
20,GORJ,"LICEUL TEOLOGIC",16,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-14 23:19:46",1374,1371,0,3,0,492,489,0,3,0,478,8,1500,1008,26,21,122,4,207,44,11,32,11
20,GORJ,"PALATUL COPIILOR",14,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:10:46",955,949,0,5,1,441,435,0,5,1,429,12,1100,659,27,14,166,2,136,29,1,49,5
20,GORJ,"ŞCOALA GENERALĂ ECATERINA TEODOROIU",42,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:43",1328,1318,1,9,0,620,611,0,9,0,603,17,1600,980,25,36,198,2,211,38,0,75,18
20,GORJ,"ŞCOALA GIMNAZIALĂ ALEXANDRU ŞTEFULESCU",7,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:48:05",1126,1113,4,7,2,536,527,0,7,2,515,14,1200,664,34,17,195,7,161,29,5,57,10
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",23,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:44",1459,1443,5,11,0,604,593,0,11,0,596,8,1600,996,28,30,196,2,197,42,4,64,33
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",25,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:38:43",1352,1347,2,3,0,556,553,0,3,0,550,6,1600,1044,28,30,139,6,249,43,11,33,11
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",22,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:27",1475,1465,2,8,0,702,694,0,8,0,667,35,1700,998,27,32,218,5,248,46,5,69,17
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",24,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:46",1411,1403,2,5,1,552,546,0,5,1,541,11,1500,948,25,39,125,3,258,39,5,36,11
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",4,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:55:58",1031,1026,2,3,0,482,479,0,3,0,474,8,1200,718,28,15,195,2,159,25,0,45,5
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",5,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:35:31",1076,1073,1,2,0,491,489,0,2,0,478,13,1200,709,41,29,153,5,143,38,3,60,6
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",18,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:18:09",1438,1421,1,9,7,605,589,0,9,7,587,18,1600,995,25,32,185,5,207,51,3,59,20
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",19,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-11 12:27:39",1369,1346,2,8,13,639,618,0,8,13,623,16,1500,861,35,46,181,3,241,38,5,60,14
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",48,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,P,P_SV,"2024-06-14 20:39:32",1654,1643,4,7,0,746,738,1,7,0,726,20,1900,1154,19,34,203,5,252,59,5,126,23
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",47,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:32:52",1696,1687,2,7,0,781,774,0,7,0,742,39,1900,1119,18,38,288,1,244,49,9,74,21
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.9",54,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:09:17",1516,1505,5,6,0,750,743,1,6,0,737,13,1700,950,25,28,240,3,190,43,3,177,28
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",21,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:50:38",1612,1602,4,6,0,659,653,0,6,0,646,13,1800,1141,41,35,197,2,228,43,3,82,15
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",20,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:51:15",1554,1547,0,7,0,561,554,0,7,0,548,13,1700,1139,26,18,167,5,213,46,4,47,22
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",41,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:02",1166,1147,0,7,12,588,569,0,7,12,575,13,1300,712,38,31,182,6,175,53,4,70,16
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",40,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-14 20:44:35",732,705,1,7,19,338,312,0,7,19,330,8,800,462,15,18,112,3,108,23,0,44,7
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",39,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:56",1507,1481,16,10,0,752,742,0,10,0,744,8,1600,848,56,22,265,1,255,27,3,103,12
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",50,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:44:30",1635,1629,2,4,0,920,916,0,4,0,905,15,1800,880,49,28,267,3,412,50,2,76,18
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",49,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:02:29",1546,1538,2,6,0,733,727,0,6,0,713,20,1700,967,42,39,212,3,223,52,5,103,34
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",52,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:21",1354,1344,3,7,0,679,672,0,7,0,671,8,1500,821,26,57,260,2,207,47,3,57,12
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",51,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:57:12",1470,1467,0,3,0,650,647,0,3,0,626,24,1600,950,22,5,218,3,241,59,5,47,26
20,GORJ,"ŞCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ DRĂGOENI",55,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,P,P_SV,"2024-06-14 21:18:53",1579,1571,3,5,0,743,738,0,5,0,723,20,1800,1057,30,37,234,0,231,48,5,107,31
20,GORJ,"ȘCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ ROMANEȘTI",57,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:51:11",814,808,2,4,0,385,382,0,3,0,379,6,900,515,17,12,146,1,115,30,4,44,10
20,GORJ,"ŞCOALA PRIMARĂ ŞI GRĂDINIŢA DE COPII URSAŢI",58,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:32",638,631,0,7,0,423,416,0,7,0,418,5,764,341,8,21,90,1,198,15,1,73,11
20,GORJ,"UNIVERSITATEA CONSTANTIN BRÂNCUŞI",8,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:21:36",1616,1605,5,6,0,742,736,0,6,0,725,17,1800,1058,46,31,234,4,247,62,6,80,15
20,GORJ,"UNIVERSITATEA „CONSTANTIN BRÂNCUȘI”",1,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-11 09:56:43",1615,1603,5,7,0,741,734,0,7,0,741,0,1800,1059,51,26,288,11,237,40,1,71,16
20,GORJ,"UNIVERSITATEA ”CONSTANTIN BRÂNCUȘI”-FACULTATEA DE ȘTIINȚE ALE EDUCAȚIEI, DREPT ȘI ADMINISTRAȚIE PUBLICĂ",38,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:25",878,861,1,14,2,400,384,0,14,2,391,9,1000,600,27,31,137,1,121,21,0,45,8
