precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROMANESCU MARCEL-LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","POPESCU IULIAN-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","PRIESCU IONELIA-FLORENŢA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RĂDUCAN-MOREGA CORNELIU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","COICA GABRIEL-CONSTANTIN-PARTIDUL S.O.S. ROMÂNIA-voturi","TUDOR-DRĂGHICI ADRIAN-MARCEL-PARTIDUL VERDE-voturi","ANDREI VASILE-LIVIU-ALIANȚA NAȚIONAL CREȘTINĂ-voturi","CIOPLEAN MARIAN-IONUŢ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CIOFÎCĂ ION-MARIAN-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",19,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:29:22",1369,1346,2,8,13,639,618,0,8,13,623,16,1500,861,241,181,38,35,14,60,3,5,46
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",48,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:31",1651,1643,1,7,0,746,738,1,7,0,726,20,1900,1154,252,203,59,19,23,126,5,5,34
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",47,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:57:10",1696,1687,2,7,0,781,774,0,7,0,742,39,1900,1119,244,288,49,18,21,74,1,9,38
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.9",54,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:09:17",1516,1505,5,6,0,750,743,1,6,0,737,13,1700,950,190,240,43,25,28,177,3,3,28
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",21,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:50:38",1612,1602,4,6,0,659,653,0,6,0,646,13,1800,1141,228,197,43,41,15,82,2,3,35
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",20,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:17:03",1554,1547,0,7,0,561,554,0,7,0,548,13,1700,1139,213,167,46,26,22,47,5,4,18
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",41,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:02",1166,1147,0,7,12,588,569,0,7,12,575,13,1300,712,175,182,53,38,16,70,6,4,31
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",40,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:26",731,705,0,7,19,338,312,0,7,19,330,8,800,462,108,112,23,15,7,44,3,0,18
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",39,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:56",1507,1481,16,10,0,752,742,0,10,0,744,8,1600,848,255,265,27,56,12,103,1,3,22
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",50,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:44:30",1635,1629,2,4,0,920,916,0,4,0,905,15,1800,880,412,267,50,49,18,76,3,2,28
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",49,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:02:29",1546,1538,2,6,0,733,727,0,6,0,713,20,1700,967,223,212,52,42,34,103,3,5,39
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",52,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:21",1354,1344,3,7,0,679,672,0,7,0,671,8,1500,821,207,260,47,26,12,57,2,3,57
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",51,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:53:12",1470,1467,0,3,0,650,647,0,3,0,626,21,1600,936,241,218,59,22,26,47,3,5,5
20,GORJ,"ŞCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ DRĂGOENI",55,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:30:42",1599,1591,3,5,0,743,738,0,5,0,723,20,1800,1057,231,234,48,30,31,107,0,5,37
20,GORJ,"ȘCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ ROMANEȘTI",57,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:21:30",814,808,2,4,0,385,382,0,3,0,379,6,900,510,115,146,30,17,10,44,1,4,12
20,GORJ,"ŞCOALA PRIMARĂ ŞI GRĂDINIŢA DE COPII URSAŢI",58,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:32",638,631,0,7,0,423,416,0,7,0,418,5,764,341,198,90,15,8,11,73,1,1,21
20,GORJ,"UNIVERSITATEA CONSTANTIN BRÂNCUŞI",8,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:21:36",1616,1605,5,6,0,742,736,0,6,0,725,17,1800,1058,247,234,62,46,15,80,4,6,31
20,GORJ,"UNIVERSITATEA „CONSTANTIN BRÂNCUȘI”",1,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:10:37",1615,1603,5,7,0,741,734,0,7,0,741,0,1800,1043,237,288,40,51,16,71,11,1,26
20,GORJ,"UNIVERSITATEA ”CONSTANTIN BRÂNCUȘI”-FACULTATEA DE ȘTIINȚE ALE EDUCAȚIEI, DREPT ȘI ADMINISTRAȚIE PUBLICĂ",38,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:25",878,861,1,14,2,400,384,0,14,2,391,9,1000,600,121,137,21,27,8,45,1,0,31
