precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARBUR FLORIN-GHEORGHE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ANGHEL CRISTIAN-FORȚA DREPTEI-voturi","CIUCĂ SEVER-IULIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","CRISTIAN BRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","CIRŢ MIRCEA-PARTIDUL VERTICALA NOUĂ-voturi","HERŢEG CĂLIN-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PAP ZSOLT-ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DOLHA MIRCEA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ZAINEA SERGIU-FLORIAN-voturi","FILIP CLAUDIU-GHEORGHE-PARTIDUL VERDE-voturi","PÎRVĂNOIU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOGDAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","HODOROGEA BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","POP LIVIU-MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DĂNCUŞ IOAN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","GROZA CĂLIN-FLORIN-PARTIDUL OAMENILOR TINERI-voturi"
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",15,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:38",863,838,16,8,1,437,428,0,8,1,432,5,1000,563,6,36,2,80,56,11,64,0,2,2,2,80,3,1,85,2
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA TEHNICĂ”",7,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:49",1250,1234,1,15,0,478,463,0,15,0,464,14,486,8,8,28,6,75,75,3,42,2,6,2,16,68,12,3,113,5
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",62,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:22:14",1548,1534,7,4,3,715,708,0,4,3,700,15,1700,985,8,68,0,124,88,3,104,1,5,0,20,133,5,0,139,2
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „VASILE LUCACIU”",63,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:12",1257,1241,7,9,0,511,502,0,9,0,498,13,1400,889,3,43,5,95,56,9,79,1,4,0,15,95,5,4,83,1
26,MARAMUREŞ,"COLEGIUL TEHNIC „ANGHEL SALIGNY”",69,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:55:16",1562,1536,12,14,0,741,727,0,14,0,714,27,1700,959,4,47,11,139,84,11,94,0,7,0,12,148,6,0,149,2
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",6,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:00:18",1725,1712,6,7,0,673,666,0,7,0,658,15,1900,1227,5,42,5,118,98,4,48,2,6,0,21,114,5,2,185,3
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",5,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:12",1859,1847,2,10,0,560,550,0,10,0,522,38,2000,1440,2,32,8,76,63,2,26,4,3,3,28,75,14,2,181,3
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",86,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-11 16:46:39",1313,1303,4,5,1,611,605,0,5,1,583,25,1402,794,1,39,5,75,89,3,101,2,5,2,15,126,10,3,104,3
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",85,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-11 14:57:46",1248,1239,1,8,0,408,399,1,8,0,369,39,1400,992,2,35,2,47,44,3,15,3,2,1,27,70,9,5,103,1
26,MARAMUREŞ,"COLEGIUL TEHNIC „GEORGE BARIȚIU”",64,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-12 16:25:31",1306,1284,9,13,0,630,617,0,13,0,620,10,1500,870,3,50,3,112,92,10,77,2,3,3,18,118,5,12,112,0
26,MARAMUREŞ,"ECHIPAMENT CONTAINER MODULAR",2,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:42:05",919,908,1,10,0,435,425,0,10,0,427,8,1000,565,0,26,5,47,88,4,20,2,0,4,35,76,6,2,112,0
26,MARAMUREŞ,"GAL BAIA MARE",70,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:43",1300,1290,0,10,0,484,474,0,10,0,467,17,1500,1016,0,32,2,65,63,0,20,1,6,2,15,102,25,3,128,3
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 12",54,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:11",1602,1589,7,6,0,738,732,0,6,0,722,16,1800,1062,3,45,4,133,122,4,112,1,9,15,13,117,12,3,128,1
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „FLOARE DE COLŢ”",36,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:46:18",1304,1294,0,10,0,528,518,0,10,0,510,18,1500,972,3,33,4,92,83,3,30,7,12,2,20,89,14,2,113,3
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „MICUL PRINŢ”",25,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:41:38",1344,1333,0,11,0,516,505,0,11,0,505,11,1500,984,1,42,2,82,69,4,36,2,6,1,20,111,9,0,117,3
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",31,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:49",1162,1150,3,7,2,459,450,0,7,2,456,3,1300,841,2,24,6,74,81,4,26,5,2,2,11,70,9,3,136,1
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",30,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:30:50",1324,1318,1,5,0,496,491,0,5,0,490,4,1400,904,2,34,5,79,90,10,20,3,0,1,16,100,15,4,111,0
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 27",80,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:46",1653,1643,1,9,0,655,646,0,9,0,649,6,1900,1245,4,37,9,170,112,5,32,4,5,3,23,99,10,8,122,6
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 28",29,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:47:49",1312,1296,0,15,1,488,472,0,15,1,485,3,1400,912,6,24,5,69,74,12,37,1,7,8,33,75,12,9,111,2
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 34",35,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:05",1316,1299,6,11,0,559,547,1,11,0,549,10,1500,941,6,31,7,111,113,6,26,2,6,2,17,89,12,3,113,5
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",20,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:58:03",1423,1406,8,9,0,666,657,0,9,0,627,39,1600,934,0,47,2,118,107,7,57,4,1,0,0,135,3,2,144,0
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",77,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:12:58",1424,1414,4,6,0,598,592,0,6,0,581,17,1600,1002,1,40,6,108,113,2,21,1,7,1,15,115,6,2,139,4
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",78,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:39:04",1250,1240,0,10,0,411,401,0,10,0,398,13,1400,989,4,17,7,45,62,5,17,6,6,1,17,83,19,2,98,9
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",44,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:54:22",1095,1085,1,9,0,432,423,0,9,0,420,3,1200,777,8,29,4,77,75,6,21,2,2,1,12,65,6,3,108,1
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",43,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:20:23",1337,1304,24,9,0,587,578,0,9,0,573,14,1500,913,4,59,10,96,103,6,28,3,3,7,12,100,8,4,130,0
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",45,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:33",761,750,3,7,1,327,319,0,7,1,320,7,900,573,2,18,2,53,53,2,21,6,5,1,7,67,4,1,77,1
26,MARAMUREŞ,"LICEUL DE ARTE",51,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:08",1108,1094,3,7,4,546,535,0,7,4,533,13,1200,654,4,43,5,118,77,9,76,4,5,2,7,91,3,2,87,0
26,MARAMUREŞ,"LICEUL DE ARTE",52,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:07",1140,1123,8,9,0,598,588,1,9,0,588,10,1200,602,5,62,2,108,90,9,80,2,1,1,14,101,4,6,102,1
26,MARAMUREŞ,"LICEUL TEORETIC „EMIL RACOVIȚĂ”",22,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:04:26",1383,1354,4,9,16,573,549,0,9,15,559,14,1500,927,6,40,2,86,99,3,36,2,6,1,21,115,2,3,132,5
26,MARAMUREŞ,"LICEUL TEORETIC „EMIL RACOVIȚĂ”",21,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:00",1347,1311,4,10,22,510,478,0,10,22,467,43,1500,990,2,34,6,60,66,4,72,6,5,1,18,81,9,0,101,2
26,MARAMUREŞ,"LICEUL TEORETIC SANITAR",53,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:13",1326,1311,7,8,0,598,590,0,8,0,588,10,1500,902,2,35,4,108,87,3,87,1,8,3,26,117,7,4,95,1
26,MARAMUREŞ,"REGISTRU AUTO ROMÂN, REPREZENTANȚA MARAMUREȘ",28,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:47:07",1283,1273,0,10,0,425,415,0,10,0,414,11,1400,975,2,27,0,55,48,4,19,2,3,1,28,65,22,0,138,0
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",49,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:40",1421,1400,4,17,0,626,609,0,17,0,617,9,1600,974,4,49,10,95,83,12,54,1,7,0,21,131,7,10,129,4
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",48,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:55",1275,1266,0,8,1,516,507,0,8,1,505,11,1400,884,3,43,5,71,75,4,50,5,1,1,19,108,3,4,110,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",24,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:09:36",1455,1435,0,9,11,609,589,0,9,11,600,9,1600,991,5,43,3,102,85,7,47,3,7,4,20,103,8,5,151,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",23,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:22:16",1352,1324,0,10,18,544,516,0,10,18,529,15,1500,956,5,35,9,93,84,5,32,0,3,4,23,95,7,4,129,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",38,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:22:54",1319,1309,2,8,0,569,561,0,8,0,558,8,1497,931,5,24,7,136,93,3,8,0,5,2,24,107,7,1,136,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",37,"MUNICIPIUL BAIA MARE",106318,4,PART,PRCNCT,P,P_SV,"2024-06-10 12:23:47",1343,1335,0,7,1,461,453,0,7,1,450,11,1500,1039,2,29,0,103,80,7,14,2,4,2,13,76,11,1,106,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",13,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:42",1363,1323,9,31,0,657,625,1,31,0,644,13,1500,843,3,36,8,138,86,4,65,4,6,1,19,123,13,6,129,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",12,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:10:55",907,895,1,11,0,418,407,0,11,0,407,11,1000,582,4,32,6,75,63,3,51,1,4,0,7,75,4,3,79,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",11,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:28:37",1037,1031,2,4,0,457,453,0,4,0,448,9,1100,643,3,35,1,98,64,13,50,1,0,2,8,84,4,3,81,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",10,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:18",928,920,4,4,0,398,394,0,4,0,393,5,1040,642,2,36,2,82,45,4,46,0,1,3,10,78,8,3,70,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",39,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:12",1366,1359,0,7,0,562,555,0,7,0,551,11,1500,938,3,26,4,127,95,3,15,3,7,0,21,87,9,6,144,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",40,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:40:44",1336,1328,0,8,0,503,495,0,8,0,491,12,1500,997,3,24,5,90,102,8,23,2,1,0,19,76,8,3,121,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",41,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:47:14",1432,1427,0,5,0,547,542,0,5,0,534,13,1600,1053,2,31,1,85,88,0,19,4,4,2,21,111,7,2,155,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",3,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:48:11",1670,1649,10,11,0,810,799,0,11,0,789,21,1805,995,5,64,5,108,120,2,53,8,8,3,33,184,15,6,174,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",4,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:20:05",1812,1794,3,14,1,852,837,0,14,1,841,11,1900,1048,9,76,6,155,153,4,57,5,4,1,23,153,12,7,174,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",16,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:59",1109,1091,8,10,0,489,479,0,10,0,474,13,1200,713,1,40,2,89,79,2,79,3,2,0,8,68,6,5,86,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",17,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:47:07",1002,988,3,11,0,443,432,0,11,0,415,14,1100,671,8,37,4,75,60,5,43,0,3,4,14,73,6,6,77,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",32,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:47",839,831,0,8,0,319,311,0,8,0,318,1,1000,681,4,17,6,55,51,3,22,3,3,2,7,48,6,0,88,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",34,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:07",1149,1134,0,15,0,433,418,0,15,0,416,17,1300,867,0,16,4,63,45,1,16,8,3,1,22,70,13,5,147,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",33,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:38:57",1288,1280,0,7,1,488,480,0,7,1,473,15,1400,912,2,25,1,80,101,7,46,2,4,2,21,69,9,6,96,2
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",67,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:17:25",1658,1642,6,9,1,835,825,0,9,1,811,24,1900,1065,6,47,6,129,146,5,86,2,1,1,22,186,7,2,164,1
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",65,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:24:08",1101,1089,3,9,0,523,514,0,9,0,504,8,1200,677,9,19,7,77,60,7,64,6,1,4,27,123,14,6,79,1
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",66,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:59:40",1018,986,17,11,4,463,448,0,11,4,457,6,1100,637,6,25,4,81,85,4,45,0,7,0,9,87,1,0,102,1
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",68,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:57:05",1516,1492,14,10,0,593,583,0,10,0,586,7,1700,1107,6,36,6,105,112,6,25,2,6,0,18,118,4,1,140,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",58,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:07",1187,1181,0,6,0,535,529,0,6,0,524,11,1300,765,0,29,2,48,93,1,4,5,2,1,17,99,6,5,212,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",57,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:05",1250,1243,1,6,0,592,586,0,6,0,570,22,1400,808,4,25,4,57,104,3,2,2,8,1,25,77,5,2,251,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",8,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-11 17:47:35",1564,1550,9,5,0,761,756,0,5,0,752,9,1800,1039,7,68,4,134,109,14,86,4,10,2,14,144,8,3,145,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",9,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,P,P_SV,"2024-06-11 23:51:03",1492,1420,2,40,30,646,609,0,11,26,631,15,1600,954,7,59,3,117,85,9,54,0,2,0,24,115,6,2,142,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",56,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:25",1319,1303,9,7,0,565,558,0,7,0,521,44,1500,935,1,11,4,50,80,2,37,11,1,1,36,73,8,6,199,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",55,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:24:39",1553,1544,1,8,0,639,631,0,8,0,609,30,1700,1061,1,37,9,81,91,1,53,12,10,1,42,58,10,8,194,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",19,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:56",1044,1030,2,12,0,466,454,0,12,0,456,10,1100,634,6,41,8,84,67,3,47,2,7,0,9,77,8,7,86,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",18,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:00",797,786,0,11,0,369,358,0,11,0,365,4,900,531,3,32,5,76,37,1,44,1,4,4,10,59,3,2,84,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 13",59,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:47:33",1416,1394,7,14,1,677,662,0,14,1,652,25,1500,823,3,36,4,48,56,8,16,2,2,2,31,112,5,7,317,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",26,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:08:52",1376,1363,0,13,0,586,573,0,13,0,572,14,1600,1014,4,39,7,95,95,5,37,2,12,2,33,93,11,4,126,7
