precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZETEA GABRIEL-VALER-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞTEŢCO GABRIEL-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PINTÉR ZSOLT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","POP DARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MORARIU CĂLIN-TEODOR-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PONDE ELENA-SIMONA-PARTIDUL ECOLOGIST ROMÂN-voturi","ROPAN MIHAI-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","POP NADIA-MARIA-PARTIDUL VERTICALA NOUĂ-voturi","OPRIŞ DUMITRU-CRISTIAN-FORȚA DREPTEI-voturi","FILIP MARIANA-FLORENTINA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CÎMPEAN CORNELIA-PARTIDUL PATRIOȚILOR-voturi","IVAN DAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","IVAŞCO ALINA-PARTIDUL S.O.S. ROMÂNIA-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",437,"VIMA MICĂ",109425,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:43:45",86,74,0,10,2,68,56,0,10,2,66,2,140,72,21,36,1,1,0,1,4,0,0,1,0,1,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",395,SATULUNG,108712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:58:53",256,172,0,75,9,216,132,0,75,9,212,4,250,34,148,11,4,15,4,2,0,10,0,4,1,10,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",208,"ORAŞ ULMENI",109265,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:08:42",619,580,0,13,26,354,315,0,13,26,345,9,700,346,229,92,2,10,0,0,0,5,1,3,0,0,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",232,"BĂIŢA DE SUB CODRU",107118,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:36:01",1311,1196,0,92,23,1004,889,0,92,23,961,43,1294,290,418,422,1,36,6,8,0,13,4,32,4,3,14
26,MARAMUREŞ,"CĂMINUL CULTURAL",186,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:02:45",167,158,0,9,0,114,105,0,9,0,112,2,200,86,13,82,1,11,0,1,0,1,0,0,1,2,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",384,"RONA DE SUS",108632,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:59:06",1635,1595,0,4,36,834,795,0,4,35,786,48,1700,866,509,140,5,43,0,12,14,1,1,8,0,21,32
26,MARAMUREŞ,"CĂMINUL CULTURAL",249,BISTRA,107270,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:15:39",1296,1286,0,10,0,663,653,0,10,0,581,82,1400,737,172,255,8,57,4,5,3,2,8,33,1,10,23
26,MARAMUREŞ,"CĂMINUL CULTURAL",406,SĂLSIG,108918,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:08:14",1448,1276,3,125,44,1295,1125,1,125,44,1082,43,1400,275,580,365,10,39,4,9,5,26,6,3,1,22,12
26,MARAMUREŞ,"CĂMINUL CULTURAL",396,SATULUNG,108712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:42:09",612,582,0,23,7,397,367,0,23,7,392,5,700,303,210,80,2,40,2,0,1,18,10,4,1,17,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",441,"VIMA MICĂ",109425,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:23:37",349,320,0,16,13,232,203,0,16,13,222,10,380,148,78,27,1,81,0,5,1,3,9,3,0,13,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",228,ARINIŞ,107047,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:10:44",163,151,0,10,2,128,116,0,10,2,123,5,200,72,58,14,1,36,0,3,1,4,1,0,0,1,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",308,DESEŞTI,107975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:31:56",445,418,0,11,16,311,284,0,11,16,299,12,497,186,69,112,4,71,0,2,0,3,1,1,1,28,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",265,BUDEŞTI,107519,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:03:46",628,623,1,0,4,398,393,1,0,4,376,22,700,302,112,204,3,40,0,0,0,1,0,1,1,11,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",352,"OCNA ŞUGATAG",108400,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:47:37",245,239,0,5,1,168,162,0,5,1,153,9,300,138,71,50,1,8,0,15,0,1,1,1,0,4,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",209,"ORAŞ ULMENI",109265,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:11:48",213,195,0,11,7,141,123,0,11,7,138,3,300,159,104,19,0,4,2,0,0,0,5,0,0,3,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",398,SATULUNG,108712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:31:09",631,598,0,26,7,420,387,0,26,7,406,14,700,280,246,69,1,24,3,6,1,13,7,2,1,29,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",336,"MIREŞU MARE",108268,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:17:09",1158,1123,1,16,18,737,703,0,16,18,704,33,1300,563,337,233,7,48,1,8,1,31,5,4,0,11,18
26,MARAMUREŞ,"CĂMINUL CULTURAL",289,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:17:53",70,64,0,6,0,48,42,0,6,0,45,3,100,52,5,32,1,0,0,0,0,2,0,0,0,5,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",295,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:31:01",219,213,0,6,0,219,213,0,6,0,157,5,300,138,30,48,6,9,1,1,0,3,1,0,0,55,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",287,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:19:05",286,283,0,3,0,197,194,0,3,0,192,5,300,103,71,81,5,19,0,1,0,2,0,0,0,7,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",307,DESEŞTI,107975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:45:08",756,700,0,33,23,557,501,0,33,23,544,13,800,243,225,197,5,39,5,12,0,4,5,13,1,29,9
26,MARAMUREŞ,"CĂMINUL CULTURAL",385,"RONA DE SUS",108632,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:24:17",1505,1469,3,3,30,753,720,0,3,30,700,53,1600,847,460,116,9,42,0,15,7,2,1,1,1,24,22
26,MARAMUREŞ,"CĂMINUL CULTURAL",397,SATULUNG,108712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:44:28",1022,993,0,29,0,694,665,0,29,0,650,44,1100,406,502,57,3,53,2,8,4,3,2,1,2,9,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",237,BĂSEŞTI,107190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:25:18",498,441,0,38,19,355,298,0,38,19,339,16,500,145,101,136,1,63,0,3,3,2,4,1,3,18,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",285,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:42:36",793,778,0,7,8,506,491,0,7,8,492,14,800,294,88,293,16,36,0,3,0,4,2,4,0,39,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",321,GIULEŞTI,108151,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:03:33",1061,1027,0,4,30,642,608,0,4,30,626,16,1150,508,152,387,11,41,0,7,1,4,0,0,0,20,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",371,"REMETEA CHIOARULUI",108491,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:42:32",998,949,2,36,11,668,621,0,36,11,646,22,998,330,316,211,8,20,0,4,10,12,37,6,3,9,10
26,MARAMUREŞ,"CĂMINUL CULTURAL",399,SATULUNG,108712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:20:22",677,649,1,17,10,425,397,1,17,10,393,32,700,275,164,102,3,58,8,3,4,9,5,1,3,28,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",293,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:31:30",273,262,0,4,7,189,178,0,4,7,184,4,300,111,33,125,1,5,0,1,2,1,0,2,0,14,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",394,SATULUNG,108712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:38:56",1423,1314,4,68,37,897,791,1,68,37,859,38,1450,553,449,124,24,65,9,9,7,26,10,3,11,112,10
26,MARAMUREŞ,"CĂMINUL CULTURAL",291,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:00:23",704,701,0,0,3,383,383,0,0,0,367,16,800,402,104,193,3,24,1,1,4,3,1,4,1,20,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",240,BĂSEŞTI,107190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:03:32",223,212,0,7,4,142,131,0,7,4,120,22,300,158,20,61,0,14,0,1,1,1,1,0,1,20,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",402,SĂCĂLĂŞENI,108794,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:08:11",747,695,0,21,31,513,471,0,21,21,507,6,750,237,175,239,11,44,1,7,1,15,0,2,0,9,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",434,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:09:28",205,145,1,48,11,205,145,1,48,11,196,9,220,10,64,41,5,82,0,0,1,3,0,0,0,0,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",380,REPEDEA,108598,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:01:52",1748,1738,0,3,7,839,829,0,3,7,798,34,1800,962,443,150,1,84,3,10,1,2,51,3,1,19,30
26,MARAMUREŞ,"CĂMINUL CULTURAL",351,"OCNA ŞUGATAG",108400,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:34:11",861,837,3,11,10,527,505,1,11,10,485,42,900,373,314,62,6,22,4,35,18,5,2,7,5,0,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",435,"VIMA MICĂ",109425,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:59:18",262,245,0,4,13,184,167,0,4,13,179,5,350,165,90,36,1,17,0,12,1,2,0,3,0,14,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",183,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:54",319,311,1,7,0,194,187,0,7,0,187,7,400,206,40,74,6,13,3,4,1,16,10,2,0,15,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",170,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:55:08",486,475,0,5,6,306,295,0,5,6,298,8,500,194,205,38,1,25,0,2,0,10,0,8,5,0,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",393,SARASĂU,106620,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:46:47",1104,1097,2,2,3,597,592,0,2,3,582,15,1200,603,339,56,0,33,1,106,0,3,3,4,2,23,12
26,MARAMUREŞ,"CĂMINUL CULTURAL",320,GÂRDANI,179855,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:06:16",1158,1079,0,33,46,772,693,0,33,46,752,20,1200,428,468,181,0,33,2,3,0,17,6,2,1,29,10
26,MARAMUREŞ,"CĂMINUL CULTURAL",392,SARASĂU,106620,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:07:32",1236,1223,2,0,11,680,667,2,0,11,653,24,1400,723,362,70,2,46,3,97,2,3,12,2,1,29,24
26,MARAMUREŞ,"CĂMINUL CULTURAL",231,"ASUAJU DE SUS",107083,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:29:06",277,235,0,35,7,195,153,0,35,7,191,4,300,105,76,93,0,7,0,0,1,6,1,0,1,6,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",417,ŞIEU,179613,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:37:39",1245,1168,1,52,24,861,784,1,52,24,835,26,1300,439,233,487,1,61,1,0,9,1,5,5,0,0,32
26,MARAMUREŞ,"CĂMINUL CULTURAL",439,"VIMA MICĂ",109425,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:18",179,172,0,5,2,131,124,0,5,2,131,0,240,109,84,17,0,17,0,0,4,0,0,0,0,6,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",239,BĂSEŞTI,107190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:12:27",88,63,0,20,5,71,46,0,20,5,64,7,100,29,11,25,1,6,0,13,0,0,7,0,0,0,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",207,"ORAŞ ULMENI",109265,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:02:56",937,875,0,16,46,599,537,0,16,46,590,9,1000,401,294,29,232,13,2,1,0,4,7,1,0,3,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",267,CĂLINEŞTI,107546,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:11:47",358,347,0,6,5,198,187,0,6,5,194,4,400,202,81,80,0,21,0,2,0,1,0,3,0,5,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",403,SĂCĂLĂŞENI,108794,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:21:56",548,537,0,10,1,306,295,0,10,1,285,21,550,244,62,103,1,52,2,2,4,12,0,3,2,31,11
26,MARAMUREŞ,"CĂMINUL CULTURAL",286,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:11:38",591,583,0,4,4,365,357,0,4,4,343,22,600,235,110,166,3,35,0,1,1,4,4,1,1,10,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",430,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:51:14",268,206,0,52,10,224,162,0,52,10,213,11,300,76,88,96,0,13,1,0,0,2,1,2,0,8,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",300,COROIENI,107868,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:30:41",171,158,0,4,9,107,94,0,4,9,106,1,200,93,42,49,2,4,0,0,5,0,0,0,0,4,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",292,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:39:41",392,378,1,9,4,259,246,0,9,4,253,5,399,141,82,97,1,28,0,1,4,6,4,2,3,21,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",284,COLTĂU,179846,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:48:20",486,482,1,2,1,283,280,0,2,1,273,10,500,217,29,34,136,10,2,2,20,12,1,2,1,17,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",298,COROIENI,107868,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:50:33",349,339,0,2,8,242,232,0,2,8,231,11,400,158,47,136,1,8,0,1,16,0,0,0,0,21,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",236,BĂIUŢ,107154,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:41:10",489,476,0,7,6,267,254,0,7,6,255,12,500,233,106,59,35,15,0,10,2,6,1,1,0,14,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",174,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:00:11",600,569,1,12,18,467,437,0,12,18,460,7,700,233,354,66,3,15,0,0,0,2,0,1,4,12,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",259,"BOIU MARE",107430,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:11:26",371,343,0,16,12,255,227,0,16,12,249,6,400,145,146,63,14,8,1,1,0,8,0,2,2,0,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",431,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:03:38",82,51,0,28,3,65,34,0,28,3,61,4,100,35,35,11,1,3,0,0,0,2,0,0,0,8,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",438,"VIMA MICĂ",109425,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:51:10",40,30,0,8,2,29,19,0,8,2,29,0,70,41,16,10,0,2,0,0,0,0,0,0,0,1,0
